ticker,tier_dev,actionable_rank,size_band,target_weight_pct,tier_reason,size_reasons,catalyst_mode,catalyst_days,cat_priority,mom_state,risk_flags,composite_rank,composite_score,archetype,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id
IRON,A,1,L,5.62,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,75,3,headwind,,104,37.13,drug_developer,0.60929,v1.3.0,96f655ee
CRSP,A,2,L,6.61,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,26,9,headwind,,154,29.17,drug_developer,0.740437,v1.3.0,96f655ee
ORKA,A,3,L,5.62,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,106,3,tailwind,,180,23.72,drug_developer,0.855191,v1.3.0,96f655ee
PVLA,A,4,L,5.62,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,14,3,neutral,,184,23.25,drug_developer,0.631148,v1.3.0,96f655ee
PRTA,A,5,M,2.78,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,7,2,headwind,deep_drawdown_rel_xbi,185,23.17,drug_developer,0.718579,v1.3.0,96f655ee
BCAX,A,6,L,4.63,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,specific_days,136,2,neutral,,193,22.09,drug_developer,0.756831,v1.3.0,96f655ee
ATXS,A,7,L,5.62,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,75,9,neutral,,201,20.99,drug_developer,0.893443,v1.3.0,96f655ee
SRRK,A,8,L,6.61,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,106,3,tailwind,,203,20.84,drug_developer,0.647541,v1.3.0,96f655ee
DNTH,A,9,L,5.62,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,135,3,tailwind,,204,20.70,drug_developer,0.948087,v1.3.0,96f655ee
CLYM,A,10,L,4.63,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,specific_days,45,3,tailwind,,206,20.55,drug_developer,0.680328,v1.3.0,96f655ee
RAPP,A,11,L,5.62,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,45,2,neutral,,214,19.48,drug_developer,0.806011,v1.3.0,96f655ee
NUVL,A,12,L,5.62,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,14,3,headwind,,215,19.07,drug_developer,0.931694,v1.3.0,96f655ee
ARTV,A,13,M,2.78,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,45,3,headwind,deep_drawdown|deep_drawdown_rel_xbi,221,18.51,drug_developer,0.724044,v1.3.0,96f655ee
KURA,A,14,L,5.62,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,167,3,headwind,deep_drawdown_rel_xbi,227,17.99,drug_developer,0.702186,v1.3.0,96f655ee
CGON,A,15,L,5.62,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,106,3,tailwind,,228,17.91,drug_developer,0.871585,v1.3.0,96f655ee
CELC,A,16,L,6.61,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,14,9,tailwind,,236,17.46,drug_developer,0.838798,v1.3.0,96f655ee
PHVS,A,17,L,4.63,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,specific_days,16,2,neutral,,237,17.43,drug_developer,0.70765,v1.3.0,96f655ee
ACLX,A,18,L,6.61,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,106,3,headwind,,239,17.17,drug_developer,0.92623,v1.3.0,96f655ee
AURA,A,19,M,2.18,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_>2000bps,specific_days,136,2,headwind,deep_drawdown_rel_xbi,244,17.00,drug_developer,0.800546,v1.3.0,96f655ee
FDMT,A,20,S,1.39,high_opt+catalyst_near,tier_a_dev|momentum_headwind|cost_haircut_<=2000bps,specific_days,75,9,headwind,deep_drawdown_rel_xbi,247,16.41,drug_developer,0.904372,v1.3.0,96f655ee
