ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall,clinical_rank_pct_dev,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,catalyst_days,catalyst_in_window,catalyst_mode,catalyst_strength,runway_bucket,mom_state,risk_flags,size_band,size_reasons,cost_mult,cost_bucket,cost_haircut_applied,est_cost_bps,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,dd_rel_margin_rescued,tier_dev,tier_reason,actionable_rank,target_weight_pct,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_tier1_count,de_beta_xbi_60d,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,returns_source,catalyst_source,catalyst_event_type,cat_priority
EBS,1,58.86,0.998433,2.9542,58.86,0.998433,2.9542,late,small,none,commercial_pharma,44.04,39.63842177777777777777777778,42.04283874804214194230230122,79.87,77.000,72.42105263157894736842105263,0.9,,,v1.3.0,96f655ee,1,,1,1,buying,136,0,specific_days,mid,adequate,headwind,,S,momentum_headwind,0.85,<=1000bps,1,985.34,1.0,0,1.0,0,0,,,130,0.19,136,False,specific_days,-0.0828,1,,-0.160072,,,-0.023106,-0.136966,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
ALKS,2,58.34,0.995298,2.597,58.41,0.995298,2.597,late,mid,none,commercial_pharma,44.83,42.31926044444444444444444444,56.70200571012032591984617506,77.27,77.000,70.76923076923076923076923077,0.9,,,v1.3.0,96f655ee,1,,6,6,buying,14,1,specific_days,near,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,362.89,1.0,0,1.0,0,0,,,131,0.45,14,True,specific_days,-0.0719,6,,-0.068889,,,-0.023106,-0.045783,morningstar,,,9
BIIB,3,55.99,0.992163,2.4164,55.99,0.992163,2.4164,late,large,none,commercial_pharma,44.69,53.618,65.74572305307962017175529068,63.41,73.43283582089552238805970149,75.55555555555555555555555555,0.9,,,v1.3.0,96f655ee,1,,5,5,buying,1,1,specific_days,near,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,175.51,1.0,0,1.0,0,0,,,132,0.45,1,True,specific_days,-0.0737,5,,-0.2549,,51.2,-0.023106,-0.231794,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
TBPH,4,55.66,0.96395,1.7985,55.71,0.985893,2.1943,late,small,none,drug_developer,57.18,52.688,39.91783874804214194230230122,90.00,77.000,65.47368421052631578947368421,0.8969686133957427839072773877,0.969945,0.030055,v1.3.0,96f655ee,1,,1,1,buying,44,1,specific_days,near,adequate,tailwind,deep_drawdown_rel_xbi,M,momentum_tailwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1025.46,1.0,0,1.0,0,0,C,low_opt,75,0.31,44,True,specific_days,0.0998,1,,-0.3281,,53.3,-0.023106,-0.304994,morningstar,,,9
TARS,5,55.58,0.967085,1.8396,55.74,0.989028,2.2913,late,mid,none,commercial_biotech,35.48,39.63842177777777777777777778,85,39.35,70.74626865671641791044776119,56.87692307692307692307692308,0.9,,,v1.3.0,96f655ee,0,deep_drawdown,8,8,buying,136,0,specific_days,mid,adequate,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,0.85,<=1000bps,1,529.74,1.0,0,1.0,0,0,,,,,136,False,specific_days,-0.1911,8,,-0.4018,,43.7,-0.023106,-0.378694,morningstar,SEC_8K_FILING,DATA_READOUT,2
OPK,6,55.13,0.979624,2.046,55.13,0.982759,2.1144,late,small,none,platform_diagnostics,30.10,39.63842177777777777777777778,,85.65,72.53731343283582089552238806,65.09473684210526315789473684,0.9,,,v1.3.0,96f655ee,1,,0,0,neutral,167,0,specific_days,mid,adequate,headwind,deep_drawdown_rel_xbi,XS,momentum_headwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1543.84,1.0,0,1.0,0,0,,,133,0.08,167,False,specific_days,-0.2618,0,,-0.335052,,,-0.023106,-0.311946,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
BMRN,7,55.02,0.973354,1.9326,55.06,0.979624,2.046,late,large,none,commercial_biotech,33.90,50.360,54.96185440981430907420342498,79.31,68.05970149253731343283582090,71.11111111111111111111111111,0.9,,,v1.3.0,96f655ee,1,,3,3,neutral,14,1,specific_days,near,adequate,headwind,overbought_rsi,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,258.43,1.0,0,1.0,0,0,,,134,0.45,14,True,specific_days,-0.2119,3,0.7339,-0.174,,72.1854,-0.023106,-0.150894,morningstar,,,9
INCY,8,54.75,0.95768,1.7244,54.75,0.976489,1.9861,late,large,none,commercial_biotech,39.30,52.604,60.37211548320434990365915357,32.97,63.58208955223880597014925373,73.33333333333333333333333333,0.9,,,v1.3.0,96f655ee,1,,3,3,buying,10,1,specific_days,near,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,222.13,1.0,0,1.0,0,0,,,135,0.45,10,True,specific_days,-0.1486,3,0.2617,-0.0406,,65.0693,-0.023106,-0.017494,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
AMGN,9,54.32,0.982759,2.1144,54.35,0.973354,1.9326,late,large,none,commercial_pharma,44.43,53.618,39.84541357007436625560155106,42.55,74.62686567164179104477611940,77.000,0.9,,,v1.3.0,96f655ee,1,,1,1,neutral,0,1,blended_window,near,adequate,headwind,,S,momentum_headwind,1.0,<=400bps,0,106.06,1.0,0,1.0,0,0,,,136,0.22,0,True,blended_window,-0.0773,1,,-0.2206,,54.3,-0.023106,-0.197494,morningstar,,,9
ACAD,10,53.94,0.954545,1.6906,53.94,0.970219,1.884,late,mid,none,commercial_biotech,39.21,56.750,71.0,53.90,65.37313432835820895522388060,68.00000000000000000000000000,0.9,,,v1.3.0,96f655ee,1,,7,7,buying,47,1,specific_days,near,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,0.85,<=1000bps,1,525.22,1.0,0,1.0,0,0,,,137,0.38,47,True,specific_days,-0.1499,7,0.9418,-0.0517,,43.2990,-0.023106,-0.028594,morningstar,FDA_CALENDAR,FDA_PDUFA_DATE,1
