ticker,company_name,actionable_rank,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,clinical_alpha_z,clinical_score_z,clinical_score_z_tier,commercial_quality_pct,catalyst_days,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,decision_engine_version,decision_engine_ruleset_id,alpha_cohort_key,alpha_cohort_raw,missing_components,archetype,composite_rank,composite_score
PVLA,"Palvella Therapeutics, Inc.",1,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.581505,0.620219,0.5212,-0.4746,1.4091,,24,specific_days,3,neutral,,L,tier_a_dev|sponsor_confirmed,v1.3.0,6e0bf8fb,late|near_0_30|pos,0.09254273684210526,,drug_developer,186,0.09254273684210526
IRON,"Disc Medicine, Inc.",2,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.170846,0.603825,0.5226,-0.4073,1.5821,,85,specific_days,3,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,v1.3.0,6e0bf8fb,late|near_31_90|pos,0.1,,drug_developer,55,0.1
RNA,"Avidity Biosciences, Inc.",3,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.261755,0.625683,0.5208,-0.4968,1.3519,,177,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,v1.3.0,6e0bf8fb,late|near_91_180|pos,0.1,,drug_developer,84,0.1
ALMS,Alumis Inc.,4,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.020376,0.614754,0.5216,-0.4411,1.4953,,146,specific_days,3,tailwind,high_vol|high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,v1.3.0,6e0bf8fb,late|near_91_180|pos,0.1,,drug_developer,7,0.1
PRAX,"Praxis Precision Medicines, Inc",5,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.246082,0.647541,0.5197,-0.5628,1.1817,,116,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,v1.3.0,6e0bf8fb,late|near_91_180|pos,0.1,,drug_developer,79,0.1
IMVT,"Immunovant, Inc.",6,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.562696,0.696721,0.5107,-0.7348,0.7388,,24,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,v1.3.0,6e0bf8fb,late|near_0_30|pos,0.09254273684210526,,drug_developer,180,0.09254273684210526
RVMD,"Revolution Medicines, Inc.",7,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.268025,0.680328,0.5121,-0.671,0.9031,,84,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,v1.3.0,6e0bf8fb,late|near_31_90|pos,0.1,,drug_developer,86,0.1
PHVS,Pharvaris N.V.,8,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.242947,0.691257,0.5109,-0.7137,0.7933,,55,specific_days,3,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,v1.3.0,6e0bf8fb,late|near_31_90|pos,0.1,,drug_developer,78,0.1
KURA,"Kura Oncology, Inc.",9,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.18652,0.70765,0.51,-0.7769,0.6305,,177,specific_days,3,headwind,deep_drawdown|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,v1.3.0,6e0bf8fb,late|near_91_180|pos,0.1,,drug_developer,60,0.1
CLYM,"Climb Bio, Inc.",10,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.083072,0.674863,-0.7743,-0.6614,0.9278,,55,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,v1.3.0,6e0bf8fb,mid|near_31_90|pos,0.1,,drug_developer,27,0.1
