ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall
EBS,1,56.41,0.998397,2.9473,56.41,0.998397,2.9473,late,small,none,commercial_pharma,96.55,41.25000000000000000000000000,55.5,80.92,77.000,71.32530120481927710843373494,0.9
ALKS,2,55.60,0.975962,1.9767,55.60,0.995192,2.5894,late,mid,none,commercial_pharma,42.08,41.25000000000000000000000000,68.0,78.29,77.000,71.11111111111111111111111111,0.9
TBPH,3,53.20,0.921474,1.4151,53.20,0.991987,2.4083,late,small,none,drug_developer,45.39,41.25000000000000000000000000,55.5,90.00,77.000,64.81927710843373493975903614,0.9
IRON,4,53.15,0.924679,1.4373,53.15,0.988782,2.2829,mid,mid,none,drug_developer,25.12,41.25000000000000000000000000,80.0,13.00,60.64516129032258064516129032,65.72580645161290322580645161,0.8605400250512411751309496698
TARS,5,53.09,0.953526,1.68,53.09,0.985577,2.1856,late,mid,none,commercial_biotech,66.92,41.25000000000000000000000000,83.0,38.79,71.35593220338983050847457627,66.66666666666666666666666666,0.9
ACAD,6,52.77,0.918269,1.3935,52.77,0.982372,2.1054,late,mid,none,commercial_biotech,30.10,45.56250000000000000000000000,71.0,54.61,65.08474576271186440677966102,67.77777777777777777777777778,0.8999531842073096198508739763
AMGN,7,52.20,0.956731,1.7139,52.20,0.979167,2.0368,late,large,none,commercial_pharma,58.67,41.25000000000000000000000000,52.5,42.83,73.55932203389830508474576271,77.000,0.9
VYGR,8,51.76,0.950321,1.648,51.76,0.972756,1.9229,early,micro,none,drug_developer,49.29,41.25000000000000000000000000,49.5,70.69,74.85714285714285714285714286,56.45000000000000000000000000,0.8078380536626916524701873935
BIIB,9,51.70,0.940705,1.5607,51.70,0.969551,1.8742,late,large,none,commercial_pharma,51.83,41.25000000000000000000000000,68.5,63.81,70.16949152542372881355932204,75.38461538461538461538461539,0.9
SUPN,10,51.58,0.892628,1.2406,51.58,0.966346,1.8296,late,mid,none,commercial_pharma,45.23,41.25000000000000000000000000,55.0,13.82,73.22033898305084745762711864,66.66666666666666666666666667,0.9
INCY,11,51.43,0.883013,1.1902,51.43,0.963141,1.7884,late,large,none,commercial_biotech,52.82,41.25000000000000000000000000,60.5,33.33,63.05084745762711864406779661,73.07692307692307692307692308,0.9
NVAX,12,51.26,0.995192,2.5894,51.26,0.959936,1.7499,late,small,none,commercial_biotech,96.55,41.25000000000000000000000000,54.5,90.00,77.000,74.21686746987951807228915663,0.9
BMRN,13,50.96,0.902244,1.2944,50.96,0.956731,1.7139,late,large,none,commercial_biotech,41.12,41.25000000000000000000000000,57.5,79.74,67.45762711864406779661016949,70.76923076923076923076923077,0.9
DSGN,14,50.80,0.991987,2.4083,50.80,0.953526,1.68,early,small,none,drug_developer,80.68,41.25000000000000000000000000,72.0,50,77.000,61.40000000000000000000000000,0.7264303482587064676616915423
CAI,15,50.61,0.863782,1.0975,50.61,0.950321,1.648,late,mid,none,commercial_biotech,50,41.25000000000000000000000000,66.0,13.82,69.66101694915254237288135593,57.77777777777777777777777778,0.9
VNDA,16,50.57,0.905449,1.3132,50.57,0.947115,1.6175,late,small,none,commercial_biotech,72.06,41.25000000000000000000000000,52.5,90.00,74.91525423728813559322033899,64.02409638554216867469879518,0.8839761142147734326505276226
XNCR,17,50.52,0.979167,2.0368,50.52,0.94391,1.5885,mid,small,none,drug_developer,54.84,41.25000000000000000000000000,71.5,79.00,67.41935483870967741935483871,79.18181818181818181818181818,0.8304333819078578634682210515
HRTX,18,50.30,0.985577,2.1856,50.30,0.940705,1.5607,late,micro,none,drug_developer,94.99,41.25000000000000000000000000,58.0,90.00,75.76271186440677966101694915,71.07627118644067796610169492,0.8825854541181999765009987076
IONS,19,49.84,0.915064,1.3726,49.84,0.9375,1.5341,late,large,none,commercial_biotech,39.51,41.25000000000000000000000000,,24.83,60.67796610169491525423728814,79.850,0.9
VRTX,20,49.63,0.796474,0.8291,49.63,0.934295,1.5086,late,large,none,commercial_biotech,64.41,45.56250000000000000000000000,63.0,26.01,77.000,50,0.9
PCVX,21,49.56,0.988782,2.2829,49.56,0.93109,1.484,mid,mid,none,drug_developer,57.07,41.25000000000000000000000000,85,10.00,65.48387096774193548387096774,74.87096774193548387096774194,0.7964069313747991737434014230
JAZZ,22,49.25,0.899038,1.2761,49.25,0.927885,1.4602,late,large,none,commercial_biotech,44.40,41.25000000000000000000000000,74.0,70.06,66.77966101694915254237288135,68.46153846153846153846153846,0.9
RYTM,23,48.83,0.831731,0.961,48.83,0.924679,1.4373,late,mid,none,commercial_biotech,43.53,41.25000000000000000000000000,77.0,38.22,76.94915254237288135593220339,52.66666666666666666666666666,0.9
UTHR,24,48.69,0.8125,0.8871,48.69,0.921474,1.4151,late,large,none,commercial_pharma,61.51,41.25000000000000000000000000,77.0,73.03,64.40677966101694915254237288,66.15384615384615384615384615,0.9
NBIX,25,48.37,0.770833,0.7416,48.37,0.915064,1.3726,late,large,none,commercial_pharma,55.07,45.56250000000000000000000000,83.0,41.45,71.86440677966101694915254237,45.45036160420775805391190006,0.9
ESPR,26,48.37,0.93109,1.484,48.37,0.918269,1.3935,late,small,none,commercial_pharma,57.29,41.25000000000000000000000000,55.5,54.67,77.000,77.68674698795180722891566265,0.8279689456548960681192086151
NAMS,27,48.35,0.81891,0.9112,48.35,0.911859,1.3523,late,mid,none,drug_developer,64.50,41.25000000000000000000000000,77.5,38.79,60.00000000000000000000000000,65.50000000000000000000000000,0.8821963529833791701542508669
HRMY,28,48.19,0.822115,0.9235,48.19,0.908654,1.3325,late,mid,none,commercial_biotech,47.81,41.25000000000000000000000000,54.5,90.00,57.96610169491525423728813559,75.55555555555555555555555555,0.9
INDV,29,48.11,0.825321,0.9358,48.11,0.905449,1.3132,late,mid,none,commercial_pharma,51.22,41.25000000000000000000000000,52.5,58.55,77.000,56.66666666666666666666666667,0.9
CTNM,30,48.09,0.963141,1.7884,48.09,0.902244,1.2944,mid,small,none,drug_developer,50,41.25000000000000000000000000,80.0,51.00,73.70967741935483870967741936,65.81818181818181818181818182,0.7821592563556949266435211110
TRVI,31,48.09,0.841346,1.0,48.09,0.899038,1.2761,mid,small,none,drug_developer,71.19,41.25000000000000000000000000,71.5,45.00,77.000,43.58677685950413223140495867,0.8441542319749216300940438871
REGN,32,47.54,0.780449,0.7737,47.54,0.895833,1.2582,late,large,none,commercial_biotech,55.66,45.56250000000000000000000000,66.0,55.43,69.15254237288135593220338983,59.23076923076923076923076923,0.9
EWTX,33,47.43,0.889423,1.2235,47.43,0.892628,1.2406,mid,mid,none,drug_developer,81.34,41.25000000000000000000000000,77.0,21.00,72.25806451612903225806451613,57.59677419354838709677419355,0.8167130265567765567765567766
AMPH,34,47.07,0.774038,0.7522,47.07,0.889423,1.2235,late,small,none,commercial_pharma,42.78,41.25000000000000000000000000,,76.97,70.67796610169491525423728814,55.42168674698795180722891566,0.9
AXSM,35,46.94,0.786859,0.7956,46.94,0.886218,1.2067,late,mid,none,commercial_biotech,52.79,45.56250000000000000000000000,71.0,10.00,72.20338983050847457627118644,46.04938271604938271604938271,0.9
KNSA,36,46.73,0.758013,0.6999,46.73,0.883013,1.1902,late,mid,none,commercial_pharma,49.41,41.25000000000000000000000000,61.0,37.50,61.01694915254237288135593221,54.44444444444444444444444445,0.8893374043062200956937799043
SGMT,37,46.72,0.972756,1.9229,46.72,0.879808,1.174,mid,micro,none,drug_developer,57.66,41.25000000000000000000000000,52.5,81.00,77.000,71.31451612903225806451612903,0.7592705599300087489063867017
SIGA,38,46.58,0.748397,0.6695,46.58,0.876603,1.1582,late,small,none,commercial_pharma,76.46,41.25000000000000000000000000,,90.00,62.37288135593220338983050847,56.86746987951807228915662650,0.9
