ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall
EBS,1,57.64,0.998413,2.9503,57.64,0.998413,2.9503,late,small,none,commercial_pharma,43.65,41.25000000000000000000000000,55.5,56.64,77.000,71.72413793103448275862068966,0.9
ALKS,2,56.16,0.992063,2.4118,56.16,0.995238,2.5927,late,mid,none,commercial_pharma,68.06,41.25000000000000000000000000,68.0,40.35,77.000,71.42857142857142857142857143,0.9
TBPH,3,54.98,0.979365,2.0408,54.98,0.992063,2.4118,late,small,none,drug_developer,58.70,41.25000000000000000000000000,55.5,92.62,77.000,65.51724137931034482758620690,0.9
ACAD,4,53.87,0.969841,1.8785,53.87,0.988889,2.2865,late,mid,none,commercial_biotech,67.52,45.56250000000000000000000000,71.0,60.71,64.91978609625668449197860962,68.21428571428571428571428572,0.8881759336099585062240663900
BIIB,5,53.49,0.988889,2.2865,53.49,0.985714,2.1893,late,large,none,commercial_pharma,44.63,41.25000000000000000000000000,68.5,76.75,71.33689839572192513368983957,75.55555555555555555555555555,0.9
BMRN,6,53.29,0.973016,1.9271,53.29,0.98254,2.1093,late,large,none,commercial_biotech,57.00,41.25000000000000000000000000,57.5,69.55,68.44919786096256684491978610,71.11111111111111111111111111,0.9
AMGN,7,52.44,0.97619,1.9808,52.44,0.979365,2.0408,late,large,none,commercial_pharma,61.58,41.25000000000000000000000000,52.5,54.53,73.26203208556149732620320855,77.000,0.9
SUPN,8,52.39,0.963492,1.7927,52.39,0.97619,1.9808,late,mid,none,commercial_pharma,47.60,41.25000000000000000000000000,55.0,50.71,72.94117647058823529411764706,67.14285714285714285714285714,0.9
IRON,9,52.23,0.94127,1.5655,52.23,0.973016,1.9271,mid,mid,none,drug_developer,54.01,41.25000000000000000000000000,80.0,50.24,63.27868852459016393442622951,55.95081967213114754098360656,0.8504355701705495485453126742
TARS,10,51.97,0.928571,1.4652,51.97,0.969841,1.8785,late,mid,none,commercial_biotech,58.36,41.25000000000000000000000000,83.0,61.83,72.29946524064171122994652407,58.25000000000000000000000000,0.9
CAI,11,51.84,0.925397,1.4423,51.84,0.963492,1.7927,late,mid,none,commercial_biotech,50,41.25000000000000000000000000,66.0,43.27,70.05347593582887700534759358,58.57142857142857142857142857,0.9
NVAX,12,51.25,0.995238,2.5927,51.25,0.960317,1.7544,late,small,none,commercial_biotech,49.44,41.25000000000000000000000000,54.5,87.14,77.000,74.48275862068965517241379310,0.8965845977842003853564547206
INCY,13,51.21,0.906349,1.3186,51.21,0.957143,1.7185,late,large,none,commercial_biotech,59.68,41.25000000000000000000000000,60.5,58.17,63.31550802139037433155080214,73.33333333333333333333333333,0.9
VYGR,14,50.92,0.966667,1.8339,50.92,0.953968,1.6846,early,micro,none,drug_developer,31.57,41.25000000000000000000000000,49.5,66.81,77.000,48.18218994140625000000000000,0.7984655554383373773604810634
XNCR,15,50.83,0.985714,2.1893,50.83,0.950794,1.6526,mid,small,none,drug_developer,37.06,41.25000000000000000000000000,71.5,64.17,69.18032786885245901639344262,67.90909090909090909090909091,0.8205891505281690140845070423
VRTX,16,50.42,0.865079,1.1034,50.42,0.947619,1.6222,late,large,none,commercial_biotech,58.37,45.56250000000000000000000000,63.0,31.25,77.000,47.79301935680536503581771072,0.9
JAZZ,17,50.01,0.960317,1.7544,50.01,0.944444,1.5932,late,large,none,commercial_biotech,72.63,41.25000000000000000000000000,74.0,73.69,67.48663101604278074866310160,68.88888888888888888888888889,0.9
VNDA,18,49.32,0.9,1.2816,49.32,0.94127,1.5655,late,small,none,commercial_biotech,55.46,41.25000000000000000000000000,52.5,92.78,75.50802139037433155080213904,56.34482758620689655172413793,0.8782537849566055930568948891
UTHR,19,48.99,0.868254,1.1182,48.99,0.938095,1.539,late,large,none,commercial_pharma,47.93,41.25000000000000000000000000,77.0,58.26,63.95721925133689839572192514,66.66666666666666666666666667,0.9
NBIX,20,48.91,0.814286,0.8938,48.91,0.934921,1.5135,late,large,none,commercial_pharma,50.09,45.56250000000000000000000000,83.0,23.98,71.97860962566844919786096257,43.47050754458161865569272976,0.9
INDV,21,48.74,0.887302,1.2123,48.74,0.931746,1.4889,late,mid,none,commercial_pharma,43.78,41.25000000000000000000000000,52.5,77.64,77.000,56.42857142857142857142857143,0.8935793314972458688032048072
REGN,22,48.34,0.846032,1.0196,48.34,0.928571,1.4652,late,large,none,commercial_biotech,45.75,45.56250000000000000000000000,66.0,64.13,69.09090909090909090909090909,60.00000000000000000000000000,0.9
NKTX,23,47.84,0.915873,1.3778,47.84,0.925397,1.4423,early,micro,none,drug_developer,50,41.25000000000000000000000000,66.5,79.04,63.12500000000000000000000000,58.25000000000000000000000000,0.8043715739769150052465897167
HRMY,24,47.75,0.871429,1.1332,47.75,0.922222,1.4202,late,mid,none,commercial_biotech,52.05,41.25000000000000000000000000,54.5,82.15,57.70053475935828877005347593,75.71428571428571428571428572,0.9
EWTX,25,47.68,0.903175,1.2999,47.68,0.919048,1.3987,mid,mid,none,drug_developer,59.13,41.25000000000000000000000000,77.0,53.22,73.11475409836065573770491803,50.09836065573770491803278689,0.8073440649496080627099664054
HRTX,26,47.45,0.950794,1.6526,47.45,0.915873,1.3778,late,micro,none,drug_developer,86.16,41.25000000000000000000000000,58.0,52.88,76.14973262032085561497326203,61.86363636363636363636363636,0.8774101644245142002989536622
