ticker,dd_stored,dd_recomputed,dd_diff,dd_verdict,dd_source,dd_xbi_stored,dd_xbi_recomputed,dd_xbi_diff,dd_xbi_verdict,dd_rel_stored,dd_rel_recomputed,dd_rel_diff,dd_rel_verdict,rsi_stored,rsi_recomputed,rsi_diff,rsi_verdict,beta_stored,beta_recomputed,beta_missing_reason,beta_diff,beta_verdict,alpha_stored,alpha_recomputed,alpha_missing_reason,alpha_diff,alpha_verdict
NMRA,-0.044568,-0.044568,0.0,OK,price_csv,-0.018317,-0.018317,0.0,OK,-0.026251,-0.026251,0.0,OK,73.1779,73.1779,0.0,OK,1.5322,1.5322,,0.0,OK,0.420708,0.420708,,0.0,OK
IRON,-0.296568,-0.296568,0.0,OK,price_csv,-0.018317,-0.018317,0.0,OK,-0.278251,-0.278251,0.0,OK,42.8336,42.8336,0.0,OK,0.8891,0.8891,,0.0,OK,-0.344753,-0.344753,,0.0,OK
PVLA,0.0,0.0,0.0,OK,price_csv,-0.018317,-0.018317,0.0,OK,0.018317,0.018317,0.0,OK,74.0099,74.0099,0.0,OK,1.9248,1.9248,,0.0,OK,0.138893,0.138893,,0.0,OK
RNA,-0.002468,-0.002468,0.0,OK,price_csv,-0.018317,-0.018317,0.0,OK,0.015849,0.015849,0.0,OK,55.5998,55.5998,0.0,OK,0.0322,0.0322,,0.0,OK,0.014591,0.014591,,0.0,OK
ALMS,-0.059769,-0.059769,0.0,OK,price_csv,-0.018317,-0.018317,0.0,OK,-0.041452,-0.041452,0.0,OK,62.7172,62.7172,0.0,OK,2.1068,2.1068,,0.0,OK,2.688192,2.688192,,0.0,OK
PRAX,0.0,0.0,0.0,OK,price_csv,-0.018317,-0.018317,0.0,OK,0.018317,0.018317,0.0,OK,64.9066,64.9066,0.0,OK,0.6444,0.6444,,0.0,OK,0.816398,0.816398,,0.0,OK
ZBIO,-0.396108,-0.396108,0.0,OK,price_csv,-0.018317,-0.018317,0.0,OK,-0.377791,-0.377791,0.0,OK,56.7843,56.7843,0.0,OK,1.446,1.446,,0.0,OK,-0.443862,-0.443862,,0.0,OK
SYRE,-0.016523,-0.016523,0.0,OK,price_csv,-0.018317,-0.018317,0.0,OK,0.001794,0.001794,0.0,OK,74.7216,74.7216,0.0,OK,1.0267,1.0267,,0.0,OK,0.418501,0.418501,,0.0,OK
IMVT,-0.005447,-0.005447,0.0,OK,price_csv,-0.018317,-0.018317,0.0,OK,0.01287,0.01287,0.0,OK,58.2111,58.2111,0.0,OK,1.3028,1.3028,,0.0,OK,0.055427,0.055427,,0.0,OK
PHVS,-0.048187,-0.048187,0.0,OK,price_csv,-0.018317,-0.018317,0.0,OK,-0.02987,-0.02987,0.0,OK,57.1252,57.1252,0.0,OK,1.5142,1.5142,,0.0,OK,-0.004286,-0.004286,,0.0,OK
RVMD,-0.14959,-0.14959,0.0,OK,price_csv,-0.018317,-0.018317,0.0,OK,-0.131273,-0.131273,0.0,OK,60.3938,60.3938,0.0,OK,1.1845,1.1845,,0.0,OK,0.293363,0.293363,,0.0,OK
KURA,-0.30972,-0.30972,0.0,OK,price_csv,-0.018317,-0.018317,0.0,OK,-0.291403,-0.291403,0.0,OK,46.9195,46.9195,0.0,OK,1.7015,1.7015,,0.0,OK,-0.392786,-0.392786,,0.0,OK
CCCC,-0.330532,-0.330532,0.0,OK,price_csv,-0.018317,-0.018317,0.0,OK,-0.312215,-0.312215,0.0,OK,66.6311,66.6311,0.0,OK,1.5453,1.5453,,0.0,OK,-0.140914,-0.140914,,0.0,OK
SION,-0.160971,-0.160971,0.0,OK,price_csv,-0.018317,-0.018317,0.0,OK,-0.142654,-0.142654,0.0,OK,45.7427,45.7427,0.0,OK,1.7044,1.7044,,0.0,OK,-0.272577,-0.272577,,0.0,OK
PEPG,-0.118549,-0.118549,0.0,OK,price_csv,-0.018317,-0.018317,0.0,OK,-0.100232,-0.100232,0.0,OK,56.1977,56.1977,0.0,OK,1.1616,1.1616,,0.0,OK,-0.034018,-0.034018,,0.0,OK
ORKA,0.0,0.0,0.0,OK,price_csv,-0.018317,-0.018317,0.0,OK,0.018317,0.018317,0.0,OK,63.351,63.351,0.0,OK,1.5481,1.5481,,0.0,OK,0.060324,0.060324,,0.0,OK
VRDN,-0.129663,-0.129663,0.0,OK,price_csv,-0.018317,-0.018317,0.0,OK,-0.111346,-0.111346,0.0,OK,46.086,46.086,0.0,OK,0.6593,0.6593,,0.0,OK,-0.10863,-0.10863,,0.0,OK
OCGN,-0.068063,-0.068063,0.0,OK,price_csv,-0.018317,-0.018317,0.0,OK,-0.049746,-0.049746,0.0,OK,68.2625,68.2625,0.0,OK,1.0445,1.0445,,0.0,OK,0.45065,0.45065,,0.0,OK
KOD,-0.099743,-0.099743,0.0,OK,price_csv,-0.018317,-0.018317,0.0,OK,-0.081426,-0.081426,0.0,OK,59.5423,59.5423,0.0,OK,1.8487,1.8487,,0.0,OK,0.091885,0.091885,,0.0,OK
FDMT,-0.179299,-0.179299,0.0,OK,price_csv,-0.018317,-0.018317,0.0,OK,-0.160982,-0.160982,0.0,OK,64.532,64.532,0.0,OK,2.0956,2.0956,,0.0,OK,-0.198998,-0.198998,,0.0,OK
DNTH,-0.009927,-0.009927,0.0,OK,price_csv,-0.018317,-0.018317,0.0,OK,0.00839,0.00839,0.0,OK,60.0525,60.0525,0.0,OK,1.3231,1.3231,,0.0,OK,0.109331,0.109331,,0.0,OK
COGT,-0.06958,-0.06958,0.0,OK,price_csv,-0.018317,-0.018317,0.0,OK,-0.051263,-0.051263,0.0,OK,57.6085,57.6085,0.0,OK,1.0508,1.0508,,0.0,OK,-0.084739,-0.084739,,0.0,OK
CGON,0.0,0.0,0.0,OK,price_csv,-0.018317,-0.018317,0.0,OK,0.018317,0.018317,0.0,OK,66.2257,66.2257,0.0,OK,1.2094,1.2094,,0.0,OK,0.200034,0.200034,,0.0,OK
