ticker,dd_stored,dd_recomputed,dd_diff,dd_verdict,dd_source,dd_xbi_stored,dd_xbi_recomputed,dd_xbi_diff,dd_xbi_verdict,dd_rel_stored,dd_rel_recomputed,dd_rel_diff,dd_rel_verdict,rsi_stored,rsi_recomputed,rsi_diff,rsi_verdict,beta_stored,beta_recomputed,beta_missing_reason,beta_diff,beta_verdict,alpha_stored,alpha_recomputed,alpha_missing_reason,alpha_diff,alpha_verdict
LAB,-0.327381,-0.327381,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.275773,-0.275773,0.0,OK,31.5148,31.5148,0.0,OK,0.4273,0.4273,,0.0,OK,-0.212453,-0.212453,,0.0,OK
ARVN,-0.347305,-0.347305,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.295697,-0.295697,0.0,OK,44.0784,44.0784,0.0,OK,1.1992,1.1992,,0.0,OK,-0.047024,-0.047024,,0.0,OK
UTHR,-0.084524,-0.084524,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.032916,-0.032916,0.0,OK,46.2435,46.2435,0.0,OK,0.344,0.344,,0.0,OK,-0.028141,-0.028141,,0.0,OK
GH,-0.120907,-0.120907,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.069299,-0.069299,0.0,OK,43.885,43.885,0.0,OK,0.8696,0.8696,,0.0,OK,-0.085692,-0.085692,,0.0,OK
CDNA,-0.195894,-0.195894,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.144286,-0.144286,0.0,OK,43.8268,43.8268,0.0,OK,0.863,0.863,,0.0,OK,0.031094,0.031094,,0.0,OK
HROW,-0.051095,-0.051095,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,0.000513,0.000513,0.0,OK,63.9802,63.9802,0.0,OK,0.6237,0.6237,,0.0,OK,0.290741,0.290741,,0.0,OK
ARWR,-0.128904,-0.128904,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.077296,-0.077296,0.0,OK,45.8013,45.8013,0.0,OK,0.9871,0.9871,,0.0,OK,0.499774,0.499774,,0.0,OK
NTRA,-0.166195,-0.166195,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.114587,-0.114587,0.0,OK,42.1918,42.1918,0.0,OK,0.8017,0.8017,,0.0,OK,-0.138971,-0.138971,,0.0,OK
FOLD,-0.002782,-0.002782,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,0.048826,0.048826,0.0,OK,77.1324,77.1324,0.0,OK,0.6559,0.6559,,0.0,OK,0.451965,0.451965,,0.0,OK
PCRX,-0.146951,-0.146951,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.095343,-0.095343,0.0,OK,60.994,60.994,0.0,OK,0.5413,0.5413,,0.0,OK,-0.032267,-0.032267,,0.0,OK
OPK,-0.381443,-0.381443,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.329835,-0.329835,0.0,OK,37.2703,37.2703,0.0,OK,0.3975,0.3975,,0.0,OK,-0.12002,-0.12002,,0.0,OK
KROS,-0.258242,-0.258242,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.206634,-0.206634,0.0,OK,31.7359,31.7359,0.0,OK,0.9367,0.9367,,0.0,OK,-0.137029,-0.137029,,0.0,OK
AUPH,-0.120342,-0.120342,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.068734,-0.068734,0.0,OK,43.341,43.341,0.0,OK,0.5476,0.5476,,0.0,OK,-0.121736,-0.121736,,0.0,OK
ANIP,-0.212934,-0.212934,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.161326,-0.161326,0.0,OK,42.4745,42.4745,0.0,OK,0.1503,0.1503,,0.0,OK,-0.035468,-0.035468,,0.0,OK
INVA,-0.019287,-0.019287,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,0.032321,0.032321,0.0,OK,75.6483,75.6483,0.0,OK,0.2281,0.2281,,0.0,OK,0.09923,0.09923,,0.0,OK
CMPS,-0.047337,-0.047337,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,0.004271,0.004271,0.0,OK,62.4222,62.4222,0.0,OK,1.8054,1.8054,,0.0,OK,0.424842,0.424842,,0.0,OK
COLL,-0.097111,-0.097111,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.045503,-0.045503,0.0,OK,43.6128,43.6128,0.0,OK,0.2149,0.2149,,0.0,OK,-0.01884,-0.01884,,0.0,OK
BBIO,-0.147291,-0.147291,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.095683,-0.095683,0.0,OK,38.8545,38.8545,0.0,OK,1.1472,1.1472,,0.0,OK,-0.083574,-0.083574,,0.0,OK
BIOA,-0.105148,-0.105148,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.05354,-0.05354,0.0,OK,61.4955,61.4955,0.0,OK,1.1932,1.1932,,0.0,OK,1.283715,1.283715,,0.0,OK
BCRX,-0.334227,-0.334227,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.282619,-0.282619,0.0,OK,64.1316,64.1316,0.0,OK,0.6777,0.6777,,0.0,OK,0.019236,0.019236,,0.0,OK
AMPH,-0.116445,-0.116445,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.064837,-0.064837,0.0,OK,56.8935,56.8935,0.0,OK,0.3564,0.3564,,0.0,OK,0.070785,0.070785,,0.0,OK
ADMA,-0.343125,-0.343125,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.291517,-0.291517,0.0,OK,41.9893,41.9893,0.0,OK,0.9354,0.9354,,0.0,OK,-0.131367,-0.131367,,0.0,OK
