ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall,clinical_rank_pct_dev,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,catalyst_days,catalyst_in_window,catalyst_mode,catalyst_strength,runway_bucket,mom_state,risk_flags,size_band,size_reasons,cost_mult,cost_bucket,cost_haircut_applied,est_cost_bps,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,dd_rel_margin_rescued,tier_dev,tier_reason,actionable_rank,target_weight_pct,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_tier1_count,de_beta_xbi_60d,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,returns_source,catalyst_source,catalyst_event_type,cat_priority,alpha_cohort_pct,clinical_score_z,clinical_score_z_tier,coinvest_score_z,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,missingness_penalty,missing_components,commercial_quality_pct,clinical_score_v2,competitive_intensity_z,sizing_multiplier_clinical,clinical_score_v2_z,de_vol_60d
NVAX,19,51.27,0.988994,2.2902,51.33,0.941824,1.5703,late,small,none,commercial_biotech,55.67,51.854,34.61984790257884171610200686,81.86,77.000,74.60674157303370786516853933,0.8929077735849056603773584906,,,v1.3.0,96f655ee,1,,1,1,selling,18,1,specific_days,near,adequate,tailwind,deep_drawdown_rel_xbi|overbought_rsi,L,momentum_tailwind,0.85,<=1000bps,1,504.92,1.0,0,1.0,0,0,,,129,0.62,18,True,specific_days,0.0787,1,,-0.3487,,73.6,0.0,-0.3487,morningstar,CTGOV_CALENDAR,DATA_READOUT,2,0.988994,1.29339,1.29339,0,0,0,0,0,0,,,77.000,0,1.0,0,
VRTX,14,52.83,0.904088,1.3052,52.85,0.957547,1.7229,late,large,none,commercial_biotech,36.24,54.920,52.92623626502334138541839232,33.69,77.000,47.79301935680536503581771072,0.9,,,v1.3.0,96f655ee,1,,3,3,buying,1,1,specific_days,near,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,128.54,1.0,0,1.0,0,0,,,130,0.44,1,True,specific_days,-0.1810,3,0.4574,-0.086,,61.3421,0.0,-0.086,morningstar,,,9,0.904088,1.29339,1.29339,0,0,0,0,0,0,,,77.000,0,1.0,0,
RYTM,15,52.79,0.93239,1.4938,52.79,0.954403,1.6891,late,mid,none,commercial_biotech,34.44,51.902,85,41.86,75.93750000000000000000000000,38.82160298764722780810112037,0.9,,,v1.3.0,96f655ee,1,,9,9,buying,10,1,specific_days,near,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,352.49,1.0,0,1.0,0,0,,,131,0.44,10,True,specific_days,-0.2047,9,0.8990,-0.1456,,19.9199,0.0,-0.1456,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.93239,1.245064,1.245064,0,0,0,0,0,0,,,75.93750000000000000000000000,0,1.0,0,
VNDA,24,49.55,0.891509,1.2346,49.58,0.922956,1.4252,late,small,none,commercial_biotech,70.96,50.984,38.92307440723669872122635616,82.69,75.15625000000000000000000000,55.52808988764044943820224719,0.8572059539978094194961664841,,,v1.3.0,96f655ee,1,,1,1,neutral,13,1,specific_days,near,adequate,tailwind,,L,momentum_tailwind,0.85,<=1000bps,1,882.2,1.0,0,1.0,0,0,,,132,0.62,13,True,specific_days,0.2758,1,,-0.100907,,,0.0,-0.100907,morningstar,,,9,0.891509,1.20953,1.20953,0,0,0,0,0,0,,,75.15625000000000000000000000,0,1.0,0,
ARDX,78,40.81,0.731132,0.6162,40.86,0.746855,0.6646,late,small,none,commercial_biotech,77.91,52.904,44.57789927713081916003676733,53.41,77.000,36.46130539073349324580229770,0.8726044444444444444444444444,,,v1.3.0,96f655ee,1,,1,1,buying,10,1,specific_days,near,adequate,tailwind,,L,momentum_tailwind,0.85,<=1000bps,1,565.74,1.0,0,1.0,0,0,,,133,0.62,10,True,specific_days,0.3754,1,,0.0,,,0.0,0.0,morningstar,CTGOV_CALENDAR,DATA_READOUT,2,0.731132,1.29339,1.29339,0,0,0,0,0,0,,,77.000,0,1.0,0,
OPK,8,54.53,0.970126,1.8826,54.53,0.976415,1.9848,late,small,none,platform_diagnostics,35.39,40.13235600000000000000000000,,69.47,71.56250000000000000000000000,64.69662921348314606741573034,0.9,,,v1.3.0,96f655ee,1,,0,0,neutral,192,0,specific_days,far,adequate,headwind,deep_drawdown_rel_xbi,S,catalyst_far_lift|momentum_headwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1543.84,1.0,0,1.0,0,0,,,134,0.15,192,False,specific_days,-0.1923,0,,-0.28866,,,0.0,-0.28866,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.970126,1.291717,1.125541,0,0,0,0,0,0,,,71.56250000000000000000000000,0,1.0,0,
NTRA,42,46.01,0.772013,0.7455,46.04,0.866352,1.1093,late,large,none,platform_diagnostics,61.44,50.990,53.40843242395568422564818973,19.18,73.75000000000000000000000000,35.19128181679622008840115837,0.9,,,v1.3.0,96f655ee,1,,5,5,selling,10,1,specific_days,near,adequate,tailwind,deep_drawdown_rel_xbi,L,sponsor_confirmed|momentum_tailwind,1.0,<=400bps,0,186.4,1.0,0,1.0,0,0,,,135,0.73,10,True,specific_days,0.1505,5,,-0.3449,,58.1,0.0,-0.3449,morningstar,CTGOV_CALENDAR,DATA_READOUT,2,0.772013,1.380424,1.21659,0,0,0,0,0,0,,,73.75000000000000000000000000,0,1.0,0,
GH,25,48.81,0.916667,1.383,48.81,0.916667,1.383,late,large,none,platform_diagnostics,90.53,56.720,85,10.00,71.25000000000000000000000000,57.77777777777777777777777778,0.8975041198501872659176029963,,,v1.3.0,96f655ee,1,,3,3,buying,4,1,specific_days,near,adequate,tailwind,,L,sponsor_confirmed|momentum_tailwind,1.0,<=400bps,0,202.99,1.0,0,1.0,0,0,,,136,0.73,4,True,specific_days,0.6530,3,,0.0,,,0.0,0.0,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,3,0.916667,1.279045,1.112534,0,0,0,0,0,0,,,71.25000000000000000000000000,0,1.0,0,
MNKD,49,45.54,0.759434,0.7045,45.54,0.83805,0.9865,late,small,none,commercial_biotech,46.24,51.962,,45.23,75.15625000000000000000000000,35.23643198810475669458121169,0.9,,,v1.3.0,96f655ee,1,,0,0,neutral,70,0,specific_days,near,adequate,headwind,,S,momentum_headwind,0.85,<=1000bps,1,670.87,1.0,0,1.0,0,0,,,137,0.19,70,False,specific_days,-0.0522,0,,-0.074554,,,0.0,-0.074554,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.759434,1.20953,1.20953,0,0,0,0,0,0,,,75.15625000000000000000000000,0,1.0,0,
EBS,1,58.47,0.998428,2.9532,58.47,0.998428,2.9532,late,small,none,commercial_pharma,62.16,40.48138844444444444444444444,43.06984790257884171610200686,41.05,77.000,71.91011235955056179775280899,0.8950142260183968462549277267,,,v1.3.0,96f655ee,1,,1,1,buying,161,0,specific_days,mid,adequate,tailwind,,L,momentum_tailwind,0.85,<=1000bps,1,985.34,1.0,0,1.0,0,0,,,138,0.62,161,False,specific_days,0.1600,1,,-0.172662,,,0.0,-0.172662,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.998428,0.992014,0.992014,0,0,0,0,0,0,,,77.000,0,1.0,0,
