ticker,company_name,actionable_rank,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,clinical_alpha_z,clinical_score_z,clinical_score_z_tier,commercial_quality_pct,catalyst_days,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,decision_engine_version,decision_engine_ruleset_id,alpha_cohort_key,alpha_cohort_raw,missing_components,archetype,composite_rank,composite_score
CAI,"Caris Life Sciences, Inc.",,D,ineligible,,,D,0.537618,,0.8635,0.927,1.4899,0.231132,11,specific_days,3,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,aa0aaf28,late|near_0_30|pos,0.09254273684210526,,commercial_biotech,172,0.09254273684210526
DNA,"Ginkgo Bioworks Holdings, Inc.",,D,ineligible,,,D,0.543887,,0.8551,0.8,1.3522,0.910377,11,specific_days,2,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,aa0aaf28,late|near_0_30|pos,0.09254273684210526,,commercial_biotech,174,0.09254273684210526
SNDX,"Syndax Pharmaceuticals, Inc.",,D,ineligible,,,D,0.587774,,0.5325,-0.434,0.015,0.476415,12,specific_days,3,neutral,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,aa0aaf28,late|near_0_30|pos,0.09254273684210526,,commercial_biotech,188,0.09254273684210526
PRLD,Prelude Therapeutics Incorporated,,D,ineligible,D,ineligible,,0.615987,0.095628,-0.0276,1.4168,1.3878,,,no_upcoming,9,tailwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,aa0aaf28,mid|none|pos,0.08701244092219021,,drug_developer,197,0.08701244092219021
ROIV,Roivant Sciences Ltd.,,D,ineligible,D,ineligible,,0.619122,0.412568,-0.0848,0.4024,0.3357,,,no_upcoming,9,tailwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,aa0aaf28,mid|none|pos,0.08701244092219021,,drug_developer,198,0.08701244092219021
ABCL,AbCellera Biologics Inc.,,D,ineligible,D,ineligible,,0.625392,0.581967,-0.8617,-0.342,-0.4364,,256,specific_days,3,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,aa0aaf28,late|near_181_270|nonpos,0.08571638372093023,,drug_developer,200,0.08571638372093023
OCGN,"Ocugen, Inc.",,D,ineligible,D,ineligible,,0.697492,0.778689,0.4913,-1.0098,-1.1291,,100,specific_days,3,neutral,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,aa0aaf28,late|near_91_180|nonpos,0.0743638577586207,,drug_developer,223,0.0743638577586207
RGNX,REGENXBIO Inc.,,D,ineligible,,,D,0.706897,,0.5011,-1.3078,-0.9318,0.825472,103,specific_days,3,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,aa0aaf28,late|near_91_180|nonpos,0.0743638577586207,,commercial_biotech,226,0.0743638577586207
ADPT,Adaptive Biotechnologies Corpor,,D,ineligible,,,D,0.713166,,-2.4721,-1.4585,-1.0951,0.183962,,no_upcoming,9,headwind,,XS,ineligible,v1.3.0,aa0aaf28,early|none|nonpos,0.06969944897959185,,commercial_biotech,228,0.06969944897959185
AVTR,"Avantor, Inc.",,,,,,,0.716301,,-2.4721,,,,,no_upcoming,9,headwind,deep_drawdown_rel_xbi|overbought_rsi,XS,ineligible,v1.3.0,aa0aaf28,early|none|nonpos,0.06969944897959185,,platform_devices,229,0.06969944897959185
