ticker,company_name,actionable_rank,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,clinical_alpha_z,clinical_score_z,clinical_score_z_tier,commercial_quality_pct,catalyst_days,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,decision_engine_version,decision_engine_ruleset_id,alpha_cohort_key,alpha_cohort_raw,missing_components,archetype,composite_rank,composite_score
IRON,"Disc Medicine, Inc.",1,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.164577,0.603825,0.518,-0.4096,1.5069,,71,specific_days,3,headwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,v1.3.0,8f99d47e,late|near_31_90|pos,0.1,,drug_developer,53,0.1
NMRA,"Neumora Therapeutics, Inc.",2,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.5721,0.625683,0.5161,-0.4985,1.2809,,10,specific_days,3,tailwind,overbought_rsi,M,tier_a_dev|momentum_tailwind|runway_short|cost_haircut_<=2000bps,v1.3.0,8f99d47e,late|near_0_30|pos,0.09254273684210526,,drug_developer,183,0.09254273684210526
PVLA,"Palvella Therapeutics, Inc.",3,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.57837,0.631148,0.5159,-0.5314,1.1971,,10,specific_days,3,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,v1.3.0,8f99d47e,late|near_0_30|pos,0.09254273684210526,,drug_developer,185,0.09254273684210526
RNA,"Avidity Biosciences, Inc.",4,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.246082,0.620219,0.5162,-0.4764,1.337,,163,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,v1.3.0,8f99d47e,late|near_91_180|pos,0.1,,drug_developer,79,0.1
ALMS,Alumis Inc.,5,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.020376,0.60929,0.517,-0.4431,1.4217,,132,specific_days,3,tailwind,high_vol|high_beta|overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,v1.3.0,8f99d47e,late|near_91_180|pos,0.1,,drug_developer,7,0.1
PRAX,"Praxis Precision Medicines, Inc",6,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.230408,0.647541,0.5151,-0.5641,1.1138,,102,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,v1.3.0,8f99d47e,late|near_91_180|pos,0.1,,drug_developer,74,0.1
ZBIO,"Zenas BioPharma, Inc.",7,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.308777,0.653005,0.5107,-0.5858,1.0586,,102,specific_days,3,neutral,high_vol|deep_drawdown|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|high_risk,v1.3.0,8f99d47e,late|near_91_180|pos,0.1,,drug_developer,99,0.1
SYRE,"Spyre Therapeutics, Inc.",8,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.280564,0.614754,-0.1054,-0.4602,1.3781,,43,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,v1.3.0,8f99d47e,mid|near_31_90|pos,0.1,,drug_developer,90,0.1
IMVT,"Immunovant, Inc.",9,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.556426,0.691257,0.506,-0.714,0.7325,,10,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,v1.3.0,8f99d47e,late|near_0_30|pos,0.09254273684210526,,drug_developer,178,0.09254273684210526
PHVS,Pharvaris N.V.,10,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.227273,0.674863,0.508,-0.6717,0.8403,,41,specific_days,3,neutral,,L,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,v1.3.0,8f99d47e,late|near_31_90|pos,0.1,,drug_developer,73,0.1
