Rank,Ticker,Composite_Score,Clinical_Score,Financial_Score,Momentum_Score,Momentum_Pct,Momentum_Bucket,Stage_Bucket,Cash,Runway_Months
171,NUVB,28.75,30.0,20,40,86.8,STRONG_POSITIVE,mid,661014000,76.12518354302824
172,OMER,28.75,10.0,40,40,8.0,POSITIVE,commercial,11009000,4.512347576595963
173,PTGX,28.75,20.0,30,40,9.8,POSITIVE,late,235276000,22.487371665697605
174,RVMD,28.75,30.0,20,40,31.7,STRONG_POSITIVE,mid,592028000,37.97262294819099
175,VCEL,28.75,10.0,40,40,22.2,STRONG_POSITIVE,commercial,68330000,109.75237585329943
176,OPCH,29.06,27.5,30,30,-5.8,NEGATIVE,late,294186000,5.995995006496649
177,BRKR,29.22,31.25,20,40,23.6,STRONG_POSITIVE,preclinical,803400000,12.10699485118674
178,OBIO,29.22,31.25,40,10,-32.2,NEGATIVE,preclinical,83699000,29.88538443227803
179,CRVS,29.38,25.0,40,20,-26.4,NEGATIVE,late,13159000,3.6518119377442706
180,IVVD,29.38,25.0,40,20,-28.0,NEGATIVE,late,92076000,4.578674523552008
181,KYTX,29.38,35.0,30,20,-24.3,NEGATIVE,early,0,0
182,LXEO,29.38,35.0,30,20,-24.3,NEGATIVE,early,135860000,27.50341616478567
183,AARD,30.00,30.0,30,30,0.0,NEUTRAL,mid,0,0
184,ACLX,30.00,30.0,30,30,6.1,POSITIVE,mid,254835000,16.207527069785193
185,ALMS,30.00,30.0,30,30,0.0,NEUTRAL,mid,0,0
186,BIOA,30.00,30.0,30,30,0.0,NEUTRAL,mid,0,0
187,CAI,30.00,30.0,30,30,0.0,NEUTRAL,mid,0,0
188,CTNM,30.00,30.0,30,30,0.0,NEUTRAL,mid,0,0
189,IDYA,30.00,30.0,30,30,3.6,NEUTRAL,mid,388243000,93.62397009766488
190,INBX,30.00,30.0,30,30,0.0,NEUTRAL,mid,0,0
191,MENS,30.00,30.0,30,30,0.0,NEUTRAL,unknown,0,0
192,NBP,30.00,30.0,30,30,-2.7,NEUTRAL,unknown,465987000,15.382239509691193
193,PBYI,30.00,20.0,40,30,-3.1,NEUTRAL,late,81074000,33.40273295337499
194,RAPP,30.00,30.0,30,30,0.0,NEUTRAL,unknown,0,0
195,SEPN,30.00,30.0,30,30,0.0,NEUTRAL,unknown,0,0
196,SION,30.00,30.0,30,30,0.0,NEUTRAL,unknown,0,0
197,SNDX,30.00,30.0,30,30,-2.9,NEUTRAL,mid,221965000,23.469939817955925
198,STVN,30.00,30.0,30,30,4.3,NEUTRAL,unknown,0,0
199,TECH,30.00,30.0,30,30,-6.5,NEGATIVE,unknown,304839000,15.321879136160302
200,UPB,30.00,30.0,30,30,0.0,NEUTRAL,mid,0,0
201,URGN,30.00,20.0,40,30,2.9,NEUTRAL,late,55408000,6.056456828470711
202,COGT,30.62,25.0,30,40,37.9,STRONG_POSITIVE,late,152577000,25.333444024739528
203,COLL,30.62,25.0,30,40,10.4,POSITIVE,commercial,258027000,23.282557203979277
204,LYEL,30.62,35.0,20,40,42.7,STRONG_POSITIVE,early,810426000,38.86640103269536
205,NGNE,30.62,25.0,30,40,22.9,STRONG_POSITIVE,late,138074000,30.02206961532189
206,SANA,30.62,35.0,20,40,40.9,STRONG_POSITIVE,early,500227000,16.86499516756198
207,VERA,30.62,25.0,30,40,185.5,STRONG_POSITIVE,late,114653000,15.449110671936758
208,BCAX,30.94,32.5,30,30,0.0,NEUTRAL,early,0,0
209,GRAL,30.94,32.5,30,30,0.0,NEUTRAL,preclinical,0,0
210,IMMP,30.94,32.5,30,30,2.0,NEUTRAL,early,0,0
211,MAZE,30.94,32.5,30,30,0.0,NEUTRAL,early,0,0
212,MBX,30.94,32.5,30,30,0.0,NEUTRAL,early,0,0
213,ETON,31.25,30.0,40,20,-16.4,NEGATIVE,unknown,16305000,100.08184143222508
214,LFCR,31.25,30.0,40,20,-10.4,NEGATIVE,unknown,1984000,1.9184528605962934
215,SGMT,31.25,30.0,40,20,-24.2,NEGATIVE,mid,32345000,12.7263188957015
216,ZVRA,31.25,30.0,40,20,-17.5,NEGATIVE,mid,65466000,29.343792021515014
217,FLGT,31.72,31.25,40,20,-21.5,NEGATIVE,preclinical,99500000,11.810322657223685
218,TRDA,31.72,31.25,40,20,-13.3,NEGATIVE,preclinical,45157000,5.727192018263295
219,CLLS,31.88,35.0,30,30,-2.9,NEUTRAL,early,0,0
220,DAWN,31.88,25.0,40,30,-1.1,NEUTRAL,late,85262000,25.25844915693584
221,FULC,31.88,25.0,40,30,0.1,NEUTRAL,late,35098000,3.8333682227339336
222,ADMA,32.50,20.0,40,40,22.1,STRONG_POSITIVE,commercial,86522000,14.491179097811525
223,APGE,32.50,30.0,30,40,69.0,STRONG_POSITIVE,mid,429033000,129.40545431695364
224,ARQT,32.50,20.0,40,40,193.9,STRONG_POSITIVE,late,53641000,3.11932776367055
225,ATAI,32.50,30.0,30,40,23.7,STRONG_POSITIVE,unknown,190613000,15.010375036913082
226,AVTR,32.50,30.0,30,40,14.3,POSITIVE,unknown,372900000,0
227,CADL,32.50,20.0,40,40,437.1,STRONG_POSITIVE,late,70058000,44.73214855805044
228,CTMX,32.50,30.0,30,40,29.1,STRONG_POSITIVE,mid,390212000,47.14745713221301
229,ENTA,32.50,30.0,30,40,46.1,STRONG_POSITIVE,mid,208867000,86.46946801904369
230,FDMT,32.50,30.0,30,40,42.9,STRONG_POSITIVE,mid,213554000,23.839916646510503
231,GHRS,32.50,30.0,30,40,91.3,STRONG_POSITIVE,mid,0,0
232,KROS,32.50,30.0,30,40,10.2,POSITIVE,mid,230042000,46.992101320985974
233,KURA,32.50,30.0,30,40,28.4,STRONG_POSITIVE,mid,133514000,12.280348903162508
234,LENZ,32.50,20.0,40,40,136.3,STRONG_POSITIVE,late,47730000,5.66797292483078
235,PEPG,32.50,30.0,30,40,96.1,STRONG_POSITIVE,mid,181752000,31.561472563093307
236,PRAX,32.50,20.0,40,40,34.0,STRONG_POSITIVE,late,61615000,10.75978287759943
237,RNA,32.50,30.0,30,40,121.6,STRONG_POSITIVE,mid,425491000,43.26697116321637
238,SLN,32.50,30.0,30,40,24.2,STRONG_POSITIVE,mid,0,0
239,SPRY,32.50,30.0,30,40,51.9,STRONG_POSITIVE,mid,210518000,72.83939795859523
240,STOK,32.50,30.0,30,40,155.9,STRONG_POSITIVE,mid,113556000,13.48285790614147
241,SVRA,32.50,20.0,40,40,19.0,POSITIVE,late,52100000,16.38794233289646
242,TRVI,32.50,30.0,30,40,114.7,STRONG_POSITIVE,mid,120510000,49.60620197585071
243,VTYX,32.50,30.0,30,40,115.0,STRONG_POSITIVE,mid,317941000,35.18798074262631
244,CABA,33.12,35.0,40,20,-20.4,NEGATIVE,early,81607000,18.48577630957999
245,GPCR,33.12,35.0,40,20,-12.3,NEGATIVE,early,26091000,6.100660548313556
246,BCYC,33.44,32.5,30,40,22.8,STRONG_POSITIVE,early,438680000,78.7823822565438
247,DSGN,33.44,32.5,30,40,56.4,STRONG_POSITIVE,early,330387000,62.624691982055985
248,ANAB,33.75,30.0,40,30,2.0,NEUTRAL,mid,71308000,14.80545366461347
249,EPRX,33.75,30.0,40,30,0.0,NEUTRAL,mid,18263389,11.853167416176928
250,TECX,33.75,30.0,40,30,-5.2,NEGATIVE,unknown,92563000,10.489715742751912
251,AQST,34.38,25.0,40,40,47.3,STRONG_POSITIVE,late,27273000,6.014997243153832
252,CCCC,34.38,35.0,30,40,8.2,POSITIVE,early,262909000,24.614066705675835
253,CGEM,34.38,35.0,30,40,59.1,STRONG_POSITIVE,early,156152000,14.180918289351204
254,CRMD,34.38,25.0,40,40,73.8,STRONG_POSITIVE,late,43148323,17.432665094478583
255,DYN,34.38,35.0,30,40,54.5,STRONG_POSITIVE,early,172147000,12.28897256973569
256,EOLS,34.38,25.0,40,40,15.9,POSITIVE,late,53922000,8.695694242864054
257,ERAS,34.38,35.0,30,40,14.7,POSITIVE,early,435620000,21.529375424723543
258,HROW,34.38,25.0,40,40,29.9,STRONG_POSITIVE,commercial,96270000,82.01334658526196
259,LQDA,34.38,25.0,40,40,12.7,POSITIVE,late,93283000,27.292356454955502
260,MLYS,34.38,25.0,40,40,49.9,STRONG_POSITIVE,late,87701000,35.317024061210105
