ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,corr_xbi,beta_xbi,vol_blended,vol_63d,vol_252d,max_drawdown_blended,max_drawdown_252d,max_drawdown_2y,risk_data_state_vol,risk_data_state_drawdown,risk_data_state_beta,confidence_risk,defensive_multiplier,defensive_bucket,defensive_notes,rank_driver,fundamental_red_flag,fundamental_red_flag_reasons,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
HRMY,1,84.57,1.6891,0.1351,0.315956,-0.090965,2,0.1710,0.112081,0.376776,0.314153,0.418525,-0.351124,-0.344967,-0.375753,FULL,FULL,FULL,0.90,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,late,mid,True,43.58,60,-0.0892,63.70,49.65,16.87,65.71,4,Great Point Partners,66.00,MEDIUM,HIGH,90.00,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,80.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.84
OPK,2,82.42,1.5183,0.1215,0.351986,-0.078571,2,0.2563,0.033067,0.375205,0.346698,0.394211,-0.386598,-0.386598,-0.386598,FULL,FULL,FULL,0.90,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,late,small,True,30.10,60,-0.2618,50.00,50.00,0,50.00,0,,57.00,LOW,LOW,85.65,ev_revenue,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.95
ACAD,3,81.20,1.3431,0.1074,0.319015,-0.078403,2,-0.069309,0.163799,0.394778,0.313938,0.448670,-0.341665,-0.305076,-0.488017,FULL,FULL,FULL,0.90,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,late,mid,True,39.21,60,-0.1499,68.50,58.38,34.75,80.00,5,Baker Bros Advisors; Palo Alto Investors; RTW Investments; Sofinnova Investments; Tang Capital Partners,61.00,LOW,LOW,56.49,ev_cfo,0.8000,31.39,strong,Takeda,75.8,BTD; FT; ODD,100.0,highly_crowded,83.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.84
INCY,4,80.25,1.3052,0.1044,0.370019,-0.086506,2,-0.110916,-0.192823,0.356610,0.367743,0.349189,-0.281219,-0.266941,-0.338331,FULL,FULL,FULL,0.90,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,late,large,True,39.30,60,-0.1486,91.47,94.03,100.00,71.00,2,Baker Bros Advisors; Casdin Capital,61.00,LOW,LOW,61.69,ev_cfo,0.8000,59.83,exceptional,Novartis; Eli Lilly,71.0,BTD; ODD,75.0,uncrowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.87
IONS,5,79.58,1.2179,0.0974,0.316439,-0.007936,2,-0.007603,0.147424,0.416216,0.318646,0.481263,-0.308475,-0.258215,-0.509517,FULL,FULL,FULL,0.90,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,late,large,True,59.09,60,0.1263,80.00,83.14,90.47,61.00,1,Baker Bros Advisors,79.00,LOW,MODERATE,15.28,ev_revenue,0.8000,72.35,exceptional,Biogen; Roche; AstraZeneca,64.0,FT; ODD,75.0,uncrowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.80
UTHR,6,74.90,0.9865,0.0789,0.198455,-0.093361,2,-0.089026,-0.040556,0.380492,0.268244,0.455325,-0.288869,-0.278586,-0.330000,FULL,FULL,FULL,0.90,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,late,large,True,46.87,60,-0.0435,80.00,75.80,66.01,80.00,4,Acuta Capital Partners; Krensavage Asset Management; Palo Alto Investors; Sofinnova Investments,68.00,LOW,LOW,72.08,ev_cfo,0.8000,50,unknown,,71.0,BTD; ODD,100.0,highly_crowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.90
VRTX,7,71.96,0.854,0.0683,0.281451,-0.011711,2,-0.110810,-0.145963,0.323780,0.276308,0.355428,-0.287377,-0.286554,-0.290668,FULL,FULL,FULL,0.90,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,late,large,True,44.77,60,-0.0726,65.00,75.50,100.00,80.00,7,Sectoral Asset Management; Sofinnova Investments; Tang Capital Partners,60.00,LOW,LOW,35.71,ev_cfo,0.8000,55.08,exceptional,CRISPR Therapeutics; Moderna,71.0,BTD; ODD,100.0,highly_crowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.95
INDV,8,71.54,0.8427,0.0674,0.284609,-0.056421,2,0.1532,-0.045146,0.458376,0.395299,0.500428,-0.395032,-0.324877,-0.675652,FULL,FULL,FULL,0.90,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,late,mid,True,48.56,60,-0.0200,50.00,50.00,0,50.00,0,,48.00,LOW,LOW,55.19,ev_cfo,0.8000,50,unknown,,50,,90.0,moderate,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.84
NVAX,9,69.20,2.9532,0.2363,0.664441,-0.052020,2,0.5142,-0.314845,0.707657,0.650819,0.745549,-0.491909,-0.429622,-0.741059,FULL,FULL,FULL,0.90,1.029000,neutral,def_mult_momentum_bonus_1.05; def_mult_rsi_overbought_0.98,alpha,False,,none,late,small,True,47.99,60,-0.0280,59.20,46.08,15.47,50.00,4,,76.00,HIGH,HIGH,90.00,ev_revenue,0.8000,56.75,exceptional,Sanofi,58,FT,100.0,highly_crowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.95
ALKS,10,66.77,2.4153,0.1932,0.359808,-0.012666,2,0.4767,0.573443,0.358695,0.361497,0.356827,-0.277994,-0.274167,-0.293305,FULL,FULL,FULL,0.90,1.0500,neutral,def_mult_momentum_bonus_1.05,alpha,False,,none,late,mid,True,44.83,60,-0.0719,50.00,50.00,0,80.00,7,Baker Bros Advisors; EcoR1 Capital; Krensavage Asset Management; Opaleye Management; Palo Alto Investors; RTW Investments; Rock Springs Capital Management,70.00,MEDIUM,MODERATE,77.27,ev_cfo,0.8000,50,unknown,,50,,90.0,moderate,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.84
CTNM,11,65.88,2.0447,0.1636,0.788204,0.000000,3,0.0801,0.461576,0.882078,0.774456,0.953827,-0.708946,-0.675263,-0.843678,FULL,FULL,FULL,0.90,1.0500,neutral,def_skip_not_elite_vol; def_mult_momentum_bonus_1.05,alpha,False,,none,mid,small,True,74.82,60,0.3278,83.36,63.28,16.41,80.00,4,Baker Bros Advisors; Casdin Capital; Perceptive Advisors; RA Capital Management,49.00,LOW,LOW,51.96,mcap_per_trial,0.8000,50,unknown,,50,,100.0,crowded,78.0,diversified,0.83500,0.95,0.95,0.45,0.50
EBS,12,64.77,2.5959,0.2077,0.711087,-0.160072,2,0.2778,-0.103795,0.904326,0.936594,0.882813,-0.639382,-0.621333,-0.711578,FULL,FULL,FULL,0.90,1.00,neutral,def_skip_not_elite_vol,alpha,False,,none,late,small,True,44.04,60,-0.0828,50.00,50.00,0,50.00,0,,71.00,MEDIUM,MODERATE,79.87,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.84
CHRS,13,64.30,2.1931,0.1754,0.973550,0.000000,2,0.2299,0.324592,0.911266,0.965686,0.874986,-0.525723,-0.465926,-0.764912,FULL,FULL,FULL,0.90,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,alpha,False,,none,late,micro,True,92.70,60,0.7180,98.67,80.93,39.54,50.00,0,,76.00,MEDIUM,HIGH,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,86.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.87
IRWD,14,63.16,2.2902,0.1832,1.214664,-0.046382,2,0.2723,0.627654,1.215577,1.199702,1.226160,-0.872621,-0.850000,-0.963107,FULL,FULL,FULL,0.90,0.99813000,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_mult_rsi_overbought_0.98,alpha,False,,none,late,small,True,96.55,60,2.1626,50.00,50.00,0,50.00,0,,48.00,LOW,LOW,51.30,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,80.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.92
VNDA,15,63.08,1.9312,0.1545,1.016939,-0.090703,2,0.2900,1.130933,0.760500,0.995513,0.603824,-0.268079,-0.235867,-0.396923,FULL,FULL,FULL,0.90,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,alpha,False,,none,late,small,True,83.80,60,0.4860,80.00,81.27,84.24,64.29,4,Krensavage Asset Management,75.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.84
TBPH,16,62.48,1.9848,0.1588,0.561647,-0.073771,2,0.3946,0.331535,0.491187,0.549282,0.452458,-0.202991,-0.190568,-0.252683,FULL,FULL,FULL,0.90,1.00,neutral,def_skip_vol_too_high,alpha,False,,none,late,small,True,57.18,60,0.0998,50.00,50.00,0,50.00,0,,75.00,LOW,MODERATE,90.00,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.90
ESPR,17,62.45,2.1131,0.169,0.775784,-0.161765,2,0.2681,1.314304,0.802536,0.782602,0.815825,-0.668413,-0.633166,-0.809399,FULL,FULL,FULL,0.90,1.00,neutral,def_skip_not_elite_vol,alpha,False,,none,late,small,True,56.56,60,0.0911,80.67,66.62,33.83,65.71,5,Logos Global Management,50.00,MEDIUM,MODERATE,56.02,ev_revenue,0.8000,50,unknown,,50,,100.0,highly_crowded,86.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.89
DNA,18,61.83,1.4938,0.1195,0.798679,-0.261740,2,0.4301,0.295379,0.902067,0.788761,0.977605,-0.710338,-0.659535,-0.913548,FULL,FULL,FULL,0.90,1.0500,neutral,def_mult_momentum_bonus_1.05,alpha,False,,none,late,small,True,20.81,60,-0.3971,80.00,86.00,100.00,64.29,5,Casdin Capital,68.00,LOW,MODERATE,90.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,88.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.87
GLUE,19,61.19,1.5979,0.1278,1.078905,-0.087317,1,0.3288,1.870435,0.977471,1.067987,0.917128,-0.509308,-0.475921,-0.642857,FULL,FULL,FULL,0.90,1.018500,neutral,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,alpha,False,,none,early,small,True,96.55,60,1.5895,80.00,60.54,15.14,71.00,2,Baker Bros Advisors; Casdin Capital,75.00,LOW,LOW,26.62,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,55.0,concentrated,0.80500,0.95,0.85,0.45,0.40
XNCR,20,61.18,1.8382,0.1471,0.569793,-0.305402,3,0.6238,-0.088175,0.646713,0.563914,0.701913,-0.657684,-0.637306,-0.739195,FULL,FULL,FULL,0.90,1.00,neutral,def_warn_drawdown_gt_30pct,alpha,False,,none,mid,small,True,42.98,60,-0.0975,98.67,80.93,39.54,80.00,6,Baker Bros Advisors; Deep Track Capital; EcoR1 Capital; RTW Investments,77.00,MEDIUM,HIGH,73.53,mcap_per_trial,0.8000,35.62,strong,Janssen,64.0,FT; ODD,100.0,highly_crowded,82.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.53
CGEM,21,60.99,1.5703,0.1256,1.011102,-0.064347,1,0.4931,0.993280,0.837149,1.014478,0.718930,-0.551929,-0.488889,-0.804089,FULL,FULL,FULL,0.90,1.018500,neutral,def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,alpha,False,,none,early,small,True,70.44,60,0.2689,92.13,90.33,86.13,61.00,1,RTW Investments,59.00,MEDIUM,MODERATE,51.79,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,74.0,diversified,0.87500,0.95,0.95,0.65,0.40
CATX,22,60.79,1.7588,0.1407,0.794713,-0.100695,1,0.2582,0.612442,0.883930,0.798647,0.940785,-0.652096,-0.588353,-0.907065,FULL,FULL,FULL,0.90,1.00,neutral,def_skip_not_elite_vol,alpha,False,,none,early,micro,True,24.39,60,-0.3393,55.00,42.78,14.27,50.00,0,,65.00,MEDIUM,MODERATE,62.50,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,64.0,focused,0.83500,0.95,0.95,0.45,0.40
BEAM,23,60.66,1.7229,0.1378,0.781715,-0.182293,1,0.6600,0.195544,0.781779,0.779621,0.783219,-0.594264,-0.573482,-0.677391,FULL,FULL,FULL,0.90,1.00,neutral,,alpha,False,,none,early,mid,True,54.46,60,0.0620,50.00,50.00,0,50.00,0,,80.00,MEDIUM,HIGH,19.64,mcap_per_trial,0.8000,61.81,exceptional,Pfizer; Eli Lilly,78.2,BTD; ODD; RMAT,100.0,highly_crowded,75.0,diversified,0.83000,0.95,0.95,0.45,0.50
AMGN,24,60.29,1.6572,0.1326,0.294375,-0.019824,2,0.4389,-0.161419,0.282593,0.287303,0.279453,-0.204523,-0.198803,-0.227406,FULL,FULL,FULL,0.90,1.00,neutral,,alpha,False,,none,late,large,True,44.43,60,-0.0773,80.00,86.00,100.00,61.43,5,Sectoral Asset Management,61.00,LOW,LOW,48.70,ev_cfo,0.8000,50,unknown,,75.8,BTD; FT; ODD,75.0,uncrowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.87
SABS,25,60.20,1.2869,0.103,0.633500,0.000000,3,0.279927,0.601436,0.618349,0.618349,,-0.700000,,,PARTIAL,NONE,NONE,0.35,1.0500,neutral,def_skip_not_elite_vol; def_mult_momentum_bonus_1.05,alpha,False,,none,mid,micro,True,67.05,60,0.2244,50.00,50.00,0,50.00,0,,44.00,LOW,LOW,77.45,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,80.0,diversified,0.83500,0.95,0.95,0.45,0.61
MBX,26,59.81,1.4252,0.114,0.941291,-0.179416,3,0.3023,-0.115888,1.094142,0.952717,1.188425,-0.530794,-0.530794,,FULL,PARTIAL,PARTIAL,0.65,1.018500,neutral,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,alpha,False,,none,mid,small,True,92.75,60,0.7197,50.00,50.00,0,80.00,6,Baker Bros Advisors; Cormorant Asset Management; EcoR1 Capital; Opaleye Management; Orbimed Advisors; Rock Springs Capital Management,75.00,LOW,LOW,18.63,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,75.0,diversified,0.83500,0.95,0.95,0.45,0.58
ALT,27,59.65,1.4038,0.1123,0.929798,-0.070113,2,0.3525,0.758880,1.002804,0.909664,1.064897,-0.600337,-0.561608,-0.755250,FULL,FULL,FULL,0.90,1.018500,neutral,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,alpha,False,,none,late,small,True,73.31,60,0.3068,50.00,50.00,0,50.00,2,,47.00,MEDIUM,LOW,80.96,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,82.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.92
ACRS,28,59.27,1.3628,0.109,1.319025,-0.145695,2,0.2760,1.556421,1.033771,1.297413,0.858011,-0.616754,-0.579767,-0.764706,FULL,FULL,FULL,0.90,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,alpha,False,,none,late,small,True,86.09,60,0.5373,50.00,50.00,0,80.00,6,Logos Global Management; Palo Alto Investors; Rock Springs Capital Management,49.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.94
REGN,29,59.16,0.9994,0.08,0.306374,-0.050500,2,0.3749,0.588184,0.399273,0.370405,0.418518,-0.399766,-0.350478,-0.596920,FULL,FULL,FULL,0.90,1.1000,good,def_mult_good_1.10,alpha,False,,none,late,large,True,47.79,60,-0.0308,80.00,86.00,100.00,80.00,9,Krensavage Asset Management; Rock Springs Capital Management; Sectoral Asset Management; Suvretta Capital Management; Tang Capital Partners,68.00,LOW,LOW,70.78,ev_cfo,0.8000,50,unknown,,71.0,BTD; ODD,100.0,highly_crowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.95
BIIB,30,58.67,1.4702,0.1176,0.305963,-0.079309,2,0.4030,0.003430,0.318400,0.300692,0.330205,-0.306657,-0.247694,-0.542509,FULL,FULL,FULL,0.90,1.00,neutral,,alpha,False,,none,late,large,True,44.69,60,-0.0737,80.00,86.00,100.00,80.00,10,Krensavage Asset Management; Logos Global Management; Palo Alto Investors; Sectoral Asset Management; Suvretta Capital Management; Tang Capital Partners,75.00,LOW,LOW,69.48,ev_cfo,0.8000,50,unknown,,75.8,BTD; FT; ODD,100.0,highly_crowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.84
AGIO,31,58.31,1.6268,0.1301,1.577572,-0.365355,2,0.3352,0.046455,1.131884,1.541875,0.858558,-0.534637,-0.508903,-0.637573,FULL,FULL,FULL,0.90,0.9700,penalty,def_skip_vol_too_high; def_mult_high_vol_0.97; def_warn_drawdown_gt_30pct,alpha,False,,none,late,small,True,19.37,60,-0.4229,80.00,76.18,67.27,80.00,6,Baker Bros Advisors; Palo Alto Investors; Rock Springs Capital Management,57.00,LOW,MODERATE,71.83,mcap_per_trial,0.8000,50,unknown,,75.8,BTD; FT; ODD,100.0,highly_crowded,83.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.87
ENTA,32,58.31,1.8826,0.1506,0.508093,-0.245697,3,0.2510,0.301735,0.782767,0.497815,0.972736,-0.549789,-0.498233,-0.756014,FULL,FULL,FULL,0.90,0.9500,penalty,def_skip_not_elite_vol; def_mult_momentum_penalty_0.95,alpha,False,,none,mid,small,True,54.63,60,0.0642,50.00,50.00,0,64.29,4,Krensavage Asset Management,61.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,82.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.61
NKTX,33,58.22,1.0948,0.0876,0.471871,0.000000,1,0.530537,0.872582,0.508705,0.508705,,-0.700000,,,PARTIAL,NONE,NONE,0.35,1.0500,neutral,def_mult_momentum_bonus_1.05,alpha,False,,none,early,micro,True,51.56,60,0.0217,50.00,50.00,0,61.00,1,RA Capital Management,86.00,LOW,MODERATE,69.64,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,66.0,focused,0.83000,0.95,0.95,0.45,0.40
ELVN,34,57.99,1.2346,0.0988,1.111992,-0.057710,1,0.2578,0.380535,0.907444,1.094628,0.782655,-0.393788,-0.368377,-0.495431,FULL,FULL,FULL,0.90,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,alpha,False,,none,early,small,True,63.04,60,0.1716,50.00,50.00,0,80.00,4,Baker Bros Advisors; Cormorant Asset Management; Orbimed Advisors; Rock Springs Capital Management,63.00,MEDIUM,MODERATE,16.07,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,50.0,focused,0.83500,0.95,0.95,0.45,0.40
UPB,35,57.53,1.3239,0.1059,0.672328,-0.048006,3,0.5630,0.178119,0.735706,0.676586,0.775119,-0.448182,-0.448182,,FULL,PARTIAL,PARTIAL,0.65,1.00,neutral,,alpha,False,,none,mid,small,True,64.73,60,0.1938,86.67,71.36,35.64,76.60,4,Great Point Partners; Samsara BioCapital,63.00,LOW,MODERATE,14.71,mcap_per_trial,0.8000,50,unknown,,50,,90.0,moderate,75.0,diversified,0.87500,0.95,0.95,0.65,0.56
ARDX,36,57.03,1.1697,0.0936,0.817204,-0.012516,2,0.1926,0.754455,0.731612,0.800836,0.685462,-0.523926,-0.489097,-0.663244,FULL,FULL,FULL,0.90,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,alpha,False,,none,late,small,True,60.56,60,0.1467,98.67,80.93,39.54,61.00,1,Rock Springs Capital Management,53.00,LOW,LOW,47.69,ev_revenue,0.8000,50,unknown,,50,,75.0,uncrowded,86.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.92
SRPT,37,56.91,1.4474,0.1158,1.109011,-0.122290,2,0.011538,0.268633,1.147247,1.085606,1.188341,-0.905250,-0.899765,-0.927190,FULL,FULL,FULL,0.90,0.9700,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97,alpha,False,,none,late,mid,True,31.35,60,-0.2454,50.00,41.61,22.02,58.00,1,Opaleye Management,75.00,MEDIUM,HIGH,90.00,ev_revenue,0.8000,48.75,exceptional,Roche,83.0,BTD; FT; ODD; RMAT,75.0,uncrowded,88.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.95
HRTX,38,56.69,1.2517,0.1001,0.511878,-0.095369,2,0.5107,-0.053798,0.631359,0.504281,0.716078,-0.612529,-0.584314,-0.725389,FULL,FULL,FULL,0.90,1.00,neutral,,alpha,False,,none,late,micro,True,38.44,60,-0.1520,50.00,50.00,0,61.00,1,Baker Bros Advisors,80.00,MEDIUM,HIGH,90.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.87
DNLI,39,56.04,0.8886,0.0711,0.633556,-0.037647,2,0.7116,0.544666,0.626286,0.629434,0.624188,-0.538381,-0.513777,-0.636795,FULL,FULL,FULL,0.90,1.081500,good,def_mult_momentum_bonus_1.05; def_mult_rsi_oversold_1.03,alpha,False,,none,late,mid,True,58.35,60,0.1160,80.00,74.95,63.15,69.00,2,Baker Bros Advisors; Palo Alto Investors,67.00,LOW,MODERATE,47.97,mcap_per_trial,0.8000,45.82,exceptional,Biogen,50,,75.0,uncrowded,83.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.80
NVCR,40,55.84,1.139,0.0911,0.540130,-0.122394,2,0.5639,1.083102,0.570061,0.528591,0.597708,-0.593725,-0.573719,-0.673750,FULL,FULL,FULL,0.90,1.00,neutral,,alpha,False,,none,late,small,True,35.56,60,-0.1900,97.33,98.13,100.00,61.00,1,Palo Alto Investors,66.00,LOW,MODERATE,83.80,ev_revenue,0.8000,50,unknown,,50,,75.0,uncrowded,86.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.87
ANAB,41,55.72,1.124,0.0899,0.617299,-0.063642,3,0.3497,-0.070717,0.692069,0.602457,0.751811,-0.389851,-0.314024,-0.693156,FULL,FULL,FULL,0.90,1.00,neutral,def_skip_vol_too_high,alpha,False,,none,mid,small,True,72.89,60,0.3011,50.00,50.00,0,80.00,3,EcoR1 Capital; Palo Alto Investors; Sofinnova Investments,80.00,HIGH,HIGH,34.31,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,74.0,diversified,0.83500,0.95,0.95,0.45,0.58
ANRO,42,55.35,1.2691,0.1015,0.960504,-0.221557,2,0.3332,0.152232,1.071412,0.962116,1.144275,-0.660616,-0.596413,-0.917431,FULL,FULL,FULL,0.90,0.9700,penalty,def_skip_vol_too_high; def_mult_high_vol_0.97,alpha,False,,none,late,small,True,96.55,60,1.1037,98.67,85.47,54.68,71.00,2,Orbimed Advisors; Perceptive Advisors,72.00,LOW,LOW,76.90,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,68.0,diversified,0.87500,0.95,0.95,0.65,0.87
RARE,43,55.35,1.383,0.1106,1.264547,-0.330186,2,0.047340,0.566398,0.963513,1.234561,0.782814,-0.588953,-0.569244,-0.667790,FULL,FULL,FULL,0.90,0.94914500,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_penalty_0.95; def_mult_rsi_oversold_1.03; def_warn_drawdown_gt_30pct,alpha,False,,none,late,mid,True,21.11,60,-0.3918,86.72,66.04,17.79,80.00,5,Baker Bros Advisors; Palo Alto Investors; RTW Investments; Rock Springs Capital Management,60.00,LOW,LOW,53.24,ev_revenue,0.8000,33.82,strong,Alexion,78.2,BTD; ODD; RMAT,75.0,uncrowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.95
CDNA,44,54.80,1.0806,0.0864,0.690594,-0.021170,2,0.3985,-0.386113,0.731094,0.677139,0.767063,-0.560343,-0.535528,-0.659606,FULL,FULL,FULL,0.90,1.00,neutral,def_skip_vol_too_high,alpha,False,,none,late,small,True,64.72,60,0.1937,100.00,100.00,100.00,61.00,1,Palo Alto Investors,79.00,LOW,MODERATE,33.12,ev_cfo,0.8000,50,unknown,,50,,90.0,moderate,88.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.87
JAZZ,45,54.37,1.0666,0.0853,0.497717,-0.087175,2,0.072176,0.292708,0.432127,0.487844,0.394982,-0.321773,-0.321773,-0.321773,FULL,FULL,FULL,0.90,1.00,neutral,def_skip_not_elite_vol,alpha,False,,none,late,mid,True,49.94,60,-0.0009,65.90,61.49,51.21,80.00,4,Acuta Capital Partners; EcoR1 Capital; Krensavage Asset Management; Sofinnova Investments,57.00,LOW,LOW,74.68,ev_cfo,0.8000,50,unknown,,50,,90.0,moderate,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.87
EWTX,46,54.29,1.1542,0.0923,1.006414,-0.034587,3,0.5383,-0.357796,0.886571,1.014805,0.801082,-0.633401,-0.619714,-0.688149,FULL,FULL,FULL,0.90,0.9700,penalty,def_mult_high_vol_0.97,alpha,False,,none,mid,mid,True,83.28,60,0.4750,50.00,50.00,0,80.00,9,Baker Bros Advisors; Cormorant Asset Management; Deerfield Management; Opaleye Management; Orbimed Advisors; Perceptive Advisors; RA Capital Management; Sofinnova Investments; Tang Capital Partners,77.00,LOW,MODERATE,26.47,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,72.0,diversified,0.83500,0.95,0.95,0.45,0.53
SUPN,47,54.17,1.0528,0.0842,0.470932,-0.133509,2,0.1978,0.078409,0.426129,0.470964,0.396239,-0.247655,-0.242750,-0.267273,FULL,FULL,FULL,0.90,1.00,neutral,def_skip_not_elite_vol,alpha,False,,none,late,mid,True,32.11,60,-0.2354,50.00,50.00,0,50.00,0,,77.00,LOW,MODERATE,12.99,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.84
ASMB,48,53.82,1.1854,0.0948,0.601052,-0.285195,3,0.297676,1.004041,0.592665,0.592665,,-0.700000,,,PARTIAL,NONE,NONE,0.35,0.9500,penalty,def_skip_not_elite_vol; def_mult_momentum_penalty_0.95,alpha,False,,none,mid,small,True,32.26,60,-0.2334,98.67,80.93,39.54,50.00,0,,63.00,LOW,MODERATE,83.33,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,79.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.61
