ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,corr_xbi,beta_xbi,vol_blended,vol_63d,vol_252d,max_drawdown_blended,max_drawdown_252d,max_drawdown_2y,risk_data_state_vol,risk_data_state_drawdown,risk_data_state_beta,confidence_risk,defensive_multiplier,defensive_bucket,defensive_notes,rank_driver,fundamental_red_flag,fundamental_red_flag_reasons,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
TKNO,285,14.13,-1.124,-0.0899,0.599592,-0.417143,1,0.3375,-0.189946,0.667845,0.594744,0.716579,-0.686475,-0.686475,-0.686475,FULL,FULL,FULL,0.90,0.874000,penalty,def_skip_vol_too_high; def_mult_momentum_penalty_0.95; def_mult_drawdown_penalty_0.92,suppressed,True,single_asset_early_stage,sev1,early,micro,True,13.07,60,-0.5576,50.00,50.00,0,50.00,0,,75.00,LOW,MODERATE,50,neutral,0.2,50,unknown,,50,,50,unknown,35,single_asset,0.68500,0.95,0.65,0.45,0.30
LRMR,286,13.95,-1.383,-0.1106,0.765904,-0.100000,3,0.2885,0.814914,0.916455,0.757863,1.022182,-0.629663,-0.569270,-0.871235,FULL,FULL,FULL,0.90,1.00,neutral,def_skip_not_elite_vol,alpha,False,,sev2,mid,small,True,29.45,60,-0.2704,50.00,50.00,0,80.00,4,Deerfield Management; Opaleye Management; RA Capital Management; RTW Investments,68.00,MEDIUM,MODERATE,67.65,mcap_per_trial,0.8000,50,unknown,,50,,90.0,crowded,72.0,diversified,0.83500,0.95,0.95,0.45,0.53
CNTA,287,13.77,-1.3052,-0.1044,0.548490,-0.152290,2,0.1797,0.464976,0.572978,0.544206,0.592159,-0.437204,-0.437204,-0.437204,FULL,FULL,FULL,0.90,1.00,neutral,def_skip_not_elite_vol,alpha,False,,sev1,late,mid,True,45.85,60,-0.0577,55.00,42.78,14.27,80.00,5,Cormorant Asset Management; EcoR1 Capital; Perceptive Advisors; RTW Investments; Rock Springs Capital Management,55.00,LOW,LOW,36.29,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.80
COGT,288,13.64,-1.2869,-0.103,1.683314,-0.083116,2,0.2140,0.099845,1.278503,1.643109,1.035432,-0.601715,-0.583851,-0.673171,FULL,FULL,FULL,0.90,0.9700,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97,alpha,False,,none,late,mid,True,96.55,60,1.2828,50.00,50.00,0,80.00,4,Acuta Capital Partners; RTW Investments; Rock Springs Capital Management; Sofinnova Investments,63.00,LOW,MODERATE,21.57,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,79.0,diversified,0.83500,0.95,0.95,0.45,0.70
EDIT,289,13.59,-1.3239,-0.1059,0.701220,-0.331169,1,0.5795,0.161102,1.017395,0.688693,1.236530,-0.737294,-0.693750,-0.911472,FULL,FULL,FULL,0.90,1.0,neutral,def_mult_rsi_oversold_1.03; def_warn_drawdown_gt_30pct; def_boost_gated_below_51_in_1,alpha,False,,sev2,early,micro,True,19.55,60,-0.4197,50.00,50.00,0,50.00,0,,59.00,LOW,MODERATE,73.21,mcap_per_trial,0.8000,39.40,strong,Bristol-Myers Squibb,78.2,BTD; ODD; RMAT,100.0,highly_crowded,64.0,focused,0.83500,0.95,0.95,0.45,0.50
EOLS,290,13.43,-1.2346,-0.0988,0.585070,-0.337178,2,0.2337,0.159929,0.614935,0.574309,0.642019,-0.688500,-0.679521,-0.724414,FULL,FULL,FULL,0.90,0.9500,penalty,def_skip_not_elite_vol; def_mult_momentum_penalty_0.95; def_warn_drawdown_gt_30pct,suppressed,True,survivability_critical,sev2,late,small,True,17.49,60,-0.4594,80.00,66.09,33.64,70.00,5,Krensavage Asset Management; Tang Capital Partners,66.00,LOW,MODERATE,86.57,ev_revenue,0.8000,50,unknown,,50,,20.0,uncrowded,76.0,diversified,0.87500,0.95,0.95,0.65,0.90
ABOS,291,13.35,-1.3628,-0.109,0.961373,0.000000,3,0.275496,1.439234,0.941480,0.941480,,-0.700000,,,PARTIAL,NONE,NONE,0.35,1.0,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_3,alpha,False,,sev2,mid,micro,True,67.16,60,0.2258,50.00,50.00,0,61.00,1,RA Capital Management,53.00,LOW,LOW,59.80,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,64.0,focused,0.80500,0.95,0.85,0.45,0.50
LQDA,292,12.93,-1.4038,-0.1123,0.622306,-0.015654,2,0.3221,-0.047785,0.632990,0.614459,0.645344,-0.396195,-0.378238,-0.468022,FULL,FULL,FULL,0.90,1.0,neutral,def_skip_vol_too_high; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_2,alpha,False,,sev1,late,mid,True,81.94,60,0.4480,50.00,50.00,0,69.00,2,Opaleye Management; Sofinnova Investments,71.00,MEDIUM,MODERATE,18.53,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,79.0,diversified,0.83500,0.95,0.95,0.45,0.73
ERAS,293,12.87,-1.4474,-0.1158,1.138719,-0.037619,2,0.3720,0.869380,1.018334,1.117283,0.952368,-0.489050,-0.442105,-0.676829,FULL,FULL,FULL,0.90,1.0,neutral,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_2,alpha,False,,none,late,mid,True,96.55,60,3.5946,86.72,66.04,17.79,50.00,0,,48.00,LOW,LOW,28.17,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,75.0,diversified,0.83500,0.95,0.95,0.45,0.70
SVRA,294,12.86,-1.4702,-0.1176,0.671921,-0.180115,2,0.3558,0.359505,0.692848,0.657349,0.716513,-0.474120,-0.429412,-0.652952,FULL,FULL,FULL,0.90,1.00,neutral,def_skip_vol_too_high,alpha,False,,sev1,late,small,True,70.12,60,0.2647,50.00,50.00,0,50.00,0,,65.00,LOW,MODERATE,60.15,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.70
