ticker,company_name,actionable_rank,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,clinical_alpha_z,clinical_score_z,clinical_score_z_tier,commercial_quality_pct,catalyst_days,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,decision_engine_version,decision_engine_ruleset_id,alpha_cohort_key,alpha_cohort_raw,missing_components,archetype,composite_rank,composite_score
KALV,"KalVista Pharmaceuticals, Inc.",1,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.196541,0.607143,0.5568,-0.3878,2.0379,,160,specific_days,3,neutral,,L,tier_a_dev|sponsor_confirmed,v1.3.0,6e0bf8fb,late|near_91_180|pos,0.1,,drug_developer,63,0.1
PVLA,"Palvella Therapeutics, Inc.",2,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.281447,0.645604,0.5502,-0.5296,1.6275,,39,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,v1.3.0,6e0bf8fb,late|near_31_90|pos,0.1,,drug_developer,90,0.1
PRAX,"Praxis Precision Medicines, Inc",3,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.275157,0.662088,0.5468,-0.5991,1.4263,,131,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,v1.3.0,6e0bf8fb,late|near_91_180|pos,0.1,,drug_developer,88,0.1
PHVS,Pharvaris N.V.,4,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.592767,0.711538,0.5404,-0.7577,0.9676,,11,specific_days,3,neutral,,L,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,v1.3.0,6e0bf8fb,late|near_0_30|pos,0.09254273684210526,,drug_developer,189,0.09254273684210526
IRON,"Disc Medicine, Inc.",5,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.183962,0.700549,0.5404,-0.7577,0.9676,,100,specific_days,3,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,v1.3.0,6e0bf8fb,late|near_91_180|pos,0.1,,drug_developer,59,0.1
RVMD,"Revolution Medicines, Inc.",6,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.300314,0.717033,0.5401,-0.802,0.8393,,99,specific_days,3,tailwind,overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,v1.3.0,6e0bf8fb,late|near_91_180|pos,0.1,,drug_developer,96,0.1
PRTA,Prothena Corporation plc,7,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.595912,0.75,0.5369,-0.8895,0.5862,,2,specific_days,3,headwind,deep_drawdown|deep_drawdown_rel_xbi,M,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,v1.3.0,6e0bf8fb,late|near_0_30|pos,0.09254273684210526,,drug_developer,190,0.09254273684210526
ALMS,Alumis Inc.,8,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.02673,0.728022,0.5395,-0.846,0.7121,,161,specific_days,3,tailwind,high_vol|high_beta|overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,v1.3.0,6e0bf8fb,late|near_91_180|pos,0.1,,drug_developer,9,0.1
CRVS,"Corvus Pharmaceuticals, Inc.",9,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.108491,0.744505,0.5542,-0.8873,0.5925,,99,specific_days,3,tailwind,high_beta|overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,v1.3.0,6e0bf8fb,late|near_91_180|pos,0.1,,drug_developer,35,0.1
ORKA,"Oruka Therapeutics, Inc.",10,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.800314,0.914835,-1.2012,-1.4548,-1.0497,,131,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,v1.3.0,6e0bf8fb,mid|near_91_180|nonpos,0.0646411489361702,,drug_developer,255,0.0646411489361702
