ticker,company_name,actionable_rank,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,clinical_alpha_z,clinical_score_z,clinical_score_z_tier,commercial_quality_pct,catalyst_days,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,decision_engine_version,decision_engine_ruleset_id,alpha_cohort_key,alpha_cohort_raw,missing_components,archetype,composite_rank,composite_score
NMRA,"Neumora Therapeutics, Inc.",1,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.575235,0.625683,0.5161,-0.4985,1.3734,,10,specific_days,3,tailwind,overbought_rsi,M,tier_a_dev|momentum_tailwind|runway_short|cost_haircut_<=2000bps,v1.3.0,aa0aaf28,late|near_0_30|pos,0.09254273684210526,,drug_developer,184,0.09254273684210526
PVLA,"Palvella Therapeutics, Inc.",2,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.581505,0.631148,0.5159,-0.5314,1.2864,,10,specific_days,3,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,v1.3.0,aa0aaf28,late|near_0_30|pos,0.09254273684210526,,drug_developer,186,0.09254273684210526
RNA,"Avidity Biosciences, Inc.",3,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.252351,0.620219,0.5162,-0.4764,1.4317,,163,specific_days,3,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|runway_short,v1.3.0,aa0aaf28,late|near_91_180|pos,0.1,,drug_developer,81,0.1
ALMS,Alumis Inc.,4,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.020376,0.60929,0.517,-0.4431,1.5196,,132,specific_days,3,tailwind,high_vol,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,v1.3.0,aa0aaf28,late|near_91_180|pos,0.1,,drug_developer,7,0.1
PRAX,"Praxis Precision Medicines, Inc",5,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.236677,0.647541,0.5151,-0.5641,1.2,,102,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,v1.3.0,aa0aaf28,late|near_91_180|pos,0.1,,drug_developer,76,0.1
ZBIO,"Zenas BioPharma, Inc.",6,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.311912,0.653005,0.5107,-0.5858,1.1427,,102,specific_days,3,headwind,high_vol|high_beta|deep_drawdown|deep_drawdown_rel_xbi,M,tier_a_dev|sponsor_confirmed|momentum_headwind|high_risk,v1.3.0,aa0aaf28,late|near_91_180|pos,0.1,,drug_developer,100,0.1
IMVT,"Immunovant, Inc.",7,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.559561,0.691257,0.506,-0.714,0.8042,,10,specific_days,3,neutral,,L,tier_a_dev|sponsor_confirmed,v1.3.0,aa0aaf28,late|near_0_30|pos,0.09254273684210526,,drug_developer,179,0.09254273684210526
SYRE,"Spyre Therapeutics, Inc.",8,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.286834,0.614754,-0.1054,-0.4602,1.4743,,43,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,v1.3.0,aa0aaf28,mid|near_31_90|pos,0.1,,drug_developer,92,0.1
PHVS,Pharvaris N.V.,9,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.233542,0.674863,0.508,-0.6717,0.916,,41,specific_days,3,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,v1.3.0,aa0aaf28,late|near_31_90|pos,0.1,,drug_developer,75,0.1
RVMD,"Revolution Medicines, Inc.",10,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.258621,0.685792,0.5078,-0.6929,0.86,,70,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,v1.3.0,aa0aaf28,late|near_31_90|pos,0.1,,drug_developer,83,0.1
KURA,"Kura Oncology, Inc.",11,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.183386,0.70765,0.5054,-0.756,0.6933,,163,specific_days,3,headwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,v1.3.0,aa0aaf28,late|near_91_180|pos,0.1,,drug_developer,59,0.1
VRDN,"Viridian Therapeutics, Inc.",12,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.603448,0.756831,0.4932,-0.9603,0.154,,10,specific_days,3,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|runway_short,v1.3.0,aa0aaf28,late|near_0_30|pos,0.09254273684210526,,drug_developer,193,0.09254273684210526
