ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
ZLAB,Zai Lab Limited,53,,C,low_opt,C,low_opt,,0.505666,,,0.28876,1,0.28876,395,1,specific_days,,headwind,deep_drawdown,L,catalyst_far_lift|sponsor_confirmed|momentum_headwind,,,v1.3.0,34839213,1,,late|far_271_540|pos,0.0961064745762712,,0.914706,0,1,1.119466,0.79653,3,6,selling,-0.0579,,4.5808,3.2486,2.91,46,fresh,0,0,0,0,True,False,True,far,0.3,adequate,,,1.0,0,0,1.0,0,1.0,0,395,,specific_days,-0.231597,price_history,,3,1.0387,price_history,,-0.474014,,61.653,-0.292675,-0.181339,late,mid,NONE,drug_developer,pit_bundle,CTGOV,CLINICAL_CD,,0,0.5,,,,,0.7905,,179,0.0961064745762712,0.505666,,,,
MESO,Mesoblast Limited,54,,C,low_opt,C,low_opt,,0.488669,,,0.184109,1,0.184109,305,1,specific_days,,tailwind,deep_drawdown,L,catalyst_far_lift|momentum_tailwind,,,v1.3.0,34839213,1,,late|far_271_540|pos,0.0961064745762712,,0.914706,0,1,1.119466,0.79653,,0,neutral,0.0,,0.0,0.0,0.0,,,0,0,0,0,False,False,True,far,0.3,adequate,,,1.0,0,0,1.0,0,1.0,0,305,,specific_days,0.271052,price_history,,,0.6474,price_history,,-0.431644,,69.0935,-0.292675,-0.138969,late,mid,NONE,drug_developer,pit_bundle,CTGOV,CLINICAL_PCD,sponsor,1,0.5,,,,,0.7905,,173,0.0961064745762712,0.488669,,,,
KRYS,"Krystal Biotech, Inc.",55,,C,low_opt,C,low_opt,,0.485836,,,0.168605,1,0.168605,822,1,specific_days,,tailwind,,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind,,,v1.3.0,34839213,1,,late|far_271_540|pos,0.0961064745762712,,0.914706,0,1,1.119466,0.79653,2,4,buying,-0.428,,4.1048,3.1715,4.76,46,fresh,0,0,0,0,True,False,True,far,0.3,adequate,,,1.0,0,0,1.0,0,1.0,0,822,,specific_days,0.176774,price_history,,2,0.7846,price_history,,-0.056553,,56.3609,-0.292675,0.236122,late,mid,NONE,drug_developer,pit_bundle,CTGOV,CLINICAL_CD,,0,0.5,,,,,0.7905,,172,0.0961064745762712,0.485836,,,,
TARS,"Tarsus Pharmaceuticals, Inc.",56,,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.40085,,,0.253876,1,0.253876,,0,no_upcoming,,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,,,v1.3.0,34839213,1,,late|none|pos,0.1,,0.914706,0,1,1.119466,0.79653,6,9,selling,1.0524,,9.7779,8.755,4.62,46,fresh,0,0,0,0,True,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,0.050076,price_history,,6,0.7358,price_history,,-0.374628,,46.1259,-0.292675,-0.081953,late,mid,NONE,drug_developer,pit_bundle,,,,0,0.5,,,,,0.7905,,142,0.1,0.40085,,,,
URGN,UroGen Pharma Ltd.,57,,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.426346,,,0.26938,1,0.26938,,0,no_upcoming,,tailwind,,L,sponsor_confirmed|momentum_tailwind|runway_short,,,v1.3.0,34839213,1,,late|none|pos,0.1,,0.914706,0,1,1.119466,0.79653,4,6,buying,0.3122,,5.2617,4.3346,1.72,46,fresh,0,0,0,0,True,False,False,missing,0.0,short,,,1.0,0,0,1.0,0,1.0,0,,,missing,0.16723,price_history,,4,0.298,price_history,,-0.289386,,42.623,-0.292675,0.003289,late,small,SEV2,drug_developer,pit_bundle,,,,0,0.5,,,,,0.7905,,151,0.1,0.426346,,,,
VNDA,Vanda Pharmaceuticals Inc.,58,,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.44051,,,0.281008,1,0.281008,,0,no_upcoming,,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind|runway_short,,,v1.3.0,34839213,1,,late|none|pos,0.1,,0.914706,0,1,1.119466,0.79653,2,5,buying,-0.428,,4.027,2.7254,2.37,46,fresh,0,0,0,0,True,False,False,missing,0.0,short,,,1.0,0,0,1.0,0,1.0,0,,,missing,0.065047,price_history,,2,0.5405,price_history,,-0.393215,,58.4244,-0.292675,-0.10054,late,small,SEV2,drug_developer,pit_bundle,,,,0,0.5,,,,,0.7905,,156,0.1,0.44051,,,,
VCEL,Vericel Corporation,59,,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.429178,,,0.273256,1,0.273256,,0,no_upcoming,,neutral,deep_drawdown,M,,,,v1.3.0,34839213,1,,late|none|pos,0.1,,0.914706,0,1,1.119466,0.79653,1,3,selling,-0.7982,,1.973,1.413,2.29,46,fresh,0,0,0,0,True,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,-0.034777,price_history,,1,1.5719,price_history,,-0.472626,,49.9127,-0.292675,-0.179951,late,small,NONE,drug_developer,pit_bundle,,,,0,0.5,,,,,0.7905,,152,0.1,0.429178,,,,
RYTM,"Rhythm Pharmaceuticals, Inc.",60,,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.372521,,,0.242248,1,0.242248,,0,no_upcoming,,tailwind,,L,sponsor_confirmed|momentum_tailwind|runway_short,,,v1.3.0,34839213,1,,late|none|pos,0.1,,0.914706,0,1,1.119466,0.79653,6,8,selling,1.0524,,4.502,3.942,0.68,46,fresh,0,0,0,0,True,False,False,missing,0.0,short,,,1.0,0,0,1.0,0,1.0,0,,,missing,0.192761,price_history,,6,1.499,price_history,,-0.132253,,57.4065,-0.292675,0.160422,late,mid,SEV2,drug_developer,pit_bundle,,,,0,0.5,,,,,0.7905,,132,0.1,0.372521,,,,
TBPH,"Theravance Biopharma, Inc.",61,,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.403683,,,0.257752,1,0.257752,,0,no_upcoming,,tailwind,,L,momentum_tailwind,,,v1.3.0,34839213,1,,late|none|pos,0.1,,0.914706,0,1,1.119466,0.79653,1,2,selling,-0.7982,,0.84,0.4667,0.22,46,fresh,0,0,0,0,True,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,0.132479,price_history,,1,0.3054,price_history,,-0.169753,,54.8195,-0.292675,0.122922,late,small,NONE,drug_developer,pit_bundle,,,,0,0.5,,,,,0.7905,,143,0.1,0.403683,,,,
PRTA,Prothena Corporation plc,62,,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.344193,,,0.218992,1,0.218992,,0,no_upcoming,,tailwind,high_vol|high_beta,L,sponsor_confirmed|momentum_tailwind|high_risk,,,v1.3.0,34839213,1,,late|none|pos,0.1,,0.914706,0,1,1.119466,0.79653,6,10,selling,1.0524,,8.2768,6.7897,10.86,46,fresh,0,0,0,0,True,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,1.425069,price_history,,6,2.1202,price_history,,-0.014815,,58.1897,-0.292675,0.27786,late,small,NONE,drug_developer,pit_bundle,,,,0,0.5,,,,,0.7905,,122,0.1,0.344193,,,,
