ticker,dd_stored,dd_recomputed,dd_diff,dd_verdict,dd_source,dd_xbi_stored,dd_xbi_recomputed,dd_xbi_diff,dd_xbi_verdict,dd_rel_stored,dd_rel_recomputed,dd_rel_diff,dd_rel_verdict,rsi_stored,rsi_recomputed,rsi_diff,rsi_verdict,beta_stored,beta_recomputed,beta_missing_reason,beta_diff,beta_verdict,alpha_stored,alpha_recomputed,alpha_missing_reason,alpha_diff,alpha_verdict
IRON,-0.319945,-0.319945,0.0,OK,price_csv,-0.050772,-0.050772,0.0,OK,-0.269173,-0.269173,0.0,OK,38.1575,38.1575,0.0,OK,0.8183,0.8183,,0.0,OK,-0.374122,-0.374122,,0.0,OK
NMRA,-0.060891,-0.060891,0.0,OK,price_csv,-0.050772,-0.050772,0.0,OK,-0.010119,-0.010119,0.0,OK,72.8754,72.8754,0.0,OK,1.3408,1.3408,,0.0,OK,0.293417,0.293417,,0.0,OK
PVLA,-0.280875,-0.280875,0.0,OK,price_csv,-0.050772,-0.050772,0.0,OK,-0.230103,-0.230103,0.0,OK,42.1363,42.1363,0.0,OK,1.5275,1.5275,,0.0,OK,-0.297122,-0.297122,,0.0,OK
RNA,-0.001645,-0.001645,0.0,OK,price_csv,-0.050772,-0.050772,0.0,OK,0.049127,0.049127,0.0,OK,62.1085,62.1085,0.0,OK,0.0471,0.0471,,0.0,OK,0.025826,0.025826,,0.0,OK
ALMS,0.0,0.0,0.0,OK,price_csv,-0.050772,-0.050772,0.0,OK,0.050772,0.050772,0.0,OK,73.1384,73.1384,0.0,OK,2.0181,2.0181,,0.0,OK,3.112343,3.112343,,0.0,OK
PRAX,-0.031299,-0.031299,0.0,OK,price_csv,-0.050772,-0.050772,0.0,OK,0.019473,0.019473,0.0,OK,57.023,57.023,0.0,OK,0.7773,0.7773,,0.0,OK,0.887039,0.887039,,0.0,OK
ZBIO,-0.38499,-0.38499,0.0,OK,price_csv,-0.050772,-0.050772,0.0,OK,-0.334218,-0.334218,0.0,OK,58.8643,58.8643,0.0,OK,1.5412,1.5412,,0.0,OK,-0.393286,-0.393286,,0.0,OK
SYRE,0.0,0.0,0.0,OK,price_csv,-0.050772,-0.050772,0.0,OK,0.050772,0.050772,0.0,OK,63.7722,63.7722,0.0,OK,1.2632,1.2632,,0.0,OK,0.44703,0.44703,,0.0,OK
IMVT,-0.045389,-0.045389,0.0,OK,price_csv,-0.050772,-0.050772,0.0,OK,0.005383,0.005383,0.0,OK,51.5741,51.5741,0.0,OK,1.2649,1.2649,,0.0,OK,0.026084,0.026084,,0.0,OK
PHVS,-0.084284,-0.084284,0.0,OK,price_csv,-0.050772,-0.050772,0.0,OK,-0.033512,-0.033512,0.0,OK,51.5878,51.5878,0.0,OK,1.5214,1.5214,,0.0,OK,-0.042188,-0.042188,,0.0,OK
RVMD,-0.184798,-0.184798,0.0,OK,price_csv,-0.050772,-0.050772,0.0,OK,-0.134026,-0.134026,0.0,OK,53.4299,53.4299,0.0,OK,1.1963,1.1963,,0.0,OK,0.317459,0.317459,,0.0,OK
KURA,-0.2986,-0.2986,0.0,OK,price_csv,-0.050772,-0.050772,0.0,OK,-0.247828,-0.247828,0.0,OK,49.4358,49.4358,0.0,OK,1.7258,1.7258,,0.0,OK,-0.398446,-0.398446,,0.0,OK
PEPG,-0.106695,-0.106695,0.0,OK,price_csv,-0.050772,-0.050772,0.0,OK,-0.055923,-0.055923,0.0,OK,57.555,57.555,0.0,OK,1.3093,1.3093,,0.0,OK,0.126383,0.126383,,0.0,OK
ORKA,-0.098227,-0.098227,0.0,OK,price_csv,-0.050772,-0.050772,0.0,OK,-0.047455,-0.047455,0.0,OK,47.5857,47.5857,0.0,OK,1.5433,1.5433,,0.0,OK,0.031554,0.031554,,0.0,OK
SION,-0.15063,-0.15063,0.0,OK,price_csv,-0.050772,-0.050772,0.0,OK,-0.099858,-0.099858,0.0,OK,45.2557,45.2557,0.0,OK,1.7621,1.7621,,0.0,OK,-0.207395,-0.207395,,0.0,OK
VRDN,-0.169627,-0.169627,0.0,OK,price_csv,-0.050772,-0.050772,0.0,OK,-0.118855,-0.118855,0.0,OK,32.5602,32.5602,0.0,OK,0.6649,0.6649,,0.0,OK,-0.115201,-0.115201,,0.0,OK
DNTH,-0.07773,-0.07773,0.0,OK,price_csv,-0.050772,-0.050772,0.0,OK,-0.026958,-0.026958,0.0,OK,52.6194,52.6194,0.0,OK,1.3118,1.3118,,0.0,OK,0.086895,0.086895,,0.0,OK
COGT,-0.09867,-0.09867,0.0,OK,price_csv,-0.050772,-0.050772,0.0,OK,-0.047898,-0.047898,0.0,OK,52.7864,52.7864,0.0,OK,1.1302,1.1302,,0.0,OK,-0.020111,-0.020111,,0.0,OK
CGON,-0.027044,-0.027044,0.0,OK,price_csv,-0.050772,-0.050772,0.0,OK,0.023728,0.023728,0.0,OK,60.8974,60.8974,0.0,OK,1.2714,1.2714,,0.0,OK,0.237242,0.237242,,0.0,OK
