ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall
EBS,1,56.34,0.998377,2.9434,56.34,0.998377,2.9434,late,small,none,commercial_pharma,12.80,41.25000000000000000000000000,55.5,80.92,77.000,71.11111111111111111111111111,0.9
ALKS,2,55.47,0.99513,2.5849,55.47,0.99513,2.5849,late,mid,none,commercial_pharma,40.43,41.25000000000000000000000000,68.0,78.29,77.000,70.76923076923076923076923077,0.9
TBPH,3,53.32,0.975649,1.9712,53.32,0.991883,2.4036,late,small,none,drug_developer,32.66,41.25000000000000000000000000,55.5,90.00,77.000,65.18518518518518518518518519,0.9
ACAD,4,52.64,0.962662,1.7825,52.64,0.988636,2.278,late,mid,none,commercial_biotech,38.38,45.56250000000000000000000000,71.0,54.61,65.00000000000000000000000000,67.30769230769230769230769231,0.8999531842073096198508739763
AMGN,5,51.77,0.988636,2.278,51.77,0.98539,2.1805,late,large,none,commercial_pharma,50.14,41.25000000000000000000000000,52.5,42.83,72.32558139534883720930232558,77.000,0.9
BIIB,6,51.43,0.978896,2.0315,51.43,0.982143,2.1002,late,large,none,commercial_pharma,34.90,41.25000000000000000000000000,68.5,63.81,69.53488372093023255813953488,75.20000000000000000000000000,0.9
SUPN,7,51.01,0.930195,1.4772,51.01,0.978896,2.0315,late,mid,none,commercial_pharma,41.58,41.25000000000000000000000000,55.0,13.82,71.62790697674418604651162791,66.15384615384615384615384615,0.9
INCY,8,50.94,0.913961,1.3656,50.94,0.975649,1.9712,late,large,none,commercial_biotech,37.30,41.25000000000000000000000000,60.5,33.33,62.20930232558139534883720930,72.80000000000000000000000000,0.9
BMRN,9,50.73,0.939935,1.5542,50.73,0.972403,1.9173,late,large,none,commercial_biotech,43.03,41.25000000000000000000000000,57.5,79.74,67.09302325581395348837209302,70.40000000000000000000000000,0.9
TARS,10,50.60,0.910714,1.3452,50.60,0.965909,1.8238,late,mid,none,commercial_biotech,82.38,41.25000000000000000000000000,83.0,38.79,70.75581395348837209302325581,57.26923076923076923076923077,0.9
