ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
DNLI,Denali Therapeutics Inc.,54,0.82,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.780435,,0,0.275,1,0.725,,0,no_upcoming,9,neutral,deep_drawdown,L,sponsor_confirmed,catalyst_score:-15.4;clinical_score:+9.2;financial_score:+9.0,tier=C;reason=low_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 314062000.0, ""cash_total"": 848204000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.40904025319841, ""stage_bucket"": ""early"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",early|none|pos,0.00492599173553719,,-0.0438,0,1,0.8067,-0.0438,3,3,buying,0.0908,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.31,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.388718,price_history,,3,1.1853,price_history,,-0.366,,50.8512,0.5691,,,early,mid,none,drug_developer,morningstar,,,,0,0.8406935342944517256443861948,50,41.25000000000000000000000000,60.5,40.83,65.78947368421052631578947368,65.63157894736842105263157895,65.9143,0.9358,1.0,83,6,1.0,0.1293,1,0,0.0,0.4,0.6,cns,-0.4099,uncrowded,1.0,180,0.00492599173553719,0.219565,-0.7737,53.81,0.98913,2.2949
NUVB,Nuvation Bio Inc.,55,0.49,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.819565,,0,0.265,1,0.735,,0,no_upcoming,9,neutral,high_vol|drawdown_data_missing,M,sponsor_confirmed|high_risk,catalyst_score:-13.1;clinical_score:+12.2;financial_score:+6.6,tier=C;reason=low_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 143694000.0, ""cash_total"": 549045000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 44.273359540368915, ""stage_bucket"": ""early"", ""surv_score"": ""3.0"", ""tier1_count"": 6}",early|none|pos,0.00492599173553719,,-0.0416,0,1,0.8391,-0.0416,6,6,selling,1.2955,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,551.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,1.2485,,,early,mid,none,drug_developer,morningstar,,,drawdown,1,0.7220301926080166579906298803,50,41.25000000000000000000000000,53.0,50,66.57894736842105263157894737,60.93421052631578947368421053,65.8967,0.935,1.0,,2,0.0,0.0,0,0,0.0,0.3,0.85,oncology,0.7568,highly_crowded,1.0,189,0.00492599173553719,0.180435,-0.9137,44.01,0.854348,1.0553
CNTX,Context Therapeutics Inc.,56,0.2,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.915217,,0,0.255,1,0.745,,0,no_upcoming,9,neutral,drawdown_data_missing,S,cost_haircut_<=2000bps,catalyst_score:-14.3;clinical_score:+11.1;financial_score:+8.7,tier=C;reason=low_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 17442425.0, ""cash_total"": 76938183.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 52.93175667947548, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 0}",mid|none|pos,-0.03778526984126984,,-0.6961,1621,1,0.8427,-0.6961,0,0,neutral,-1.1139,,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1735.81,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,0,,,series_too_short,,no_price_series,,,,,mid,micro,none,drug_developer,morningstar,,,drawdown,1,0.7199146277980218636127017179,50,41.25000000000000000000000000,,50,66.66666666666666666666666667,64.20000000000000000000000000,65.9844,0.9388,2.0,1621,1,0.0,0.0,0,0,0.0,0.3,0.95,oncology,0.7568,highly_crowded,1.0,211,-0.03778526984126984,0.084783,-1.3736,37.75,0.758696,0.7021
ANNX,"Annexon, Inc.",57,0.49,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.541304,,0,0.285,1,0.715,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|runway_short,financial_score:-41.5;smart_money_score:+25.0;clinical_score:+18.5,tier=C;reason=low_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 140430000.0, ""cash_total"": 139419000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 11.913608203375347, ""stage_bucket"": ""early"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",early|none|nonpos,0.0069410240963855415,,-0.0452,0,1,0.7742,-0.0452,4,4,buying,0.4924,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,834.55,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,4,,,series_too_short,,no_price_series,,0.9497,,,early,small,sev2,drug_developer,morningstar,,,drawdown,1,0.7816335993098986413629501833,50,41.25000000000000000000000000,71.5,59.17,65.00000000000000000000000000,5,63.6177,0.8376,1.0,418,3,0.6667,0.0077,0,0,0.0,0.3,0.55,ophthalmology,0.7568,highly_crowded,1.0,125,0.0069410240963855415,0.458696,-0.1037,16.54,0.254348,-0.6609
PGEN,"Precigen, Inc.",58,0.25,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.823913,,0,0.175,1,0.825,,0,no_upcoming,9,neutral,high_beta|deep_drawdown,S,high_risk,financial_score:-34.8;clinical_score:+26.1;smart_money_score:+9.5,tier=C;reason=low_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64371000.0, ""cash_total"": 121135000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 22.581908002050614, ""stage_bucket"": ""early"", ""surv_score"": ""0.0"", ""tier1_count"": 1}",early|none|pos,0.00492599173553719,,-0.0327,0,1,1.0661,-0.0327,1,1,buying,-0.7124,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,775.44,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.060369,price_history,,1,2.0652,price_history,,-0.3633,,50.3843,0.8424,,,early,small,sev1,drug_developer,morningstar,,,,0,0.7475186506649367499189101524,50,41.25000000000000000000000000,55.5,46.94,72.10526315789473684210526316,11.25000000000000000000000000,71.7954,1.1872,1.0,138,4,1.0,0.0814,0,0,0.0,0.4,0.85,oncology,0.7568,highly_crowded,1.0,190,0.00492599173553719,0.176087,-0.9304,28.76,0.597826,0.2477
LBRX,LB Pharmaceuticals Inc,59,0.2,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.802174,,0,0.245,1,0.755,,0,no_upcoming,9,neutral,drawdown_data_missing,S,cost_haircut_<=2000bps,catalyst_score:-14.7;clinical_score:+11.5;financial_score:+9.1,tier=C;reason=low_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 17105000.0, ""cash_total"": 314479000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 220.6225080385852, ""stage_bucket"": ""early"", ""surv_score"": ""4.0"", ""tier1_count"": 0}",early|none|pos,0.00492599173553719,,-0.8021,96,1,0.8715,-0.8021,0,0,neutral,-1.1139,,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1164.84,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,0,,,series_too_short,,no_price_series,,,,,early,small,none,drug_developer,morningstar,,,drawdown,1,0.7639655165267847891410216558,50,41.25000000000000000000000000,,50,67.36842105263157894736842105,65.00000000000000000000000000,66.0862,0.9431,1.0,96,1,0.0,0.1123,0,0,0.0,0.3,0.6,cns,0.7568,highly_crowded,1.0,185,0.00492599173553719,0.197826,-0.8494,50.83,0.945652,1.6041
LXEO,"Lexeo Therapeutics, Inc.",60,0.2,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.815217,,0,0.155,1,0.845,,0,no_upcoming,9,neutral,drawdown_data_missing,S,cost_haircut_<=2000bps,financial_score:-27.7;clinical_score:+25.6;smart_money_score:+6.9,tier=C;reason=low_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 78482000.0, ""cash_total"": 111914000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.111796335465456, ""stage_bucket"": ""early"", ""surv_score"": ""2.0"", ""tier1_count"": 1}",early|none|pos,0.00492599173553719,,-1.1951,1686,1,1.1309,-1.1951,1,1,neutral,-0.7124,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1098.2,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,1,,,series_too_short,,no_price_series,,0.8592,,,early,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7256330749354005167958656331,50,41.25000000000000000000000000,55.0,50,73.68421052631578947368421053,20.36111111111111111111111111,72.6899,1.2255,1.0,1686,1,0.0,0.0,0,0,0.0,0.3,0.6,cns,-0.4099,uncrowded,1.0,188,0.00492599173553719,0.184783,-0.8973,29.37,0.606522,0.2703
LRMR,"Larimar Therapeutics, Inc.",61,0.49,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.81087,,0,0.165,1,0.835,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|runway_short,financial_score:-41.5;clinical_score:+24.4;smart_money_score:+23.0,tier=C;reason=low_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 45921000.0, ""cash_total"": 90140000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.55523616645979, ""stage_bucket"": ""early"", ""surv_score"": ""4.0"", ""tier1_count"": 5}",early|none|pos,0.00492599173553719,,-1.0921,218,1,1.0985,-1.0921,5,5,buying,0.8939,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,704.31,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.1474,price_history,,5,0.6989,price_history,,,series_too_short,38.8702,0.7621,,,early,small,sev2,drug_developer,morningstar,,,drawdown,1,0.7275291929316937067272915160,50,41.25000000000000000000000000,71.5,50,72.89473684210526315789473684,7.027777777777777777777777778,71.8978,1.1916,1.0,218,2,0.0,0.0406,0,0,0.0,0.4,0.5,other,0.2901,crowded,1.0,187,0.00492599173553719,0.18913,-0.8811,16.94,0.271739,-0.6076
SABS,"SAB Biotherapeutics, Inc.",62,0.16,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.841304,,0,0.225,1,0.775,,0,no_upcoming,9,neutral,drawdown_data_missing,S,cost_haircut_>2000bps,catalyst_score:-14.4;clinical_score:+12.5;financial_score:+7.8,tier=C;reason=low_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 27998784.0, ""cash_total"": 110880633.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 47.52233511283919, ""stage_bucket"": ""early"", ""surv_score"": ""5.0"", ""tier1_count"": 1}",early|none|pos,0.00492599173553719,,-1.2018,,0,0.9039,-1.2018,1,1,buying,-0.7124,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,1,,,series_too_short,,no_price_series,,,,,early,micro,none,drug_developer,morningstar,,,drawdown,1,0.7163405128205128205128205128,50,41.25000000000000000000000000,55.5,50,68.15789473684210526315789473,63.42105263157894736842105263,66.7756,0.9726,1.0,,1,0.0,0.0,0,0,0.0,0.3,0.5,respiratory,0.7568,highly_crowded,1.0,194,0.00492599173553719,0.158696,-0.9998,46.03,0.897826,1.2693
VIR,"Vir Biotechnology, Inc.",63,0.82,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.854348,,0,0.125,1,0.875,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:+22.8;financial_score:-19.0;catalyst_score:-10.8,tier=C;reason=low_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 391781000.0, ""cash_total"": 460938000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.118234421781557, ""stage_bucket"": ""early"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",early|none|pos,0.00492599173553719,,-0.9965,160,1,1.1795,-0.9965,2,2,buying,-0.3108,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,599.02,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,1.642054,price_history,,2,-0.9154,price_history,,,series_too_short,48.8854,0.7493,,,early,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7800539636663914120561519405,50,41.25000000000000000000000000,61.0,50,74.86842105263157894736842105,33.00000000000000000000000000,73.8415,1.2747,1.0,160,2,0.3333,0.0678,0,0,0.0,0.4,0.55,infectious_disease,0.7568,highly_crowded,1.0,197,0.00492599173553719,0.145652,-1.0553,39.37,0.793478,0.8185
