ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall,clinical_rank_pct_dev,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,catalyst_days,catalyst_in_window,catalyst_mode,catalyst_strength,runway_bucket,mom_state,risk_flags,size_band,size_reasons,cost_mult,cost_bucket,cost_haircut_applied,est_cost_bps,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,dd_rel_margin_rescued,tier_dev,tier_reason,actionable_rank,target_weight_pct,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_tier1_count,de_beta_xbi_60d,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,returns_source,catalyst_source,catalyst_event_type,cat_priority,alpha_cohort_pct,clinical_score_z,clinical_score_z_tier,coinvest_score_z,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,missingness_penalty,missing_components,commercial_quality_pct,clinical_score_v2,competitive_intensity_z,sizing_multiplier_clinical,clinical_score_v2_z,de_vol_60d
PEPG,297,11.08,0.126959,-1.1409,11.08,0.070533,-1.4718,mid,small,none,drug_developer,96.55,42.42204844444444444444444444,79.16164841232822303153828834,68.90,5,35.35460069444444444444444444,0.7856731723453522990406880582,0.019126,0.980874,v1.3.0,96f655ee,1,,7,7,buying,180,0,specific_days,mid,adequate,tailwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1694.53,1.0,0,1.0,0,0,A,high_opt+catalyst_mid,1,0.53,180,False,specific_days,0.9484,7,,-0.276848,,,-0.023106,-0.253742,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.126959,-1.551711,,0,0,0,0,0,0,,,5,0,1.0,0,
NUVL,241,16.97,0.18652,-0.8908,16.97,0.246082,-0.6869,late,mid,none,drug_developer,45.05,39.64962844444444444444444444,79.47167067428599773273704922,34.22,5,49.50077160493827160493827160,0.8343184630849994415279794482,0.02459,0.97541,v1.3.0,96f655ee,1,,5,5,buying,149,0,specific_days,mid,adequate,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,0.85,<=1000bps,1,403.47,1.0,0,1.0,0,0,A,high_opt+catalyst_mid,2,0.64,149,False,specific_days,-0.0688,5,,-0.085945,,,-0.023106,-0.062839,morningstar,SEC_8K_FILING,DATA_READOUT,2,0.18652,-1.551711,,0,0,0,0,0,0,,,5,0,1.0,0,
KOD,302,9.55,0.039185,-1.7602,9.53,0.054859,-1.5995,late,small,sev1,drug_developer,85.01,52.658,62.78604765954440821549327477,55.75,5,9.932477743091686900219678577,0.8609416703296703296703296703,0.035519,0.964481,v1.3.0,96f655ee,1,,3,3,buying,28,1,specific_days,near,adequate,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,0.85,<=1000bps,1,702.75,1.0,0,1.0,0,0,A,high_opt+catalyst_near,3,0.64,28,True,specific_days,0.5126,3,,-0.210746,,,-0.023106,-0.18764,morningstar,CTGOV_CALENDAR,DATA_READOUT,2,0.039185,-1.551711,,0,0,0,0,0,0,,,5,0,1.0,0,
IVVD,305,9.10,0.054859,-1.5995,9.10,0.045455,-1.6906,late,small,sev1,drug_developer,73.88,62.078,46.52778452370076629795604344,68.68,5,13.11054585629681016430929716,0.8254145219581644945789070200,0.040984,0.959016,v1.3.0,96f655ee,1,,3,3,buying,27,1,specific_days,near,adequate,tailwind,high_vol|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,0.85,<=1000bps,1,933.9,1.0,0,1.0,0,0,A,high_opt+catalyst_near,4,0.64,27,True,specific_days,0.3146,3,,-0.295139,,,-0.023106,-0.272033,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.054859,-1.551711,,0,0,0,0,0,0,,,5,0,1.0,0,
DNTH,214,19.69,0.333856,-0.4293,19.69,0.330721,-0.4379,late,mid,none,drug_developer,86.60,36.65610844444444444444444444,85,34.22,5,57.40000000000000000000000000,0.8323761340782122905027932961,0.051913,0.948087,v1.3.0,96f655ee,1,,8,8,buying,148,0,specific_days,mid,adequate,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,0.85,<=1000bps,1,495.67,1.0,0,1.0,0,0,A,high_opt+catalyst_mid,5,0.64,148,False,specific_days,0.5495,8,,-0.003933,,,-0.023106,0.019173,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.333856,-1.551711,,0,0,0,0,0,0,,,5,0,1.0,0,
CNTA,257,15.10,0.130094,-1.1259,15.06,0.19279,-0.8677,late,mid,sev1,drug_developer,45.85,45.50417777777777777777777778,80.06731564558926021722982126,34.28,5,9.040771604938271604938271602,0.8792836309193745148053676389,0.057377,0.942623,v1.3.0,96f655ee,1,,7,7,buying,57,1,specific_days,near,adequate,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,0.85,<=1000bps,1,476.44,1.0,0,1.0,0,0,A,high_opt+catalyst_near,6,0.64,57,True,specific_days,-0.0577,7,,-0.15229,,,-0.023106,-0.129184,morningstar,,,9,0.130094,-1.551711,,0,0,0,0,0,0,,,5,0,1.0,0,
ACLX,247,16.43,0.152038,-1.0277,16.43,0.227273,-0.7479,late,mid,none,drug_developer,24.76,44.58563600000000000000000000,85,34.26,5.853484338332823181308029791,36.51361111111111111111111111,0.8786569275362318840579710145,0.07377,0.92623,v1.3.0,96f655ee,1,,7,7,buying,119,0,specific_days,near,adequate,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,376.67,1.0,0,1.0,0,0,A,high_opt+catalyst_near,7,0.75,119,False,specific_days,-0.3340,7,,-0.255386,,,-0.023106,-0.23228,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,3,0.152038,-1.514963,,0,0,0,0,0,0,,,5.853484338332823181308029791,0,1.0,0,
SION,306,8.93,0.010972,-2.2913,8.93,0.04232,-1.7244,mid,small,sev2,drug_developer,72.36,42.42204844444444444444444444,85,58.29,6.533227639054036200290659263,5,0.7481587234935964728112534117,0.084699,0.915301,v1.3.0,96f655ee,1,,6,6,buying,119,0,specific_days,near,short,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,0.85,<=1000bps,1,882.99,1.0,0,1.0,0,0,A,high_opt+catalyst_near,8,0.64,119,False,specific_days,0.2942,6,,-0.022082,,,-0.023106,0.001024,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.010972,-1.485695,,0,0,0,0,0,0,,,6.533227639054036200290659263,0,1.0,0,
FDMT,252,15.65,0.252351,-0.6671,15.59,0.208464,-0.8118,late,small,none,drug_developer,37.47,49.00706177777777777777777778,39.46023762656366017029779223,58.24,7.090092847668605244362820126,53.45161290322580645161290322,0.7997238367616323836761632384,0.090164,0.909836,v1.3.0,96f655ee,1,,1,1,neutral,88,0,specific_days,near,adequate,headwind,deep_drawdown_rel_xbi,S,tier_a_dev|momentum_headwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1085.48,1.0,0,1.0,0,0,A,high_opt+catalyst_near,9,0.16,88,False,specific_days,-0.1648,1,,-0.298289,,,-0.023106,-0.275183,morningstar,,,9,0.252351,-1.461718,,0,0,0,0,0,0,,,7.090092847668605244362820126,0,1.0,0,
ATXS,209,20.29,0.305643,-0.5082,20.24,0.34326,-0.4036,late,small,none,drug_developer,52.30,47.58231511111111111111111111,55.98671904724196145341366935,52.07,8.347107438016528925619834711,48.13983633303785922585783842,0.8788067373947282073717598163,0.106557,0.893443,v1.3.0,96f655ee,1,,3,3,buying,88,0,specific_days,near,adequate,neutral,,L,tier_a_dev|sponsor_confirmed,0.85,<=1000bps,1,860.38,1.0,0,1.0,0,0,A,high_opt+catalyst_near,10,0.64,88,False,specific_days,0.0319,3,,-0.04697,,,-0.023106,-0.023864,morningstar,,,9,0.305643,-1.407595,,0,0,0,0,0,0,,,8.347107438016528925619834711,0,1.0,0,
