ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
KYMR,"Kymera Therapeutics, Inc.",,,D,ineligible,D,ineligible,,0.044014,,0,0.022727,1,0.977273,,0,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,clinical_score:+28.2;financial_score:-25.4;smart_money_score:+22.2,tier=D;reason=ineligible;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,0,deep_drawdown,0,,"{""burn_ttm"": 232891000.0, ""cash_total"": 357011000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.39543820929104, ""stage_bucket"": ""early"", ""surv_score"": ""3.0"", ""tier1_count"": 5}",early|none|pos,0.09013935532994924,,-0.1683,0,1,1.4064,-0.1683,5,5,buying,0.7742,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,334.94,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.340316,price_history,,5,1.0903,price_history,,-0.407226,,34.792,0.8541,-0.103025,-0.304201,early,mid,none,drug_developer,morningstar,,,,0,0.8132792814635221512012342958,31.27,41.25000000000000000000000000,71.0,10.00,77.000,23.34335963182117028270874425,76.749,1.3898,1.0,35,5,1.0,0.1909,1,0,0.0,0.4,0.85,oncology,0.6973,crowded,1.0,13,0.09013935532994924,0.955986,1.7059,44.36,0.864437,1.1005,0.421447,0.0,0.0,0.0,0.41694,0.004507,0.0
PRLD,Prelude Therapeutics Incorporated,,,D,ineligible,D,ineligible,,0.082746,,0,0.029221,1,0.970779,,0,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,clinical_score:+33.7;financial_score:-33.5;smart_money_score:+17.7,tier=D;reason=ineligible;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,0,deep_drawdown,0,,"{""burn_ttm"": 79421000.0, ""cash_total"": 54957000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.303647649865905, ""stage_bucket"": ""early"", ""surv_score"": ""-2.0"", ""tier1_count"": 2}",early|none|pos,0.09013935532994924,,-0.1753,0,1,1.4064,-0.1753,2,2,buying,-0.3912,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.292228,price_history,,2,0.573,price_history,,-0.46712,,32.8609,,-0.103025,-0.364095,early,micro,sev2,drug_developer,morningstar,,,,0,0.7584115138592750533049040512,27.45,41.25000000000000000000000000,61.0,90.00,77.000,9.763313609467455621301775142,75.8867,1.3534,1.0,166,9,1.0,0.1185,0,0,0.0,0.3,0.85,oncology,0.6973,highly_crowded,1.0,24,0.09013935532994924,0.917254,1.3868,13.75,0.163732,-0.9792,0.410527,0.0,0.0,0.0,0.40602,0.004507,0.0
EBS,Emergent BioSolutions Inc.,,,D,ineligible,,,D,0.744718,0.873077,1,,0,,,0,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,clinical_score:+20.1;catalyst_score:-15.6;momentum_score:-14.3,tier=;reason=;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,0,deep_drawdown,0,,"{""burn_ttm"": 0.0, ""cash_total"": 245500000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": null, ""stage_bucket"": ""late"", ""surv_score"": ""-1.0"", ""tier1_count"": 1}",late|none|pos,0.016933170731707317,69.202,1.0756,0,1,1.1062,1.0756,1,1,buying,-0.7797,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1186.43,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.070476,price_history,,1,0.8208,price_history,,-0.739665,,57.0835,1.0204,-0.103025,-0.63664,late,small,none,commercial_pharma,morningstar,,,,0,0.9,42.51,41.25000000000000000000000000,55.5,86.00,77.000,68.00000000000000000000000000,77.7783,1.4332,3.0,46,47,1.0,1.2337,1,1,0.0,0.6,0.55,infectious_disease,-0.4815,uncrowded,1.0,212,0.016933170731707317,0.255282,-0.658,55.30,0.994718,2.5568,2.012107,1.5813,0.0,0.0,0.42996,0.000847,0.0
DNA,"Ginkgo Bioworks Holdings, Inc.",,,D,ineligible,,,D,0.920775,0.996154,1,,0,,70,0,specific_days,9,tailwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,financial_score:+16.8;catalyst_score:-15.3;clinical_score:+5.9,tier=;reason=;cat_days=70;strength=near;decay_w=1.0,v1.3.0,31f399e0,0,deep_drawdown,0,,"{""burn_ttm"": 123381000.0, ""cash_total"": 495484000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 48.19062902715977, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 1}",late|near_31_90|pos,0.002993576923076923,78.287154,1.0581,0,1,0.9643,1.0581,1,1,neutral,-0.7797,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=2000bps,1199.57,0.7,1,0,1.0,0,1.0,0,70,False,specific_days,0.27979,price_history,,1,0.9548,price_history,,-0.545455,,50.8416,0.7795,-0.103025,-0.44243,late,small,none,commercial_biotech,morningstar,,,,0,0.8332774580935701776332249187,59.18,45.56250000000000000000000000,55.0,90.00,66.77631578947368421052631579,77.66923076923076923076923077,68.5263,1.0432,3.0,84,781,1.0,2.7355,8,8,0.0294,0.8,0.95,oncology,0.6973,highly_crowded,1.0,262,0.002993576923076923,0.079225,-1.4103,41.47,0.81162,0.8839,1.63851,1.3254,0.0,0.0,0.31296,0.00015,0.0
AMPH,"Amphastar Pharmaceuticals, Inc.",,,D,ineligible,,,D,0.68838,0.980769,1,,0,,,0,no_upcoming,9,tailwind,overbought_rsi,XS,ineligible,catalyst_score:-23.8;momentum_score:+22.2;financial_score:+1.1,tier=;reason=;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,0,fundamental_red_flag,1,sponsor_absent_late_stage,"{""burn_ttm"": 0.0, ""cash_total"": 276209000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": null, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 0}",late|none|pos,0.016933170731707317,74.980731,1.0515,0,1,0.6333,1.0515,0,0,neutral,-1.1681,,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1139.42,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.469351,price_history,,0,0.2653,price_history,,-0.020898,,82.9262,0.4149,-0.103025,0.082127,late,small,none,commercial_pharma,morningstar,,,,0,0.9,87.23,41.25000000000000000000000000,,79.33,65.39473684210526315789473684,66.15384615384615384615384615,64.2814,0.8642,3.0,,11,1.0,0.0,0,0,0.0,0.6,0.5,respiratory,0.6973,highly_crowded,1.0,196,0.016933170731707317,0.31162,-0.4913,49.05,0.945423,1.602,1.027957,0.76785,0.0,0.0,0.25926,0.000847,0.0
IRWD,"Ironwood Pharmaceuticals, Inc.",,,D,ineligible,,,D,0.783451,0.711538,1,,0,,,0,no_upcoming,9,headwind,high_vol,XS,ineligible,clinical_score:+20.2;catalyst_score:-15.0;momentum_score:-12.4,tier=;reason=;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,0,fundamental_red_flag,1,sponsor_absent_late_stage,"{""burn_ttm"": 0.0, ""cash_total"": 140407000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": null, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 0}",late|none|pos,0.016933170731707317,57.135577,1.0756,0,1,1.0837,1.0756,0,0,neutral,-1.1681,,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,819.43,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.058912,price_history,,0,0.6349,price_history,,-0.129777,,49.8893,1.2561,-0.103025,-0.026752,late,small,none,commercial_pharma,morningstar,,,,0,0.8509832103790384126176545408,43.89,41.25000000000000000000000000,,56.67,76.44736842105263157894736842,63.38461538461538461538461539,75.684,1.3449,3.0,332,19,1.0,0.1106,0,0,0.0,0.9,0.55,metabolic,-0.4815,uncrowded,1.0,223,0.016933170731707317,0.216549,-0.7839,38.84,0.762324,0.7138,1.946917,1.5426,0.0,0.0,0.40347,0.000847,0.0
VNDA,Vanda Pharmaceuticals Inc.,,,D,ineligible,,,D,0.860915,0.526923,1,,0,,,0,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,clinical_score:+31.2;financial_score:-29.7;smart_money_score:+6.9,tier=;reason=;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,0,deep_drawdown,0,,"{""burn_ttm"": 109442000.0, ""cash_total"": 84851000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 9.303667696131285, ""stage_bucket"": ""late"", ""surv_score"": ""-3.0"", ""tier1_count"": 1}",late|none|pos,0.016933170731707317,47.01303,1.0756,0,1,1.3982,1.0756,1,1,neutral,-0.7797,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,634.63,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.139956,price_history,,1,0.6989,price_history,,-0.445578,,56.8667,1.0382,-0.103025,-0.342553,late,small,sev2,commercial_biotech,morningstar,,,,0,0.8839970836435840158848349466,41.70,41.25000000000000000000000000,52.5,90.00,76.84210526315789473684210527,15.94006574621959237343852728,77.2116,1.4093,3.0,54,38,1.0,2.6278,2,3,0.0,0.4,0.6,cns,0.2258,moderate,1.0,245,0.016933170731707317,0.139085,-1.0844,15.64,0.234155,-0.7252,2.376037,1.9524,0.0,0.0,0.42279,0.000847,0.0
EXEL,"Exelixis, Inc.",,,D,ineligible,,,D,0.751761,0.788462,1,,0,,,0,no_upcoming,9,neutral,,XS,ineligible,catalyst_score:-11.1;clinical_score:+7.5;financial_score:+3.9,tier=;reason=;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,0,fundamental_red_flag,1,sponsor_absent_late_stage,"{""burn_ttm"": 0.0, ""cash_total"": 1059091000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": null, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 0}",late|none|pos,0.016933170731707317,61.664105,1.0329,0,1,0.6665,1.0329,0,0,neutral,-1.1681,,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,299.43,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.005909,price_history,,0,0.4463,price_history,,-0.108217,,60.7243,0.4304,-0.103025,-0.005192,late,large,none,commercial_biotech,morningstar,,,,0,0.9,52.11,41.25000000000000000000000000,,74.00,59.86842105263157894736842105,56.31578947368421052631578947,60.5892,0.7086,3.0,301,79,1.0,2.599,3,4,-0.0089,0.4,0.95,oncology,0.6973,highly_crowded,1.0,214,0.016933170731707317,0.248239,-0.68,40.63,0.790493,0.8081,1.108627,0.8952,0.0,0.0,0.21258,0.000847,0.0
RYTM,"Rhythm Pharmaceuticals, Inc.",,,D,ineligible,,,D,0.825704,0.503846,1,,0,,,0,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,momentum_score:-21.4;clinical_score:+18.8;smart_money_score:+18.8,tier=;reason=;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,0,deep_drawdown,0,,"{""burn_ttm"": 90286000.0, ""cash_total"": 416052000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 54.55942228030924, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 9}",late|none|pos,0.016933170731707317,46.4835,1.0756,0,1,1.4051,1.0756,9,9,buying,2.328,elite_9,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,378.27,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.100861,price_history,,9,0.8009,price_history,,-0.490654,,46.8433,0.4754,-0.103025,-0.387629,late,mid,none,commercial_biotech,morningstar,,,,0,0.9,36.79,41.25000000000000000000000000,77.0,35.93,77.000,59.00000000000000000000000000,77.3074,1.4133,3.0,42,17,1.0,2.0096,2,3,0.0,0.4,0.55,metabolic,0.6973,highly_crowded,1.0,235,0.016933170731707317,0.174296,-0.9373,49.78,0.963028,1.787,2.387137,1.9623,0.0,0.0,0.42399,0.000847,0.0
NVAX,"Novavax, Inc.",,,D,ineligible,,,D,0.81162,0.934615,1,,0,,,0,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,financial_score:+23.0;momentum_score:-17.9;catalyst_score:-12.7,tier=;reason=;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,0,deep_drawdown,0,,"{""burn_ttm"": 244635000.0, ""cash_total"": 735084000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 34.435271429798334, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 1}",late|none|pos,0.016933170731707317,73.37,0.8287,0,1,0.7176,0.8287,1,1,selling,-0.7797,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,459.51,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.152833,price_history,,1,1.6776,price_history,,-0.911981,,39.1327,0.4814,-0.103025,-0.808956,late,small,none,commercial_biotech,morningstar,,,,0,0.8632435867537313432835820896,36.10,41.25000000000000000000000000,54.5,90.00,61.05263157894736842105263158,77.000,61.543,0.7488,3.0,141,19,1.0,1.8912,1,3,0.0,0.6,0.55,infectious_disease,0.2258,moderate,1.0,231,0.016933170731707317,0.18838,-0.8839,45.62,0.878521,1.1676,1.194337,0.96885,0.0,0.0,0.22464,0.000847,0.0
