ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall
EBS,1,57.71,0.998413,2.9503,57.71,0.998413,2.9503,late,small,none,commercial_pharma,58.71,41.25000000000000000000000000,55.5,50.61,77.000,72.00000000000000000000000000,0.9
ALKS,2,57.31,0.98254,2.1093,57.31,0.995238,2.5927,late,mid,none,commercial_pharma,52.75,41.25000000000000000000000000,68.0,40.58,77.000,71.72413793103448275862068966,0.9
TBPH,3,54.17,0.94127,1.5655,54.17,0.992063,2.4118,late,small,none,drug_developer,53.30,41.25000000000000000000000000,55.5,92.62,77.000,66.00000000000000000000000000,0.9
BIIB,4,53.69,0.966667,1.8339,53.69,0.988889,2.2865,late,large,none,commercial_pharma,52.02,41.25000000000000000000000000,68.5,78.90,71.87500000000000000000000000,75.55555555555555555555555555,0.9
ACAD,5,53.68,0.931746,1.4889,53.68,0.985714,2.1893,late,mid,none,commercial_biotech,78.20,45.56250000000000000000000000,71.0,56.30,64.37500000000000000000000000,68.62068965517241379310344827,0.8881759336099585062240663900
AMGN,6,53.59,0.97619,1.9808,53.59,0.98254,2.1093,late,large,none,commercial_pharma,57.80,41.25000000000000000000000000,52.5,57.80,73.59375000000000000000000000,77.000,0.9
TARS,7,53.43,0.960317,1.7544,53.43,0.979365,2.0408,late,mid,none,commercial_biotech,52.31,41.25000000000000000000000000,83.0,62.73,72.81250000000000000000000000,65.62068965517241379310344828,0.9
BMRN,8,53.29,0.947619,1.6222,53.29,0.97619,1.9808,late,large,none,commercial_biotech,48.26,41.25000000000000000000000000,57.5,77.99,68.43750000000000000000000000,71.11111111111111111111111111,0.9
SUPN,9,53.15,0.925397,1.4423,53.15,0.973016,1.9271,late,mid,none,commercial_pharma,54.62,41.25000000000000000000000000,55.0,50.99,73.59375000000000000000000000,66.55172413793103448275862069,0.9
VYGR,10,52.73,0.963492,1.7927,52.73,0.966667,1.8339,early,micro,none,drug_developer,29.32,41.25000000000000000000000000,49.5,85.80,77.000,56.50000000000000000000000000,0.7984655554383373773604810634
XNCR,11,52.44,0.995238,2.5927,52.44,0.963492,1.7927,mid,small,none,drug_developer,23.32,41.25000000000000000000000000,71.5,85.51,68.42105263157894736842105263,78.93548387096774193548387097,0.8205891505281690140845070423
CAI,12,52.42,0.9,1.2816,52.42,0.960317,1.7544,late,mid,none,commercial_biotech,50,41.25000000000000000000000000,66.0,41.23,70.31250000000000000000000000,57.24137931034482758620689655,0.9
HRTX,13,51.47,0.988889,2.2865,51.47,0.957143,1.7185,late,micro,none,drug_developer,51.61,41.25000000000000000000000000,58.0,68.91,77.000,71.67968750000000000000000000,0.8774237903689231122859441444
VNDA,14,51.37,0.919048,1.3987,51.37,0.953968,1.6846,late,small,none,commercial_biotech,50.12,41.25000000000000000000000000,52.5,92.78,75.00000000000000000000000000,64.80000000000000000000000000,0.8782537849566055930568948891
INCY,15,51.36,0.871429,1.1332,51.36,0.950794,1.6526,late,large,none,commercial_biotech,53.67,41.25000000000000000000000000,60.5,64.25,62.18750000000000000000000000,73.33333333333333333333333333,0.9
NVAX,16,51.32,0.985714,2.1893,51.32,0.947619,1.6222,late,small,none,commercial_biotech,54.34,41.25000000000000000000000000,54.5,89.95,77.000,74.66666666666666666666666667,0.8965845977842003853564547206
DSGN,17,50.91,0.979365,2.0408,50.91,0.944444,1.5932,early,small,none,drug_developer,37.28,41.25000000000000000000000000,72.0,67.83,73.80952380952380952380952381,63.31250000000000000000000000,0.7643684323396954750160840661
OPK,18,50.45,0.909524,1.3378,50.45,0.94127,1.5655,late,small,none,platform_diagnostics,44.43,41.25000000000000000000000000,,70.13,60.93750000000000000000000000,75.30000000000000000000000000,0.9
VRTX,19,50.12,0.811111,0.882,50.12,0.938095,1.539,late,large,none,commercial_biotech,52.36,45.56250000000000000000000000,63.0,36.61,77.000,47.79301935680536503581771072,0.9
JAZZ,20,49.92,0.906349,1.3186,49.92,0.934921,1.5135,late,large,none,commercial_biotech,46.37,41.25000000000000000000000000,74.0,82.80,67.18750000000000000000000000,68.88888888888888888888888889,0.9
NBIX,21,49.80,0.801587,0.8473,49.80,0.931746,1.4889,late,large,none,commercial_pharma,63.10,45.56250000000000000000000000,83.0,23.98,71.56250000000000000000000000,43.47050754458161865569272976,0.9
