as_of_date,ticker,tier,band,eligible,weight,tier_reason,risk_flags,catalyst_mode,mom_state,optionality,catalyst_days_raw,ruleset_id,fwd_ret_20d,fwd_ret_60d,fwd_max_dd_20d,fwd_max_dd_60d,fwd_dd_missing_reason
2025-01-31,JANX,D,XS,0,0.0,ineligible,high_vol|deep_drawdown,missing,headwind,0.349162,,d3cdf5c8,-21.8208,-26.1944,-28.7122,-46.7189,
2025-01-31,TYRA,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.282123,,d3cdf5c8,-15.4513,-27.509,-19.0614,-49.0253,
2025-01-31,ATXS,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.544693,,d3cdf5c8,-13.3244,-30.4172,-19.8423,-50.7227,
2025-01-31,PTGX,B,M,1,3.57,mod_opt+catalyst_near,,specific_days,headwind,0.46648,21,d3cdf5c8,1.0484,19.5968,-9.7479,-31.5763,
2025-01-31,SYRE,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.488827,,d3cdf5c8,-13.9738,-38.2969,-24.8114,-50.5448,
2025-01-31,OCUL,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.170391,,d3cdf5c8,-5.4305,2.1192,-27.1218,-29.2597,
2025-01-31,GLPG,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.053073,,d3cdf5c8,14.2857,17.7038,-2.8048,-13.8369,
2025-01-31,ORKA,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.51676,,d3cdf5c8,-25.9124,-26.3504,-33.1001,-52.5542,
2025-01-31,QURE,D,XS,0,0.0,ineligible,high_vol|deep_drawdown,missing,tailwind,0.198324,,d3cdf5c8,-16.5079,-9.9683,-32.7576,-48.5503,
2025-01-31,DNLI,D,XS,0,0.0,ineligible,high_beta|deep_drawdown,missing,neutral,0.561453,,d3cdf5c8,-24.1758,-28.2051,-35.5659,-51.3777,
2025-01-31,EPRX,C,M,1,0.0,mod_opt+no_catalyst_data,,missing,headwind,0.416201,,d3cdf5c8,33.5224,25.6099,-8.2517,-31.8182,
2025-01-31,CCCC,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.298883,,d3cdf5c8,-19.3452,-54.1667,-34.2466,-69.863,
2025-01-31,GPCR,D,XS,0,0.0,ineligible,high_vol|deep_drawdown,missing,headwind,0.438547,,d3cdf5c8,-16.2258,-16.261,-35.2443,-53.9088,
2025-01-31,BDTX,D,XS,0,0.0,ineligible,deep_drawdown,missing,neutral,0.505587,,d3cdf5c8,-17.9591,-35.1019,-29.7794,-54.0441,
2025-01-31,ORIC,D,XS,0,0.0,ineligible,deep_drawdown,missing,tailwind,0.108939,,d3cdf5c8,-20.8867,-49.7537,-40.4306,-66.0686,
2025-01-31,ANRO,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,tailwind,0.304469,73,d3cdf5c8,-33.0144,-43.7799,-33.8095,-57.1429,
2025-01-31,ACIU,D,XS,0,0.0,ineligible,deep_drawdown,missing,neutral,0.187151,,d3cdf5c8,-5.9259,-39.2593,-12.4088,-45.9854,
