ticker,tier_dev,actionable_rank,size_band,target_weight_pct,tier_reason,size_reasons,catalyst_mode,catalyst_days,cat_priority,mom_state,risk_flags,composite_rank,composite_score,archetype,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id
IRON,A,1,L,5.52,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,88,3,headwind,,115,34.87,drug_developer,0.631148,v1.3.0,96f655ee
TENX,A,2,L,4.54,high_opt+catalyst_mid,tier_a_dev|momentum_tailwind|cost_haircut_<=2000bps,specific_days,148,9,tailwind,deep_drawdown_rel_xbi,149,29.63,drug_developer,0.603825,v1.3.0,96f655ee
CRSP,A,3,L,6.49,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,39,9,headwind,,159,28.31,drug_developer,0.751366,v1.3.0,96f655ee
SYRE,A,4,L,5.52,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,16,3,tailwind,,161,28.19,drug_developer,0.784153,v1.3.0,96f655ee
PVLA,A,5,L,5.52,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,27,3,neutral,,184,23.87,drug_developer,0.647541,v1.3.0,96f655ee
ORKA,A,6,L,5.52,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,119,3,tailwind,,185,23.50,drug_developer,0.860656,v1.3.0,96f655ee
PRTA,A,7,M,2.73,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,20,2,headwind,deep_drawdown_rel_xbi,193,22.43,drug_developer,0.734973,v1.3.0,96f655ee
SRRK,A,8,L,6.49,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,119,3,tailwind,,202,20.66,drug_developer,0.65847,v1.3.0,96f655ee
ATXS,A,9,L,5.52,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,88,9,neutral,,209,20.29,drug_developer,0.893443,v1.3.0,96f655ee
DNTH,A,10,L,5.52,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,148,3,tailwind,,214,19.69,drug_developer,0.948087,v1.3.0,96f655ee
ARTV,A,11,L,4.54,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,specific_days,58,3,neutral,deep_drawdown_rel_xbi,218,19.16,drug_developer,0.729508,v1.3.0,96f655ee
RAPP,A,12,L,5.52,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,58,2,neutral,,220,19.03,drug_developer,0.806011,v1.3.0,96f655ee
PHVS,A,13,L,4.54,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,specific_days,12,9,neutral,,222,18.83,drug_developer,0.70765,v1.3.0,96f655ee
KURA,A,14,L,5.52,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,180,3,headwind,deep_drawdown_rel_xbi,227,18.04,drug_developer,0.724044,v1.3.0,96f655ee
CGON,A,15,L,5.52,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,119,3,tailwind,,237,17.16,drug_developer,0.877049,v1.3.0,96f655ee
NUVL,A,16,L,5.52,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,149,2,headwind,,241,16.97,drug_developer,0.97541,v1.3.0,96f655ee
AURA,A,17,M,2.14,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_>2000bps,specific_days,149,2,headwind,deep_drawdown_rel_xbi,242,16.67,drug_developer,0.811475,v1.3.0,96f655ee
ACLX,A,18,L,6.49,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,119,3,headwind,,247,16.43,drug_developer,0.92623,v1.3.0,96f655ee
FDMT,A,19,S,1.36,high_opt+catalyst_near,tier_a_dev|momentum_headwind|cost_haircut_<=2000bps,specific_days,88,9,headwind,deep_drawdown_rel_xbi,252,15.65,drug_developer,0.909836,v1.3.0,96f655ee
CNTA,A,20,L,5.52,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,57,9,headwind,,257,15.10,drug_developer,0.942623,v1.3.0,96f655ee
