ticker,tier_dev,actionable_rank,size_band,target_weight_pct,tier_reason,size_reasons,catalyst_mode,catalyst_days,cat_priority,mom_state,risk_flags,composite_rank,composite_score,archetype,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id
TENX,A,1,L,5.16,high_opt+catalyst_mid,tier_a_dev|momentum_tailwind|cost_haircut_<=2000bps,specific_days,165,9,tailwind,,156,28.76,drug_developer,0.627072,v1.3.0,96f655ee
CRSP,A,2,L,7.37,high_opt+catalyst_window,tier_a_dev|sponsor_confirmed|momentum_headwind,blended_window,0,9,headwind,,157,28.41,drug_developer,0.765193,v1.3.0,96f655ee
ABEO,A,3,M,3.1,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,12,9,headwind,deep_drawdown_rel_xbi,166,26.96,drug_developer,0.759669,v1.3.0,96f655ee
ACLX,A,4,L,7.37,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,12,9,headwind,,172,26.14,drug_developer,0.709945,v1.3.0,96f655ee
AARD,A,5,M,3.1,high_opt+catalyst_near,tier_a_dev|cost_haircut_<=2000bps,specific_days,44,3,neutral,,185,22.81,drug_developer,0.604972,v1.3.0,96f655ee
PRTA,A,6,M,3.1,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,7,3,headwind,deep_drawdown_rel_xbi,190,22.48,drug_developer,0.748619,v1.3.0,96f655ee
ORKA,A,7,L,6.27,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,136,3,tailwind,,192,22.18,drug_developer,0.914365,v1.3.0,96f655ee
KALV,A,8,L,6.27,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,68,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,194,22.11,drug_developer,0.621547,v1.3.0,96f655ee
PVLA,A,9,L,6.27,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,15,2,tailwind,,204,20.75,drug_developer,0.654696,v1.3.0,96f655ee
ATXS,A,10,L,6.27,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,15,2,tailwind,,211,20.08,drug_developer,0.892265,v1.3.0,96f655ee
DNTH,A,11,L,6.27,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,165,3,tailwind,,213,19.75,drug_developer,0.947514,v1.3.0,96f655ee
PHVS,A,12,M,3.1,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,16,3,headwind,,217,19.26,drug_developer,0.720994,v1.3.0,96f655ee
ALLO,A,13,M,3.1,high_opt+catalyst_near,tier_a_dev|cost_haircut_<=2000bps,specific_days,13,9,neutral,deep_drawdown_rel_xbi,220,18.74,drug_developer,0.660221,v1.3.0,96f655ee
ARTV,A,14,M,3.1,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,75,3,headwind,deep_drawdown|deep_drawdown_rel_xbi,222,18.68,drug_developer,0.754144,v1.3.0,96f655ee
RAPP,A,15,L,6.27,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,75,2,neutral,,228,17.96,drug_developer,0.881215,v1.3.0,96f655ee
NUVL,A,16,L,6.27,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,166,2,headwind,,240,16.86,drug_developer,0.969613,v1.3.0,96f655ee
CGON,A,17,L,6.27,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,136,3,tailwind,,244,16.62,drug_developer,0.89779,v1.3.0,96f655ee
AURA,A,18,M,2.43,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_>2000bps,specific_days,166,2,headwind,deep_drawdown|deep_drawdown_rel_xbi,246,16.30,drug_developer,0.820442,v1.3.0,96f655ee
CRVS,A,19,L,7.37,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,13,9,tailwind,deep_drawdown|deep_drawdown_rel_xbi,250,15.84,drug_developer,0.643646,v1.3.0,96f655ee
FDMT,A,20,S,1.55,high_opt+catalyst_near,tier_a_dev|momentum_headwind|cost_haircut_<=2000bps,specific_days,15,2,headwind,deep_drawdown|deep_drawdown_rel_xbi,256,15.35,drug_developer,0.91989,v1.3.0,96f655ee
