ticker,company_name,actionable_rank,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,clinical_alpha_z,clinical_score_z,clinical_score_z_tier,commercial_quality_pct,catalyst_days,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,decision_engine_version,decision_engine_ruleset_id,alpha_cohort_key,alpha_cohort_raw,missing_components,archetype,composite_rank,composite_score
IRON,"Disc Medicine, Inc.",1,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.170846,0.60929,0.5213,-0.4333,1.5239,,73,specific_days,3,headwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,v1.3.0,6e0bf8fb,late|near_31_90|pos,0.1,,drug_developer,55,0.1
NMRA,"Neumora Therapeutics, Inc.",2,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.581505,0.631148,0.5194,-0.5222,1.2875,,12,specific_days,3,tailwind,overbought_rsi,M,tier_a_dev|momentum_tailwind|runway_short|cost_haircut_<=2000bps,v1.3.0,6e0bf8fb,late|near_0_30|pos,0.09254273684210526,,drug_developer,186,0.09254273684210526
PVLA,"Palvella Therapeutics, Inc.",3,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.587774,0.636612,0.5191,-0.5551,1.1999,,12,specific_days,3,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,v1.3.0,6e0bf8fb,late|near_0_30|pos,0.09254273684210526,,drug_developer,188,0.09254273684210526
RNA,"Avidity Biosciences, Inc.",4,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.258621,0.620219,0.5195,-0.5001,1.3462,,165,specific_days,3,neutral,,L,tier_a_dev|sponsor_confirmed|runway_short,v1.3.0,6e0bf8fb,late|near_91_180|pos,0.1,,drug_developer,83,0.1
SYRE,"Spyre Therapeutics, Inc.",5,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.65674,0.603825,-0.1172,-0.4278,1.5385,,1,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,v1.3.0,6e0bf8fb,mid|near_0_30|pos,0.07679787341772153,,drug_developer,210,0.07679787341772153
ALMS,Alumis Inc.,6,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.020376,0.614754,0.5203,-0.4668,1.4348,,134,specific_days,3,tailwind,high_vol|high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,v1.3.0,6e0bf8fb,late|near_91_180|pos,0.1,,drug_developer,7,0.1
PRAX,"Praxis Precision Medicines, Inc",7,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.242947,0.653005,0.5184,-0.5878,1.1129,,104,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,v1.3.0,6e0bf8fb,late|near_91_180|pos,0.1,,drug_developer,78,0.1
ZBIO,"Zenas BioPharma, Inc.",8,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.315047,0.65847,0.514,-0.6095,1.0553,,104,specific_days,3,neutral,high_vol|deep_drawdown|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|high_risk,v1.3.0,6e0bf8fb,late|near_91_180|pos,0.1,,drug_developer,101,0.1
IMVT,"Immunovant, Inc.",9,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.565831,0.702186,0.5088,-0.7586,0.6586,,12,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,v1.3.0,6e0bf8fb,late|near_0_30|pos,0.09254273684210526,,drug_developer,181,0.09254273684210526
PHVS,Pharvaris N.V.,10,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.239812,0.680328,0.5113,-0.6953,0.8271,,43,specific_days,3,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,v1.3.0,6e0bf8fb,late|near_31_90|pos,0.1,,drug_developer,77,0.1
