ticker,tier_dev,actionable_rank,size_band,target_weight_pct,tier_reason,size_reasons,catalyst_mode,catalyst_days,cat_priority,mom_state,risk_flags,composite_rank,composite_score,archetype,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id
IRON,A,1,L,5.73,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,4,2,headwind,,119,33.73,drug_developer,0.656593,v1.3.0,96f655ee
TENX,A,2,L,4.72,high_opt+catalyst_mid,tier_a_dev|momentum_tailwind|cost_haircut_<=2000bps,specific_days,154,9,tailwind,,143,29.97,drug_developer,0.607143,v1.3.0,96f655ee
CRSP,A,3,L,6.74,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,45,9,headwind,,160,28.36,drug_developer,0.760989,v1.3.0,96f655ee
ABEO,A,4,M,2.83,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,1,9,headwind,deep_drawdown_rel_xbi,165,27.59,drug_developer,0.744505,v1.3.0,96f655ee
ACLX,A,5,L,6.74,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,1,9,headwind,,172,25.89,drug_developer,0.717033,v1.3.0,96f655ee
PVLA,A,6,L,5.73,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,4,2,tailwind,,179,24.63,drug_developer,0.634615,v1.3.0,96f655ee
ORKA,A,7,L,5.73,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,125,3,tailwind,,193,22.32,drug_developer,0.898352,v1.3.0,96f655ee
PRTA,A,8,M,2.83,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,26,2,headwind,deep_drawdown_rel_xbi,194,22.32,drug_developer,0.739011,v1.3.0,96f655ee
SRRK,A,9,L,6.74,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,125,3,tailwind,,200,20.98,drug_developer,0.645604,v1.3.0,96f655ee
ATXS,A,10,L,5.73,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,4,2,neutral,,210,20.05,drug_developer,0.887363,v1.3.0,96f655ee
DNTH,A,11,L,5.73,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,154,3,tailwind,,214,19.67,drug_developer,0.947802,v1.3.0,96f655ee
PHVS,A,12,L,4.72,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,specific_days,5,3,neutral,,215,19.59,drug_developer,0.706044,v1.3.0,96f655ee
RAPP,A,13,L,5.73,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,64,2,headwind,,222,18.90,drug_developer,0.821429,v1.3.0,96f655ee
ARTV,A,14,L,4.72,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,specific_days,64,3,tailwind,,224,18.67,drug_developer,0.755495,v1.3.0,96f655ee
ALLO,A,15,L,4.72,high_opt+catalyst_near,tier_a_dev|momentum_tailwind|cost_haircut_<=2000bps,specific_days,2,9,tailwind,deep_drawdown_rel_xbi,225,18.58,drug_developer,0.651099,v1.3.0,96f655ee
NUVL,A,16,L,5.73,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed,specific_days,155,2,neutral,,241,16.83,drug_developer,0.975275,v1.3.0,96f655ee
CGON,A,17,L,5.73,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,125,3,tailwind,,244,16.64,drug_developer,0.892857,v1.3.0,96f655ee
AURA,A,18,M,2.23,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_>2000bps,specific_days,155,2,headwind,deep_drawdown_rel_xbi,245,16.36,drug_developer,0.826923,v1.3.0,96f655ee
FDMT,A,19,S,1.42,high_opt+catalyst_near,tier_a_dev|momentum_headwind|cost_haircut_<=2000bps,specific_days,4,2,headwind,deep_drawdown_rel_xbi,254,15.47,drug_developer,0.909341,v1.3.0,96f655ee
CNTA,A,20,L,5.73,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,63,9,headwind,,256,15.08,drug_developer,0.942308,v1.3.0,96f655ee
