ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,corr_xbi,beta_xbi,vol_blended,vol_63d,vol_252d,max_drawdown_blended,max_drawdown_252d,max_drawdown_2y,risk_data_state_vol,risk_data_state_drawdown,risk_data_state_beta,confidence_risk,defensive_multiplier,defensive_bucket,defensive_notes,rank_driver,fundamental_red_flag,fundamental_red_flag_reasons,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,valuation_raw_metric,valuation_mcap_mm,valuation_denom_trials_total,valuation_denom_trials_p1,valuation_denom_trials_p2,valuation_denom_trials_p3,valuation_denom_trials_reg,valuation_denom_trials_other,valuation_phase_weighted_trials,valuation_metric_pw,valuation_pct_overall,valuation_pct_in_size_bucket,valuation_size_bucket,valuation_applicable,valuation_notes,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos,pit_trials_total,pit_trials_eligible,pit_trials_filtered,pit_trials_no_date,clinical_lead_phase,clinical_lead_nct_id,clinical_recency_days,clinical_score_raw,catalyst_event_count_upcoming,catalyst_confidence_m3,catalyst_window_days_m3,catalyst_window_bucket_m3,catalyst_next_date,catalyst_top_event_type,catalyst_top_event_date
CHRS,11,61.85,1.8396,0.1472,0.9928,,2,0.2299,,0.9928,0.9928,,,,,live,missing,missing,0.53,1.00,neutral,def_not_applied; def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,late,micro,True,92.70,60,0.7180,50.00,50.00,0,67.60,1,Tier1_Holder_1,76.00,MEDIUM,HIGH,90.00,mcap_per_trial,0.8000,10.11,262.894448,26,12,8,4,1,1,25.25,10.41,0.9714,0.8382,micro,True,valuation_mcap_per_trial,50,unknown,,50,,75.0,uncrowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.87,26,26,0,0,approved,NCT06457503,4,72.69,0,MED,,UNKNOWN,,,
ACRS,12,61.80,1.7244,0.138,1.5686,,2,0.2760,,1.5686,1.5686,,,,,live,missing,missing,0.53,1.00,neutral,def_not_applied; def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,late,small,True,86.09,60,0.5373,50.00,36.96,6.52,80.00,3,Tier1_Holder_1; Tier1_Holder_2; Tier1_Holder_3,49.00,LOW,LOW,90.00,mcap_per_trial,0.8000,12.48,374.354464,36,4,24,6,2,0,44.0,8.51,0.9557,0.9861,small,True,valuation_mcap_per_trial,50,unknown,,50,,75.0,uncrowded,86.0,broad_portfolio,0.80500,0.95,0.95,0.30,0.94,36,36,0,0,approved,NCT03380390,4,75.56,2,LOW,179,91_180,2026-08-01,CT_PRIMARY_COMPLETION,2026-08-01
CGEM,13,61.66,1.6906,0.1352,1.1117,,1,0.4931,,1.1117,1.1117,,,,,live,missing,missing,0.53,1.00,neutral,def_not_applied; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,early,small,True,70.44,60,0.2689,80.00,72.67,55.57,80.00,6,Tier1_Holder_1; Tier1_Holder_2; Tier1_Holder_3; Tier1_Holder_4; Tier1_Holder_5; Tier1_Holder_6,59.00,MEDIUM,MODERATE,55.36,mcap_per_trial,0.8000,76.39,763.856064,10,10,0,0,0,0,5.0,152.77,0.5182,0.4769,small,True,valuation_mcap_per_trial,50,unknown,,50,,75.0,uncrowded,74.0,diversified,0.87500,0.95,0.95,0.65,0.40,10,10,0,0,phase 1,NCT05879744,18,46.42,4,HIGH,26,0_30,2026-03-01,CT_PRIMARY_COMPLETION,2026-03-01
OPK,14,61.57,1.7602,0.1408,0.354,,2,0.2563,,0.354,0.354,,,,,live,missing,missing,0.53,1.00,elite,def_not_applied; def_mult_elite_1.40; def_missing_drawdown,alpha,False,,none,late,small,True,30.10,60,-0.2618,50.00,38.08,10.27,59.60,0,,57.00,LOW,LOW,85.65,ev_revenue,0.8000,2.11,996.197376,15,1,2,2,1,9,11.75,84.78,0.7,0.4231,small,True,commercial_revenue_threshold; valuation_ev_revenue,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.80500,0.95,0.95,0.30,0.95,15,15,0,0,approved,NCT07135453,20,74.69,3,LOW,179,91_180,2026-08-01,CT_PRIMARY_COMPLETION,2026-08-01
QURE,15,61.56,1.6587,0.1327,1.3016,,3,0.1181,,1.3016,1.3016,,,,,live,missing,missing,0.53,1.00,penalty,def_not_applied; def_skip_not_elite_vol; def_mult_high_vol_0.97; def_missing_drawdown,alpha,False,,none,mid,small,True,26.57,60,-0.3084,50.00,35.91,3.02,80.00,11,Tier1_Holder_1; Tier1_Holder_10; Tier1_Holder_11; Tier1_Holder_2; Tier1_Holder_3; Tier1_Holder_4; Tier1_Holder_5; Tier1_Holder_6; Tier1_Holder_7; Tier1_Holder_8; Tier1_Holder_9,48.00,MEDIUM,LOW,35.58,mcap_per_trial,0.8000,153.89,1692.775936,11,7,1,0,0,3,5.25,322.43,0.3672,0.2269,small,True,valuation_mcap_per_trial,50,unknown,,50,,75.0,uncrowded,75.0,diversified,0.80500,0.95,0.95,0.30,0.63,11,11,0,0,phase 2,NCT02904772,55,60.68,1,LOW,239,181_365,2026-09-30,CT_PRIMARY_COMPLETION,2026-09-30
ALT,16,61.27,1.6284,0.1303,0.8891,,2,0.3525,,0.8891,0.8891,,,,,live,missing,missing,0.53,1.00,neutral,def_not_applied; def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,late,small,True,73.31,60,0.3068,55.90,44.85,19.07,80.00,2,Tier1_Holder_1; Tier1_Holder_2,47.00,MEDIUM,LOW,82.34,mcap_per_trial,0.8000,35.26,669.988608,19,10,7,0,1,1,15.25,43.93,0.7578,0.7917,small,True,valuation_mcap_per_trial,50,unknown,,50,,100.0,highly_crowded,82.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.92,19,19,0,0,approved,NCT03163342,39,75.04,2,MED,87,31_90,2026-05-01,CT_PRIMARY_COMPLETION,2026-05-01
CATX,17,61.10,1.5995,0.128,0.7923,,1,0.2582,,0.7923,0.7923,,,,,live,missing,missing,0.53,1.00,neutral,def_not_applied; def_skip_not_elite_vol; def_missing_drawdown,alpha,False,,none,early,small,True,24.39,60,-0.3393,56.20,44.88,18.45,78.80,3,Tier1_Holder_1; Tier1_Holder_2; Tier1_Holder_3,65.00,MEDIUM,MODERATE,58.93,mcap_per_trial,0.8000,63.99,383.955712,6,6,0,0,0,0,3.0,127.99,0.5703,0.5509,small,True,valuation_mcap_per_trial,50,unknown,,50,,100.0,highly_crowded,64.0,focused,0.83500,0.95,0.95,0.45,0.40,6,6,0,0,phase 1,NCT06710756,18,48.47,2,MED,86,31_90,2026-04-30,CT_PRIMARY_COMPLETION,2026-04-30
ELVN,18,61.06,1.5718,0.1257,1.2673,,1,0.2578,,1.2673,1.2673,,,,,live,missing,missing,0.53,1.00,neutral,def_not_applied; def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,early,small,True,63.04,60,0.1716,50.00,36.53,5.10,80.00,9,Tier1_Holder_1; Tier1_Holder_2; Tier1_Holder_3; Tier1_Holder_4; Tier1_Holder_5; Tier1_Holder_6; Tier1_Holder_7; Tier1_Holder_8; Tier1_Holder_9,63.00,MEDIUM,MODERATE,16.07,mcap_per_trial,0.8000,408.16,1632.644736,4,4,0,0,0,0,2.0,816.32,0.138,0.0231,small,True,valuation_mcap_per_trial,50,unknown,,50,,100.0,highly_crowded,50.0,focused,0.80500,0.95,0.95,0.30,0.40,4,4,0,0,phase 1,NCT06328738,25,45.83,1,LOW,148,91_180,2026-07-01,CT_PRIMARY_COMPLETION,2026-07-01
CTNM,19,61.03,1.5454,0.1236,0.783,,3,0.0801,,0.783,0.783,,,,,live,missing,missing,0.53,1.00,neutral,def_not_applied; def_skip_not_elite_vol; def_missing_drawdown,alpha,False,,none,mid,small,True,74.82,60,0.3278,84.32,64.06,16.79,80.00,7,Tier1_Holder_1; Tier1_Holder_2; Tier1_Holder_3; Tier1_Holder_4; Tier1_Holder_5; Tier1_Holder_6; Tier1_Holder_7,49.00,LOW,LOW,50.96,mcap_per_trial,0.8000,69.91,559.265856,8,6,2,0,0,0,5.0,111.85,0.5547,0.5231,small,True,valuation_mcap_per_trial,50,unknown,,50,,100.0,crowded,78.0,diversified,0.83500,0.95,0.95,0.45,0.50,8,8,0,0,phase 2,NCT07284459,42,62.92,1,MED,12,0_30,2026-02-15,CT_STUDY_COMPLETION,2026-02-15
GLUE,20,60.69,1.5199,0.1216,1.2054,,1,0.3288,,1.2054,1.2054,,,,,live,missing,missing,0.53,1.00,neutral,def_not_applied; def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,early,small,True,96.55,60,1.5895,80.00,65.00,30.01,80.00,3,Tier1_Holder_1; Tier1_Holder_2; Tier1_Holder_3,75.00,LOW,LOW,27.92,ev_cfo,0.8000,49.89,1574.412928,3,3,0,0,0,0,1.5,1049.61,0.2792,0.2241,small,True,commercial_cfo_positive; valuation_ev_cfo,50,unknown,,50,,100.0,highly_crowded,55.0,concentrated,0.80500,0.95,0.85,0.45,0.40,3,3,0,0,phase 1,NCT07119125,104,47.78,2,MED,26,0_30,2026-03-01,CT_PRIMARY_COMPLETION,2026-05-01
