ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,corr_xbi,beta_xbi,defensive_multiplier,defensive_bucket,defensive_notes,rank_driver,fundamental_red_flag,fundamental_red_flag_reasons,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
CTNM,11,62.47,1.9528,0.1562,0.783,,3,0.0801,,1.00,neutral,def_skip_not_elite_vol; def_missing_drawdown,alpha,False,,none,mid,small,True,74.82,60,0.3278,83.84,63.67,16.60,80.00,4,Baker Bros Advisors; Casdin Capital; Perceptive Advisors; RA Capital Management,49.00,LOW,LOW,51.96,mcap_per_trial,0.8000,50,unknown,,50,,100.0,crowded,78.0,diversified,0.83500,0.95,0.95,0.45,0.50
CHRS,12,61.75,1.8043,0.1443,0.9928,,2,0.2299,,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,late,micro,True,92.70,60,0.7180,50.00,50.00,0,50.00,0,,76.00,MEDIUM,HIGH,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.87
DNA,13,61.08,1.3848,0.1108,0.7795,,2,0.4301,,1.0500,neutral,def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,late,small,True,20.81,60,-0.3971,80.00,86.00,100.00,64.29,5,Casdin Capital,68.00,LOW,MODERATE,90.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.87
ENTA,14,61.04,1.8494,0.148,0.5086,,3,0.2510,,1.00,neutral,def_skip_not_elite_vol; def_missing_drawdown,alpha,False,,none,mid,small,True,54.63,60,0.0642,50.00,50.00,0,64.29,4,Krensavage Asset Management,61.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,82.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.61
ALT,15,60.91,1.6207,0.1297,0.8891,,2,0.3525,,1.018500,neutral,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,late,small,True,73.31,60,0.3068,55.30,43.02,14.35,50.00,2,,47.00,MEDIUM,LOW,80.96,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,82.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.92
CATX,16,60.30,1.7238,0.1379,0.7923,,1,0.2582,,1.00,neutral,def_skip_not_elite_vol; def_missing_drawdown,alpha,False,,none,early,micro,True,24.39,60,-0.3393,55.60,43.25,14.44,50.00,0,,65.00,MEDIUM,MODERATE,62.50,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,64.0,focused,0.83500,0.95,0.95,0.45,0.40
AMGN,17,60.26,1.6874,0.135,0.2777,-0.2206,2,0.4389,,1.00,neutral,,alpha,False,,none,late,large,True,44.43,60,-0.0773,80.00,86.00,100.00,61.43,5,Sectoral Asset Management,61.00,LOW,LOW,46.09,ev_cfo,0.8000,50,unknown,,73.8,ODD; BTD; FT,75.0,uncrowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.87
MBX,18,59.54,1.4306,0.1144,0.9974,,3,0.3023,,1.018500,neutral,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,mid,small,True,92.75,60,0.7197,50.00,50.00,0,80.00,6,Baker Bros Advisors; Cormorant Asset Management; EcoR1 Capital; Opaleye Management; Orbimed Advisors; Rock Springs Capital Management,75.00,LOW,LOW,18.63,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,75.0,diversified,0.83500,0.95,0.95,0.45,0.58
XNCR,19,59.51,1.5605,0.1248,0.5714,,3,0.6238,,1.00,neutral,def_missing_drawdown,alpha,False,,none,mid,small,True,42.98,60,-0.0975,50.00,50.00,0,80.00,6,Baker Bros Advisors; Deep Track Capital; EcoR1 Capital; RTW Investments,77.00,MEDIUM,HIGH,73.53,mcap_per_trial,0.8000,35.62,strong,Janssen,64.8,ODD; FT,100.0,highly_crowded,82.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.53
ACRS,20,59.34,1.4074,0.1126,1.5686,,2,0.2760,,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,late,small,True,86.09,60,0.5373,50.00,50.00,0,80.00,6,Logos Global Management; Palo Alto Investors; Rock Springs Capital Management,49.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.94
ANAB,21,58.60,1.4796,0.1184,0.5912,,3,0.3497,,1.00,neutral,def_skip_vol_too_high; def_missing_drawdown,alpha,False,,none,mid,small,True,72.89,60,0.3011,55.09,40.18,5.38,80.00,3,EcoR1 Capital; Palo Alto Investors; Sofinnova Investments,80.00,HIGH,HIGH,34.31,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,74.0,diversified,0.80500,0.95,0.95,0.30,0.58
UTHR,22,58.58,0.9903,0.0792,0.2791,-0.0118,2,0.3372,0.2877,1.1000,good,def_mult_good_1.10,alpha,False,,none,late,large,True,46.87,60,-0.0435,65.00,60.13,48.77,80.00,4,Acuta Capital Partners; Krensavage Asset Management; Palo Alto Investors; Sofinnova Investments,68.00,LOW,LOW,66.41,ev_cfo,0.8000,50,unknown,,69.0,ODD; BTD,100.0,highly_crowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.90
BIIB,23,58.53,1.4547,0.1164,0.3103,-0.2549,2,0.4030,,1.00,neutral,,alpha,False,,none,late,large,True,44.69,60,-0.0737,80.00,86.00,100.00,80.00,10,Krensavage Asset Management; Logos Global Management; Palo Alto Investors; Sectoral Asset Management; Suvretta Capital Management; Tang Capital Partners,75.00,LOW,LOW,63.28,ev_cfo,0.8000,50,unknown,,73.8,ODD; BTD; FT,100.0,highly_crowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.84
REGN,24,58.29,0.9362,0.0749,0.388,,2,0.3749,,1.1000,good,def_mult_good_1.10; def_missing_drawdown,alpha,False,,none,late,large,True,47.79,60,-0.0308,80.00,86.00,100.00,80.00,9,Krensavage Asset Management; Rock Springs Capital Management; Sectoral Asset Management; Suvretta Capital Management; Tang Capital Partners,68.00,LOW,LOW,64.84,ev_cfo,0.8000,50,unknown,,69.0,ODD; BTD,100.0,highly_crowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.95
ACAD,25,57.92,1.363,0.109,0.3548,-0.0517,2,0.4041,0.9418,1.00,neutral,,alpha,False,,none,late,mid,True,39.21,60,-0.1499,69.50,59.20,35.15,80.00,5,Baker Bros Advisors; Palo Alto Investors; RTW Investments; Sofinnova Investments; Tang Capital Partners,61.00,LOW,LOW,52.34,ev_cfo,0.8000,31.39,strong,Takeda,73.8,ODD; BTD; FT,100.0,highly_crowded,83.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.84
QURE,26,57.80,1.5899,0.1272,1.3016,,3,0.1181,,0.9700,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_missing_drawdown,alpha,False,,none,mid,small,True,26.57,60,-0.3084,50.00,50.00,0,80.00,5,EcoR1 Capital; Perceptive Advisors; RA Capital Management; RTW Investments; Sofinnova Investments,48.00,MEDIUM,LOW,38.24,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,75.0,diversified,0.83500,0.95,0.95,0.45,0.63
EWTX,27,57.78,1.1904,0.0952,1.0759,,3,0.5383,,1.018500,neutral,def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,mid,mid,True,83.28,60,0.4750,55.90,52.05,43.06,80.00,9,Baker Bros Advisors; Cormorant Asset Management; Deerfield Management; Opaleye Management; Orbimed Advisors; Perceptive Advisors; RA Capital Management; Sofinnova Investments; Tang Capital Partners,77.00,LOW,MODERATE,26.47,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,72.0,diversified,0.83500,0.95,0.95,0.45,0.53
UPB,28,57.37,1.3418,0.1073,0.6702,,3,0.5630,,1.00,neutral,def_missing_drawdown,alpha,False,,none,mid,small,True,64.73,60,0.1938,88.00,72.42,36.05,76.60,4,Great Point Partners; Samsara BioCapital,63.00,LOW,MODERATE,14.71,mcap_per_trial,0.8000,50,unknown,,50,,90.0,moderate,75.0,diversified,0.87500,0.95,0.95,0.65,0.56
GLUE,29,57.18,1.1565,0.0925,1.2054,,1,0.3288,,1.018500,neutral,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,early,small,True,96.55,60,1.5895,80.00,64.90,29.67,71.00,2,Baker Bros Advisors; Casdin Capital,75.00,LOW,LOW,22.66,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,55.0,concentrated,0.80500,0.95,0.85,0.45,0.40
IONS,30,57.08,1.3212,0.1057,0.2985,-0.0423,2,0.5196,0.8532,1.00,neutral,,alpha,False,,none,late,large,True,59.09,60,0.1263,80.00,85.38,97.92,61.00,1,Baker Bros Advisors,79.00,LOW,MODERATE,17.03,ev_revenue,0.8000,72.35,exceptional,Biogen; Roche; AstraZeneca,64.8,ODD; FT,75.0,uncrowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.80
SABS,31,57.02,1.3011,0.1041,,,3,,,1.00,neutral,def_corr_missing; def_missing_volatility; def_missing_drawdown,alpha,False,,none,mid,micro,True,67.05,60,0.2244,50.00,50.00,0,50.00,0,,44.00,LOW,LOW,77.45,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,80.0,diversified,0.83500,0.95,0.95,0.45,0.61
HRTX,32,56.77,1.2256,0.098,0.4900,-0.2429,2,0.5107,,1.00,neutral,,alpha,False,,none,late,micro,True,38.44,60,-0.1520,50.00,50.00,0,61.00,1,Baker Bros Advisors,80.00,MEDIUM,HIGH,90.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.87
CGEM,33,56.76,1.1401,0.0912,1.1117,,1,0.4931,,1.018500,neutral,def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,early,small,True,70.44,60,0.2689,80.00,70.07,46.90,61.00,1,RTW Investments,59.00,MEDIUM,MODERATE,51.79,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,74.0,diversified,0.87500,0.95,0.95,0.65,0.40
NVCR,34,56.76,1.2078,0.0966,0.5194,-0.2551,2,0.5639,,1.00,neutral,,alpha,False,,none,late,small,True,35.56,60,-0.1900,80.61,77.18,69.17,61.00,1,Palo Alto Investors,66.00,LOW,MODERATE,86.26,ev_revenue,0.8000,50,unknown,,50,,75.0,uncrowded,86.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.87
QSI,35,56.59,1.1733,0.0939,0.7154,,2,0.4481,,1.00,neutral,def_missing_drawdown,alpha,False,,none,late,micro,True,18.39,60,-0.4416,65.00,66.71,70.71,50.00,0,,53.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.95
BMRN,36,55.63,1.0328,0.0826,0.4294,-0.1740,2,0.4452,0.7339,1.029000,neutral,def_mult_momentum_bonus_1.05; def_mult_rsi_overbought_0.98,alpha,False,,none,late,large,True,33.90,60,-0.2119,50.00,50.00,0,50.00,0,,64.00,LOW,LOW,67.97,ev_cfo,0.8000,43.75,strong,Sarepta,69.0,ODD; BTD,75.0,uncrowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.95
BEAM,37,55.43,1.124,0.0899,0.7330,-0.3508,1,0.6600,,1.00,neutral,def_warn_drawdown_gt_30pct,alpha,False,,none,early,mid,True,54.46,60,0.0620,50.00,50.00,0,50.00,0,,80.00,MEDIUM,HIGH,19.64,mcap_per_trial,0.8000,61.81,exceptional,Pfizer; Eli Lilly,76.2,ODD; BTD; RMAT,100.0,highly_crowded,75.0,diversified,0.83000,0.95,0.95,0.45,0.50
CDNA,38,55.42,1.1082,0.0887,0.5165,-0.3517,2,0.3985,,1.00,neutral,def_skip_vol_too_high; def_warn_drawdown_gt_30pct,alpha,False,,none,late,small,True,64.72,60,0.1937,80.00,82.42,88.05,61.00,1,Palo Alto Investors,79.00,LOW,MODERATE,30.47,ev_cfo,0.8000,50,unknown,,50,,90.0,moderate,88.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.87
IRWD,39,55.29,2.1634,0.1731,1.2561,-0.7582,2,0.2723,,0.87455200,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_rsi_overbought_0.98; def_mult_drawdown_penalty_0.92,defensive_penalty,False,,none,late,small,True,96.55,60,2.1626,50.00,50.00,0,50.00,0,,48.00,LOW,LOW,47.66,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,80.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.92
ANRO,40,55.13,1.2438,0.0995,0.9516,,2,0.3332,,0.9700,penalty,def_skip_vol_too_high; def_mult_high_vol_0.97; def_missing_drawdown,alpha,False,,none,late,small,True,96.55,60,1.1037,80.48,60.93,15.31,71.00,2,Orbimed Advisors; Perceptive Advisors,72.00,LOW,LOW,76.90,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,68.0,diversified,0.83500,0.95,0.95,0.45,0.87
ARDX,41,54.91,1.0184,0.0815,0.8641,,2,0.1926,,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,late,small,True,60.56,60,0.1467,50.00,50.00,0,61.00,1,Rock Springs Capital Management,53.00,LOW,LOW,48.90,ev_revenue,0.8000,50,unknown,,50,,75.0,uncrowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.92
ASMB,42,54.53,1.0926,0.0874,,,3,,,1.00,neutral,def_corr_missing; def_missing_volatility; def_missing_drawdown,alpha,False,,none,mid,small,True,32.26,60,-0.2334,50.00,50.00,0,50.00,0,,63.00,LOW,MODERATE,83.33,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,79.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.61
JAZZ,43,54.35,1.0622,0.085,0.4687,-0.0603,2,0.2700,0.4019,1.00,neutral,def_skip_not_elite_vol,alpha,False,,none,late,mid,True,49.94,60,-0.0009,67.70,62.93,51.81,80.00,4,Acuta Capital Partners; EcoR1 Capital; Krensavage Asset Management; Sofinnova Investments,57.00,LOW,LOW,69.53,ev_cfo,0.8000,50,unknown,,50,,90.0,moderate,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.87
SUPN,44,54.11,1.0474,0.0838,0.4534,,2,0.1978,,1.00,neutral,def_skip_not_elite_vol; def_missing_drawdown,alpha,False,,none,late,mid,True,32.11,60,-0.2354,50.00,50.00,0,50.00,0,,77.00,LOW,MODERATE,10.94,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.84
AVIR,45,53.96,0.8599,0.0688,0.5268,,2,0.2224,,1.0500,neutral,def_skip_not_elite_vol; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,late,small,True,43.83,60,-0.0857,50.00,50.00,0,50.00,0,,73.00,LOW,MODERATE,90.00,ev_revenue,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.78
GH,46,53.66,0.8356,0.0668,0.6981,,2,0.1582,,1.0500,neutral,def_skip_not_elite_vol; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,late,large,True,71.97,60,0.2891,80.00,86.00,100.00,80.00,7,Casdin Capital; Deep Track Capital; RTW Investments,61.00,LOW,LOW,10.00,ev_revenue,0.8000,50,unknown,,50,,100.0,crowded,88.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.87
AGIO,47,53.58,1.6531,0.1322,1.0519,-0.5089,2,0.3352,,0.892400,penalty,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_drawdown_penalty_0.92,defensive_penalty,False,,none,late,small,True,19.37,60,-0.4229,80.00,80.72,82.41,80.00,6,Baker Bros Advisors; Palo Alto Investors; Rock Springs Capital Management,57.00,LOW,MODERATE,71.83,mcap_per_trial,0.8000,50,unknown,,73.8,ODD; BTD; FT,100.0,highly_crowded,83.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.87
DNLI,48,53.31,0.8974,0.0718,0.5691,-0.3660,2,0.7116,,1.0300,neutral,def_mult_rsi_oversold_1.03; def_warn_drawdown_gt_30pct,alpha,False,,none,late,mid,True,58.35,60,0.1160,80.00,75.16,63.88,69.00,2,Baker Bros Advisors; Palo Alto Investors,67.00,LOW,MODERATE,47.97,mcap_per_trial,0.8000,45.82,exceptional,Biogen,50,,75.0,uncrowded,83.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.80
LAB,49,53.19,0.9765,0.0781,0.7324,,2,0.1371,,1.00,neutral,def_skip_not_elite_vol; def_missing_drawdown,alpha,False,,none,late,small,True,47.17,60,-0.0392,80.00,86.00,100.00,61.00,1,Casdin Capital,61.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.87
SRPT,50,52.46,1.5055,0.1204,1.0694,-0.8253,2,0.4354,2.0634,0.892400,penalty,def_mult_high_vol_0.97; def_mult_drawdown_penalty_0.92,defensive_penalty,False,,none,late,mid,True,31.35,60,-0.2454,50.00,41.68,22.27,58.00,1,Opaleye Management,75.00,MEDIUM,HIGH,90.00,ev_revenue,0.8000,48.75,exceptional,Roche,81.0,ODD; BTD; RMAT; FT,75.0,uncrowded,88.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.95
PTCT,51,52.23,0.9231,0.0738,0.3495,-0.3397,2,0.6350,,1.00,neutral,def_warn_drawdown_gt_30pct,alpha,False,,none,late,mid,True,52.13,60,0.0296,55.60,43.25,14.44,80.00,9,Palo Alto Investors; RTW Investments; Sectoral Asset Management; Sofinnova Investments; Tang Capital Partners,79.00,LOW,MODERATE,85.16,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.80
ALDX,52,51.71,0.8848,0.0708,,,2,,,1.00,neutral,def_corr_missing; def_missing_volatility; def_missing_drawdown,alpha,False,,none,late,small,True,38.30,60,-0.1539,50.00,50.00,0,72.00,2,Palo Alto Investors; Perceptive Advisors,64.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,90.0,moderate,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.78
IMRX,53,51.44,0.9495,0.076,1.1957,,1,0.2666,,0.9700,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_missing_drawdown,alpha,False,,none,early,micro,True,30.71,60,-0.2538,50.00,50.00,0,78.00,4,Avidity Partners Management; Logos Global Management,41.00,MEDIUM,LOW,50,neutral,0.2,50,unknown,,50,,100.0,highly_crowded,42.0,concentrated,0.74500,0.95,0.85,0.45,0.40
VYGR,54,51.12,0.8477,0.0678,0.56,,1,0.5912,,1.00,neutral,def_missing_drawdown,alpha,False,,none,early,micro,True,31.15,60,-0.2480,50.00,50.00,0,58.57,3,EcoR1 Capital,57.00,LOW,LOW,76.79,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,67.0,focused,0.83500,0.95,0.95,0.45,0.37
INDV,55,51.06,0.8236,0.0659,0.4169,,2,0.1532,,1.00,neutral,def_skip_not_elite_vol; def_missing_drawdown,alpha,False,,none,late,mid,True,48.56,60,-0.0200,50.00,50.00,0,50.00,0,,48.00,LOW,LOW,50.78,ev_cfo,0.8000,50,unknown,,50,,90.0,moderate,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.84
SIGA,56,50.64,0.8117,0.0649,0.5084,,2,0.1682,,1.00,neutral,def_skip_not_elite_vol; def_missing_drawdown,alpha,False,,none,late,small,True,21.57,60,-0.3841,50.00,50.00,0,50.00,0,,53.00,LOW,LOW,90.00,ev_cfo,0.8000,50,unknown,,59.8,PR; FT,100.0,highly_crowded,79.0,diversified,0.83500,0.95,0.95,0.45,0.95
DVAX,57,50.49,0.8723,0.0698,0.7250,-0.3926,2,0.2577,,0.9800,neutral,def_skip_not_elite_vol; def_mult_rsi_overbought_0.98; def_warn_drawdown_gt_30pct,alpha,False,,none,late,small,True,59.99,60,0.1388,50.00,50.00,0,58.57,4,Deep Track Capital,75.00,LOW,LOW,32.03,ev_cfo,0.8000,50,unknown,,50,,100.0,crowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.78
APLS,58,50.35,0.8,0.064,0.7133,-0.3677,2,0.2907,,1.00,neutral,def_skip_not_elite_vol; def_warn_drawdown_gt_30pct,alpha,False,,none,late,mid,True,28.17,60,-0.2872,50.00,50.00,0,72.00,2,EcoR1 Capital; Rock Springs Capital Management,66.00,MEDIUM,MODERATE,27.34,ev_cfo,0.8000,49.75,exceptional,Swedish Orphan Biovitrum,69.0,ODD; BTD,90.0,moderate,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.72
TVTX,59,50.31,0.7883,0.0631,0.7066,,2,0.2672,,1.00,neutral,def_skip_not_elite_vol; def_missing_drawdown,alpha,False,,none,late,mid,True,42.18,60,-0.1086,65.30,50.83,17.07,80.00,4,Palo Alto Investors; Perceptive Advisors; RA Capital Management; Rock Springs Capital Management,48.00,MEDIUM,LOW,43.41,ev_revenue,0.8000,50,unknown,,50,,75.0,uncrowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.95
GILD,60,50.30,0.7768,0.0621,0.2352,-0.1367,2,0.2668,,1.0,neutral,def_mult_elite_1.40; def_boost_gated_below_51_in_2,alpha,False,,none,late,large,True,44.93,60,-0.0705,80.00,86.00,100.00,61.00,1,Sofinnova Investments,57.00,LOW,LOW,44.53,ev_cfo,0.8000,46.37,exceptional,Galapagos; Arcus Biosciences,50,,100.0,highly_crowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.95
DSGN,61,50.25,0.7653,0.0612,0.7359,,3,0.5494,,1.00,neutral,def_missing_drawdown,alpha,False,,none,mid,small,True,87.43,60,0.5700,50.00,50.00,0,80.00,3,Baker Bros Advisors; RA Capital Management; Tang Capital Partners,53.00,LOW,LOW,42.16,mcap_per_trial,0.8000,50,unknown,,50,,60.0,uncrowded,64.0,focused,0.83500,0.95,0.95,0.45,0.53
GERN,62,50.24,0.7428,0.0594,0.5659,,2,0.4758,,1.00,neutral,def_missing_drawdown,alpha,False,,none,late,small,True,37.47,60,-0.1648,50.00,50.00,0,50.00,0,,75.00,LOW,MODERATE,79.44,mcap_per_trial,0.8000,50,unknown,,64.8,ODD; FT,90.0,moderate,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.70
KYMR,63,50.20,0.754,0.0603,0.8541,-0.2367,3,0.4055,1.2991,0.999100,neutral,def_mult_high_vol_0.97; def_mult_rsi_oversold_1.03,alpha,False,,none,mid,mid,True,54.97,60,0.0690,50.00,50.00,0,80.00,4,Baker Bros Advisors; Deerfield Management; Perceptive Advisors; Rock Springs Capital Management,70.00,LOW,MODERATE,10.00,mcap_per_trial,0.8000,60.46,exceptional,Sanofi; Vertex,64.8,ODD; FT,100.0,crowded,78.0,diversified,0.83000,0.95,0.95,0.45,0.53
TARS,64,50.04,1.0773,0.0862,0.4256,-0.4018,2,0.4285,,0.9200,penalty,def_mult_drawdown_penalty_0.92,alpha,False,,none,late,mid,True,35.48,60,-0.1911,50.00,50.00,0,80.00,6,Ally Bridge Group; Cormorant Asset Management; Orbimed Advisors; RTW Investments; Rock Springs Capital Management; Tang Capital Partners,86.00,LOW,MODERATE,41.21,ev_revenue,0.8000,50,unknown,,50,,75.0,uncrowded,76.0,diversified,0.83500,0.95,0.95,0.45,0.89
NBIX,65,50.03,0.7205,0.0576,0.3467,,2,0.4815,,1.00,neutral,def_missing_drawdown,alpha,False,,none,late,large,True,30.27,60,-0.2597,80.00,86.00,100.00,80.00,11,Deerfield Management; Orbimed Advisors; Palo Alto Investors; Perceptive Advisors; RTW Investments; Rock Springs Capital Management; Sectoral Asset Management; Tang Capital Partners,68.00,LOW,LOW,38.28,ev_cfo,0.8000,38.30,strong,Takeda,69.0,ODD; BTD,100.0,highly_crowded,88.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.84
ELVN,66,49.74,0.7096,0.0568,1.2673,,1,0.2578,,1.0,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_1; def_missing_drawdown,alpha,False,,none,early,small,True,63.04,60,0.1716,50.00,50.00,0,80.00,4,Baker Bros Advisors; Cormorant Asset Management; Orbimed Advisors; Rock Springs Capital Management,63.00,MEDIUM,MODERATE,16.07,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,50.0,focused,0.83500,0.95,0.95,0.45,0.40
RARE,67,49.74,1.2625,0.101,1.2539,-0.5068,2,0.3802,1.7722,0.8732134000,penalty,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_penalty_0.95; def_mult_rsi_oversold_1.03; def_mult_drawdown_penalty_0.92,defensive_penalty,False,,none,late,mid,True,21.11,60,-0.3918,50.00,50.00,0,80.00,5,Baker Bros Advisors; Palo Alto Investors; RTW Investments; Rock Springs Capital Management,60.00,LOW,LOW,54.40,ev_revenue,0.8000,33.82,strong,Alexion,76.2,ODD; BTD; RMAT,75.0,uncrowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.95
MNKD,68,49.62,0.6987,0.0559,0.4616,,2,0.3317,,1.0,neutral,def_mult_good_1.10; def_boost_gated_below_51_in_2; def_missing_drawdown,alpha,False,,none,late,small,True,48.83,60,-0.0162,65.30,50.83,17.07,50.00,0,,47.00,LOW,LOW,10.94,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.92
INVA,69,49.29,0.6772,0.0542,0.3385,,2,0.1955,,1.0,neutral,def_mult_elite_1.40; def_boost_gated_below_51_in_2; def_missing_drawdown,alpha,False,,none,late,small,True,36.60,60,-0.1764,50.00,50.00,0,50.00,0,,63.00,LOW,MODERATE,86.72,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,75.0,diversified,0.83500,0.95,0.95,0.45,0.87
ANIP,70,49.07,0.6665,0.0533,0.3545,,2,0.0607,,1.0,neutral,def_mult_elite_1.40; def_boost_gated_below_51_in_2; def_missing_drawdown,alpha,False,,none,late,small,True,31.72,60,-0.2406,50.00,50.00,0,61.43,5,Deep Track Capital,63.00,MEDIUM,MODERATE,71.09,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,76.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.87
