ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,corr_xbi,beta_xbi,defensive_multiplier,defensive_bucket,defensive_notes,rank_driver,fundamental_red_flag,fundamental_red_flag_reasons,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
PRLD,271,12.62,-1.3848,-0.1108,,,3,,,1.00,neutral,def_corr_missing; def_missing_volatility; def_missing_drawdown,alpha,False,,sev2,mid,micro,True,74.36,60,0.3212,50.00,50.00,0,61.00,1,Baker Bros Advisors,44.00,MEDIUM,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,72.0,diversified,0.83500,0.95,0.95,0.45,0.53
VOR,272,12.50,-1.4074,-0.1126,1.6831,,2,0.2000,,1.0,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_2; def_missing_drawdown,alpha,False,,sev1,late,small,True,11.85,60,-0.5883,50.00,50.00,0,61.00,1,RA Capital Management,47.00,LOW,LOW,58.12,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,82.0,diversified,0.83500,0.95,0.95,0.45,0.70
RNA,273,11.96,-1.4306,-0.1144,0.7513,-0.0037,2,0.2521,1.1040,1.00,neutral,def_skip_not_elite_vol,alpha,False,,sev2,late,large,True,46.72,60,-0.0456,50.00,50.00,0,80.00,9,Baker Bros Advisors; Casdin Capital; Cormorant Asset Management; EcoR1 Capital; Orbimed Advisors; Palo Alto Investors; RA Capital Management; RTW Investments; Sofinnova Investments,68.00,LOW,LOW,10.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,76.0,diversified,0.83000,0.95,0.95,0.45,0.80
BLTE,274,11.47,-1.4796,-0.1184,,,2,,,1.00,neutral,def_corr_missing; def_missing_volatility; def_missing_drawdown,alpha,False,,sev2,late,mid,True,83.40,60,0.4775,50.00,50.00,0,50.00,0,,38.00,LOW,LOW,10.00,mcap_per_trial,0.8000,50,unknown,,50,,90.0,moderate,76.0,diversified,0.74500,0.65,0.95,0.45,0.78
ERAS,275,11.27,-1.5055,-0.1204,1.2457,,2,0.3720,,1.0,neutral,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_2; def_missing_drawdown,alpha,False,,none,late,mid,True,96.55,60,3.5946,50.00,50.00,0,50.00,0,,48.00,LOW,LOW,27.66,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,75.0,diversified,0.83500,0.95,0.95,0.45,0.70
ALMS,276,11.03,-1.5324,-0.1226,2.1586,,2,0.2299,,1.0,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_2; def_missing_drawdown,alpha,False,,sev2,late,mid,True,96.55,60,3.9195,50.00,50.00,0,80.00,6,Baker Bros Advisors; Cormorant Asset Management; Opaleye Management; Orbimed Advisors; Tang Capital Partners; Venbio Partners,44.00,MEDIUM,LOW,34.77,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,79.0,diversified,0.83500,0.95,0.95,0.45,0.77
EDIT,277,10.86,-1.4547,-0.1164,0.8096,-0.5205,1,0.5795,,0.91917200,penalty,def_mult_high_vol_0.97; def_mult_rsi_oversold_1.03; def_mult_drawdown_penalty_0.92,alpha,False,,sev2,early,micro,True,19.55,60,-0.4197,50.00,50.00,0,50.00,0,,59.00,LOW,MODERATE,73.21,mcap_per_trial,0.8000,39.40,strong,Bristol-Myers Squibb,76.2,ODD; BTD; RMAT,100.0,highly_crowded,64.0,focused,0.83500,0.95,0.95,0.45,0.50
AKRO,278,10.66,-1.5605,-0.1248,,,2,,,1.00,neutral,def_corr_missing; def_missing_volatility; def_missing_drawdown,suppressed,True,cash_runway_lt_6m; survivability_critical,sev2,late,unknown,True,50,,,65.30,50.83,17.07,80.00,7,Baker Bros Advisors; Orbimed Advisors; Perceptive Advisors; RTW Investments; Redmile Group; Rock Springs Capital Management; Sofinnova Investments,50,UNKNOWN,UNKNOWN,50,neutral,0.2,50,unknown,,50,,100.0,highly_crowded,75.0,diversified,0.455,0.1,0.95,0.45,0.75
LENZ,279,10.10,-1.5899,-0.1272,1.0281,,2,0.2579,,1.0,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_2; def_missing_drawdown,suppressed,True,survivability_critical,sev2,late,small,True,16.08,60,-0.4887,50.00,50.00,0,80.00,6,Ally Bridge Group; RA Capital Management; RTW Investments; Rock Springs Capital Management; Samsara BioCapital; Tang Capital Partners,66.00,HIGH,HIGH,72.84,mcap_per_trial,0.8000,50,unknown,,50,,25.0,uncrowded,76.0,diversified,0.83500,0.95,0.95,0.45,0.78
CNTX,280,9.59,-1.6207,-0.1297,,,3,,,1.00,neutral,def_corr_missing; def_missing_volatility; def_missing_drawdown,suppressed,True,cash_runway_lt_6m; survivability_critical,sev2,mid,unknown,True,50,,,50.00,50.00,0,80.00,4,Avidity Partners Management; Deep Track Capital; Great Point Partners,50,UNKNOWN,UNKNOWN,50,neutral,0.2,50,unknown,,50,,100.0,highly_crowded,72.0,diversified,0.455,0.1,0.95,0.45,0.53
URGN,281,9.56,-1.6531,-0.1322,0.7699,,2,0.3270,,1.00,neutral,def_skip_vol_too_high; def_missing_drawdown,alpha,False,,sev2,late,small,True,38.16,60,-0.1558,65.30,50.83,17.07,72.00,2,Palo Alto Investors; RTW Investments,68.00,MEDIUM,HIGH,75.38,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.75
SLDB,282,8.90,-1.6874,-0.135,0.8641,,2,0.5632,,1.0,neutral,def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_2; def_missing_drawdown,alpha,False,,sev2,late,small,True,45.05,60,-0.0688,50.00,50.00,0,80.00,5,Ally Bridge Group; Bain Capital Life Sciences; Perceptive Advisors; RA Capital Management; Redmile Group,79.00,LOW,MODERATE,62.18,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,79.0,diversified,0.83000,0.95,0.95,0.45,0.67
MRUS,283,8.79,-1.8043,-0.1443,,,2,,,1.00,neutral,def_corr_missing; def_missing_volatility; def_missing_drawdown,suppressed,True,cash_runway_lt_6m; survivability_critical,sev2,late,unknown,True,50,,,81.33,67.14,34.03,80.00,5,Baker Bros Advisors; Perceptive Advisors; RTW Investments; Rock Springs Capital Management; Sofinnova Investments,50,UNKNOWN,UNKNOWN,50,neutral,0.2,50,unknown,,50,,100.0,highly_crowded,76.0,diversified,0.495,0.1,0.95,0.65,0.70
IOVA,284,8.57,-1.7626,-0.141,0.9724,,2,0.5197,,0.9700,penalty,def_mult_high_vol_0.97; def_missing_drawdown,alpha,False,,sev2,late,small,True,55.27,60,0.0732,55.30,43.02,14.35,70.00,3,Palo Alto Investors; Tang Capital Partners,74.00,HIGH,HIGH,82.99,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.70
NMRA,285,8.46,-1.8494,-0.148,0.9459,,2,0.3222,,1.0,neutral,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_2; def_missing_drawdown,alpha,False,,sev2,late,small,True,30.52,60,-0.2563,80.00,64.90,29.67,60.00,3,Tang Capital Partners,64.00,LOW,LOW,73.35,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,79.0,diversified,0.83500,0.95,0.95,0.45,0.67
VRDN,286,8.35,-1.8985,-0.1519,,,2,,,1.00,neutral,def_corr_missing; def_missing_volatility; def_missing_drawdown,alpha,False,,sev2,late,mid,True,72.63,60,0.2978,80.00,76.45,68.16,72.00,2,Baker Bros Advisors; Perceptive Advisors,65.00,LOW,LOW,22.08,mcap_per_trial,0.8000,50,unknown,,50,,75.0,moderate,68.0,diversified,0.87500,0.95,0.95,0.65,0.75
OCGN,287,8.18,-1.7238,-0.1379,0.7585,-0.4372,2,0.2393,,0.9200,penalty,def_skip_not_elite_vol; def_mult_drawdown_penalty_0.92,alpha,False,,sev2,late,small,True,45.93,60,-0.0565,89.33,73.47,36.47,50.00,0,,69.00,MEDIUM,MODERATE,79.95,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,79.0,diversified,0.87000,0.95,0.95,0.65,0.78
PRAX,288,7.94,-2.0134,-0.1611,0.9863,,2,0.0599,,1.0,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_2; def_missing_drawdown,alpha,False,,sev2,late,mid,True,96.55,60,1.8917,50.00,50.00,0,80.00,7,Acuta Capital Partners; Ally Bridge Group; Baker Bros Advisors; Cormorant Asset Management; Deerfield Management; Perceptive Advisors; Sofinnova Investments,69.00,LOW,MODERATE,14.47,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.67
SMMT,289,7.80,-2.0826,-0.1666,0.5984,,2,0.4787,,1.00,neutral,def_missing_drawdown,alpha,False,,sev2,late,large,True,17.32,60,-0.4627,67.70,52.75,17.88,80.00,4,Baker Bros Advisors; Rock Springs Capital Management; Sofinnova Investments; Tang Capital Partners,70.00,HIGH,HIGH,22.59,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.70
TNYA,290,7.73,-1.9528,-0.1562,1.1737,,1,0.3759,,0.9700,penalty,def_skip_vol_too_high; def_mult_high_vol_0.97; def_missing_drawdown,alpha,False,,sev2,early,micro,True,14.51,60,-0.5235,55.30,43.02,14.35,67.14,4,Casdin Capital; Ghost Tree Capital,50.00,MEDIUM,LOW,66.07,mcap_per_trial,0.8000,50,unknown,,50,,40.0,uncrowded,54.0,focused,0.83500,0.95,0.95,0.45,0.40
BMEA,291,7.03,-2.1634,-0.1731,,,3,,,1.00,neutral,def_corr_missing; def_missing_volatility; def_missing_drawdown,alpha,False,,sev2,mid,micro,True,26.71,60,-0.3066,55.30,43.02,14.35,58.57,3,Cormorant Asset Management,64.00,MEDIUM,MODERATE,90.00,ev_revenue,0.8000,50,unknown,,50,,100.0,highly_crowded,70.0,focused,0.83500,0.95,0.95,0.45,0.53
SION,292,6.92,-2.2615,-0.1809,0.7836,,3,0.3424,,1.00,neutral,def_skip_vol_too_high; def_missing_drawdown,alpha,False,,sev2,mid,small,True,72.36,60,0.2942,50.00,50.00,0,80.00,4,Baker Bros Advisors; Perceptive Advisors; RA Capital Management; Rock Springs Capital Management,68.00,LOW,MODERATE,50,neutral,0.2,50,unknown,,50,,100.0,highly_crowded,46.0,concentrated,0.74500,0.95,0.85,0.45,0.63
STRO,293,6.57,-2.3878,-0.191,1.0735,,3,0.4541,,1.0,neutral,def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_3; def_missing_drawdown,alpha,False,,sev2,mid,micro,True,78.64,60,0.3875,50.00,50.00,0,50.00,0,,60.00,LOW,LOW,87.25,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,75.0,diversified,0.83500,0.95,0.95,0.45,0.53
IBRX,294,4.76,-2.57,-0.2056,1.3149,,2,0.2568,,1.0,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_2; def_missing_drawdown,alpha,False,,sev2,late,mid,True,96.55,60,1.3459,71.30,60.74,36.10,50.00,0,,53.00,HIGH,MODERATE,39.34,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.70
OABI,295,3.83,-2.93,-0.2344,0.5798,,1,0.5379,,1.00,neutral,def_missing_drawdown,suppressed,True,single_asset_early_stage,sev2,early,micro,True,44.16,60,-0.0811,50.00,50.00,0,50.00,0,,55.00,LOW,LOW,50,neutral,0.2,50,unknown,,50,,50.0,moderate,35.0,single_asset,0.74000,0.95,0.85,0.45,0.35
