rank,ticker,composite_score,risk_adjusted_score,expected_excess_return,score_z,stage_bucket,market_cap_bucket,severity,clinical_score,financial_score,catalyst_score,pos_score,smart_money_score,confidence_overall,confidence_clinical,confidence_catalyst,conviction_overlap,tier1_conviction_overlap,tier1_count,coinvest_overlap_count,reinforcement_applied,reinforcement_type,thesis_gate_blocked,skip_reason,days_to_catalyst,in_optimal_window,catalyst_score_effective,alpha_60d,momentum_score,momentum_window,valuation_method,mcap_per_asset,ev_multiple,peer_count,si_score,si_crowding_risk,si_squeeze_potential,annualized_vol_pct,vol_bucket,partnership_count,partnership_strength,top_tier_partners,has_fda_designations,designation_types,pipeline_diversity_score,pipeline_risk_profile,program_count,competitive_position,crowding_level,competitor_count,cash_runway_months,survivability_score,ms_composite,ms_fv_discount,ms_capital_efficiency,ms_leverage_health,ms_growth_quality,ms_momentum,ms_moat_quality,ms_regime,ms_confidence
230,OLMA,20.20,19.59,-0.0435,-0.5443,late,mid,none,17.91,55.31,51.22,10.70,56.59723000587788287448935713,0.87500,0.95,0.65,5.9762,5.9762,3,3,True,weak,,,22,True,55.88,2.1103,96.55,60,mcap_per_trial,344.02,,201,77.00,LOW,MODERATE,,unknown,0,unknown,0,False,,72.0,diversified,6,me_too,highly_crowded,4566,36.20183048733516,5.0,66.19,74.65,50,84.45,50,77.24,50,development,1.0
231,IDYA,20.10,20.10,-0.0357,-0.4466,late,mid,none,11.20,73.54,36.95,10.70,71.97155007586197045635949258,0.80000,0.95,0.30,6.837,6.837,6,6,True,moderate,,,135,False,36.92,-0.0593,45.73,60,ev_cfo,,50.00,77,59.00,LOW,MODERATE,,unknown,0,unknown,0,False,,76.0,diversified,9,me_too,highly_crowded,4563,,5.0,61.22,65.42,38.25,83.35,57.52,64.31,,commercial,0.88
232,IMCR,20.06,20.06,-0.0269,-0.3363,late,small,none,7.41,74.32,51.58,10.70,85,0.80500,0.95,0.30,9.7402,9.7402,6,6,True,moderate,,,24,True,50.59,-0.2188,33.37,60,ev_cfo,,50.00,77,77.00,MEDIUM,HIGH,,unknown,0,unknown,0,False,,83.0,broad_portfolio,18,me_too,highly_crowded,6032,,1.0,49.67,52.65,50,42.07,50,53.47,50,development,1.0
233,PCRX,20.04,20.04,-0.035,-0.4379,late,small,none,6.59,63.58,29.81,61.19,,0.80500,0.85,0.45,,,0,0,False,,True,thesis_gate_triggered,,False,50.00,-0.3959,20.87,60,ev_cfo,,10.08,77,78.00,MEDIUM,HIGH,,unknown,0,unknown,0,False,,35.0,single_asset,1,first_in_class,uncrowded,0,,-1.0,56.68,61.72,49.37,55.42,59.71,48.99,,commercial,0.88
234,VTRS,19.70,19.70,-0.0392,-0.4904,early,large,sev1,18.17,48.95,44.32,47.37,60.5,0.74000,0.65,0.45,3.0941,3.0941,2,2,False,,,stage_early_not_active,,False,50.00,0.0418,53.01,60,ev_cfo,,19.58,77,64.00,LOW,LOW,,unknown,0,unknown,0,False,,35,single_asset,0,unknown,unknown,0,,-1.0,44.87,45.60,35.74,48.17,39.14,83.22,50.00,commercial,1.0
235,STOK,19.65,19.65,-0.0615,-0.7688,late,small,none,5.38,18.98,40.66,30.60,85,0.77000,0.85,0.30,8.9417,8.9417,6,6,True,weak,,,509,False,50.00,0.1079,57.77,60,ev_cfo,,19.91,77,74.00,MEDIUM,HIGH,,unknown,0,unknown,0,False,,68.0,focused,3,first_in_class,uncrowded,2,,5.0,65.72,48.48,60.17,85.00,89.80,69.09,,commercial,0.88
236,ZVRA,19.58,19.58,-0.0503,-0.6283,late,small,none,25.11,20.99,29.81,39.80,,0.83500,0.95,0.45,,,0,0,False,,True,thesis_gate_triggered,,False,50.00,-0.3747,22.13,60,mcap_per_trial,102.57,,201,75.00,LOW,LOW,,unknown,0,unknown,0,False,,76.0,diversified,5,best_in_class,moderate,16,92.1457510510893,-2.0,64.41,64.08,67.90,45.48,90.00,42.72,,commercial,0.88
237,PHVS,19.43,19.43,-0.0649,-0.8118,late,small,none,22.17,5,49.40,10.70,85,0.74000,0.95,0.45,13.871,13.871,9,9,True,moderate,,,7,True,50.82,-0.0056,49.60,60,mcap_per_trial,218.99,,201,48.00,LOW,LOW,,unknown,0,unknown,0,False,,72.0,diversified,8,me_too,highly_crowded,45,,3.0,57.74,50.28,50,84.87,50,77.35,50,development,1.0
238,NUVL,19.42,19.42,-0.0487,-0.6093,late,mid,none,7.82,51.39,63.18,10.70,75.34677671920060792906944743,0.87000,0.95,0.65,7.8724,7.8724,5,5,True,moderate,,,22,True,70.30,-0.0688,45.05,60,mcap_per_trial,1291.50,,201,67.00,MEDIUM,MODERATE,,unknown,0,unknown,0,False,,76.0,diversified,6,me_too,highly_crowded,4566,56.05894561647703,5.0,59.84,57.32,50,85.00,50,69.58,50,development,1.0
239,FDMT,19.36,18.78,-0.0472,-0.5905,late,small,none,6.99,53.82,48.54,53.48,41.86802222123446424002421713,0.83500,0.95,0.45,0.898,0.898,1,1,True,moderate,,,83,False,46.30,-0.1648,37.47,60,mcap_per_trial,53.99,,201,59.00,MEDIUM,MODERATE,,unknown,0,unknown,0,False,,76.0,diversified,10,me_too,moderate,873,26.597952525920384,5.0,58.10,55.95,50,81.92,50,55.38,50,development,1.0
240,KURA,19.34,18.37,-0.0534,-0.6671,late,small,sev1,23.14,21.96,39.71,10.70,72.19432914092713950942253910,0.80500,0.95,0.30,4.7428,4.7428,4,4,True,weak,,,175,False,36.31,-0.2185,33.40,60,mcap_per_trial,30.74,,201,59.00,LOW,MODERATE,,unknown,0,unknown,0,False,,83.0,broad_portfolio,23,me_too,highly_crowded,4570,16.985532709254123,2.0,61.51,66.98,50,81.60,50,47.56,50,development,1.0
241,AURA,19.15,19.15,-0.0558,-0.6969,late,small,none,20.73,37.75,39.54,10.70,45.31012452779868932982365778,0.80500,0.95,0.30,1.3843,1.3843,2,2,True,weak,,,144,False,36.73,-0.3535,23.46,60,mcap_per_trial,46.99,,201,68.00,LOW,LOW,,unknown,0,unknown,0,False,,76.0,diversified,8,me_too,highly_crowded,4564,30.220963701709895,5.0,63.45,52.23,64.69,73.08,80.43,50.95,,commercial,0.88
242,PRLD,18.98,18.98,-0.0937,-1.1715,mid,micro,sev2,75.86,5,44.23,25.86,75.73699916485804575238619442,0.80500,0.95,0.30,1.4229,1.4229,2,2,True,moderate,,,144,False,36.73,0.3212,74.36,60,mcap_per_trial,13.09,,52,44.00,MEDIUM,LOW,,unknown,0,unknown,0,False,,72.0,diversified,11,me_too,highly_crowded,4561,8.303647649865905,-2.0,53.17,45.57,50,71.82,50,65.77,50,development,1.0
243,VTYX,18.78,18.78,-0.0598,-0.7479,mid,small,none,5,39.79,35.88,25.86,78.19432914092713950942253910,0.80500,0.85,0.45,4.0302,4.0302,4,4,False,,,no_catalyst_data,,False,50.00,1.4108,96.55,60,mcap_per_trial,333.73,,52,75.00,LOW,LOW,,unknown,0,unknown,0,False,,63.0,focused,3,me_too,highly_crowded,1251,35.8379610250686,5.0,57.96,52.93,50,81.83,50,74.06,50,development,1.0
244,GRFS,18.75,18.75,-0.0901,-1.1259,late,mid,sev2,60.60,5,57.90,93.53,,0.55000,0.95,0.30,,,0,0,False,,,below_threshold,24,True,71.30,-0.2906,27.91,60,mcap_per_trial,257.96,,201,61.00,LOW,LOW,,unknown,0,unknown,0,False,,88.0,broad_portfolio,153,me_too,uncrowded,8242,0.0,-5.0,54.45,66.83,54.12,37.28,65.08,55.60,50.00,commercial,1.0
245,CGON,18.63,18.63,-0.0495,-0.6188,late,mid,none,9.49,54.52,47.12,10.70,85,0.80500,0.95,0.30,9.6911,9.6911,6,6,True,strong,,,114,False,43.95,0.3354,75.34,60,mcap_per_trial,474.91,,201,86.00,LOW,MODERATE,,unknown,0,unknown,0,False,,76.0,diversified,9,me_too,highly_crowded,4563,84.91788203474462,5.0,61.82,61.98,50,84.54,50,78.29,50,development,1.0
246,CTKB,18.54,18.54,-0.0414,-0.5172,early,small,sev1,18.17,67.48,44.32,11.40,,0.68000,0.65,0.45,,,0,0,False,,True,thesis_gate_triggered,,False,50.00,0.0160,51.15,60,neutral,,,0,61.00,LOW,LOW,,unknown,0,unknown,0,False,,35,single_asset,0,unknown,unknown,0,721.030303030303,2.0,64.39,73.47,43.28,82.66,51.56,66.48,,commercial,0.88
247,MYGN,18.16,18.16,-0.0421,-0.5262,early,small,sev1,18.17,63.97,44.32,11.40,55.5,0.74500,0.65,0.45,0.6424,0.6424,1,1,False,,,stage_early_not_active,,False,50.00,-0.4128,19.92,60,ev_revenue,,0.94,108,67.00,MEDIUM,MODERATE,,unknown,0,unknown,0,False,,35,single_asset,0,unknown,unknown,0,110.96774193548387,-2.0,57.81,95.00,31.97,63.42,37.80,36.83,50.00,commercial,1.0
248,MRSN,18.06,16.12,-0.0458,-0.5719,late,micro,none,24.62,40.53,29.81,10.70,,0.83500,0.95,0.45,,,0,0,False,,True,thesis_gate_triggered,,False,50.00,1.5039,96.55,60,mcap_per_trial,13.21,,201,71.00,LOW,LOW,,unknown,0,unknown,0,False,,75.0,diversified,11,me_too,highly_crowded,4563,12.0575175510495,1.0,,,,,,,,unknown,0
249,CDTX,17.93,17.93,-0.0722,-0.9025,late,mid,sev2,52.54,5.93,51.68,58.46,85,0.51500,0.95,0.45,13.7249,13.7249,8,8,True,strong,,,83,False,44.43,,50,,mcap_per_trial,497.26,,201,50,UNKNOWN,UNKNOWN,,unknown,0,unknown,0,False,,83.0,broad_portfolio,14,me_too,highly_crowded,1912,0.0,-5.0,,,,,,,,unknown,0
