rank,ticker,composite_score,risk_adjusted_score,expected_excess_return,score_z,stage_bucket,market_cap_bucket,severity,clinical_score,financial_score,catalyst_score,pos_score,smart_money_score,confidence_overall,confidence_clinical,confidence_catalyst,conviction_overlap,tier1_conviction_overlap,tier1_count,coinvest_overlap_count,reinforcement_applied,reinforcement_type,thesis_gate_blocked,skip_reason,days_to_catalyst,in_optimal_window,catalyst_score_effective,alpha_60d,momentum_score,momentum_window,valuation_method,mcap_per_asset,ev_multiple,peer_count,si_score,si_crowding_risk,si_squeeze_potential,annualized_vol_pct,vol_bucket,partnership_count,partnership_strength,top_tier_partners,has_fda_designations,designation_types,pipeline_diversity_score,pipeline_risk_profile,program_count,competitive_position,crowding_level,competitor_count,cash_runway_months,survivability_score,ms_composite,ms_fv_discount,ms_capital_efficiency,ms_leverage_health,ms_growth_quality,ms_momentum,ms_moat_quality,ms_regime,ms_confidence
273,BBIO,15.63,15.63,-0.0812,-1.0145,late,large,sev1,19.78,16.97,45.15,10.70,69.62297367493130298492723022,0.80000,0.95,0.30,6.6621,6.6621,5,5,True,moderate,,,82,False,49.85,0.0779,55.61,60,ev_revenue,,20.00,108,71.00,MEDIUM,MODERATE,,unknown,0,unknown,0,False,,86.0,broad_portfolio,41,me_too,uncrowded,6448,18.91254419542413,0.0,52.84,52.34,50,,50,78.06,50,development,0.88
274,DAWN,15.61,15.14,-0.0761,-0.9508,late,small,none,5,68.45,37.95,10.70,41.86802222123446424002421713,0.80500,0.95,0.30,0.9142,0.9142,1,1,True,weak,,,24,True,47.26,0.4738,83.22,60,mcap_per_trial,144.90,,201,48.00,MEDIUM,LOW,,unknown,0,unknown,0,False,,79.0,diversified,8,me_too,highly_crowded,4565,60.461244937351466,4.0,65.66,72.93,50,84.57,50,78.20,50,development,1.0
275,ERAS,15.48,15.48,-0.0855,-1.0686,late,mid,none,10.34,41.99,39.56,10.70,56.59723000587788287448935713,0.83500,0.95,0.45,4.0085,4.0085,3,3,True,weak,,,22,True,42.09,3.5946,96.55,60,mcap_per_trial,320.27,,201,48.00,LOW,LOW,,unknown,0,unknown,0,False,,75.0,diversified,10,me_too,highly_crowded,4575,20.213386851811673,1.0,60.57,60.88,50,76.66,50,89.25,50,development,1.0
276,BLTE,15.47,15.47,-0.1159,-1.449,late,mid,sev2,46.75,12.43,32.95,53.48,75.39000889001333502222503890,0.74500,0.95,0.45,2.4757,2.4757,3,3,False,,,stage_pivotal_not_active,,False,50.00,0.4775,83.40,60,mcap_per_trial,1004.27,,201,38.00,LOW,LOW,,unknown,0,unknown,0,False,,76.0,diversified,7,me_too,uncrowded,537,,3.0,49.80,25.97,50,84.91,50,88.61,50,development,1.0
277,ADPT,15.39,15.39,-0.0694,-0.8677,early,mid,sev1,18.17,37.08,44.32,11.40,55.5,0.74000,0.65,0.45,0.6424,0.6424,1,1,False,,,stage_early_not_active,,False,50.00,-0.0056,49.60,60,ev_revenue,,13.68,108,64.00,LOW,LOW,,unknown,1,exceptional,0,False,,35,single_asset,0,unknown,unknown,0,44.387232920073856,1.0,41.20,33.50,20.00,62.72,55.53,67.84,,commercial,0.88
278,BRKR,15.38,15.38,-0.0658,-0.8227,early,mid,sev1,18.17,49.05,44.32,11.40,,0.74000,0.65,0.45,,,0,0,False,,True,thesis_gate_triggered,,False,50.00,0.0366,52.64,60,ev_revenue,,3.44,108,68.00,LOW,LOW,,unknown,0,unknown,0,False,,35,single_asset,0,unknown,unknown,0,24.493036211699163,-1.0,54.96,66.84,44.45,42.89,56.01,58.42,,commercial,0.88
279,ETON,15.29,15.29,-0.0781,-0.9758,early,small,sev1,18.17,12.38,63.15,27.19,61.0,0.78500,0.65,0.65,4.4389,4.4389,2,2,True,moderate,,,18,True,75.12,-0.3889,21.28,60,ev_cfo,,18.15,77,67.00,LOW,LOW,,unknown,0,unknown,0,False,,35,single_asset,0,unknown,unknown,0,,-1.0,46.10,48.92,32.42,39.00,68.94,43.52,,commercial,0.88
280,EOLS,15.08,14.33,-0.1061,-1.3257,late,small,sev2,65.97,5,38.29,68.16,35.36802222123446424002421713,0.87500,0.95,0.65,0.8779,0.8779,1,1,True,weak,,,22,True,52.66,-0.4594,17.49,60,ev_revenue,,2.08,108,66.00,LOW,MODERATE,,unknown,0,unknown,0,False,,76.0,diversified,10,first_in_class,uncrowded,1,8.734588754724554,-9.0,55.10,84.14,44.32,20.00,55.58,24.18,,commercial,0.88
281,ABOS,15.03,15.03,-0.1177,-1.4718,mid,micro,sev2,50.00,8.10,42.78,55.17,53.94873693001494255238040059,0.77500,0.85,0.30,0.7206,0.7206,1,1,True,weak,,,236,False,35.92,0.2258,67.16,60,mcap_per_trial,49.06,,52,53.00,LOW,LOW,,unknown,0,unknown,0,False,,64.0,focused,3,me_too,highly_crowded,767,15.753592832998072,1.0,64.97,79.29,50,69.80,50,73.14,50,development,1.0
282,RPRX,14.87,14.87,-0.0771,-0.9632,early,large,sev1,18.17,42.80,54.34,11.40,35.29647904572818835977135972,0.74000,0.65,0.45,0.5139,0.5139,1,1,True,weak,,,143,False,43.81,-0.1482,39.33,60,ev_cfo,,17.63,77,63.00,LOW,LOW,,unknown,0,unknown,0,False,,35,single_asset,0,unknown,unknown,0,,3.0,57.58,56.62,57.52,45.94,66.17,73.18,65.00,commercial,1.0
283,OPCH,14.81,14.81,-0.0703,-0.8792,early,mid,sev1,18.17,40.81,44.32,27.19,,0.74000,0.65,0.45,,,0,0,False,,True,thesis_gate_triggered,,False,50.00,0.0111,50.80,60,ev_cfo,,29.00,77,68.00,LOW,LOW,,unknown,0,unknown,0,False,,35,single_asset,0,unknown,unknown,0,,1.0,54.76,47.32,60.16,45.86,67.80,75.96,,commercial,0.88
284,COGT,14.77,14.33,-0.1017,-1.2709,late,mid,none,11.84,18.87,47.97,10.70,85,0.80500,0.95,0.30,10.5337,10.5337,7,7,True,strong,,,114,False,45.95,1.2828,96.55,60,mcap_per_trial,378.29,,201,63.00,LOW,MODERATE,,unknown,0,unknown,0,False,,79.0,diversified,15,me_too,highly_crowded,4559,25.30865063478275,4.0,52.31,38.86,50,75.30,50,83.17,50,development,1.0
285,ADCT,14.70,14.70,-0.0844,-1.0548,late,small,none,8.24,35.78,38.95,10.70,66.25222683436291441962309844,0.87500,0.95,0.65,4.3249,4.3249,3,3,True,moderate,,,21,True,61.40,-0.2522,30.83,60,mcap_per_trial,15.75,,201,71.00,LOW,LOW,,unknown,0,unknown,0,False,,83.0,broad_portfolio,34,me_too,highly_crowded,4545,23.035925450397038,1.0,53.59,56.87,50,,50,60.82,50,development,0.88
286,TXG,14.49,14.49,-0.0822,-1.0277,late,mid,none,5,58.77,39.54,30.60,33.84768329255515781990926682,0.80500,0.95,0.30,0.6424,0.6424,1,1,True,weak,,,261,False,35.80,0.3245,74.59,60,ev_cfo,,22.35,77,75.00,MEDIUM,HIGH,,unknown,0,unknown,0,False,,75.0,diversified,4,me_too,crowded,821,,3.0,63.40,75.42,39.84,77.98,47.57,77.86,,commercial,0.88
287,LENZ,14.31,14.31,-0.1236,-1.5454,late,small,sev2,38.31,5,29.81,53.48,85,0.83500,0.95,0.45,8.9512,8.9512,6,6,False,,,stage_pivotal_not_active,,False,50.00,-0.4887,16.08,60,mcap_per_trial,48.06,,201,66.00,HIGH,HIGH,,unknown,0,unknown,0,False,,76.0,diversified,10,first_in_class,uncrowded,1,8.432369622354406,-5.0,65.40,79.85,50,84.78,50,23.75,50,development,1.0
288,PAHC,14.21,14.21,-0.0877,-1.0968,early,small,sev1,18.17,25.34,44.32,27.19,,0.74000,0.65,0.45,,,0,0,False,,True,thesis_gate_triggered,,False,50.00,-0.1187,41.45,60,ev_cfo,,50.00,77,54.00,LOW,LOW,,unknown,0,unknown,0,False,,35,single_asset,0,unknown,unknown,0,,1.0,46.00,29.21,66.76,26.06,69.57,73.32,,commercial,0.88
289,IMMP,13.98,12.86,-0.1031,-1.2887,late,small,none,34.42,8.66,58.21,10.70,,0.74500,0.95,0.45,,,0,0,False,,True,thesis_gate_triggered,53,True,53.97,0.3056,73.22,60,mcap_per_trial,24.59,,201,55.00,LOW,LOW,,unknown,0,unknown,0,False,,83.0,broad_portfolio,17,me_too,highly_crowded,4923,,3.0,63.59,67.27,50,84.84,50,75.42,50,development,1.0
290,RNA,13.75,13.75,-0.1142,-1.4269,late,large,sev2,31.23,5,47.55,39.80,85,0.83000,0.95,0.45,18.6728,18.6728,11,11,True,strong,,,143,False,45.14,-0.0456,46.72,60,mcap_per_trial,1023.98,,201,68.00,LOW,LOW,,unknown,0,unknown,0,False,,76.0,diversified,11,me_too,highly_crowded,666,15.278911847678648,2.0,50.47,30.18,50,83.76,50,76.61,50,development,1.0
291,ALMS,13.59,13.59,-0.1196,-1.4955,late,mid,sev2,36.85,7.31,48.91,48.01,85,0.83500,0.95,0.45,8.0461,8.0461,7,7,False,,True,thesis_gate_triggered,52,True,53.10,3.9195,96.55,60,mcap_per_trial,279.20,,201,44.00,MEDIUM,LOW,,unknown,0,unknown,0,False,,79.0,diversified,12,me_too,highly_crowded,1587,15.229987635073384,2.0,57.79,52.36,50,78.20,50,87.80,50,development,1.0
292,MRVI,13.57,13.57,-0.0833,-1.0412,early,small,sev1,18.17,36.36,44.32,11.40,,0.68000,0.65,0.45,,,0,0,False,,True,thesis_gate_triggered,,False,50.00,0.0531,53.83,60,neutral,,,0,73.00,LOW,MODERATE,,unknown,0,unknown,0,False,,35,single_asset,0,unknown,unknown,0,40.111282670334916,-2.0,49.35,72.02,32.29,45.45,24.16,55.36,,commercial,0.88
293,IVVD,13.45,12.39,-0.1124,-1.4055,late,small,sev1,5,13.63,56.13,58.46,65.25222683436291441962309844,0.87500,0.95,0.65,1.9271,1.9271,3,3,True,weak,,,22,True,73.42,0.3146,73.88,60,mcap_per_trial,71.91,,201,75.00,LOW,LOW,,unknown,0,unknown,0,False,,76.0,diversified,7,me_too,highly_crowded,1471,23.88950328022493,-1.0,64.86,74.59,50,84.16,50,52.03,50,development,1.0
294,SVRA,13.34,13.34,-0.1092,-1.3645,late,small,sev1,29.93,9.73,29.81,10.70,73.64537892222049200151411810,0.83500,0.95,0.45,4.3002,4.3002,3,3,False,,,stage_pivotal_not_active,,False,50.00,0.2647,70.12,60,mcap_per_trial,81.90,,201,65.00,LOW,MODERATE,,unknown,0,unknown,0,False,,88.0,broad_portfolio,14,me_too,highly_crowded,1909,19.589117681798495,2.0,59.98,65.02,50,69.13,50,75.63,50,development,1.0
295,LQDA,13.00,13.00,-0.1046,-1.307,late,mid,sev1,18.37,14.06,39.54,30.60,55.59723000587788287448935713,0.80500,0.95,0.30,4.5712,4.5712,3,3,True,weak,,,173,False,36.91,0.4480,81.94,60,mcap_per_trial,496.53,,201,71.00,MEDIUM,MODERATE,,unknown,0,unknown,0,False,,79.0,diversified,8,me_too,highly_crowded,1961,21.464531516183985,0.0,36.13,14.06,50,32.41,50,87.58,50,development,1.0
296,TKNO,12.70,12.70,-0.1003,-1.2535,early,micro,sev1,18.17,24.59,44.32,11.40,,0.68500,0.65,0.45,,,0,0,False,,True,thesis_gate_triggered,,False,50.00,-0.5576,13.07,60,neutral,,,0,75.00,LOW,MODERATE,,unknown,0,unknown,0,False,,35,single_asset,0,unknown,unknown,0,32.42815249266862,-1.0,55.13,78.79,35.04,64.04,29.24,23.50,,commercial,0.88
297,FTRE,12.66,12.28,-0.0913,-1.1409,early,small,sev1,18.17,27.07,44.32,47.37,55.5,0.74500,0.65,0.45,0.6424,0.6424,1,1,False,,True,thesis_gate_triggered,,False,50.00,0.5283,85.70,60,ev_revenue,,1.27,108,77.00,LOW,MODERATE,,unknown,0,unknown,0,False,,35,single_asset,0,unknown,unknown,0,7.981264637002342,-5.0,43.54,46.99,32.07,39.76,41.61,75.02,65.00,commercial,1.0
298,LFCR,11.80,11.80,-0.0976,-1.2197,early,small,sev1,18.17,15.46,44.32,31.58,,0.74000,0.65,0.45,,,0,0,False,,True,thesis_gate_triggered,,False,50.00,-0.0737,44.70,60,ev_cfo,,50.00,77,76.00,LOW,MODERATE,,unknown,0,unknown,0,False,,35,single_asset,0,unknown,unknown,0,,-1.0,39.28,55.37,20.00,20.00,42.07,72.46,,commercial,0.88
299,STVN,11.74,11.74,-0.1216,-1.5199,early,mid,sev1,18.17,12.60,44.32,11.40,,0.68500,0.65,0.45,,,0,0,False,,True,thesis_gate_triggered,,False,50.00,-0.5429,13.68,60,neutral,,,0,60.00,LOW,LOW,,unknown,0,unknown,0,False,,35,single_asset,0,unknown,unknown,0,20.204532498410504,2.0,63.66,71.00,56.53,69.18,66.08,30.65,65.00,commercial,1.0
300,PSNL,11.10,11.10,-0.1108,-1.3847,early,small,sev1,18.17,33.18,44.32,11.40,,0.68500,0.65,0.45,,,0,0,False,,True,thesis_gate_triggered,,False,50.00,0.2669,70.29,60,neutral,,,0,62.00,LOW,MODERATE,,unknown,0,unknown,0,False,,35,single_asset,0,unknown,unknown,0,33.95041635124905,3.0,52.79,68.18,32.16,72.70,20.51,60.97,,commercial,0.88
301,SLDB,10.93,10.93,-0.1303,-1.6284,late,small,sev2,21.45,6.75,44.57,24.13,85,0.83000,0.95,0.45,9.8748,9.8748,6,6,False,,True,thesis_gate_triggered,143,False,43.66,-0.0688,45.05,60,mcap_per_trial,72.35,,201,79.00,LOW,MODERATE,,unknown,0,unknown,0,False,,79.0,diversified,7,me_too,highly_crowded,660,11.906371153453755,0.0,63.92,72.90,50,77.02,50,70.89,50,development,1.0
302,URGN,10.75,10.75,-0.1257,-1.5718,late,small,sev2,29.93,5.30,52.21,32.34,78.19432914092713950942253910,0.80500,0.95,0.30,3.8561,3.8561,4,4,False,,True,thesis_gate_triggered,1,True,66.98,-0.1558,38.16,60,mcap_per_trial,45.46,,201,68.00,MEDIUM,HIGH,,unknown,0,unknown,0,False,,83.0,broad_portfolio,20,me_too,highly_crowded,4562,14.872404708384696,-1.0,39.69,49.23,40.89,25.00,28.32,54.67,,commercial,0.88
303,KOD,10.67,10.35,-0.1352,-1.6906,late,small,sev1,5,10.50,55.86,53.48,66.25222683436291441962309844,0.80500,0.95,0.30,3.1844,3.1844,3,3,True,weak,,,23,True,61.76,0.5126,85.01,60,mcap_per_trial,132.25,,201,57.00,MEDIUM,MODERATE,,unknown,0,unknown,0,False,,80.0,broad_portfolio,11,me_too,highly_crowded,223,17.8873641726172,2.0,65.05,72.21,50,85.00,50,69.43,50,development,1.0
304,OABI,10.48,10.48,-0.1327,-1.6587,early,micro,sev2,46.05,5,37.47,35.09,,0.74000,0.85,0.45,,,0,0,False,,True,thesis_gate_triggered,,False,50.00,-0.0811,44.16,60,neutral,252.641712,,0,55.00,LOW,LOW,,unknown,0,unknown,0,False,,35.0,single_asset,1,fast_follower,uncrowded,3,11.125174620707579,-1.0,71.05,95.00,50,80.40,50,46.47,50,development,1.0
305,PRAX,10.15,10.15,-0.138,-1.7244,late,mid,sev2,28.65,5,53.07,24.13,85,0.83500,0.95,0.45,10.2656,10.2656,8,8,False,,True,thesis_gate_triggered,33,True,55.83,1.8917,96.55,60,mcap_per_trial,535.91,,201,69.00,LOW,MODERATE,,unknown,0,unknown,0,False,,83.0,broad_portfolio,16,me_too,highly_crowded,1199,10.38724579288307,0.0,62.68,62.62,50,84.98,50,89.25,50,development,1.0
306,NAUT,10.12,10.12,-0.1439,-1.7985,mid,micro,none,5.14,18.65,42.78,25.86,53.94873693001494255238040059,0.77500,0.85,0.30,0.7122,0.7122,1,1,True,weak,,,206,False,36.10,0.7329,93.17,60,ev_cfo,,2.00,77,57.00,LOW,LOW,,unknown,0,unknown,0,False,,35.0,single_asset,1,me_too,highly_crowded,4571,,1.0,60.71,63.35,50,75.90,50,77.56,50,development,1.0
307,VRDN,9.81,9.81,-0.1507,-1.884,late,mid,sev2,13.38,11.75,45.52,53.48,67.72200336253924540177940228,0.87500,0.95,0.65,6.1834,6.1834,4,4,False,,True,thesis_gate_triggered,22,True,66.87,0.2978,72.63,60,mcap_per_trial,382.42,,201,65.00,LOW,LOW,,unknown,0,unknown,0,False,,68.0,diversified,8,best_in_class,moderate,15,23.31724965068458,4.0,65.17,72.43,50,82.24,50,80.36,50,development,1.0
308,SMMT,9.65,9.65,-0.1408,-1.7602,late,large,sev2,26.11,5,39.56,10.70,73.12297367493130298492723022,0.83500,0.95,0.45,6.4007,6.4007,5,5,False,,True,thesis_gate_triggered,45,True,51.26,-0.4627,17.32,60,mcap_per_trial,372.09,,201,70.00,HIGH,HIGH,,unknown,0,unknown,0,False,,86.0,broad_portfolio,29,me_too,uncrowded,5258,12.464233309676098,-2.0,61.05,66.99,50,84.08,50,29.30,50,development,1.0
309,STRO,8.96,8.96,-0.1546,-1.9326,mid,micro,sev2,32.45,5.70,35.88,25.86,85,0.83500,0.95,0.45,1.9271,1.9271,3,3,False,,True,thesis_gate_triggered,,False,50.00,0.3875,78.64,60,mcap_per_trial,15.78,,52,60.00,LOW,LOW,,unknown,0,unknown,0,False,,75.0,diversified,8,me_too,highly_crowded,4572,12.902351146644225,2.0,68.11,92.16,50,63.53,50,68.31,50,development,1.0
310,BMEA,8.66,8.66,-0.1589,-1.9861,mid,micro,sev2,25.34,9.33,50.74,25.86,53.94873693001494255238040059,0.83500,0.95,0.45,0.9064,0.9064,1,1,False,,True,thesis_gate_triggered,83,False,47.94,-0.3066,26.71,60,ev_revenue,,0.50,108,64.00,MEDIUM,MODERATE,,unknown,0,unknown,0,False,,70.0,focused,7,me_too,highly_crowded,5413,10.163284835811373,-1.0,64.75,86.34,50,67.73,50,26.74,50,development,1.0
311,SION,8.61,8.61,-0.1933,-2.4164,mid,small,sev2,6.54,5,42.78,93.97,85,0.71500,0.85,0.30,7.9737,7.9737,6,6,True,strong,,,114,False,40.15,0.2942,72.36,60,neutral,989.19712,,0,68.00,LOW,MODERATE,,unknown,0,unknown,0,False,,46.0,concentrated,2,me_too,highly_crowded,661,12.280244005556563,2.0,66.36,77.28,50,82.65,50,68.72,50,development,1.0
312,AKRO,8.58,8.58,-0.128,-1.5995,late,mid,sev2,18.84,5.93,58.21,33.83,74.00,0.51500,0.95,0.45,13.3767,13.3767,11,11,False,,True,thesis_gate_triggered,53,True,52.96,,50,,mcap_per_trial,749.84,,201,50,UNKNOWN,UNKNOWN,,unknown,0,unknown,0,False,,75.0,diversified,6,me_too,highly_crowded,2241,0.0,-5.0,,,,,,,,unknown,0
313,NMRA,8.43,8.43,-0.1833,-2.2913,late,small,sev2,30.72,8.23,39.56,24.13,48.36500528650954314145117605,0.83500,0.95,0.45,0.6424,0.6424,1,1,False,,True,thesis_gate_triggered,22,True,57.87,-0.2563,30.52,60,mcap_per_trial,49.04,,201,64.00,LOW,LOW,,unknown,0,unknown,0,False,,79.0,diversified,7,me_too,highly_crowded,823,11.473010064043915,0.0,64.37,77.63,50,78.48,50,41.46,50,development,1.0
314,CNTX,8.15,8.15,-0.1692,-2.1144,mid,micro,sev2,18.65,5,54.27,25.86,,0.51500,0.95,0.45,,,0,0,False,,True,thesis_gate_triggered,82,False,42.09,,50,,mcap_per_trial,28.11,,52,50,UNKNOWN,UNKNOWN,,unknown,0,unknown,0,False,,72.0,diversified,8,me_too,highly_crowded,4564,0.0,-5.0,65.94,73.09,50,84.96,50,81.25,50,development,1.0
315,IOVA,7.74,7.51,-0.1755,-2.1943,late,small,sev2,26.62,12.05,53.31,10.70,48.31012452779868932982365778,0.83000,0.95,0.45,2.6325,2.6325,2,2,False,,True,thesis_gate_triggered,48,True,57.99,0.0732,55.27,60,mcap_per_trial,34.47,,201,74.00,HIGH,HIGH,,unknown,0,unknown,0,False,,83.0,broad_portfolio,33,me_too,highly_crowded,4549,14.447289811360205,1.0,65.53,85.73,31.97,80.38,55.00,49.99,,commercial,0.88
316,VOR,7.65,7.65,-0.1637,-2.046,late,small,sev1,5,28.21,29.81,10.70,,0.83500,0.95,0.45,,,0,0,False,,True,thesis_gate_triggered,,False,50.00,-0.5883,11.85,60,mcap_per_trial,86.91,,201,47.00,LOW,LOW,,unknown,0,unknown,0,False,,82.0,diversified,6,me_too,highly_crowded,5835,24.831209553672693,5.0,60.57,77.02,50,63.54,50,23.50,50,development,1.0
317,MRUS,6.99,6.99,-0.1472,-1.8396,late,mid,sev2,13.82,5.93,48.70,10.70,85,0.55500,0.95,0.65,12.9355,12.9355,8,8,False,,True,thesis_gate_triggered,22,True,52.66,,50,,mcap_per_trial,682.62,,201,50,UNKNOWN,UNKNOWN,,unknown,0,unknown,0,False,,76.0,diversified,10,me_too,highly_crowded,4562,0.0,-5.0,,,,,,,,unknown,0
318,OCGN,5.77,5.31,-0.2078,-2.597,late,small,sev2,15.84,5,34.06,53.48,,0.87000,0.95,0.65,,,0,0,False,,True,thesis_gate_triggered,10,True,49.97,-0.0565,45.93,60,mcap_per_trial,40.23,,201,69.00,MEDIUM,MODERATE,,unknown,0,unknown,0,False,,79.0,diversified,12,me_too,highly_crowded,1705,10.2385842945173,-2.0,53.33,66.09,50,34.74,50,58.88,50,development,1.0
319,IBRX,5.22,5.22,-0.2363,-2.9542,late,mid,sev2,12.94,5,49.83,10.70,31.34768329255515781990926682,0.83500,0.95,0.45,0.5139,0.5139,1,1,False,,True,thesis_gate_triggered,3,True,68.26,1.3459,96.55,60,mcap_per_trial,200.44,,201,53.00,HIGH,MODERATE,,unknown,0,unknown,0,False,,86.0,broad_portfolio,81,me_too,uncrowded,6043,11.02546320219814,1.0,62.93,76.29,50,,50,77.96,50,development,0.88
