rank,ticker,composite_score,risk_adjusted_score,expected_excess_return,score_z,company_stage,lead_program_stage,market_cap_bucket,severity,clinical_score,financial_score,catalyst_score,pos_score,momentum_score,valuation_score,smart_money_score,clinical_contrib,financial_contrib,catalyst_contrib,pos_contrib,momentum_contrib,smart_money_contrib,clinical_conf,financial_conf,catalyst_conf,pos_conf,confidence_overall,conviction_overlap,tier1_conviction_overlap,tier1_count,coinvest_overlap_count,reinforcement_applied,reinforcement_type,reinforce_pts,catalyst_mult,momentum_mult,thesis_gate_blocked,skip_reason,catalyst_window_days,nearest_catalyst_type,in_optimal_window,alpha_60d,momentum_bucket,ev_trial_ratio,peer_count,si_pct,si_score,annualized_vol_pct,vol_bucket,partnership_count,partnership_strength,has_top_tier_partner,has_fda_designations,designation_count,pipeline_diversity_score,is_single_asset,competitive_intensity,cash_runway_months,burn_trajectory
73,INDV,46.67,46.67,0.0582,0.7272,late,commercial,mid,none,80.00,44.36,32.46,90.08,,,52.5,23.43,11.32,0.86,6.00,,2.74,0.95,0.95,0.45,0.84,0.83000,1.7105,1.7105,1,1,False,,,,,,stage_commercial_not_active,,,False,-0.0200,,,77,,48.00,,unknown,0,,,False,,83.0,,,,
74,DVAX,46.52,45.59,0.0558,0.6969,late,poc,small,none,51.16,78.03,40.98,60.50,,,45.46566680585542926692731131,20.73,15.14,0.00,6.00,,4.43,0.95,0.95,0.30,0.78,0.80000,2.5208,2.5208,2,2,True,moderate,0.349,1.0349,1.0209,,,,,False,0.1388,,,77,,75.00,,unknown,0,,,False,,86.0,,,,
75,GH,45.96,45.96,0.0542,0.677,late,poc,large,none,72.39,42.97,43.28,96.71,,,58.51632391653255734175511277,24.00,8.43,2.24,6.00,,4.88,0.95,0.95,0.65,0.87,0.87500,5.0527,5.0527,3,3,True,weak,0.14,1.014,1.0084,,,,,True,0.2891,,,108,,61.00,,unknown,0,,,False,,88.0,,,,
76,MIRM,45.88,45.88,0.0534,0.6671,late,poc,mid,none,73.05,28.44,42.16,78.75,,,57.09935677608942474373600505,29.18,4.97,0.00,6.00,,5.38,0.95,0.95,0.30,0.92,0.80500,6.1468,6.1468,3,3,True,moderate,0.384,1.0384,1.023,,,,,False,0.1959,,,77,,71.00,,unknown,1,,,False,,83.0,,,,
77,SEPN,28.71,45.81,0.0518,0.6476,early,poc,small,none,44.16,70.47,61.30,69.49,,,85,14.86,12.91,3.70,6.00,,10.70,0.85,0.95,0.65,0.40,0.84500,6.9963,6.9963,5,5,True,moderate,0.441,1.0441,1.0265,,,,,True,0.1612,,,77,,49.00,,unknown,0,,,False,,35.0,,,,
78,FHTX,45.50,44.14,0.0503,0.6283,early,early,small,none,51.75,60.91,37.32,69.49,,,52.5,21.84,13.61,0.92,6.00,,3.75,0.95,0.95,0.45,0.40,0.83000,0.5333,0.5333,1,1,False,,,,,,stage_early_not_active,,,False,0.0544,,,28,,61.00,,unknown,0,,,False,,63.0,,,,
79,IONS,45.25,45.25,0.0741,0.9264,late,poc,large,none,59.79,60.02,67.18,39.77,,,,21.79,12.94,3.82,6.00,,,0.95,0.95,0.65,0.80,0.87000,,,0,0,False,,,,,True,thesis_gate_triggered,,,True,0.1263,,,108,,79.00,,unknown,3,,,True,,88.0,,,,
80,TRDA,44.97,44.97,0.048,0.5999,early,early,small,none,56.43,51.47,37.32,69.49,,,49.5,21.46,11.79,0.94,6.00,,3.54,0.85,0.95,0.45,0.40,0.80500,0.4,0.4,1,1,False,,,,,,stage_early_not_active,,,False,0.4166,,,28,,60.00,,unknown,0,,,False,,64.0,,,,
81,TEM,44.83,44.83,0.0487,0.6093,late,poc,mid,none,69.73,35.65,54.56,96.71,,,62.66029780203176931685358074,25.36,5.67,3.29,6.00,,6.31,0.95,0.95,0.65,0.87,0.87500,3.6092,3.6092,4,4,True,weak,0.103,1.0103,1.0062,,,,,True,-0.3026,,,108,,50.00,,unknown,0,,,False,,88.0,,,,
82,INVA,44.31,44.31,0.0465,0.5812,late,poc,small,none,51.99,74.05,43.28,66.03,,,,23.07,15.74,0.00,6.00,,,0.95,0.95,0.30,0.87,0.80500,,,0,0,False,,,,,,below_threshold,,,False,-0.1764,,,77,,63.00,,unknown,0,,,False,,75.0,,,,
83,JBIO,28.71,44.01,0.0435,0.5443,early,poc,small,none,46.50,55.94,43.66,89.96,,,68.00,18.72,12.26,0.00,6.00,,8.87,0.85,0.95,0.30,0.42,0.71500,6.5587,6.5587,10,10,True,weak,0.037,1.0037,1.0022,,,,,False,0.4461,,,0,,48.00,,unknown,0,,,False,,35.0,,,,
84,GILD,43.82,43.82,0.0443,0.5535,late,poc,large,none,70.73,36.40,43.28,84.00,,,45.56031866064375213715331524,23.42,7.13,2.24,6.00,,3.53,0.95,0.95,0.65,0.95,0.87000,3.9012,3.9012,2,2,True,weak,0.124,1.0124,1.0074,,,,,True,-0.0705,,,77,,57.00,,unknown,2,,,False,,88.0,,,,
85,GPCR,43.17,43.17,0.0428,0.5353,mid,poc,mid,none,62.64,37.09,42.08,65.33,,,85,25.00,6.47,0.00,6.00,,11.08,0.95,0.95,0.30,0.58,0.80500,14.4168,14.4168,9,9,True,strong,0.557,1.0557,1.0334,,,,,False,2.0283,,,51,,57.00,,unknown,0,,,False,,67.0,,,,
86,CABA,42.91,42.91,0.0407,0.5082,early,early,micro,sev1,78.66,26.09,37.32,100.00,,,66.5,32.28,6.12,0.94,6.00,,5.55,0.95,0.95,0.45,0.47,0.83000,3.5223,3.5223,3,3,False,,,,,,stage_early_not_active,,,False,0.1207,,,28,,73.00,,unknown,0,,,False,,66.0,,,,
87,HALO,42.70,42.70,0.0421,0.5262,late,poc,mid,none,74.71,24.46,40.98,84.00,,,,33.16,4.75,0.00,6.00,,,0.95,0.95,0.30,0.87,0.80000,,,0,0,False,,,,,,below_threshold,,,False,-0.1434,,,77,,68.00,,unknown,0,,,True,,88.0,,,,
88,APLS,42.69,42.69,0.0722,0.9025,late,pivotal,mid,none,54.15,67.41,35.86,26.23,,,83.67731382092774866264427491,18.44,12.70,1.39,3.99,,8.43,0.95,0.95,0.45,0.72,0.83500,8.9016,8.9016,6,6,False,,,,,True,thesis_gate_triggered,,,False,-0.2872,,,77,,66.00,,unknown,1,,,True,,86.0,,,,
89,SYRE,42.32,42.32,0.0399,0.4993,mid,poc,mid,none,37.35,60.16,54.51,87.36,,,82.78217985391645846308873212,13.68,9.64,3.31,6.00,,9.91,0.95,0.95,0.65,0.60,0.87500,5.686,5.686,6,6,True,weak,0.212,1.0212,1.0127,,,,,True,0.3086,,,51,,81.00,,unknown,0,,,False,,67.0,,,,
90,KNSA,42.27,42.27,0.0392,0.4904,late,poc,mid,none,57.46,41.05,42.16,50.00,,,45.53841575014708017061842937,21.44,6.70,2.61,6.00,,3.99,0.95,0.95,0.65,0.77,0.87000,3.6745,3.6745,2,2,True,weak,0.105,1.0105,1.0063,,,,,True,-0.0470,,,77,,58.00,,unknown,0,,,False,,88.0,,,,
91,NTRA,41.85,41.85,0.0364,0.4553,late,poc,large,none,76.03,29.77,49.51,84.00,,,54.42833442831016775095870782,25.13,5.82,1.83,6.00,,5.17,0.95,0.95,0.45,0.87,0.83000,6.5642,6.5642,5,5,True,moderate,0.379,1.0379,1.0227,,,,,True,0.0345,,,77,,60.00,,unknown,0,,,False,,88.0,,,,
92,ONC,41.52,41.52,0.0343,0.4293,late,poc,large,none,58.79,50.83,41.90,84.00,,,48.56031866064375213715331524,19.81,10.13,1.58,6.00,,3.76,0.95,0.95,0.45,0.87,0.83000,4.3074,4.3074,2,2,True,moderate,0.307,1.0307,1.0184,,,,,True,-0.1368,,,77,,53.00,,unknown,0,,,False,,86.0,,,,
93,AMRX,41.47,41.47,0.035,0.4379,late,poc,mid,none,74.38,25.78,42.93,72.94,,,,32.77,4.97,0.00,6.00,,,0.95,0.95,0.30,0.94,0.80000,,,0,0,False,,,,,,below_threshold,,,False,0.1223,,,77,,41.00,,unknown,0,,,False,,88.0,,,,
94,AMPH,41.37,41.37,0.0337,0.4207,late,commercial,small,none,52.52,61.77,31.94,70.73,,,,16.28,18.28,0.86,6.00,,,0.95,0.95,0.45,0.90,0.83500,,,0,0,False,,,,,,stage_commercial_not_active,,,False,-0.2005,,,77,,73.00,,unknown,0,,,False,,83.0,,,,
95,EXEL,41.14,41.14,0.0323,0.4036,late,poc,large,none,61.11,48.34,43.28,96.71,,,,22.11,10.35,2.44,6.00,,,0.95,0.95,0.65,0.87,0.87000,,,0,0,False,,,,,,below_threshold,,,True,-0.1428,,,77,,67.00,,unknown,0,,,True,,83.0,,,,
96,ARQT,41.04,41.04,0.033,0.4121,late,poc,mid,none,60.28,31.70,40.98,50.00,,,62.66029780203176931685358074,24.34,5.60,0.00,6.00,,6.31,0.95,0.95,0.30,0.77,0.80000,6.9422,6.9422,4,4,True,moderate,0.475,1.0475,1.0285,,,,,False,-0.0260,,,108,,65.00,,unknown,0,,,False,,83.0,,,,
97,MLYS,40.59,40.59,0.051,0.6379,late,pivotal,mid,none,50.50,69.60,36.55,39.77,,,85,16.97,12.94,1.40,6.00,,9.04,0.95,0.95,0.45,0.80,0.83000,11.278,11.278,7,7,False,,,,,True,thesis_gate_triggered,,,False,0.0849,,,197,,59.00,,unknown,0,,,False,,75.0,,,,
98,TECH,40.47,40.47,0.0302,0.3781,late,poc,mid,none,71.06,19.82,43.28,96.71,,,33.97747472420473559750085368,26.43,3.22,2.67,6.00,,2.75,0.95,0.95,0.65,0.87,0.87000,0.6667,0.6667,1,1,True,weak,0.054,1.0054,1.0033,,,,,True,-0.0764,,,77,,55.00,,unknown,0,,,False,,88.0,,,,
99,NAMS,40.43,40.43,0.0495,0.6188,late,pivotal,mid,none,55.47,47.49,52.74,32.03,,,84.74417932624442780722529995,18.97,8.98,2.05,4.98,,8.05,0.95,0.95,0.45,0.75,0.83500,10.9881,10.9881,5,5,False,,,,,True,thesis_gate_triggered,,,True,-0.2489,,,197,,63.00,,unknown,0,,,False,,88.0,,,,
100,RIGL,40.40,39.19,0.0526,0.6573,late,poc,small,none,48.34,64.09,53.45,50.00,,,42.72834875689924811263065393,18.06,11.47,3.16,6.00,,3.85,0.95,0.95,0.65,0.77,0.87000,0.6667,0.6667,1,1,False,,,,,True,thesis_gate_triggered,,,True,-0.1061,,,77,,57.00,,unknown,0,,,False,,88.0,,,,
101,LCTX,40.04,40.04,0.0289,0.3613,early,early,small,none,71.64,8.20,37.32,92.88,,,,39.07,2.37,1.19,0.00,,,0.95,0.95,0.45,0.37,0.83500,,,0,0,False,,,,,,stage_early_not_active,,,False,-0.1575,,,28,,66.00,,unknown,0,,,False,,64.0,,,,
102,DSGN,39.79,39.79,0.0694,0.8677,mid,poc,small,none,52.30,64.06,42.08,23.18,,,77.94030290376779157552062608,21.46,12.59,0.00,3.80,,8.72,0.95,0.95,0.30,0.53,0.80500,4.3855,4.3855,4,4,False,,,,,True,thesis_gate_triggered,,,False,0.5700,,,51,,53.00,,unknown,0,,,False,,64.0,,,,
103,CRL,39.68,39.68,0.0276,0.3446,late,poc,mid,none,66.09,25.12,54.56,96.71,,,,26.74,4.45,3.66,6.00,,,0.95,0.95,0.65,0.87,0.87000,,,0,0,False,,,,,,below_threshold,,,True,0.0298,,,77,,54.00,,unknown,0,,,False,,88.0,,,,
104,GLPG,39.46,39.46,0.0269,0.3363,late,pivotal,mid,none,78.69,9.87,68.31,96.71,,,62.87791033687778609638735002,27.86,1.28,2.75,6.00,,5.24,0.95,0.65,0.45,0.87,0.74500,5.5529,5.5529,3,3,False,,,,,,stage_pivotal_not_active,,,True,-0.1632,,,197,,53.00,,unknown,0,,,False,,88.0,,,,
105,EPRX,38.97,38.97,0.0249,0.3114,mid,poc,small,none,59.20,31.23,34.16,98.85,,,66.20298485481161042122396869,20.10,5.77,1.49,6.00,,6.93,0.85,0.95,0.45,0.63,0.80500,5.6156,5.6156,3,3,False,,,,,,no_catalyst_data,,,False,0.2082,,,51,,44.00,,unknown,0,,,False,,64.0,,,,
106,GERN,38.68,38.68,0.0598,0.7479,late,pivotal,small,none,56.14,71.00,40.98,6.61,,,52.93916225881405541855930666,20.83,15.96,0.00,1.08,,4.99,0.95,0.95,0.30,0.70,0.80500,2.414,2.414,2,2,False,,,,,True,thesis_gate_triggered,,,False,-0.1648,,,197,,75.00,,unknown,0,,,True,,86.0,,,,
107,CERS,38.17,38.17,0.0229,0.2868,late,poc,small,none,62.44,36.77,53.45,100.00,,,36.72834875689924811263065393,22.88,6.45,3.09,6.00,,3.31,0.95,0.95,0.65,0.95,0.87500,0.4,0.4,1,1,True,weak,0.095,1.0095,1.0057,,,,,True,0.4507,,,197,,54.00,,unknown,0,,,False,,83.0,,,,
108,RCKT,38.09,38.09,0.021,0.2623,mid,poc,small,sev1,61.50,21.46,42.08,98.85,,,65.70298485481161042122396869,24.93,4.17,0.00,6.00,,7.35,0.95,0.95,0.30,0.63,0.80500,2.5456,2.5456,3,3,True,moderate,0.386,1.0386,1.0231,,,,,False,-0.1850,,,51,,63.00,,unknown,1,,,True,,79.0,,,,
109,NRIX,37.50,37.50,0.0458,0.5719,mid,poc,small,none,57.47,50.39,42.08,23.18,,,56.94030290376779157552062608,23.58,9.91,0.00,3.80,,6.37,0.95,0.95,0.30,0.53,0.80500,3.5176,3.5176,4,4,False,,,,,True,thesis_gate_triggered,,,False,0.2455,,,51,,67.00,,unknown,0,,,False,,67.0,,,,
110,ARVN,37.45,34.45,0.0574,0.717,late,poc,small,none,53.48,71.00,54.54,6.61,,,71.94030290376779157552062608,19.65,12.49,3.16,1.08,,8.05,0.95,0.95,0.65,0.70,0.87500,5.9924,5.9924,4,4,False,,,,,True,thesis_gate_triggered,,,True,0.2699,,,108,,76.00,,unknown,0,,,False,,83.0,,,,
111,PTCT,36.94,36.94,0.045,0.5627,late,poc,mid,none,42.37,80.00,43.28,39.77,,,74.22123882797411388997115643,15.58,12.87,1.89,6.00,,7.95,0.95,0.95,0.45,0.80,0.83000,9.235,9.235,5,5,False,,,,,True,thesis_gate_triggered,,,False,0.0296,,,77,,79.00,,unknown,0,,,False,,88.0,,,,
112,BCRX,36.82,36.82,0.0184,0.2299,late,poc,small,none,51.49,33.08,48.34,60.50,,,60.20298485481161042122396869,19.10,5.87,2.02,6.00,,6.31,0.95,0.95,0.45,0.78,0.83500,2.6499,2.6499,3,3,True,moderate,0.394,1.0394,1.0236,,,,,False,-0.3558,,,77,,68.00,,unknown,0,,,False,,86.0,,,,
113,AARD,36.50,35.40,0.0414,0.5172,late,poc,micro,none,45.69,60.87,54.54,39.77,,,,18.77,12.92,3.72,6.00,,,0.95,0.95,0.65,0.80,0.87000,,,0,0,False,,,,,True,thesis_gate_triggered,,,True,0.0067,,,197,,64.00,,unknown,0,,,False,,75.0,,,,
114,ACIU,36.40,36.40,0.0171,0.2138,mid,poc,small,none,67.24,4.03,74.90,55.75,,,,29.39,0.56,5.17,6.00,,,0.95,0.65,0.65,0.50,0.78000,,,0,0,False,,,,,,below_threshold,,,True,0.0198,,,51,,57.00,,unknown,0,,,False,,75.0,,,,
115,BNTX,36.02,36.02,0.0158,0.1977,late,poc,large,none,63.93,19.16,43.53,84.00,,,53.47232917242136254635691029,21.64,2.54,2.30,6.00,,4.77,0.95,0.65,0.65,0.95,0.78000,3.2114,3.2114,4,4,True,weak,0.114,1.0114,1.0069,,,,,True,-0.0906,,,197,,58.00,,unknown,2,,,False,,86.0,,,,
116,GHRS,35.93,35.93,0.0152,0.1897,mid,poc,small,none,60.34,8.62,40.23,65.33,,,83.67762095272397272981728346,23.29,1.05,1.75,6.00,,9.95,0.95,0.65,0.45,0.58,0.74000,5.9367,5.9367,5,5,False,,,,,,no_catalyst_data,,,False,0.0008,,,51,,54.00,,unknown,0,,,False,,72.0,,,,
117,ROIV,35.90,35.90,0.0472,0.5905,mid,poc,large,none,48.14,71.00,34.16,23.18,,,78.42833442831016775095870782,16.82,16.68,1.51,3.90,,7.45,0.85,0.95,0.45,0.53,0.74000,7.6213,7.6213,5,5,False,,,,,True,thesis_gate_triggered,,,False,0.1042,,,0,,48.00,,unknown,0,,,False,,49.0,,,,
118,ORIC,35.53,35.53,0.0139,0.1737,early,poc,small,sev1,80.00,0,52.25,69.49,,,65.70298485481161042122396869,30.69,0.00,2.27,6.00,,7.35,0.95,0.95,0.45,0.40,0.83000,6.0559,6.0559,3,3,True,strong,0.637,1.0637,1.0382,,,,,False,-0.1331,,,28,,74.00,,unknown,0,,,False,,63.0,,,,
119,ALNY,35.41,35.41,0.0378,0.4728,late,poc,large,none,44.36,43.04,57.01,39.77,,,70.38433968419897295556050534,14.53,8.34,2.91,6.00,,7.09,0.95,0.95,0.65,0.80,0.87500,8.5908,8.5908,6,6,False,,,,,True,thesis_gate_triggered,,,True,-0.4163,,,77,,48.00,,unknown,2,,,True,,88.0,,,,
120,TGTX,35.35,35.35,0.0133,0.1658,late,poc,mid,none,57.79,21.14,43.28,84.00,,,51.09935677608942474373600505,23.21,3.71,0.00,6.00,,4.81,0.95,0.95,0.30,0.87,0.80500,2.9632,2.9632,3,3,True,weak,0.154,1.0154,1.0093,,,,,False,-0.2387,,,108,,73.00,,unknown,1,,,True,,86.0,,,,
121,DNLI,35.34,35.34,0.0357,0.4466,late,poc,mid,none,43.04,63.97,28.30,39.77,,,51.09935677608942474373600505,15.88,10.33,1.73,6.00,,4.81,0.95,0.95,0.65,0.80,0.87000,3.1707,3.1707,3,3,False,,,,,True,thesis_gate_triggered,,,True,0.1160,,,197,,67.00,,unknown,1,,,False,,83.0,,,,
122,CRMD,35.34,32.57,0.0145,0.1817,late,pivotal,small,none,51.99,27.12,57.37,64.93,,,59.43916225881405541855930666,17.74,5.61,2.12,6.00,,5.21,0.95,0.95,0.45,0.92,0.83500,1.6909,1.6909,2,2,False,,,,,,stage_pivotal_not_active,,,True,-0.5495,,,77,,53.00,,unknown,0,,,False,,75.0,,,,
123,SGMO,35.27,32.45,0.0094,0.1181,mid,poc,micro,sev1,78.73,11.69,42.08,98.85,,,,36.29,2.78,0.00,6.00,,,0.95,0.95,0.30,0.63,0.80500,,,0,0,False,,,,,,below_threshold,,,False,-0.5166,,,51,,48.00,,unknown,0,,,False,,84.0,,,,
124,VCEL,35.27,35.27,0.0114,0.1419,late,commercial,small,none,73.38,21.81,31.94,84.00,,,,22.66,6.43,0.85,6.00,,,0.95,0.95,0.45,0.95,0.83500,,,0,0,False,,,,,,stage_commercial_not_active,,,False,-0.2125,,,77,,65.00,,unknown,0,,,False,,80.0,,,,
125,FATE,35.26,32.41,0.0385,0.4816,mid,poc,micro,none,55.75,42.96,38.20,23.18,,,77.82050807568877293527446342,21.12,8.41,1.72,3.51,,8.96,0.95,0.95,0.45,0.53,0.83000,2.3416,2.3416,2,2,False,,,,,True,thesis_gate_triggered,,,False,-0.0967,,,51,,59.00,,unknown,0,,,True,,84.0,,,,
126,PYXS,34.84,34.84,0.0088,0.1102,early,poc,micro,sev1,57.60,15.15,52.25,69.49,,,85,22.13,3.01,2.38,6.00,,9.78,0.95,0.95,0.45,0.40,0.83500,2.2038,2.2038,3,3,True,moderate,0.336,1.0336,1.0202,,,,,False,-0.3429,,,28,,47.00,,unknown,0,,,False,,63.0,,,,
127,ARGX,34.81,34.81,0.0076,0.0944,late,poc,large,none,67.08,1.24,33.01,84.00,,,85,22.44,0.16,1.72,6.00,,8.56,0.95,0.65,0.65,0.94,0.78000,12.2118,12.2118,6,6,True,moderate,0.376,1.0376,1.0226,,,,,True,-0.1382,,,108,,61.00,,unknown,0,,,False,,88.0,,,,
128,AUPH,34.66,34.66,0.0223,0.2786,late,pivotal,small,none,46.35,54.15,31.94,50.00,,,46.96129941586512670153032467,16.18,11.45,1.21,6.00,,3.80,0.95,0.95,0.45,0.77,0.83000,2.6667,2.6667,1,1,False,,,,,True,thesis_gate_triggered,,,False,-0.1171,,,77,,59.00,,unknown,0,,,False,,86.0,,,,
129,MDGL,34.65,34.65,0.0262,0.328,late,poc,large,none,60.28,33.95,15.99,32.03,,,82.38433968419897295556050534,19.60,6.53,0.81,5.04,,9.22,0.95,0.95,0.65,0.75,0.87000,12.9415,12.9415,6,6,False,,,,,True,thesis_gate_triggered,,,True,-0.0340,,,197,,73.00,,unknown,0,,,True,,83.0,,,,
130,SNY,34.11,34.11,0.0057,0.0708,late,poc,large,none,79.68,6.55,43.53,100.00,,,32.60431340475494693255151771,27.48,0.88,2.34,6.00,,2.33,0.95,0.65,0.65,0.95,0.78500,0.4,0.4,1,1,True,weak,0.083,1.0083,1.005,,,,,True,-0.2722,,,108,,44.00,,unknown,0,,,False,,88.0,,,,
131,SGMT,34.03,34.03,0.0282,0.3529,late,pivotal,micro,none,43.70,62.13,32.97,32.03,,,46.49625948081285827943208558,15.43,14.34,1.32,5.14,,3.76,0.95,0.95,0.45,0.75,0.83500,0.5333,0.5333,1,1,False,,,,,True,thesis_gate_triggered,,,False,-0.4727,,,197,,59.00,,unknown,0,,,False,,84.0,,,,
132,CDTX,28.71,34.00,0.0069,0.0865,late,poc,unknown,none,52.82,0,48.34,60.50,,,85,26.99,0.00,2.93,6.00,,10.70,0.95,0.1,0.45,0.78,0.455,14.2442,14.2442,8,8,True,strong,0.903,1.0903,1.0542,,,,,False,,,,0,,50,,unknown,0,,,False,,83.0,,,,
133,TCRX,33.92,33.92,0.0044,0.055,early,pivotal,micro,sev1,72.81,12.16,43.66,69.49,,,63.11896724206605001902396979,28.55,3.12,0.00,6.00,,5.53,0.95,0.95,0.30,0.40,0.80500,1.3333,1.3333,2,2,False,,,,,,stage_pivotal_not_active,,,False,-0.5271,,,28,,64.00,,unknown,0,,,False,,80.0,,,,
134,PTGX,33.83,32.06,0.0216,0.2704,late,poc,mid,none,47.01,30.43,49.54,50.00,,,74.22123882797411388997115643,17.35,4.91,2.17,6.00,,7.95,0.95,0.95,0.45,0.77,0.83000,9.0738,9.0738,5,5,False,,,,,True,thesis_gate_triggered,,,True,-0.0228,,,77,,59.00,,unknown,0,,,False,,80.0,,,,
135,CLDX,33.62,33.62,0.0371,0.464,late,poc,small,none,40.38,66.50,67.18,6.61,,,77.44030290376779157552062608,14.71,11.60,3.86,1.07,,9.22,0.95,0.95,0.65,0.70,0.87500,4.8709,4.8709,4,4,False,,,,,True,thesis_gate_triggered,,,True,-0.1801,,,197,,61.00,,unknown,0,,,False,,86.0,,,,
136,PBYI,32.75,32.75,0.0316,0.3951,late,poc,small,none,53.82,62.11,41.48,6.61,,,42.72834875689924811263065393,22.19,12.26,0.00,1.21,,3.85,0.95,0.95,0.30,0.70,0.80000,0.6667,0.6667,1,1,False,,,,,True,thesis_gate_triggered,,,False,0.1088,,,77,,63.00,,unknown,0,,,False,,83.0,,,,
137,LXEO,32.68,30.11,-0.0006,-0.0079,early,early,small,sev1,73.98,6.21,37.32,100.00,,,55.0,30.63,1.36,0.90,6.00,,4.26,0.95,0.95,0.45,0.50,0.83500,0.6667,0.6667,1,1,False,,,,,,stage_early_not_active,,,False,-0.1892,,,28,,57.00,,unknown,0,,,False,,75.0,,,,
138,GRFS,28.71,32.50,0.0,0.0,late,poc,unknown,none,61.77,0,43.28,96.71,,,,33.83,0.00,3.93,6.00,,,0.95,0.1,0.65,0.94,0.56000,,,0,0,False,,,,,,below_threshold,,,True,-0.2906,,,0,,61.00,,unknown,0,,,False,,88.0,,,,
139,MEDP,32.50,32.50,0.0309,0.3866,early,early,large,none,59.94,34.80,37.32,7.12,,,,29.01,11.02,1.04,0.00,,,0.95,0.95,0.45,0.30,0.83000,,,0,0,False,,,,,True,thesis_gate_triggered,,,False,-0.1168,,,77,,61.00,,unknown,0,,,False,,68.0,,,,
140,SERA,32.13,32.13,0.0296,0.3697,early,early,micro,none,41.82,47.96,37.32,24.66,,,55.5,21.02,13.78,1.15,0.00,,3.97,0.95,0.95,0.45,0.32,0.83500,0.6667,0.6667,1,1,False,,,,,True,thesis_gate_triggered,,,False,-0.2265,,,28,,57.00,,unknown,0,,,False,,50.0,,,,
141,TWST,31.94,31.94,0.019,0.238,early,early,mid,none,55.26,30.07,37.32,39.28,,,49.5,23.69,6.23,0.98,6.00,,3.06,0.95,0.95,0.45,0.40,0.83500,0.4,0.4,1,1,False,,,,,True,thesis_gate_triggered,,,False,0.1998,,,28,,84.00,,unknown,0,,,False,,71.0,,,,
142,AMLX,31.32,31.32,0.0243,0.3032,late,poc,small,none,29.77,57.20,54.54,39.77,,,85,10.59,9.75,3.06,6.00,,11.08,0.95,0.95,0.65,0.80,0.87000,15.2274,15.2274,9,9,False,,,,,True,thesis_gate_triggered,,,True,0.1302,,,197,,65.00,,unknown,0,,,False,,83.0,,,,
143,VIR,31.31,31.31,-0.0019,-0.0236,late,pivotal,small,sev1,41.71,34.51,54.06,60.50,,,59.43916225881405541855930666,14.43,7.23,2.02,6.00,,5.21,0.95,0.95,0.45,0.78,0.83500,1.4203,1.4203,2,2,False,,,,,,stage_pivotal_not_active,,,True,0.2528,,,197,,66.00,,unknown,0,,,False,,86.0,,,,
144,RCUS,31.29,31.29,0.0256,0.3197,late,poc,mid,none,36.40,71.00,67.18,6.61,,,68.66029780203176931685358074,13.48,11.50,4.12,1.09,,6.91,0.95,0.95,0.65,0.70,0.87500,5.7924,5.7924,4,4,False,,,,,True,thesis_gate_triggered,,,True,0.2872,,,108,,50.00,,unknown,1,,,False,,83.0,,,,
145,CYTK,30.89,30.89,0.0197,0.2461,late,poc,mid,none,52.49,12.52,57.34,26.23,,,79.72123882797411388997115643,19.12,1.99,3.46,4.30,,9.05,0.95,0.95,0.65,0.72,0.87000,8.3869,8.3869,5,5,False,,,,,True,thesis_gate_triggered,,,True,0.0694,,,197,,69.00,,unknown,1,,,False,,88.0,,,,
146,FOLD,30.79,30.79,0.0107,0.134,late,poc,mid,none,53.15,27.78,42.68,39.77,,,82.78217985391645846308873212,21.09,4.82,0.00,6.00,,9.40,0.95,0.95,0.30,0.80,0.80500,7.7557,7.7557,6,6,False,,,,,True,thesis_gate_triggered,,,False,0.4044,,,77,,60.00,,unknown,1,,,True,,83.0,,,,
147,IMTX,30.78,30.78,0.0236,0.295,late,pivotal,small,none,49.34,65.66,31.94,6.61,,,,18.87,15.21,1.32,1.12,,,0.95,0.95,0.45,0.70,0.83000,,,0,0,False,,,,,True,thesis_gate_triggered,,,False,-0.0741,,,197,,69.00,,unknown,0,,,False,,83.0,,,,
148,MAZE,30.53,30.53,0.0038,0.0472,mid,poc,mid,none,30.46,44.91,42.08,71.07,,,57.09935677608942474373600505,12.70,9.30,0.00,6.00,,5.38,0.85,0.95,0.30,0.58,0.71500,6.2137,6.2137,3,3,False,,,,,True,thesis_gate_triggered,,,False,0.5911,,,0,,55.00,,unknown,0,,,False,,46.0,,,,
149,IRON,30.43,30.43,0.0126,0.1578,late,pivotal,mid,none,23.47,57.77,42.43,50.00,,,85,8.40,11.43,0.00,6.00,,9.98,0.95,0.95,0.30,0.77,0.80000,11.413,11.413,8,8,False,,,,,True,thesis_gate_triggered,,,False,-0.1388,,,197,,57.00,,unknown,0,,,False,,76.0,,,,
150,TNGX,30.41,30.41,-0.0031,-0.0393,early,poc,small,sev1,68.13,0,52.25,69.49,,,85,25.72,0.00,2.23,6.00,,10.70,0.95,0.95,0.45,0.40,0.83500,6.8791,6.8791,5,5,True,strong,0.691,1.0691,1.0415,,,,,False,0.3061,,,28,,68.00,,unknown,0,,,False,,60.0,,,,
151,CADL,30.41,30.41,0.0203,0.2542,late,poc,small,none,50.83,54.10,40.98,6.61,,,,23.00,11.73,0.00,1.33,,,0.95,0.95,0.30,0.70,0.80500,,,0,0,False,,,,,True,thesis_gate_triggered,,,False,-0.1888,,,197,,67.00,,unknown,0,,,False,,79.0,,,,
