rank,ticker,composite_score,risk_adjusted_score,expected_excess_return,score_z,company_stage,lead_program_stage,market_cap_bucket,severity,clinical_score,financial_score,catalyst_score,pos_score,momentum_score,valuation_score,smart_money_score,clinical_contrib,financial_contrib,catalyst_contrib,pos_contrib,momentum_contrib,smart_money_contrib,clinical_conf,financial_conf,catalyst_conf,pos_conf,confidence_overall,conviction_overlap,tier1_conviction_overlap,tier1_count,coinvest_overlap_count,reinforcement_applied,reinforcement_type,reinforce_pts,catalyst_mult,momentum_mult,thesis_gate_blocked,skip_reason,catalyst_window_days,nearest_catalyst_type,in_optimal_window,alpha_60d,momentum_bucket,ev_trial_ratio,peer_count,si_pct,si_score,annualized_vol_pct,vol_bucket,partnership_count,partnership_strength,has_top_tier_partner,has_fda_designations,designation_count,pipeline_diversity_score,is_single_asset,competitive_intensity,cash_runway_months,burn_trajectory
17,BCYC,28.71,57.59,0.128,1.5995,early,early,small,none,80.00,57.93,37.32,69.49,,,57.5,31.86,13.89,0.99,6.00,,4.80,0.85,0.95,0.45,0.40,0.74500,1.6406,1.6406,2,2,False,,,,,,stage_early_not_active,,,False,-0.3207,,,0,,63.00,,unknown,0,,,False,,35.0,,,,
18,ENTA,57.19,57.19,0.1257,1.5718,mid,poc,small,none,80.00,67.00,34.16,80.65,,,42.72834875689924811263065393,30.75,12.33,1.48,6.00,,3.85,0.95,0.95,0.45,0.61,0.83000,0.6667,0.6667,1,1,False,,,,,,no_catalyst_data,,,False,0.0642,,,51,,61.00,,unknown,0,,,False,,82.0,,,,
19,QSI,56.83,56.83,0.1236,1.5454,late,poc,micro,none,80.00,65.37,49.78,75.70,,,,32.70,13.81,2.42,6.00,,,0.95,0.95,0.45,0.95,0.83500,,,0,0,False,,,,,,below_threshold,,,True,-0.4416,,,197,,53.00,,unknown,0,,,False,,88.0,,,,
20,UPB,56.67,56.67,0.1196,1.4955,mid,poc,small,none,66.09,57.22,55.74,61.49,,,77.44030290376779157552062608,24.45,10.14,3.26,6.00,,9.22,0.95,0.95,0.65,0.56,0.87500,8.5256,8.5256,4,4,True,moderate,0.42,1.042,1.0252,,,,,True,0.1938,,,51,,63.00,,unknown,0,,,False,,75.0,,,,
21,ACRS,56.59,57.64,0.1177,1.4718,late,poc,small,none,80.00,55.23,43.28,84.00,,,63.20298485481161042122396869,31.54,10.42,0.00,6.00,,6.62,0.95,0.95,0.30,0.94,0.80500,2.4825,2.4825,3,3,True,weak,0.134,1.0134,1.0081,,,,,False,0.5373,,,197,,49.00,,unknown,0,,,False,,86.0,,,,
22,CHRS,56.53,57.58,0.1216,1.5199,late,poc,micro,none,66.75,70.56,57.05,72.94,,,55.5,24.51,13.39,3.47,6.00,,5.50,0.95,0.95,0.65,0.87,0.87500,0.7564,0.7564,1,1,True,weak,0.099,1.0099,1.0059,,,,,True,0.7180,,,197,,76.00,,unknown,0,,,False,,86.0,,,,
23,JANX,56.39,54.70,0.1142,1.4269,early,poc,small,none,64.62,70.85,43.66,69.49,,,85,23.81,14.21,0.00,6.00,,11.08,0.85,0.95,0.30,0.40,0.77500,7.2959,7.2959,7,7,True,weak,0.04,1.004,1.0024,,,,,False,-0.5851,,,28,,48.00,,unknown,0,,,False,,67.0,,,,
24,CGEM,56.30,57.34,0.1124,1.4055,early,poc,small,none,70.47,58.92,61.30,69.49,,,53.44030290376779157552062608,26.53,10.63,3.65,6.00,,6.35,0.95,0.95,0.65,0.40,0.87500,1.6307,1.6307,4,4,True,weak,0.205,1.0205,1.0123,,,,,True,0.2689,,,28,,59.00,,unknown,0,,,False,,74.0,,,,
25,TARA,28.71,55.84,0.1159,1.449,mid,pivotal,small,none,71.84,65.04,52.78,75.86,,,45.96129941586512670153032467,27.01,14.81,0.00,6.00,,4.33,0.95,0.95,0.30,0.58,0.80500,0.6667,0.6667,1,1,False,,,,,,stage_pivotal_not_active,,,False,0.4453,,,51,,56.00,,unknown,0,,,False,,75.0,,,,
26,SABS,55.76,55.76,0.1108,1.3847,mid,poc,micro,none,74.14,64.94,34.16,80.65,,,55.5,28.32,12.82,1.55,6.00,,5.50,0.95,0.95,0.45,0.61,0.83500,0.6667,0.6667,1,1,False,,,,,,no_catalyst_data,,,False,0.2244,,,51,,44.00,,unknown,0,,,False,,80.0,,,,
27,EWTX,55.72,56.75,0.1092,1.3645,mid,poc,mid,none,75.29,52.34,50.77,23.18,,,85,27.76,8.44,2.22,3.42,,11.08,0.95,0.95,0.45,0.53,0.83500,12.9774,12.9774,9,9,True,strong,0.833,1.0833,1.05,,,,,False,0.4750,,,51,,77.00,,unknown,0,,,False,,72.0,,,,
28,ALT,55.29,56.31,0.1076,1.3448,late,poc,small,none,78.03,66.79,48.34,70.73,,,36.22834875689924811263065393,28.76,11.79,2.01,6.00,,3.53,0.95,0.95,0.45,0.92,0.83500,0.4449,0.4449,1,1,True,moderate,0.254,1.0254,1.0152,,,,,False,0.3068,,,197,,47.00,,unknown,0,,,False,,82.0,,,,
29,GLUE,55.10,56.12,0.1061,1.3257,early,pivotal,small,none,76.32,63.45,61.13,69.49,,,71.91702510176298413558828865,24.47,14.01,2.41,6.00,,6.77,0.85,0.95,0.45,0.40,0.80500,2.4151,2.4151,3,3,False,,,,,,stage_pivotal_not_active,,,True,1.5895,,,77,,75.00,,unknown,0,,,False,,55.0,,,,
30,VNDA,54.54,55.55,0.1031,1.2887,late,poc,small,none,77.37,61.15,57.34,90.08,,,39.72834875689924811263065393,28.69,10.86,3.36,6.00,,3.58,0.95,0.95,0.65,0.84,0.87500,0.7172,0.7172,1,1,True,weak,0.17,1.017,1.0102,,,,,True,0.4860,,,197,,75.00,,unknown,0,,,False,,88.0,,,,
31,SUPN,54.52,54.52,0.1046,1.307,late,poc,mid,none,76.70,62.77,41.23,90.08,,,39.53841575014708017061842937,31.15,11.15,0.00,6.00,,3.46,0.95,0.95,0.30,0.84,0.80500,1.4608,1.4608,2,2,True,weak,0.154,1.0154,1.0092,,,,,False,-0.2354,,,77,,77.00,,unknown,0,,,False,,83.0,,,,
32,RARE,54.35,47.46,0.1017,1.2709,late,pivotal,mid,none,66.42,68.20,52.89,100.00,,,57.24417932624442780722529995,21.72,12.34,1.97,6.00,,6.72,0.95,0.95,0.45,0.95,0.83500,6.18,6.18,5,5,False,,,,,,stage_pivotal_not_active,,,True,-0.3918,,,108,,60.00,,unknown,1,,,True,,86.0,,,,
33,NKTX,53.95,53.95,0.0989,1.2364,early,early,micro,none,64.62,59.92,37.32,69.49,,,66.5,26.74,14.17,0.95,6.00,,5.55,0.95,0.95,0.45,0.40,0.83000,3.0452,3.0452,3,3,False,,,,,,stage_early_not_active,,,False,0.0217,,,28,,86.00,,unknown,0,,,False,,66.0,,,,
34,ACAD,53.68,53.68,0.0937,1.1715,late,regulatory,mid,none,67.41,65.09,53.82,90.08,,,71.0,18.98,12.47,3.97,6.00,,8.50,0.95,0.95,0.65,0.84,0.87000,8.9955,8.9955,7,7,True,strong,0.657,1.0657,1.0394,,,,,False,-0.1499,,,77,,61.00,,unknown,1,,,True,,83.0,,,,
35,HRTX,53.66,53.66,0.1003,1.2535,late,commercial,micro,none,72.06,62.98,31.94,72.94,,,58.0,21.30,19.17,0.86,6.00,,3.90,0.95,0.95,0.45,0.87,0.83500,1.2,1.2,2,2,False,,,,,,stage_commercial_not_active,,,False,-0.1520,,,197,,80.00,,unknown,0,,,False,,86.0,,,,
36,AMGN,53.65,53.65,0.0976,1.2197,late,poc,large,none,75.70,67.74,43.28,96.71,,,35.60431340475494693255151771,25.44,13.47,2.27,6.00,,2.55,0.95,0.95,0.65,0.87,0.87000,1.4315,1.4315,1,1,True,weak,0.103,1.0103,1.0062,,,,,True,-0.0773,,,77,,61.00,,unknown,0,,,True,,88.0,,,,
