rank,ticker,composite_score,risk_adjusted_score,expected_excess_return,score_z,stage_bucket,market_cap_bucket,severity,clinical_score,financial_score,catalyst_score,pos_score,momentum_score,valuation_score,smart_money_score,confidence_overall,confidence_clinical,confidence_catalyst,conviction_overlap,tier1_conviction_overlap,tier1_count,coinvest_overlap_count,reinforcement_applied,reinforcement_type,thesis_gate_blocked,skip_reason,catalyst_window_days,nearest_catalyst_type,in_optimal_window,alpha_60d,momentum_bucket,ev_trial_ratio,peer_count,si_pct,si_score,annualized_vol_pct,vol_bucket,partnership_count,partnership_strength,has_top_tier_partner,has_fda_designations,designation_count,pipeline_diversity_score,is_single_asset,competitive_intensity,cash_runway_months,burn_trajectory
33,HRTX,53.66,53.66,0.1003,1.2535,late,micro,none,,,,,,,,0.83500,0.95,0.45,1.2,1.2,2,2,False,,,stage_commercial_not_active,,,False,-0.1520,,,197,,80.00,,unknown,0,,,False,,86.0,,,,
34,AMGN,53.65,53.65,0.0976,1.2197,late,large,none,,,,,,,,0.87000,0.95,0.65,1.4315,1.4315,1,1,True,weak,,,,,True,-0.0773,,,77,,61.00,,unknown,0,,,True,,88.0,,,,
35,DNA,53.61,56.29,0.0963,1.2034,late,small,none,,,,,,,,0.87500,0.95,0.65,0.6667,0.6667,1,1,True,weak,,,,,True,-0.3971,,,197,,68.00,,unknown,0,,,False,,88.0,,,,
36,BIIB,53.42,53.42,0.0925,1.1561,late,large,none,,,,,,,,0.87000,0.95,0.65,5.3985,5.3985,5,5,True,weak,,,,,True,-0.0737,,,77,,75.00,,unknown,0,,,True,,88.0,,,,
37,XNCR,53.40,53.40,0.1546,1.9326,mid,small,none,,,,,,,,0.87000,0.95,0.65,5.0774,5.0774,4,4,False,,True,thesis_gate_triggered,,,True,-0.0975,,,51,,77.00,,unknown,1,,,True,,82.0,,,,
38,ARDX,53.39,54.38,0.095,1.1873,late,small,none,,,,,,,,0.87000,0.95,0.65,1.1439,1.1439,1,1,True,weak,,,,,True,0.1467,,,108,,53.00,,unknown,0,,,False,,86.0,,,,
39,SRPT,53.26,47.53,0.0913,1.1409,late,mid,none,,,,,,,,0.87500,0.95,0.65,3.2394,3.2394,3,3,True,moderate,,,,,False,-0.2454,,,108,,75.00,,unknown,1,,,True,,88.0,,,,
40,HRMY,53.24,74.54,0.0901,1.1259,late,mid,none,,,,,,,,0.83000,0.95,0.45,3.3474,3.3474,3,3,True,weak,,,,,True,-0.0892,,,77,,66.00,,unknown,0,,,False,,80.0,,,,
41,DYN,53.21,53.21,0.0889,1.1113,early,mid,none,,,,,,,,0.83500,0.95,0.45,10.1546,10.1546,8,8,False,,,stage_early_not_active,,,False,-0.2209,,,28,,59.00,,unknown,0,,,False,,64.0,,,,
42,ASMB,53.12,53.12,0.0877,1.0968,mid,small,none,,,,,,,,0.87500,0.95,0.65,0.7565,0.7565,1,1,True,weak,,,,,True,-0.2334,,,51,,63.00,,unknown,0,,,False,,79.0,,,,
