rank,ticker,composite_score,risk_adjusted_score,expected_excess_return,score_z,stage_bucket,market_cap_bucket,severity,clinical_score,financial_score,catalyst_score,pos_score,momentum_score,valuation_score,smart_money_score,confidence_overall,confidence_clinical,confidence_catalyst,conviction_overlap,tier1_conviction_overlap,tier1_count,coinvest_overlap_count,reinforcement_applied,reinforcement_type,thesis_gate_blocked,skip_reason,catalyst_window_days,nearest_catalyst_type,in_optimal_window,alpha_60d,momentum_bucket,ev_trial_ratio,peer_count,si_pct,si_score,annualized_vol_pct,vol_bucket,partnership_count,partnership_strength,has_top_tier_partner,has_fda_designations,designation_count,pipeline_diversity_score,is_single_asset,competitive_intensity,cash_runway_months,burn_trajectory
1,QURE,61.10,59.27,0.2363,2.9542,mid,small,none,70.69,68.45,42.95,93.97,,,85,0.80500,0.95,0.30,11.9664,11.9664,9,9,True,weak,,,,,False,-0.3084,,,52,,48.00,,unknown,0,,,False,,75.0,,,,
2,NVAX,59.98,58.78,0.1933,2.4164,late,small,none,77.00,76.42,50.88,77.61,,,40.97943406368360030360296275,0.83000,0.95,0.45,0.6528,0.6528,1,1,True,weak,,,,,False,-0.0280,,,108,,76.00,,unknown,1,,,True,,86.0,,,,
3,ALKS,59.80,62.79,0.1833,2.2913,late,mid,none,77.00,68.06,42.30,95.00,,,74.25726931785237869870515887,0.80000,0.95,0.30,6.4791,6.4791,6,6,True,moderate,,,,,False,-0.0719,,,77,,70.00,,unknown,0,,,False,,88.0,,,,
4,EBS,59.75,57.96,0.2078,2.597,late,small,none,77.00,74.62,42.30,87.56,,,41.97943406368360030360296275,0.80000,0.95,0.30,0.6528,0.6528,1,1,True,weak,,,,,False,-0.0828,,,77,,71.00,,unknown,0,,,False,,88.0,,,,
5,CTNM,59.18,59.18,0.1755,2.1943,mid,small,none,76.90,60.45,52.48,55.17,,,85,0.83500,0.95,0.45,7.193,7.193,7,7,False,,,stage_pivotal_not_active,,,True,0.3278,,,52,,49.00,,unknown,0,,,False,,78.0,,,,
6,IRWD,58.21,50.91,0.1692,2.1144,late,small,none,77.00,73.43,42.30,74.88,,,,0.80500,0.95,0.30,,,0,0,False,,,below_threshold,,,False,2.1626,,,77,,48.00,,unknown,0,,,False,,80.0,,,,
7,CATX,58.10,58.10,0.1637,2.046,early,small,none,77.00,65.63,52.26,67.54,,,51.07483208139891722867468824,0.83500,0.95,0.45,2.5181,2.5181,2,2,True,moderate,,,,,False,-0.3393,,,28,,65.00,,unknown,0,,,False,,64.0,,,,
8,AGIO,56.89,50.77,0.1546,1.9326,late,small,none,74.92,64.15,60.28,82.09,,,65.17023009911423415374641373,0.87500,0.95,0.65,4.4437,4.4437,3,3,True,moderate,,,,,True,-0.4229,,,201,,57.00,,unknown,0,,,False,,83.0,,,,
9,MBX,56.40,57.44,0.1472,1.8396,mid,small,none,66.55,57.81,42.95,68.97,,,85,0.80500,0.95,0.30,10.9075,10.9075,8,8,True,strong,,,,,False,0.7197,,,52,,75.00,,unknown,0,,,False,,75.0,,,,
10,ESPR,56.25,56.25,0.1507,1.884,late,small,none,77.00,68.21,56.91,66.42,,,41.97943406368360030360296275,0.87000,0.95,0.65,0.6528,0.6528,1,1,True,weak,,,,,True,0.0911,,,108,,50.00,,unknown,0,,,False,,86.0,,,,
11,TBPH,56.11,56.11,0.1408,1.7602,late,small,none,77.00,70.15,34.98,74.88,,,55.5,0.83000,0.95,0.45,0.6528,0.6528,1,1,False,,,stage_commercial_not_active,,,False,0.0998,,,77,,75.00,,unknown,0,,,False,,88.0,,,,
12,OPK,55.94,78.32,0.1439,1.7985,late,small,none,73.73,66.69,42.30,72.39,,,,0.80500,0.95,0.30,,,0,0,False,,,below_threshold,,,False,-0.2618,,,108,,57.00,,unknown,0,,,False,,88.0,,,,
13,BEAM,55.86,55.86,0.138,1.7244,early,mid,none,67.37,67.42,44.93,95.00,,,70.45578781334247064967553348,0.80000,0.95,0.30,5.9813,5.9813,4,4,False,,,stage_pivotal_not_active,,,False,0.0620,,,28,,80.00,,unknown,2,,,True,,75.0,,,,
14,ENTA,55.57,55.57,0.1352,1.6906,mid,small,none,77.00,64.84,36.21,77.59,,,41.97943406368360030360296275,0.83000,0.95,0.45,0.6528,0.6528,1,1,False,,,no_catalyst_data,,,False,0.0642,,,52,,61.00,,unknown,0,,,False,,82.0,,,,
15,UPB,55.55,55.55,0.1327,1.6587,mid,small,none,64.48,56.05,54.03,60.34,,,77.76562811682955107881813921,0.87500,0.95,0.65,8.348,8.348,4,4,True,moderate,,,,,True,0.1938,,,52,,63.00,,unknown,0,,,False,,75.0,,,,
16,ELVN,55.50,56.53,0.1303,1.6284,early,small,none,63.16,64.74,43.96,67.54,,,81.45642415226018492896159018,0.80500,0.95,0.30,5.9476,5.9476,6,6,True,moderate,,,,,False,0.1716,,,28,,63.00,,unknown,0,,,False,,50.0,,,,
155,BCYC,29.41,55.39,0.128,1.5995,early,small,none,77.00,56.68,38.16,67.54,,,57.5,0.74500,0.85,0.45,1.6064,1.6064,2,2,False,,,stage_early_not_active,,,False,-0.3207,,,0,,63.00,,unknown,0,,,False,,35.0,,,,
17,QSI,55.17,55.17,0.1257,1.5718,late,micro,none,77.00,63.39,50.26,72.39,,,,0.83500,0.95,0.45,,,0,0,False,,,below_threshold,,,True,-0.4416,,,201,,53.00,,unknown,0,,,False,,88.0,,,,
18,EWTX,55.09,56.11,0.1236,1.5454,mid,mid,none,72.76,51.66,51.37,25.86,,,85,0.83500,0.95,0.45,12.707,12.707,9,9,True,strong,,,,,False,0.4750,,,52,,77.00,,unknown,0,,,False,,72.0,,,,
19,CGEM,55.07,56.09,0.1216,1.5199,early,small,none,68.42,57.58,57.33,67.54,,,53.76562811682955107881813921,0.87500,0.95,0.65,1.5968,1.5968,4,4,True,weak,,,,,True,0.2689,,,28,,59.00,,unknown,0,,,False,,74.0,,,,
20,IMRX,54.75,53.11,0.1196,1.4955,early,small,none,72.63,62.95,43.96,67.54,,,54.07483208139891722867468824,0.71500,0.85,0.30,1.6607,1.6607,2,2,True,moderate,,,,,False,-0.2538,,,0,,41.00,,unknown,0,,,False,,42.0,,,,
21,SABS,54.60,54.60,0.1159,1.449,mid,micro,none,71.73,63.45,36.21,77.59,,,55.5,0.83500,0.95,0.45,0.6528,0.6528,1,1,False,,,no_catalyst_data,,,False,0.2244,,,52,,44.00,,unknown,0,,,False,,80.0,,,,
22,ACRS,54.40,55.41,0.1124,1.4055,late,small,none,77.00,54.25,43.65,82.09,,,63.17023009911423415374641373,0.80500,0.95,0.30,2.4308,2.4308,3,3,True,weak,,,,,False,0.5373,,,201,,49.00,,unknown,0,,,False,,86.0,,,,
23,CHRS,54.37,55.38,0.1177,1.4718,late,micro,none,65.07,68.51,43.65,70.15,,,55.5,0.80500,0.95,0.30,0.7406,0.7406,1,1,True,weak,,,,,False,0.7180,,,201,,76.00,,unknown,0,,,False,,86.0,,,,
24,VYGR,54.32,54.32,0.1108,1.3847,early,micro,none,77.00,50.87,38.16,88.60,,,49.5,0.83500,0.95,0.45,0.3917,0.3917,1,1,False,,,stage_early_not_active,,,False,-0.2480,,,28,,57.00,,unknown,0,,,False,,67.0,,,,
25,JANX,54.29,52.66,0.1092,1.3645,early,small,none,63.16,68.32,43.96,67.54,,,85,0.77500,0.85,0.30,7.1439,7.1439,7,7,True,weak,,,,,False,-0.5851,,,28,,48.00,,unknown,0,,,False,,67.0,,,,
156,TARA,29.41,53.85,0.1142,1.4269,mid,small,none,69.66,63.08,51.45,73.28,,,46.28846711598273721189900519,0.80500,0.95,0.30,0.6528,0.6528,1,1,False,,,stage_pivotal_not_active,,,False,0.4453,,,52,,56.00,,unknown,0,,,False,,75.0,,,,
26,ALT,53.75,54.74,0.1076,1.3448,late,small,none,75.22,64.66,49.52,68.16,,,35.47943406368360030360296275,0.83500,0.95,0.45,0.4356,0.4356,1,1,True,weak,,,,,False,0.3068,,,201,,47.00,,unknown,0,,,False,,82.0,,,,
27,GLUE,53.74,54.73,0.1061,1.3257,early,small,none,73.68,62.11,56.80,67.54,,,71.29683604115859905443523459,0.80500,0.85,0.45,2.3648,2.3648,3,3,False,,,stage_pivotal_not_active,,,True,1.5895,,,77,,75.00,,unknown,0,,,False,,55.0,,,,
28,RARE,53.04,46.32,0.1031,1.2887,late,mid,none,64.78,65.93,42.30,77.61,,,50.42422164866795787787831586,0.80500,0.95,0.30,6.0512,6.0512,5,5,True,moderate,,,,,False,-0.3918,,,108,,60.00,,unknown,1,,,True,,86.0,,,,
