ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall,clinical_rank_pct_dev,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,catalyst_days,catalyst_in_window,catalyst_mode,catalyst_strength,runway_bucket,mom_state,risk_flags,size_band,size_reasons,cost_mult,cost_bucket,cost_haircut_applied,est_cost_bps,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,dd_rel_margin_rescued,tier_dev,tier_reason,actionable_rank,target_weight_pct,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_tier1_count,de_beta_xbi_60d,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,returns_source,catalyst_source,catalyst_event_type,cat_priority
EBS,1,58.46,0.998428,2.9532,58.46,0.998428,2.9532,late,small,none,commercial_pharma,67.65,40.13235600000000000000000000,43.06965549294209254007832892,41.05,77.000,71.91011235955056179775280899,0.8949589741568112133158125274,,,v1.3.0,96f655ee,1,,1,1,buying,159,0,specific_days,mid,adequate,tailwind,,L,momentum_tailwind,0.85,<=1000bps,1,985.34,1.0,0,1.0,0,0,,,127,0.63,159,False,specific_days,0.2323,1,,-0.140288,,,-0.02683,-0.113458,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
ALKS,2,58.23,0.995283,2.5959,58.30,0.995283,2.5959,late,mid,none,commercial_pharma,44.07,45.44587777777777777777777778,56.08924017103275159365691917,39.90,77.000,69.83050847457627118644067797,0.9,,,v1.3.0,96f655ee,1,,6,6,buying,37,1,specific_days,near,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,362.89,1.0,0,1.0,0,0,,,128,0.44,37,True,specific_days,-0.0823,6,,-0.066389,,,-0.02683,-0.039559,morningstar,,,9
TBPH,3,55.77,0.966981,1.8382,55.81,0.992138,2.4153,late,small,none,drug_developer,69.28,50.678,40.94465549294209254007832892,65.01,77.000,65.16853932584269662921348315,0.8911399684418145956607495069,0.964286,0.035714,v1.3.0,96f655ee,1,,1,1,buying,8,1,specific_days,near,adequate,tailwind,deep_drawdown_rel_xbi,M,momentum_tailwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1025.46,1.0,0,1.0,0,0,C,low_opt,75,0.31,8,True,specific_days,0.2537,1,,-0.3281,,53.3,-0.02683,-0.30127,morningstar,CTGOV_CALENDAR,DATA_READOUT,2
ACAD,4,55.58,0.963836,1.7971,55.64,0.988994,2.2902,late,mid,none,commercial_biotech,42.79,47.59413511111111111111111111,78.44272839510789164453905647,44.17,65.62500000000000000000000000,66.77966101694915254237288135,0.9,,,v1.3.0,96f655ee,1,,7,7,buying,6,1,specific_days,near,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,0.85,<=1000bps,1,525.22,1.0,0,1.0,0,0,,,129,0.38,6,True,specific_days,-0.1002,7,0.9418,-0.0517,,43.2990,-0.02683,-0.02487,morningstar,,,9
TARS,5,55.38,0.960692,1.7588,55.57,0.985849,2.1931,late,mid,none,commercial_biotech,45.93,39.67204444444444444444444444,85,43.94,70.78125000000000000000000000,55.44067796610169491525423729,0.9,,,v1.3.0,96f655ee,0,deep_drawdown,8,8,buying,159,0,specific_days,mid,adequate,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,0.85,<=1000bps,1,529.74,1.0,0,1.0,0,0,,,,,159,False,specific_days,-0.0565,8,,-0.4018,,43.7,-0.02683,-0.37497,morningstar,SEC_8K_FILING,DATA_READOUT,2
BIIB,6,55.30,0.985849,2.1931,55.36,0.982704,2.1131,late,large,none,commercial_pharma,45.09,48.03210000000000000000000000,64.80449451291715356242333060,68.38,72.81250000000000000000000000,75.55555555555555555555555555,0.9,,,v1.3.0,96f655ee,1,,5,5,buying,14,1,specific_days,near,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,175.51,1.0,0,1.0,0,0,,,130,0.44,14,True,specific_days,-0.0682,5,,-0.2549,,51.2,-0.02683,-0.22807,morningstar,,,9
BMRN,7,55.18,0.97956,2.0447,55.22,0.97956,2.0447,late,large,none,commercial_biotech,33.82,57.794,54.16925451770376789658529566,78.49,67.81250000000000000000000000,71.11111111111111111111111111,0.9,,,v1.3.0,96f655ee,1,,3,3,neutral,37,1,specific_days,near,adequate,headwind,overbought_rsi,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,258.43,1.0,0,1.0,0,0,,,131,0.44,37,True,specific_days,-0.2129,3,0.7339,-0.174,,72.1854,-0.02683,-0.14717,morningstar,,,9
OPK,8,54.53,0.970126,1.8826,54.53,0.976415,1.9848,late,small,none,platform_diagnostics,32.26,39.84027777777777777777777778,,71.64,71.56250000000000000000000000,64.69662921348314606741573034,0.9,,,v1.3.0,96f655ee,1,,0,0,neutral,190,0,specific_days,far,adequate,headwind,deep_drawdown_rel_xbi,S,catalyst_far_lift|momentum_headwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1543.84,1.0,0,1.0,0,0,,,132,0.15,190,False,specific_days,-0.2334,0,,-0.319588,,,-0.02683,-0.292758,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
INCY,9,54.02,0.954403,1.6891,54.03,0.97327,1.9312,late,large,none,commercial_biotech,45.80,56.174,59.51441196963202095428327001,37.91,62.81250000000000000000000000,73.33333333333333333333333333,0.9,,,v1.3.0,96f655ee,1,,3,3,buying,4,1,specific_days,near,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,222.13,1.0,0,1.0,0,0,,,133,0.44,4,True,specific_days,-0.0584,3,0.2617,-0.0406,,65.0693,-0.02683,-0.01377,morningstar,,,9
AMGN,10,53.70,0.97327,1.9312,53.70,0.970126,1.8826,late,large,none,commercial_pharma,44.49,56.324,42.21490245310800662061392267,48.21,74.37500000000000000000000000,77.000,0.9,,,v1.3.0,96f655ee,1,,1,1,neutral,3,1,specific_days,near,adequate,headwind,,S,momentum_headwind,1.0,<=400bps,0,106.06,1.0,0,1.0,0,0,,,134,0.22,3,True,specific_days,-0.0766,1,,-0.2206,,54.3,-0.02683,-0.19377,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,3
JAZZ,11,53.48,0.976415,1.9848,53.53,0.966981,1.8382,late,large,none,commercial_biotech,51.81,53.708,81.09950595897712679096775735,65.66,67.18750000000000000000000000,68.88888888888888888888888889,0.9,,,v1.3.0,96f655ee,1,,6,6,buying,8,1,specific_days,near,adequate,neutral,,L,sponsor_confirmed,1.0,<=400bps,0,226.8,1.0,0,1.0,0,0,,,135,0.74,8,True,specific_days,0.0252,6,0.4019,-0.0603,,51.0668,-0.02683,-0.03347,morningstar,CTGOV_CALENDAR,DATA_READOUT,2
XNCR,12,53.12,0.992138,2.4153,53.12,0.963836,1.7971,mid,small,none,drug_developer,39.31,49.26965377777777777777777778,75.73949153246000931752408386,72.20,70.00000000000000000000000000,68.08571428571428571428571429,0.8353537905346187554776511832,0.870879,0.129121,v1.3.0,96f655ee,1,,4,4,buying,9,1,specific_days,near,adequate,headwind,deep_drawdown|deep_drawdown_rel_xbi,S,sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1045.09,1.0,0,1.0,0,0,C,low_opt,76,0.15,9,True,specific_days,-0.1484,4,,-0.375367,,,-0.02683,-0.348537,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
VRTX,13,53.10,0.904088,1.3052,53.11,0.960692,1.7588,late,large,none,commercial_biotech,37.49,62.324,52.92622042136840803609089867,32.65,77.000,47.79301935680536503581771072,0.9,,,v1.3.0,96f655ee,1,,3,3,buying,29,1,specific_days,near,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,128.54,1.0,0,1.0,0,0,,,136,0.44,29,True,specific_days,-0.1646,3,0.4574,-0.086,,61.3421,-0.02683,-0.05917,morningstar,,,9
