ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall,clinical_rank_pct_dev,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,catalyst_days,catalyst_in_window,catalyst_mode,catalyst_strength,runway_bucket,mom_state,risk_flags,size_band,size_reasons,cost_mult,cost_bucket,cost_haircut_applied,est_cost_bps,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,dd_rel_margin_rescued,tier_dev,tier_reason,actionable_rank,target_weight_pct,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_tier1_count,de_beta_xbi_60d,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,returns_source,catalyst_source,catalyst_event_type,cat_priority
NKTX,28,48.71,0.923197,1.4269,48.79,0.910658,1.3448,early,micro,none,drug_developer,29.62,37.47010844444444444444444444,61.550,69.64,66.31578947368421052631578948,58.47368421052631578947368421,0.8186870151949845924981404739,0.81694,0.18306,v1.3.0,96f655ee,1,,3,3,buying,,0,no_upcoming,missing,adequate,headwind,,S,sponsor_confirmed|momentum_headwind|cost_haircut_>2000bps,0.55,>2000bps,1,2020.0,1.0,0,1.0,0,0,C,low_opt+no_catalyst_data,79,0.12,,False,no_upcoming,-0.2682,3,,-0.231939,,,-0.023106,-0.208833,morningstar,,,9
UPB,29,48.56,0.907524,1.3257,48.56,0.907524,1.3257,mid,small,none,drug_developer,64.73,36.85366044444444444444444444,85,14.42,64.48275862068965517241379310,50.90909090909090909090909091,0.8380153545505304299274148520,0.800546,0.199454,v1.3.0,96f655ee,1,,4,4,buying,5,1,specific_days,near,adequate,tailwind,,L,sponsor_confirmed|momentum_tailwind,0.85,<=1000bps,1,775.16,1.0,0,1.0,0,0,C,low_opt,80,0.64,5,True,specific_days,0.1938,4,,-0.048006,,,-0.023106,-0.0249,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
MIRM,30,48.39,0.826019,0.9385,48.39,0.901254,1.2887,late,mid,none,commercial_biotech,64.89,40.15484844444444444444444444,65.58555808442398569128208507,13.64,69.85074626865671641791044776,40.16436554898093359631821171,0.9,,,v1.3.0,96f655ee,1,,3,3,buying,107,0,specific_days,near,adequate,tailwind,,L,sponsor_confirmed|momentum_tailwind,1.0,<=400bps,0,359.13,1.0,0,1.0,0,0,,,152,0.75,107,False,specific_days,0.1959,3,,0.0,,,-0.023106,0.023106,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
EWTX,31,48.38,0.935737,1.5199,48.47,0.904389,1.307,mid,mid,none,drug_developer,83.28,52.916,85,25.96,75.86206896551724137931034483,51.65517241379310344827586207,0.8184405997035685782692965454,0.937158,0.062842,v1.3.0,96f655ee,1,,9,9,buying,75,0,specific_days,near,adequate,tailwind,,L,sponsor_confirmed|momentum_tailwind,0.85,<=1000bps,1,490.69,1.0,0,1.0,0,0,C,low_opt,81,0.64,75,False,specific_days,0.4750,9,,-0.042624,,,-0.023106,-0.019518,morningstar,,,9
NAMS,32,48.24,0.838558,0.9885,48.30,0.898119,1.2709,late,mid,none,drug_developer,31.08,49.92801600000000000000000000,85,43.03,56.41791044776119402985074627,56.09230769230769230769230769,0.8804332081911262798634812287,0.685792,0.314208,v1.3.0,96f655ee,1,,5,5,buying,15,1,specific_days,near,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,0.85,<=1000bps,1,597.7,1.0,0,1.0,0,0,B,mod_opt+catalyst_near,38,0.38,15,True,specific_days,-0.2489,5,,-0.232811,,,-0.023106,-0.209705,morningstar,,,9
IONS,33,47.87,0.88558,1.2034,47.87,0.894984,1.2535,late,large,none,commercial_biotech,59.09,40.44757377777777777777777778,,25.19,60.00000000000000000000000000,68.450,0.9,,,v1.3.0,96f655ee,1,,0,0,neutral,15,1,specific_days,near,adequate,tailwind,,L,momentum_tailwind,1.0,<=400bps,0,227.9,1.0,0,1.0,0,0,,,153,0.75,15,True,specific_days,0.1263,0,0.8532,-0.0423,,47.8952,-0.023106,-0.019194,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
ELVN,34,47.00,0.898119,1.2709,47.00,0.89185,1.2364,early,small,none,drug_developer,63.04,43.60352711111111111111111111,68.35349466153429264595233060,16.07,62.10526315789473684210526316,60.44827586206896551724137931,0.8057346179699753529016356711,0.762295,0.237705,v1.3.0,96f655ee,1,,6,6,selling,137,0,specific_days,mid,adequate,tailwind,high_vol,L,sponsor_confirmed|momentum_tailwind|high_risk,0.85,<=1000bps,1,606.01,1.0,0,1.0,0,0,C,low_opt,82,0.64,137,False,specific_days,0.1716,6,,-0.05771,,,-0.023106,-0.034604,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
ESPR,35,46.83,0.910658,1.3448,46.83,0.888715,1.2197,late,small,none,commercial_pharma,56.56,53.792,40.13598168496412296282926570,55.09,77.000,67.24210526315789473684210527,0.8199532849787329303783299754,,,v1.3.0,96f655ee,1,,1,1,buying,14,1,specific_days,near,adequate,tailwind,,L,momentum_tailwind,0.85,<=1000bps,1,691.24,1.0,0,1.0,0,0,,,154,0.64,14,True,specific_days,0.0911,1,,-0.161765,,,-0.023106,-0.138659,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
ANAB,36,46.65,0.863636,1.0968,46.65,0.882445,1.1873,mid,small,none,commercial_biotech,72.89,51.734,85,33.65,65.51724137931034482758620690,48.73227221712070196918681767,0.8383336136338154501625742796,,,v1.3.0,96f655ee,1,,5,5,buying,76,0,specific_days,near,adequate,tailwind,,L,sponsor_confirmed|momentum_tailwind,0.85,<=1000bps,1,600.9,1.0,0,1.0,0,0,,,155,0.64,76,False,specific_days,0.3011,5,,-0.063642,,,-0.023106,-0.040536,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,3
ASMB,37,46.64,0.822884,0.9264,46.68,0.88558,1.2034,mid,small,none,drug_developer,20.82,48.67347600000000000000000000,40.88521111977504596808266958,81.73,67.58620689655172413793103448,55.54545454545454545454545454,0.8266200947995057845669998877,0.838798,0.161202,v1.3.0,96f655ee,1,,1,1,buying,17,1,specific_days,near,adequate,headwind,deep_drawdown_rel_xbi,XS,momentum_headwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1736.45,1.0,0,1.0,0,0,C,low_opt,83,0.08,17,True,specific_days,-0.3968,1,,-0.318961,,,-0.023106,-0.295855,morningstar,CTGOV_CALENDAR,DATA_READOUT,2
