Rank,Ticker,Composite_Score,Clinical_Score,Financial_Score,Momentum_Score,Momentum_Pct,Momentum_Bucket,Stage_Bucket,Cash,Runway_Months
1,BMRN,11.50,10.0,10,20,-11.4,NEGATIVE,commercial,1385216000,0
2,INCY,11.50,10.0,10,20,-8.3,NEGATIVE,commercial,2331783000,94.62860969167764
3,UTHR,11.50,10.0,10,20,-12.4,NEGATIVE,commercial,1930700000,0
4,AMGN,13.00,10.0,10,30,-6.4,NEGATIVE,commercial,45867000000,0
5,BIIB,13.00,10.0,10,30,-0.5,NEUTRAL,commercial,3461489000,0
6,GILD,13.00,10.0,10,30,-1.9,NEUTRAL,commercial,6520000000,0
7,SRPT,13.00,10.0,10,30,-5.7,NEGATIVE,commercial,1502648000,32.540813674818814
8,VRTX,13.00,10.0,10,30,6.9,POSITIVE,commercial,3839200000,0
9,REGN,14.50,10.0,10,40,13.9,POSITIVE,commercial,5002800000,0
10,ARVN,15.75,20.0,10,20,-18.0,NEGATIVE,late,1982700000,199.43336127409893
11,EBS,15.75,10.0,20,20,-10.2,NEGATIVE,commercial,621300000,17.0765002290426
12,RARE,15.75,10.0,20,20,-10.1,NEGATIVE,commercial,713526000,45.89427870029909
13,VTRS,15.75,10.0,20,20,-15.7,NEGATIVE,commercial,871200000,2.6087086712414225
14,CRSP,17.25,20.0,10,30,-2.8,NEUTRAL,late,2624718000,90.28310664583721
15,IONS,17.25,20.0,10,30,-7.0,NEGATIVE,late,1271492000,34.344305062541785
16,IRWD,17.25,10.0,20,30,-3.7,NEUTRAL,commercial,613776000,60.892489831012924
17,JAZZ,17.25,10.0,20,30,-6.6,NEGATIVE,commercial,667270000,8.933471230666761
18,NBIX,17.25,10.0,20,30,-5.1,NEGATIVE,commercial,954700000,16.005029337803855
19,ONC,17.25,20.0,10,30,-1.4,NEUTRAL,late,1381950000,10.205332516089488
20,ALT,18.50,10.0,30,10,-68.0,NEGATIVE,commercial,190301000,23.520568544649294
21,AVIR,18.50,20.0,20,10,-33.3,NEGATIVE,late,850117000,931.8903809262812
22,CDNA,18.50,10.0,30,10,-37.4,NEGATIVE,commercial,134669000,86.35395960243667
23,HALO,18.50,10.0,30,10,-30.1,NEGATIVE,commercial,419802000,93.31871144619603
24,NVCR,18.50,10.0,30,10,-32.0,NEGATIVE,commercial,208802000,7.009444307678535
25,EXEL,18.75,10.0,20,40,19.2,POSITIVE,commercial,767174000,32.125429655194075
26,NTRA,18.75,10.0,20,40,28.5,STRONG_POSITIVE,commercial,914282000,47.75503062117235
27,PCRX,18.75,10.0,20,40,11.9,POSITIVE,commercial,585578000,22.553531022219943
28,AGIO,20.00,20.0,20,20,-23.1,NEGATIVE,late,717926000,26.316131594220607
29,BCRX,20.00,20.0,20,20,-19.3,NEGATIVE,late,504389000,33.10833962388001
30,BNTX,20.00,10.0,30,20,-9.5,NEGATIVE,commercial,0,0
31,CRL,20.00,10.0,30,20,-13.9,NEGATIVE,commercial,239582000,0
32,DNLI,20.00,20.0,20,20,-17.9,NEGATIVE,late,865407000,38.048090979369164
33,GRFS,20.00,10.0,30,20,-17.1,NEGATIVE,commercial,0,0
34,INDV,20.00,10.0,30,20,-26.1,NEGATIVE,commercial,0,0
35,INSM,20.00,20.0,20,20,-12.4,NEGATIVE,late,716782000,29.24745486075691
36,MEDP,20.00,10.0,30,20,-16.0,NEGATIVE,commercial,461304000,0
37,MNKD,20.00,10.0,30,20,-11.8,NEGATIVE,commercial,124699000,26.142348008385742
38,NVAX,20.00,20.0,20,20,-26.4,NEGATIVE,late,711047000,20.400192225391443
39,RCUS,20.00,20.0,20,20,-13.6,NEGATIVE,late,703231000,68.6079024390244
40,ROIV,20.00,30.0,10,20,-24.4,NEGATIVE,mid,2060400000,42.98470097357441
41,SUPN,20.00,10.0,30,20,-10.0,NEGATIVE,commercial,339680000,0
42,KOD,20.62,25.0,20,10,-38.8,NEGATIVE,late,944396000,85.14720201959489
43,MRNA,21.06,32.5,10,20,-17.6,NEGATIVE,early,2624000000,42.15261044176707
44,ACAD,21.50,10.0,30,30,-0.3,NEUTRAL,commercial,376096000,16.027728848230012
45,ALKS,21.50,10.0,30,30,2.8,NEUTRAL,commercial,337544000,36.53699677975122
46,AZN,21.50,10.0,30,30,5.9,POSITIVE,commercial,0,0
47,EYPT,21.50,10.0,30,30,-3.6,NEUTRAL,commercial,211558000,43.45817142270229
48,GMAB,21.50,10.0,30,30,4.0,NEUTRAL,commercial,0,0
49,PTCT,21.50,20.0,20,30,3.1,NEUTRAL,late,773376000,21.18064633923681
50,RGEN,21.50,20.0,20,30,-6.3,NEGATIVE,late,625607550,151.77588500495318
51,RPRX,21.50,30.0,10,30,-6.3,NEGATIVE,mid,1541048000,0
