ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
UPB,"Upstream Bio, Inc.",11,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.981586,,,0.676357,1,0.676357,,0,no_upcoming,,neutral,drawdown_data_missing,S,runway_short,,,v1.3.0,e094cbec,1,,early|none|pos,0.023322922839506172,,-1.333786,380,1,-0.893485,0.24171,,0,neutral,-0.8507,,0.0,0.0,0.0,,,0,0,0,0,False,False,False,missing,0.0,short,,,1.0,0,0,1.0,0,1.0,0,,,missing,,,series_too_short,,,,series_too_short,,series_too_short,,,,early,small,SEV2,drug_developer,pit_bundle,,,sponsor|drawdown,2,0.5,,,,,0.214633,,347,0.023322922839506172,0.981586,,,,
NUVL,"Nuvalent, Inc.",12,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.967422,,,0.773256,1,0.773256,,0,no_upcoming,,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind|runway_short,,,v1.3.0,e094cbec,1,,early|none|pos,0.023322922839506172,,-1.354153,1949,1,-0.911895,0.203296,5,6,selling,1.0238,,6.4622,6.181,6.01,45,fresh,0,0,0,0,True,False,False,missing,0.0,short,,,1.0,0,0,1.0,0,1.0,0,,,missing,0.345529,price_history,,5,1.2275,price_history,,-0.612516,,48.0288,-0.405772,-0.206744,early,mid,SEV2,drug_developer,pit_bundle,,,,0,0.5,,,,,0.2095,,342,0.023322922839506172,0.967422,,,,
NTLA,"Intellia Therapeutics, Inc.",13,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.964589,,,0.703488,1,0.703488,,0,no_upcoming,,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind|runway_short,,,v1.3.0,e094cbec,1,,early|none|pos,0.023322922839506172,,-1.352621,613,1,-0.910511,0.206185,3,6,buying,0.274,,5.3427,3.7664,3.23,45,fresh,0,0,0,0,True,False,False,missing,0.0,short,,,1.0,0,0,1.0,0,1.0,0,,,missing,0.165126,price_history,,3,1.5361,price_history,,-0.633669,,57.8466,-0.405772,-0.227897,early,small,SEV2,drug_developer,pit_bundle,,,,0,0.5,,,,,0.209886,,341,0.023322922839506172,0.964589,,,,
NRIX,"Nurix Therapeutics, Inc.",14,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.961756,,,0.664729,1,0.664729,,0,no_upcoming,,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,,,v1.3.0,e094cbec,1,,early|none|pos,0.023322922839506172,,-1.293643,282,1,-0.857198,0.317424,5,7,selling,1.0238,,4.8782,4.1345,1.75,45,fresh,0,0,0,0,True,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,0.350758,price_history,,5,1.242,price_history,,-0.565004,,56.9769,-0.405772,-0.159232,early,small,SEV1,drug_developer,pit_bundle,,,,0,0.5,,,,,0.22475,,340,0.023322922839506172,0.961756,,,,
NKTX,Healthcare,15,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.958924,,,0.718992,1,0.718992,,0,no_upcoming,,headwind,deep_drawdown,S,sponsor_confirmed|momentum_headwind|runway_short,,,v1.3.0,e094cbec,1,,early|none|pos,0.023322922839506172,,-1.353947,794,1,-0.911709,0.203685,5,7,selling,1.0238,,7.1884,6.4447,5.83,45,fresh,0,0,0,0,True,False,False,missing,0.0,short,,,1.0,0,0,1.0,0,1.0,0,,,missing,-0.33682,price_history,,5,1.0644,price_history,,-0.651445,,50.1761,-0.405772,-0.245673,early,micro,SEV2,drug_developer,pit_bundle,,,,0,0.5,,,,,0.209552,,339,0.023322922839506172,0.958924,,,,
MBX,"MBX Biosciences, Inc.",16,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.956091,,,0.672481,1,0.672481,,0,no_upcoming,,neutral,drawdown_data_missing,M,,,,v1.3.0,e094cbec,1,,early|none|pos,0.023322922839506172,,-1.316208,324,1,-0.877595,0.274863,,0,neutral,-0.8507,,0.0,0.0,0.0,,,0,0,0,0,False,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,,,series_too_short,,,,series_too_short,,series_too_short,,,,early,small,NONE,drug_developer,pit_bundle,,,sponsor|drawdown,2,0.5,,,,,0.219063,,338,0.023322922839506172,0.956091,,,,
MAZE,"Maze Therapeutics, Inc.",17,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.953258,,,0.649225,1,0.649225,,0,no_upcoming,,neutral,drawdown_data_missing,M,,,,v1.3.0,e094cbec,1,,early|none|pos,0.023322922839506172,,-1.070637,143,1,-0.655612,0.738034,,0,neutral,-0.8507,,0.0,0.0,0.0,,,0,0,0,0,False,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,,,series_too_short,,,,series_too_short,,series_too_short,,,,early,mid,NONE,drug_developer,pit_bundle,,,sponsor|drawdown,2,0.5,,,,,0.280953,,337,0.023322922839506172,0.953258,,,,
LXEO,"Lexeo Therapeutics, Inc.",18,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.950425,,,0.722868,1,0.722868,,0,no_upcoming,,neutral,drawdown_data_missing,S,runway_short,,,v1.3.0,e094cbec,1,,early|none|pos,0.023322922839506172,,-1.354014,830,1,-0.91177,0.203558,,0,neutral,-0.8507,,0.0,0.0,0.0,,,0,0,0,0,False,False,False,missing,0.0,short,,,1.0,0,0,1.0,0,1.0,0,,,missing,,,series_too_short,,,,series_too_short,,series_too_short,,,,early,small,SEV2,drug_developer,pit_bundle,,,sponsor|drawdown,2,0.5,,,,,0.209535,,336,0.023322922839506172,0.950425,,,,
IDYA,"IDEAYA Biosciences, Inc.",19,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.944759,,,0.76938,1,0.76938,,0,no_upcoming,,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,,,v1.3.0,e094cbec,1,,early|none|pos,0.023322922839506172,,-1.354153,1614,1,-0.911895,0.203296,3,6,selling,0.274,,4.8849,3.6724,4.13,45,fresh,0,0,0,0,True,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,0.49007,price_history,,3,1.0063,price_history,,-0.44904,,54.4319,-0.405772,-0.043268,early,mid,NONE,drug_developer,pit_bundle,,,,0,0.5,,,,,0.2095,,334,0.023322922839506172,0.944759,,,,
FHTX,Foghorn Therapeutics Inc.,20,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.941926,,,0.69186,1,0.69186,,0,no_upcoming,,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,,,v1.3.0,e094cbec,1,,early|none|pos,0.023322922839506172,,-1.347951,487,1,-0.906289,0.214993,2,4,selling,-0.1009,,1.9062,1.25,0.08,45,fresh,0,0,0,0,True,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,0.153375,price_history,,2,1.1086,price_history,,-0.360297,,51.5124,-0.405772,0.045475,early,small,SEV1,drug_developer,pit_bundle,,,,0,0.5,,,,,0.211063,,333,0.023322922839506172,0.941926,,,,
