ticker,tier_dev,actionable_rank,size_band,target_weight_pct,tier_reason,size_reasons,catalyst_mode,catalyst_days,cat_priority,mom_state,risk_flags,composite_rank,composite_score,archetype,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id
IRON,A,1,L,5.65,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,9,2,headwind,,148,29.57,drug_developer,0.706044,v1.3.0,96f655ee
TENX,A,2,L,4.65,high_opt+catalyst_mid,tier_a_dev|momentum_tailwind|cost_haircut_<=2000bps,specific_days,159,9,tailwind,,150,29.30,drug_developer,0.612637,v1.3.0,96f655ee
CRSP,A,3,L,6.65,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,50,9,headwind,,163,28.09,drug_developer,0.771978,v1.3.0,96f655ee
ABEO,A,4,M,2.79,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,6,9,headwind,deep_drawdown_rel_xbi,168,26.85,drug_developer,0.766484,v1.3.0,96f655ee
ACLX,A,5,L,6.65,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,6,9,headwind,deep_drawdown_rel_xbi,175,25.89,drug_developer,0.722527,v1.3.0,96f655ee
AARD,A,6,M,2.79,high_opt+catalyst_near,tier_a_dev|cost_haircut_<=2000bps,specific_days,38,3,neutral,,186,22.92,drug_developer,0.601648,v1.3.0,96f655ee
PRTA,A,7,M,2.79,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,1,3,headwind,deep_drawdown_rel_xbi,192,22.33,drug_developer,0.755495,v1.3.0,96f655ee
ORKA,A,8,L,5.65,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,130,3,tailwind,,193,22.32,drug_developer,0.914835,v1.3.0,96f655ee
KALV,A,9,L,5.65,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,62,9,tailwind,deep_drawdown|deep_drawdown_rel_xbi,194,22.30,drug_developer,0.607143,v1.3.0,96f655ee
PVLA,A,10,L,5.65,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,9,2,tailwind,,203,20.86,drug_developer,0.651099,v1.3.0,96f655ee
ATXS,A,11,L,5.65,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,9,2,neutral,,210,20.13,drug_developer,0.892857,v1.3.0,96f655ee
DNTH,A,12,L,5.65,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,159,3,tailwind,,214,19.66,drug_developer,0.942308,v1.3.0,96f655ee
SRRK,A,13,L,6.65,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,130,3,tailwind,,219,19.44,drug_developer,0.717033,v1.3.0,96f655ee
PHVS,A,14,L,4.65,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,specific_days,10,3,neutral,,220,19.36,drug_developer,0.711538,v1.3.0,96f655ee
ALLO,A,15,L,4.65,high_opt+catalyst_near,tier_a_dev|momentum_tailwind|cost_haircut_<=2000bps,specific_days,7,9,tailwind,deep_drawdown_rel_xbi,225,18.62,drug_developer,0.662088,v1.3.0,96f655ee
ARTV,A,16,L,4.65,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,specific_days,69,3,neutral,,227,18.42,drug_developer,0.760989,v1.3.0,96f655ee
RAPP,A,17,L,5.65,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,69,2,neutral,,228,17.98,drug_developer,0.887363,v1.3.0,96f655ee
NUVL,A,18,L,5.65,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,160,2,headwind,,244,16.74,drug_developer,0.975275,v1.3.0,96f655ee
CGON,A,19,L,5.65,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,130,3,tailwind,,245,16.66,drug_developer,0.898352,v1.3.0,96f655ee
AURA,A,20,M,2.19,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_>2000bps,specific_days,160,2,headwind,deep_drawdown_rel_xbi,251,15.96,drug_developer,0.832418,v1.3.0,96f655ee
