ticker,company_name,actionable_rank,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,clinical_alpha_z,clinical_score_z,clinical_score_z_tier,commercial_quality_pct,catalyst_days,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,decision_engine_version,decision_engine_ruleset_id,alpha_cohort_key,alpha_cohort_raw,missing_components,archetype,composite_rank,composite_score
ACRV,"Acrivon Therapeutics, Inc.",,D,ineligible,D,ineligible,,0.36532,0.811377,-1.325,-1.1186,-1.5629,,167,specific_days,3,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,mid|near_91_180|nonpos,0.08791470967741935,,drug_developer,109,0.08791470967741935
BDTX,"Black Diamond Therapeutics, Inc.",,D,ineligible,D,ineligible,,0.368687,0.835329,-0.1195,-1.1898,-1.6456,,95,specific_days,3,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,mid|near_91_180|nonpos,0.08791470967741935,,drug_developer,110,0.08791470967741935
ELDN,"Eledon Pharmaceuticals, Inc.",,D,ineligible,D,ineligible,,0.372054,0.643713,-0.0935,-0.5428,-0.8943,,95,specific_days,9,tailwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,mid|near_91_180|nonpos,0.08791470967741935,,drug_developer,111,0.08791470967741935
GHRS,GH Research PLC,,D,ineligible,D,ineligible,,0.392256,0.296407,-0.0673,0.7209,0.573,,,no_upcoming,9,headwind,,XS,ineligible,v1.3.0,0c1129f6,mid|none|pos,0.08283323404255319,,drug_developer,117,0.08283323404255319
ABCL,AbCellera Biologics Inc.,,D,ineligible,D,ineligible,,0.402357,0.595808,-0.8252,-0.3784,-0.7035,,248,specific_days,3,headwind,high_beta|deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,late|near_181_270|nonpos,0.06488273684210526,,drug_developer,120,0.06488273684210526
SRRK,Scholar Rock Holding Corporatio,,D,ineligible,D,ineligible,,0.419192,0.655689,0.5154,-0.5696,-0.9254,,248,specific_days,3,tailwind,,XS,ineligible,v1.3.0,0c1129f6,late|near_181_270|nonpos,0.06488273684210526,,drug_developer,125,0.06488273684210526
TXG,"10x Genomics, Inc.",,D,ineligible,,,D,0.425926,,-0.8957,,0.0,0.296154,242,specific_days,3,neutral,,XS,ineligible,v1.3.0,0c1129f6,late|near_181_270|nonpos,0.06488273684210526,,platform_services,127,0.06488273684210526
EPRX,Eupraxia Pharmaceuticals Inc.,,D,ineligible,D,ineligible,,0.43266,0.278443,-0.0665,0.7686,0.6284,,278,specific_days,9,tailwind,,XS,ineligible,v1.3.0,0c1129f6,mid|far_271_540|pos,0.06273883333333333,,drug_developer,129,0.06273883333333333
BBIO,"BridgeBio Pharma, Inc.",,D,ineligible,,,D,0.446128,,0.4975,-1.2857,-1.2617,0.080769,63,specific_days,3,headwind,,XS,ineligible,v1.3.0,0c1129f6,late|near_31_90|nonpos,0.05985007981220658,,commercial_biotech,133,0.05985007981220658
IMMP,Immutep Limited,,D,ineligible,D,ineligible,,0.462963,0.547904,0.5277,-0.1803,-0.4734,,34,specific_days,3,tailwind,,XS,ineligible,v1.3.0,0c1129f6,late|near_31_90|nonpos,0.05985007981220658,,drug_developer,138,0.05985007981220658
