Rank,Ticker,Composite_Score,Clinical_Score,Financial_Score,Momentum_Score,Momentum_Pct,Momentum_Bucket,Stage_Bucket,Cash,Runway_Months
1,BMRN,11.00,10.0,10,30,-6.4,NEGATIVE,commercial,1553067000,0
2,GILD,11.00,10.0,10,30,5.2,POSITIVE,commercial,6517000000,0
3,JAZZ,11.00,10.0,10,30,-3.0,NEUTRAL,commercial,1582132000,21.18172659510732
4,AMGN,11.50,10.0,10,40,25.4,STRONG_POSITIVE,commercial,48822000000,0
5,BIIB,11.50,10.0,10,40,17.9,POSITIVE,commercial,3461489000,0
6,INCY,11.50,10.0,10,40,19.6,POSITIVE,commercial,3487719000,0
7,REGN,11.50,10.0,10,40,23.0,STRONG_POSITIVE,commercial,12031100000,0
8,UTHR,11.50,10.0,10,40,38.7,STRONG_POSITIVE,commercial,2994100000,0
9,VRTX,11.50,10.0,10,40,24.0,STRONG_POSITIVE,commercial,11353200000,0
10,ARVN,15.25,20.0,10,20,-13.7,NEGATIVE,late,1079500000,158.16849816849816
11,IRWD,15.25,10.0,20,20,-17.9,NEGATIVE,commercial,991554000,299.84245142756345
12,CRSP,15.75,20.0,10,30,-0.1,NEUTRAL,late,1648622000,372.81567888438707
13,VTRS,15.75,10.0,20,30,2.2,NEUTRAL,commercial,533400000,5.602941176470589
14,AGIO,16.25,10.0,20,40,59.3,STRONG_POSITIVE,commercial,603005000,89.31422646819226
15,DNLI,16.25,20.0,10,40,31.8,STRONG_POSITIVE,late,1034511000,113.0808792049626
16,NBIX,16.25,10.0,20,40,10.9,POSITIVE,commercial,717700000,112.43342036553526
17,NVAX,16.25,10.0,20,40,228.6,STRONG_POSITIVE,commercial,726154000,29.648519079294328
18,ONC,16.25,20.0,10,40,13.5,POSITIVE,late,3538644000,121.87126862994396
19,SRPT,16.25,10.0,20,40,29.7,STRONG_POSITIVE,commercial,871668000,20.241731574924287
20,VIR,16.25,20.0,10,40,12.1,POSITIVE,late,2095893000,178.42955248446324
21,EYPT,19.50,10.0,30,10,-52.7,NEGATIVE,commercial,155552000,88.1980721980722
22,INDV,19.50,10.0,30,10,-44.1,NEGATIVE,commercial,0,0
23,APLS,20.00,20.0,20,20,-23.7,NEGATIVE,late,825441000,55.71719785350268
24,GMAB,20.00,10.0,30,20,-8.1,NEGATIVE,commercial,0,0
25,IOVA,20.00,20.0,20,20,-26.8,NEGATIVE,late,836596000,93.50053087454596
26,PCRX,20.00,10.0,30,20,-19.0,NEGATIVE,commercial,153298000,94.16339066339066
27,RGEN,20.00,20.0,20,20,-23.3,NEGATIVE,late,773116550,187.56239209105797
28,TARS,20.00,10.0,30,20,-15.7,NEGATIVE,commercial,227442000,116.54229471796405
29,DNA,20.09,31.25,10,10,-68.5,NEGATIVE,preclinical,1315792000,8.627922670838508
30,ACAD,20.50,10.0,30,30,4.0,NEUTRAL,commercial,164914000,46.00004648892401
31,ALKS,20.50,10.0,30,30,-0.8,NEUTRAL,commercial,457469000,131.18958059505317
32,ALT,20.50,10.0,30,30,5.1,POSITIVE,commercial,135117000,80.77134601972702
33,AMPH,20.50,10.0,30,30,-5.4,NEGATIVE,commercial,144296000,42.85277303437523
34,BNTX,20.50,10.0,30,30,-1.6,NEUTRAL,commercial,0,0
35,CRL,20.50,10.0,30,30,-7.0,NEGATIVE,commercial,287929000,0
36,EXEL,20.50,10.0,30,30,-1.8,NEUTRAL,commercial,382999000,16.038092313490388
37,ILMN,20.50,20.0,20,30,1.4,NEUTRAL,late,769000000,12.834492350486787
38,PRTA,20.50,20.0,20,30,5.3,POSITIVE,late,686184000,175.70433595083648
39,RCUS,20.50,20.0,20,30,-4.8,NEUTRAL,late,793231000,118.98464999999999
40,ROIV,20.50,30.0,10,30,6.0,POSITIVE,mid,1676813000,19.94168260606721
41,SIGA,20.50,10.0,30,30,-2.4,NEUTRAL,commercial,165145194,2158.161216655504
42,SUPN,20.50,10.0,30,30,-2.8,NEUTRAL,commercial,229366000,0
43,TBPH,20.50,10.0,30,30,-3.3,NEUTRAL,commercial,187665000,101.95490764215864
44,TEM,20.50,10.0,30,30,-1.2,NEUTRAL,commercial,0,0
45,XENE,20.50,20.0,20,30,3.4,NEUTRAL,late,638082000,183.50190524121072
46,ALNY,21.00,20.0,20,40,77.6,STRONG_POSITIVE,late,672245000,46.334828633953855
47,AXSM,21.00,10.0,30,40,20.4,STRONG_POSITIVE,commercial,386193000,413.11428062043143
48,AZN,21.00,10.0,30,40,16.1,POSITIVE,commercial,0,0
49,CDNA,21.00,10.0,30,40,102.7,STRONG_POSITIVE,commercial,227881000,115.14472188302665
50,EBS,21.00,10.0,30,40,446.2,STRONG_POSITIVE,commercial,430200000,27.7250268528464
51,ESPR,21.00,10.0,30,40,31.4,STRONG_POSITIVE,commercial,255666000,49.70903611529675
52,GRFS,21.00,10.0,30,40,21.8,STRONG_POSITIVE,commercial,0,0
53,HALO,21.00,10.0,30,40,38.6,STRONG_POSITIVE,commercial,419453000,93.24113146731379
54,INSM,21.00,20.0,20,40,193.3,STRONG_POSITIVE,late,780447000,58.61998948448962
55,IONS,21.00,20.0,20,40,15.6,POSITIVE,late,801567000,77.3694650225622
56,MEDP,21.00,10.0,30,40,15.0,POSITIVE,commercial,245449000,0
57,MNKD,21.00,10.0,30,40,40.7,STRONG_POSITIVE,commercial,238995000,292.7963246554365
58,NTRA,21.00,10.0,30,40,23.6,STRONG_POSITIVE,commercial,321268000,28.153209139969473
59,NVCR,21.00,10.0,30,40,44.3,STRONG_POSITIVE,commercial,185963000,42.05642562333917
60,PACB,21.00,10.0,30,40,20.0,POSITIVE,commercial,353834000,48.24186786343237
61,PHAT,21.00,10.0,30,40,16.2,POSITIVE,commercial,155385000,9.430465853744886
62,PTCT,21.00,20.0,20,40,31.6,STRONG_POSITIVE,late,876739000,75.71203016717162
63,RVMD,21.00,30.0,10,40,24.5,STRONG_POSITIVE,mid,1584029000,279.1322505800464
64,SNY,21.00,10.0,30,40,16.8,POSITIVE,commercial,0,0
65,VNDA,21.00,10.0,30,40,46.2,STRONG_POSITIVE,commercial,354171000,0
66,ZLAB,21.00,20.0,20,40,25.1,STRONG_POSITIVE,late,790151000,192.93936187530522
67,MRNA,22.19,32.5,10,40,17.0,POSITIVE,early,3441000000,89.32480725466613
68,KOD,22.38,25.0,20,20,-22.9,NEGATIVE,late,605115000,102.59084487143261
69,BEAM,22.88,35.0,10,30,4.6,NEUTRAL,early,1003752000,124.87066141405765
70,NTLA,23.38,25.0,20,40,18.2,POSITIVE,late,979625000,113.99162189942402
71,MRSN,24.25,20.0,30,10,-44.7,NEGATIVE,late,217028000,46.37102718871856
72,TKNO,24.25,10.0,40,10,-50.8,NEGATIVE,commercial,30295000,41.2317114664852
73,TXG,24.25,30.0,20,10,-43.2,NEGATIVE,unknown,587447000,138.91193568092694
74,ABVX,24.75,20.0,30,20,-7.5,NEGATIVE,late,0,0
75,ADCT,24.75,20.0,30,20,-14.0,NEGATIVE,late,278598000,56.30707043487048
76,ARCT,24.75,20.0,30,20,-23.1,NEGATIVE,late,327935000,60.05218983671601
77,ARDX,24.75,10.0,40,20,-12.2,NEGATIVE,commercial,21470000,9.623127777985284
78,AVIR,24.75,20.0,30,20,-8.3,NEGATIVE,late,183255000,62.00298869371529
79,BHVN,24.75,20.0,30,20,-13.0,NEGATIVE,late,258448000,43.996141406117005
80,CMPS,24.75,20.0,30,20,-20.6,NEGATIVE,late,117103000,58.04841374752148
81,CNTA,24.75,20.0,30,20,-10.6,NEGATIVE,late,128030000,30.294593208975826
82,CYTK,24.75,20.0,30,20,-18.9,NEGATIVE,late,113024000,10.33055320704705
83,GLPG,24.75,20.0,30,20,-8.4,NEGATIVE,late,0,0
84,IMCR,24.75,20.0,30,20,-26.0,NEGATIVE,late,442626000,273.0994909763998
85,RGNX,24.75,20.0,30,20,-27.0,NEGATIVE,late,310827000,55.941028256044156
86,RIGL,24.75,20.0,30,20,-12.5,NEGATIVE,late,244761000,216.98670212765956
87,ALVO,25.25,20.0,30,30,-4.6,NEUTRAL,late,0,0
88,ANIP,25.25,10.0,40,30,-3.1,NEUTRAL,commercial,48228000,0
89,ANRO,25.25,10.0,40,30,2.9,NEUTRAL,commercial,82548000,135.99341021416802
90,ASND,25.25,20.0,30,30,-2.4,NEUTRAL,late,0,0
91,CLDX,25.25,20.0,30,30,3.1,NEUTRAL,late,423598000,0
