Rank,Ticker,Composite_Score,Clinical_Score,Financial_Score,Momentum_Score,Momentum_Pct,Momentum_Bucket,Stage_Bucket,Cash,Runway_Months
1,NVAX,10.30,10.0,10,20,-29.0,NEGATIVE,commercial,1494532000,37.70183102440665
2,AMGN,10.60,10.0,10,30,8.6,POSITIVE,commercial,45507000000,0
3,BIIB,10.60,10.0,10,30,-7.2,NEGATIVE,commercial,3461489000,0
4,BMRN,10.60,10.0,10,30,7.7,POSITIVE,commercial,1522471000,0
5,GILD,10.60,10.0,10,30,8.3,POSITIVE,commercial,6311000000,0
6,INCY,10.60,10.0,10,30,9.7,POSITIVE,commercial,3225765000,0
7,REGN,10.60,10.0,10,30,11.5,POSITIVE,commercial,8127700000,0
8,SRPT,10.60,10.0,10,30,-1.6,NEUTRAL,commercial,1038624000,118.67163056415139
9,UTHR,10.60,10.0,10,30,-7.5,NEGATIVE,commercial,2838700000,0
10,VRTX,10.90,10.0,10,40,16.0,POSITIVE,commercial,7069500000,0
11,EBS,15.15,10.0,20,20,-18.3,NEGATIVE,commercial,621300000,17.0765002290426
12,AGIO,15.45,10.0,20,30,0.4,NEUTRAL,commercial,654059000,82.81499145335218
13,DNLI,15.45,20.0,10,30,-9.9,NEGATIVE,late,1336215000,70.53965237359941
14,EXEL,15.45,10.0,20,30,4.2,NEUTRAL,commercial,621200000,26.012764903146557
15,HALO,15.45,10.0,20,30,-8.3,NEGATIVE,commercial,535278000,118.98812589148434
16,INSM,15.45,20.0,10,30,10.7,POSITIVE,late,1148280000,42.87146364001232
17,JAZZ,15.45,10.0,20,30,-10.4,NEGATIVE,commercial,957304000,12.816472706703752
18,ONC,15.45,20.0,10,30,2.1,NEUTRAL,late,4197132000,115.73027449574676
19,ZLAB,15.45,20.0,10,30,-1.3,NEUTRAL,late,1119476000,163.04235745321262
20,ALNY,15.75,20.0,10,40,16.5,POSITIVE,late,1073228000,53.585264270349214
21,ARVN,15.75,20.0,10,40,135.2,STRONG_POSITIVE,late,1256600000,75.54709418837675
22,CRSP,15.75,20.0,10,40,47.2,STRONG_POSITIVE,late,2097584000,140.4498903563836
23,IRWD,15.75,10.0,20,40,23.2,STRONG_POSITIVE,commercial,825400000,249.59806466244993
24,NBIX,15.75,10.0,20,40,15.6,POSITIVE,commercial,826100000,13.849119865884326
25,NTRA,15.75,10.0,20,40,43.3,STRONG_POSITIVE,commercial,516687000,15.300706272549146
26,VIR,15.75,20.0,10,40,21.3,STRONG_POSITIVE,late,2485252000,113.30505679875385
27,VTRS,15.75,10.0,20,40,25.5,STRONG_POSITIVE,commercial,673500000,2.372383831860745
28,GRFS,20.00,10.0,30,20,-19.8,NEGATIVE,commercial,0,0
29,INDV,20.00,10.0,30,20,-20.0,NEGATIVE,commercial,0,0
30,NVCR,20.00,10.0,30,20,-14.3,NEGATIVE,commercial,243805000,629.5803744351194
