ticker,tier_dev,tier_commercial,tier_any,actionable_rank,size_band,target_weight_pct,tier_reason,tier_any_reason,size_reasons,catalyst_mode,catalyst_days,cat_priority,mom_state,risk_flags,composite_rank,composite_score,archetype,clinical_optionality_pct_dev,commercial_quality_pct,missing_components,decision_engine_version,decision_engine_ruleset_id
IRON,A,,A,1,L,5.62,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,74,3,headwind,,104,37.13,drug_developer,0.60929,,,v1.3.0,e1be5370
CRSP,A,,A,2,L,6.61,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,25,9,headwind,,155,29.07,drug_developer,0.745902,,,v1.3.0,e1be5370
ORKA,A,,A,3,L,5.62,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,105,3,tailwind,,180,23.72,drug_developer,0.860656,,,v1.3.0,e1be5370
PVLA,A,,A,4,L,5.62,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,13,3,neutral,,184,23.25,drug_developer,0.631148,,,v1.3.0,e1be5370
PRTA,A,,A,5,M,2.78,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,6,2,headwind,deep_drawdown_rel_xbi,185,23.17,drug_developer,0.718579,,,v1.3.0,e1be5370
BCAX,A,,A,6,L,4.63,high_opt+catalyst_mid,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,specific_days,135,2,neutral,,193,22.09,drug_developer,0.756831,,,v1.3.0,e1be5370
ATXS,A,,A,7,L,5.62,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,74,9,neutral,,201,20.99,drug_developer,0.893443,,,v1.3.0,e1be5370
SRRK,A,,A,8,L,6.61,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,105,3,tailwind,,203,20.91,drug_developer,0.642077,,,v1.3.0,e1be5370
DNTH,A,,A,9,L,5.62,high_opt+catalyst_mid,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,134,3,tailwind,,204,20.70,drug_developer,0.948087,,,v1.3.0,e1be5370
CLYM,A,,A,10,L,4.63,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,specific_days,44,3,tailwind,,206,20.54,drug_developer,0.680328,,,v1.3.0,e1be5370
RAPP,A,,A,11,L,5.62,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,44,2,neutral,,214,19.45,drug_developer,0.806011,,,v1.3.0,e1be5370
NUVL,A,,A,12,L,5.62,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,13,3,headwind,,216,19.04,drug_developer,0.931694,,,v1.3.0,e1be5370
ARTV,A,,A,13,M,2.78,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,44,3,headwind,deep_drawdown|deep_drawdown_rel_xbi,221,18.50,drug_developer,0.724044,,,v1.3.0,e1be5370
KURA,A,,A,14,L,5.62,high_opt+catalyst_mid,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,166,3,headwind,deep_drawdown_rel_xbi,225,18.05,drug_developer,0.702186,,,v1.3.0,e1be5370
CGON,A,,A,15,L,5.62,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,105,3,tailwind,,228,17.98,drug_developer,0.871585,,,v1.3.0,e1be5370
PHVS,A,,A,16,L,4.63,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,specific_days,15,2,neutral,,234,17.63,drug_developer,0.70765,,,v1.3.0,e1be5370
CELC,A,,A,17,L,6.61,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,13,9,tailwind,,237,17.44,drug_developer,0.838798,,,v1.3.0,e1be5370
ACLX,A,,A,18,L,6.61,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,105,3,headwind,,239,17.17,drug_developer,0.92623,,,v1.3.0,e1be5370
AURA,A,,A,19,M,2.18,high_opt+catalyst_mid,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_>2000bps,specific_days,135,2,headwind,deep_drawdown_rel_xbi,243,17.00,drug_developer,0.800546,,,v1.3.0,e1be5370
FDMT,A,,A,20,S,1.39,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|momentum_headwind|cost_haircut_<=2000bps,specific_days,74,9,headwind,deep_drawdown_rel_xbi,247,16.41,drug_developer,0.904372,,,v1.3.0,e1be5370
