Rank,Ticker,Composite_Score,Clinical_Score,Financial_Score,Momentum_Score,Momentum_Pct,Momentum_Bucket,Stage_Bucket,Cash,Runway_Months
1,AMGN,12.50,10.0,10,20,-7.5,NEGATIVE,commercial,45507000000,0
2,BMRN,12.50,10.0,10,20,-14.4,NEGATIVE,commercial,1522471000,0
3,INCY,12.50,10.0,10,20,-17.7,NEGATIVE,commercial,3225765000,0
4,REGN,12.50,10.0,10,20,-12.3,NEGATIVE,commercial,7982100000,0
5,SRPT,12.50,10.0,10,20,-13.9,NEGATIVE,commercial,1233877000,140.98094739347772
6,EBS,13.75,10.0,20,10,-38.4,NEGATIVE,commercial,642600000,2084.1081081081084
7,BIIB,15.00,10.0,10,30,-4.5,NEUTRAL,commercial,3461489000,0
8,GILD,15.00,10.0,10,30,-6.8,NEGATIVE,commercial,6311000000,0
9,UTHR,15.00,10.0,10,30,0.7,NEUTRAL,commercial,2838700000,0
10,ARVN,16.25,20.0,10,20,-14.2,NEGATIVE,late,1186300000,224.53627760252365
11,IRWD,16.25,10.0,20,20,-7.7,NEGATIVE,commercial,844583000,255.39893657233574
12,JAZZ,16.25,10.0,20,20,-13.2,NEGATIVE,commercial,957304000,12.816472706703752
13,NBIX,16.25,10.0,20,20,-8.7,NEGATIVE,commercial,884100000,14.821458507963118
14,NVAX,16.25,20.0,10,20,-8.2,NEGATIVE,late,1494532000,564.7913333753228
15,ONC,16.25,20.0,10,20,-25.9,NEGATIVE,late,4347162000,119.86715012477079
16,VIR,16.25,20.0,10,20,-7.7,NEGATIVE,late,2333872000,106.40349530792903
17,ALT,17.50,10.0,30,10,-39.8,NEGATIVE,commercial,111097000,68.61369016984045
18,NVCR,17.50,10.0,30,10,-37.9,NEGATIVE,commercial,115326000,297.80761781794706
19,VRTX,17.50,10.0,10,40,7.6,POSITIVE,commercial,7069500000,0
20,CRSP,18.75,20.0,10,30,4.8,NEUTRAL,late,2287339000,153.15549306148412
21,EXEL,18.75,10.0,20,30,-1.8,NEUTRAL,commercial,621200000,26.012764903146557
22,HALO,18.75,10.0,20,30,6.2,POSITIVE,commercial,535278000,118.98812589148434
23,NTRA,18.75,10.0,20,30,-2.8,NEUTRAL,commercial,516687000,44.73641906273675
24,VTRS,18.75,10.0,20,30,3.8,NEUTRAL,commercial,779200000,8.789622109419064
25,AZN,20.00,10.0,30,20,-8.5,NEGATIVE,commercial,0,0
26,BNTX,20.00,10.0,30,20,-13.2,NEGATIVE,commercial,0,0
27,ILMN,20.00,20.0,20,20,-18.6,NEGATIVE,late,769000000,14.624405705229794
28,OCUL,20.00,10.0,30,20,-17.8,NEGATIVE,commercial,145417000,139.1328336788391
29,PCRX,20.00,10.0,30,20,-13.8,NEGATIVE,commercial,104139000,4.010912580600641
30,RGEN,20.00,20.0,20,20,-13.2,NEGATIVE,late,545251550,132.2810706993106
31,RPRX,20.00,30.0,10,20,-15.4,NEGATIVE,mid,1710751000,0
32,RYTM,20.00,10.0,30,20,-22.1,NEGATIVE,commercial,131674000,29.94632704116443
33,SIGA,20.00,10.0,30,20,-11.5,NEGATIVE,commercial,113789972,3781.9788006614062
34,SUPN,20.00,10.0,30,20,-18.3,NEGATIVE,commercial,229366000,0
35,ZLAB,20.00,20.0,20,20,-27.9,NEGATIVE,late,846957000,123.35223438599897
36,MRNA,20.94,32.5,10,20,-15.7,NEGATIVE,early,5048000000,131.04086806787404
37,ADCT,21.25,20.0,30,10,-37.1,NEGATIVE,late,0,0
38,AGIO,21.25,10.0,20,40,20.8,STRONG_POSITIVE,commercial,654059000,82.81499145335218
39,ARDX,21.25,10.0,40,10,-30.9,NEGATIVE,commercial,96140000,41.09864272736988
40,CSTL,21.25,20.0,30,10,-32.8,NEGATIVE,late,122948000,59.918612679202376
41,DNLI,21.25,20.0,10,40,14.8,POSITIVE,late,1336215000,245.85372585096596
42,INSM,21.25,20.0,10,40,15.1,POSITIVE,late,1148280000,145.62686929962695
43,QURE,21.25,30.0,20,10,-45.6,NEGATIVE,mid,524886000,269.6447621901622
44,RCUS,21.25,20.0,10,40,15.5,POSITIVE,late,1104231000,194.86429411764706
45,ALKS,22.50,10.0,30,30,3.4,NEUTRAL,commercial,292473000,97.7543937832493
