ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall
EBS,1,57.22,0.998433,2.9542,57.22,0.998433,2.9542,late,small,none,commercial_pharma,74.22,41.25000000000000000000000000,55.5,43.31,77.000,72.08791208791208791208791209,0.9
ALKS,2,56.04,0.973354,1.9326,56.04,0.995298,2.597,late,mid,none,commercial_pharma,40.48,41.25000000000000000000000000,68.0,42.35,77.000,71.00000000000000000000000000,0.9
OPK,3,55.56,0.995298,2.597,55.56,0.992163,2.4164,late,small,none,platform_diagnostics,42.68,41.25000000000000000000000000,,69.47,72.15384615384615384615384615,78.02197802197802197802197802,0.9
TBPH,4,54.20,0.929467,1.4718,54.20,0.985893,2.1943,late,small,none,drug_developer,69.71,41.25000000000000000000000000,55.5,82.74,77.000,66.15384615384615384615384615,0.9
TARS,5,53.97,0.954545,1.6906,53.97,0.982759,2.1144,late,mid,none,commercial_biotech,71.99,41.25000000000000000000000000,83.0,51.58,73.23076923076923076923076923,67.30000000000000000000000000,0.9
BIIB,6,53.62,0.960815,1.7602,53.62,0.979624,2.046,late,large,none,commercial_pharma,43.01,41.25000000000000000000000000,68.5,78.00,71.69230769230769230769230769,75.55555555555555555555555555,0.9
VYGR,7,53.51,0.979624,2.046,53.51,0.976489,1.9861,early,micro,none,drug_developer,43.31,41.25000000000000000000000000,49.5,78.62,77.000,58.85483870967741935483870968,0.7984789029535864978902953586
BMRN,8,53.02,0.926332,1.449,53.02,0.973354,1.9326,late,large,none,commercial_biotech,42.73,41.25000000000000000000000000,57.5,77.47,67.69230769230769230769230769,71.11111111111111111111111111,0.9
AMGN,9,52.80,0.948276,1.6284,52.80,0.970219,1.884,late,large,none,commercial_pharma,43.39,41.25000000000000000000000000,52.5,57.59,74.15384615384615384615384616,77.000,0.9
INCY,10,52.69,0.904389,1.307,52.69,0.967085,1.8396,late,large,none,commercial_biotech,60.60,41.25000000000000000000000000,60.5,49.81,61.84615384615384615384615384,73.33333333333333333333333333,0.9
