ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
AQST,"Aquestive Therapeutics, Inc.",,,D,ineligible,,,D,0.028958,0.842308,1,,0,,,0,no_upcoming,9,tailwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,clinical_score:-18.2;smart_money_score:+17.8;catalyst_score:-12.9,tier=;reason=;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,0,deep_drawdown,0,,"{""burn_ttm"": 43963000.0, ""cash_total"": 129063000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 35.22862407024088, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|nonpos,0.05907015209125475,66.906206,0.9126,0,1,-0.4666,0.6663,4,4,buying,0.4201,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,726.16,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.121219,price_history,,4,0.5871,price_history,,-0.50165,,66.8896,0.9486,-0.228536,-0.273114,late,small,none,commercial_pharma,morningstar,,,,0,0.8025159817351598173515981735,55.05,41.25000000000000000000000000,72.0,74.09,35.91066879426667786456146245,66.58823529411764705882352941,34.2445,-0.4091,3.0,,4,1.0,0.0,0,0,0.0,0.3,0.6,cns,0.7214,highly_crowded,1.0,8,0.05907015209125475,0.971042,1.8963,24.53,0.507722,0.0194
PHAT,"Phathom Pharmaceuticals, Inc.",,,D,ineligible,,,D,0.144788,0.180769,1,,0,,,0,no_upcoming,9,neutral,,XS,ineligible,financial_score:-18.5;clinical_score:-13.6;smart_money_score:+13.5,tier=;reason=;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,0,fundamental_red_flag,1,survivability_critical,"{""burn_ttm"": 166775000.0, ""cash_total"": 129972000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 9.351905261579972, ""stage_bucket"": ""late"", ""surv_score"": ""-7.0"", ""tier1_count"": 1}",late|none|nonpos,0.05907015209125475,34.084633,0.8935,0,1,-0.9447,1.0623,1,1,selling,-0.7457,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,859.62,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.042529,price_history,,1,0.7694,price_history,,-0.283128,,64.4169,0.6057,-0.228536,-0.054592,late,small,sev2,commercial_biotech,morningstar,,,,0,0.7945177897265759066468367464,49.22,41.25000000000000000000000000,49.5,46.82,22.39047059152879258699364519,17.45251826220684352172241445,21.9266,-0.9301,3.0,104,2,0.3333,0.4204,0,1,0.0,0.4,0.55,infectious_disease,-0.4642,uncrowded,1.0,38,0.05907015209125475,0.855212,1.0591,7.97,0.032819,-1.8409
GRFS,"Grifols, S.A.",,,D,ineligible,,,D,0.882239,0.080769,1,,0,,543,0,specific_days,9,headwind,,XS,ineligible,financial_score:-25.6;catalyst_score:+15.0;momentum_score:+13.6,tier=;reason=;cat_days=543;strength=far;decay_w=0.3,v1.3.0,31f399e0,0,financials_missing,1,"cash_runway_lt_6m,sponsor_absent_late_stage,survivability_critical","{""burn_ttm"": 0.0, ""cash_total"": 0.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 0.0, ""stage_bucket"": ""late"", ""surv_score"": ""-5.0"", ""tier1_count"": 0}",late|far_271_540|nonpos,-0.028586658227848102,28.574,0.9007,0,1,-0.8233,1.0619,0,0,neutral,-1.1342,,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,critical,<=2000bps,1441.59,0.7,1,0,1.0,0,1.0,0,543,False,specific_days,-0.162809,price_history,,0,0.229,price_history,,-0.235845,,47.464,0.3193,-0.228536,-0.007309,late,unknown,sev2,commercial_pharma,morningstar,,,,0,0.8361295562686732322673453580,44.12,45.56250000000000000000000000,,50,27.53464348702443940539178634,5,29.2257,-0.6214,3.0,67,59,1.0,3.2654,5,5,0.0,0.6,0.95,oncology,-0.4642,uncrowded,1.0,229,-0.028586658227848102,0.117761,-1.1863,10.12,0.063707,-1.5244
ALVO,Alvotech,,,D,ineligible,,,D,0.017375,0.096154,1,,0,,,0,no_upcoming,9,neutral,drawdown_data_missing,XS,ineligible,financial_score:-26.9;momentum_score:+18.1;catalyst_score:+9.4,tier=;reason=;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,0,financials_missing,1,"cash_runway_lt_6m,sponsor_absent_late_stage,survivability_critical","{""burn_ttm"": 0.0, ""cash_total"": 0.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 0.0, ""stage_bucket"": ""late"", ""surv_score"": ""-5.0"", ""tier1_count"": 0}",late|none|nonpos,0.05907015209125475,29.75,0.9076,0,1,-0.6658,0.8871,0,0,neutral,-1.1342,,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,critical,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,0,,,series_too_short,,no_price_series,,0.9498,-0.228536,,late,unknown,sev2,commercial_pharma,morningstar,,,drawdown,1,0.7983258939311098961180973209,50,41.25000000000000000000000000,,50,31.23456790123456790123456790,5,31.1447,-0.5402,3.0,74,2,0.3333,1.4285,1,2,0.0,0.3,0.6,autoimmune,0.7214,highly_crowded,1.0,5,0.05907015209125475,0.982625,2.1113,8.96,0.048263,-1.6619
FOLD,"Amicus Therapeutics, Inc.",,,D,ineligible,,,D,0.090734,0.265385,1,,0,,,0,no_upcoming,9,tailwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,smart_money_score:+22.4;clinical_score:-18.7;catalyst_score:-10.3,tier=;reason=;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,0,deep_drawdown,0,,"{""burn_ttm"": 0.0, ""cash_total"": 293536000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": null, ""stage_bucket"": ""late"", ""surv_score"": ""1.0"", ""tier1_count"": 6}",late|none|nonpos,0.05907015209125475,40.331118,0.911,0,1,-0.4732,0.6081,6,6,buying,1.1972,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,259.01,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.098114,price_history,,6,0.8748,price_history,,-0.532744,,67.3435,0.6001,-0.228536,-0.304208,late,mid,none,commercial_biotech,morningstar,,,,0,0.8938070601851851851851851852,57.99,41.25000000000000000000000000,74.0,15.54,32.91537191008090478989949889,51.76470588235294117647058824,32.5065,-0.4826,3.0,1183,27,1.0,0.0002,0,0,0.0,0.7,0.75,rare_disease,0.7214,highly_crowded,1.0,24,0.05907015209125475,0.909266,1.3363,32.21,0.619691,0.3047
STOK,"Stoke Therapeutics, Inc.",,,D,ineligible,,,D,0.260618,0.334615,1,,0,,,0,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,smart_money_score:+34.7;momentum_score:-20.5;clinical_score:-16.9,tier=;reason=;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,0,deep_drawdown,0,,"{""burn_ttm"": 0.0, ""cash_total"": 83394000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": null, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",mid|none|nonpos,0.04810235294117647,43.660531,-0.7762,802,1,-0.6752,0.8027,6,6,buying,1.1972,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,603.91,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.328271,price_history,,6,1.1348,price_history,,-0.636871,,40.8464,0.7422,-0.228536,-0.408335,mid,mid,none,commercial_biotech,morningstar,,,,0,0.7762797078651685393258426966,24.81,41.25000000000000000000000000,80.0,43.92,28.40529409042528576056272850,51.83673469387755102040816327,27.0891,-0.7117,2.0,802,1,0.0,0.0003,0,0,0.0,0.3,0.5,other,-3.3096,uncrowded,1.0,68,0.04810235294117647,0.739382,0.6414,29.33,0.584942,0.2146
KROS,"Keros Therapeutics, Inc.",,,D,ineligible,,,D,0.627413,0.880769,1,,0,,,0,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,financial_score:+29.0;clinical_score:-27.8;smart_money_score:+21.5,tier=;reason=;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,0,deep_drawdown,0,,"{""burn_ttm"": 0.0, ""cash_total"": 693472000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": null, ""stage_bucket"": ""early"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",early|none|nonpos,0.005644702702702703,69.575081,-1.4728,,0,-1.2028,1.311,4,4,buying,0.4201,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1232.31,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.364533,price_history,,4,0.7514,price_history,,-0.603215,,40.3755,0.4961,-0.228536,-0.374679,early,small,sev1,commercial_biotech,morningstar,,,,0,0.7151622064210299504417151476,24.97,41.25000000000000000000000000,66.0,90.00,16.62703856119493979576284103,73.51351351351351351351351351,15.227,-1.2134,,,,,0.0,0,0,,0.0,0.5,other,-0.4642,uncrowded,1.0,163,0.005644702702702703,0.372587,-0.325,21.91,0.457529,-0.1067
SIGA,SIGA Technologies Inc.,,,D,ineligible,,,D,0.492278,0.903846,1,,0,,,0,no_upcoming,9,tailwind,overbought_rsi,XS,ineligible,catalyst_score:-12.5;financial_score:+7.4;clinical_score:+3.4,tier=;reason=;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,0,fundamental_red_flag,1,sponsor_absent_late_stage,"{""burn_ttm"": 0.0, ""cash_total"": 171955584.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": null, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 0}",late|none|pos,0.01880787591240876,70.139412,-0.0312,616,1,0.4376,-0.3366,0,0,neutral,-1.1342,,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,0.067467,price_history,,0,0.295,price_history,,-0.091495,,74.8732,0.5084,-0.228536,0.137041,late,small,none,commercial_pharma,morningstar,,,,0,0.9,55.55,41.25000000000000000000000000,,90.00,57.14285714285714285714285714,61.17647058823529411764705882,56.6324,0.5378,3.0,616,4,1.0,0.0088,0,0,0.0,0.4,0.75,rare_disease,0.7214,highly_crowded,1.0,128,0.01880787591240876,0.507722,0.0194,43.79,0.84749,1.0257
KNSA,"Kiniksa Pharmaceuticals, Ltd.",,,D,ineligible,,,D,0.434363,0.565385,1,,0,,,0,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,momentum_score:-16.6;financial_score:+11.7;smart_money_score:+10.3,tier=;reason=;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,0,deep_drawdown,0,,"{""burn_ttm"": 0.0, ""cash_total"": 414074000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": null, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 2}",late|none|pos,0.01880787591240876,51.201824,0.9309,0,1,0.3362,-0.2241,2,2,buying,-0.3571,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,643.76,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.154735,price_history,,2,1.0398,price_history,,-0.486024,,44.0537,0.3477,-0.228536,-0.257488,late,mid,none,commercial_pharma,morningstar,,,,0,0.8800984075322561897012669999,34.13,41.25000000000000000000000000,61.0,46.62,54.76190476190476190476190476,62.35294117647058823529411765,55.2135,0.4777,3.0,300,9,1.0,0.6993,1,1,0.0,0.4,0.55,infectious_disease,-0.4642,uncrowded,1.0,113,0.01880787591240876,0.565637,0.1653,45.81,0.870656,1.1295
AMRX,"Amneal Pharmaceuticals, Inc.",,,D,ineligible,,,D,0.326255,0.326923,1,,0,,,0,no_upcoming,9,neutral,,XS,ineligible,clinical_score:+4.8;catalyst_score:-4.4;financial_score:-2.6,tier=;reason=;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,0,fundamental_red_flag,1,sponsor_absent_late_stage,"{""burn_ttm"": 0.0, ""cash_total"": 201249000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": null, ""stage_bucket"": ""late"", ""surv_score"": ""1.0"", ""tier1_count"": 0}",late|none|pos,0.01880787591240876,42.437234,0.9226,0,1,0.1537,-0.0217,0,0,neutral,-1.1342,,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,544.86,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.08739,price_history,,0,0.8794,price_history,,-0.265583,,55.3266,0.3236,-0.228536,-0.037047,late,mid,none,commercial_pharma,morningstar,,,,0,0.9,47.83,41.25000000000000000000000000,,38.51,50.47619047619047619047619047,43.09496347558631295655517109,49.2657,0.2262,3.0,,12,1.0,0.0,0,0,0.0,0.4,0.6,autoimmune,0.7214,highly_crowded,1.0,85,0.01880787591240876,0.673745,0.4503,36.36,0.723938,0.5946
