ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall
EBS,1,57.82,0.998413,2.9503,57.82,0.998413,2.9503,late,small,none,commercial_pharma,77.05,41.25000000000000000000000000,55.5,80.92,77.000,71.52941176470588235294117647,0.9
ALKS,2,56.16,0.992063,2.4118,56.16,0.995238,2.5927,late,mid,none,commercial_pharma,63.25,41.25000000000000000000000000,68.0,78.29,77.000,71.42857142857142857142857143,0.9
TBPH,3,54.82,0.98254,2.1093,54.82,0.992063,2.4118,late,small,none,drug_developer,62.42,41.25000000000000000000000000,55.5,90.00,77.000,65.17647058823529411764705883,0.9
ACAD,4,53.75,0.969841,1.8785,53.75,0.988889,2.2865,late,mid,none,commercial_biotech,65.79,45.56250000000000000000000000,71.0,54.61,64.67391304347826086956521739,68.21428571428571428571428572,0.8881759336099585062240663900
BIIB,5,53.43,0.988889,2.2865,53.43,0.985714,2.1893,late,large,none,commercial_pharma,40.75,41.25000000000000000000000000,68.5,63.81,71.19565217391304347826086957,75.55555555555555555555555555,0.9
BMRN,6,53.10,0.979365,2.0408,53.10,0.98254,2.1093,late,large,none,commercial_biotech,45.61,41.25000000000000000000000000,57.5,79.74,67.93478260869565217391304348,71.11111111111111111111111111,0.9
AMGN,7,52.43,0.985714,2.1893,52.43,0.979365,2.0408,late,large,none,commercial_pharma,49.36,41.25000000000000000000000000,52.5,42.83,73.15217391304347826086956522,77.000,0.9
SUPN,8,52.37,0.963492,1.7927,52.37,0.97619,1.9808,late,mid,none,commercial_pharma,59.41,41.25000000000000000000000000,55.0,13.82,72.50000000000000000000000000,67.14285714285714285714285714,0.9
TARS,9,51.91,0.928571,1.4652,51.91,0.969841,1.8785,late,mid,none,commercial_biotech,80.70,41.25000000000000000000000000,83.0,38.79,72.17391304347826086956521739,58.25000000000000000000000000,0.9
CAI,10,51.89,0.934921,1.5135,51.89,0.966667,1.8339,late,mid,none,commercial_biotech,50,41.25000000000000000000000000,66.0,13.82,70.21739130434782608695652174,58.57142857142857142857142857,0.9
NVAX,11,51.56,0.995238,2.5927,51.56,0.963492,1.7927,late,small,none,commercial_biotech,47.27,41.25000000000000000000000000,54.5,90.00,77.000,74.35294117647058823529411765,0.8965845977842003853564547206
IRON,12,51.31,0.915873,1.3778,51.31,0.960317,1.7544,mid,mid,none,drug_developer,53.60,41.25000000000000000000000000,80.0,10.00,61.61290322580645161290322581,55.37096774193548387096774194,0.8504355701705495485453126742
INCY,13,51.08,0.909524,1.3378,51.08,0.957143,1.7185,late,large,none,commercial_biotech,56.58,41.25000000000000000000000000,60.5,33.33,63.04347826086956521739130435,73.33333333333333333333333333,0.9
VYGR,14,50.86,0.966667,1.8339,50.86,0.953968,1.6846,early,micro,none,drug_developer,38.38,41.25000000000000000000000000,49.5,72.58,77.000,47.96745867768595041322314050,0.7984655554383373773604810634
VRTX,15,50.42,0.85873,1.0746,50.42,0.950794,1.6526,late,large,none,commercial_biotech,53.32,45.56250000000000000000000000,63.0,26.01,77.000,47.79301935680536503581771072,0.9
XNCR,16,49.77,0.973016,1.9271,49.77,0.947619,1.6222,mid,small,none,drug_developer,46.58,41.25000000000000000000000000,71.5,77.45,67.41935483870967741935483871,68.00000000000000000000000000,0.8205904201495820501539815222
JAZZ,17,49.76,0.944444,1.5932,49.76,0.944444,1.5932,late,large,none,commercial_biotech,61.77,41.25000000000000000000000000,74.0,70.06,66.95652173913043478260869565,68.88888888888888888888888889,0.9
VNDA,18,49.26,0.906349,1.3186,49.26,0.94127,1.5655,late,small,none,commercial_biotech,45.95,41.25000000000000000000000000,52.5,90.00,75.76086956521739130434782609,56.00000000000000000000000000,0.8782537849566055930568948891
INDV,19,48.88,0.893651,1.2462,48.88,0.938095,1.539,late,mid,none,commercial_pharma,62.90,41.25000000000000000000000000,52.5,58.55,77.000,56.42857142857142857142857143,0.8935429967426710097719869707
UTHR,20,48.86,0.855556,1.0606,48.86,0.934921,1.5135,late,large,none,commercial_pharma,51.00,41.25000000000000000000000000,77.0,73.03,63.69565217391304347826086957,66.66666666666666666666666667,0.9
NBIX,21,48.70,0.820635,0.9178,48.70,0.931746,1.4889,late,large,none,commercial_pharma,64.51,45.56250000000000000000000000,83.0,41.45,71.84782608695652173913043478,43.47050754458161865569272976,0.9
REGN,22,48.33,0.846032,1.0196,48.33,0.928571,1.4652,late,large,none,commercial_biotech,37.38,45.56250000000000000000000000,66.0,55.43,69.07608695652173913043478261,60.00000000000000000000000000,0.9
HRMY,23,47.85,0.861905,1.0889,47.85,0.925397,1.4423,late,mid,none,commercial_biotech,64.29,41.25000000000000000000000000,54.5,90.00,57.66304347826086956521739130,75.71428571428571428571428572,0.9
NKTX,24,47.77,0.919048,1.3987,47.77,0.922222,1.4202,early,micro,none,drug_developer,50,41.25000000000000000000000000,66.5,79.03,62.72727272727272727272727273,58.63636363636363636363636364,0.8043715739769150052465897167
HRTX,25,47.63,0.947619,1.6222,47.63,0.919048,1.3987,late,micro,none,drug_developer,49.33,41.25000000000000000000000000,58.0,90.00,76.08695652173913043478260870,61.71467391304347826086956522,0.8774237903689231122859441444
ELVN,26,47.22,0.912698,1.3576,47.22,0.915873,1.3778,early,small,none,drug_developer,43.69,41.25000000000000000000000000,62.0,20.97,61.81818181818181818181818182,62.00000000000000000000000000,0.8065380021367521367521367521
IONS,27,47.20,0.887302,1.2123,47.20,0.912698,1.3576,late,large,none,commercial_biotech,39.45,41.25000000000000000000000000,,24.83,60.43478260869565217391304348,68.450,0.8995939886671593988667159399
NAMS,28,46.94,0.826984,0.9423,46.94,0.909524,1.3378,late,mid,none,drug_developer,58.94,41.25000000000000000000000000,77.5,39.72,59.45652173913043478260869565,57.33928571428571428571428571,0.8732400836042731072921504877
RYTM,29,46.79,0.81746,0.9057,46.79,0.906349,1.3186,late,mid,none,commercial_biotech,58.90,41.25000000000000000000000000,77.0,38.06,74.78260869565217391304347826,42.98047760770975056689342404,0.9
SIGA,30,46.54,0.788889,0.8026,46.54,0.903175,1.2999,late,small,none,commercial_pharma,37.75,41.25000000000000000000000000,,90.00,62.71739130434782608695652174,57.41176470588235294117647059,0.9
ASMB,31,46.45,0.836508,0.9802,46.45,0.9,1.2816,mid,small,none,drug_developer,50,41.25000000000000000000000000,55.5,83.33,63.54838709677419354838709677,56.00000000000000000000000000,0.8117586787706442086842393088
SABS,32,46.43,0.938095,1.539,46.43,0.896825,1.2637,mid,micro,none,drug_developer,50,41.25000000000000000000000000,55.5,73.53,76.12903225806451612903225806,60.64516129032258064516129032,0.7569806064502303653701917926
