ticker,tier_dev,tier_commercial,tier_any,actionable_rank,size_band,target_weight_pct,tier_reason,tier_any_reason,size_reasons,catalyst_mode,catalyst_days,cat_priority,mom_state,risk_flags,composite_rank,composite_score,archetype,clinical_optionality_pct_dev,clinical_alpha_z,clinical_score_z,clinical_score_z_tier,commercial_quality_pct,missing_components,decision_engine_version,decision_engine_ruleset_id
IRON,A,,A,1,L,5.62,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,74,3,headwind,,104,37.13,drug_developer,0.60929,0.521,-0.412,1.7548,,,v1.3.0,e1be5370
CRSP,A,,A,2,L,6.61,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,25,9,headwind,,155,29.07,drug_developer,0.745902,0.4984,-0.9246,0.3743,,,v1.3.0,e1be5370
ORKA,A,,A,3,L,5.62,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,105,3,tailwind,,180,23.72,drug_developer,0.860656,-1.1477,-1.287,-0.6018,,,v1.3.0,e1be5370
PVLA,A,,A,4,L,5.62,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,13,3,neutral,,184,23.25,drug_developer,0.631148,0.519,-0.5012,1.5145,,,v1.3.0,e1be5370
PRTA,A,,A,5,M,2.78,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,6,2,headwind,deep_drawdown_rel_xbi,185,23.17,drug_developer,0.718579,0.5064,-0.8015,0.7057,,,v1.3.0,e1be5370
BCAX,A,,A,6,L,4.63,high_opt+catalyst_mid,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,specific_days,135,2,neutral,,193,22.09,drug_developer,0.756831,-1.5398,-0.9531,0.2975,,,v1.3.0,e1be5370
ATXS,A,,A,7,L,5.62,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,74,9,neutral,,201,20.99,drug_developer,0.893443,0.475,-1.4006,-0.9078,,,v1.3.0,e1be5370
SRRK,A,,A,8,L,6.61,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,105,3,tailwind,,203,20.91,drug_developer,0.642077,0.5189,-0.5232,1.4551,,,v1.3.0,e1be5370
DNTH,A,,A,9,L,5.62,high_opt+catalyst_mid,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,134,3,tailwind,,204,20.70,drug_developer,0.948087,0.4457,-1.5396,-1.2822,,,v1.3.0,e1be5370
CLYM,A,,A,10,L,4.63,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,specific_days,44,3,tailwind,,206,20.54,drug_developer,0.680328,-0.6764,-0.6655,1.072,,,v1.3.0,e1be5370
