ticker,tier_dev,actionable_rank,size_band,target_weight_pct,tier_reason,size_reasons,catalyst_mode,catalyst_days,cat_priority,mom_state,risk_flags,composite_rank,composite_score,archetype,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id
IRON,A,1,L,5.62,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,83,3,headwind,,105,36.99,drug_developer,0.60929,v1.3.0,96f655ee
CRSP,A,2,L,6.61,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,34,9,headwind,,160,28.37,drug_developer,0.740437,v1.3.0,96f655ee
PVLA,A,3,L,5.62,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,22,3,neutral,,180,24.41,drug_developer,0.625683,v1.3.0,96f655ee
ORKA,A,4,L,5.62,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,114,3,tailwind,,186,23.32,drug_developer,0.855191,v1.3.0,96f655ee
PRTA,A,5,M,2.78,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,15,2,headwind,deep_drawdown_rel_xbi,188,22.95,drug_developer,0.718579,v1.3.0,96f655ee
SRRK,A,6,L,6.61,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,114,3,tailwind,,195,21.33,drug_developer,0.647541,v1.3.0,96f655ee
BCAX,A,7,L,4.63,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,specific_days,144,2,neutral,,196,21.29,drug_developer,0.756831,v1.3.0,96f655ee
CLYM,A,8,L,4.63,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,specific_days,53,3,tailwind,,198,21.18,drug_developer,0.680328,v1.3.0,96f655ee
ATXS,A,9,L,5.62,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,83,9,neutral,,204,20.37,drug_developer,0.893443,v1.3.0,96f655ee
DNTH,A,10,L,5.62,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,143,3,tailwind,,212,19.82,drug_developer,0.948087,v1.3.0,96f655ee
NUVL,A,11,L,5.62,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,22,3,headwind,,219,19.15,drug_developer,0.931694,v1.3.0,96f655ee
PHVS,A,12,L,4.63,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,specific_days,7,9,neutral,,220,19.02,drug_developer,0.696721,v1.3.0,96f655ee
ARTV,A,13,M,2.78,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,53,3,headwind,deep_drawdown|deep_drawdown_rel_xbi,221,18.96,drug_developer,0.724044,v1.3.0,96f655ee
RAPP,A,14,L,5.62,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,53,2,neutral,,222,18.90,drug_developer,0.806011,v1.3.0,96f655ee
KURA,A,15,L,5.62,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,175,3,headwind,deep_drawdown_rel_xbi,226,18.23,drug_developer,0.713115,v1.3.0,96f655ee
CELC,A,16,L,6.61,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,22,9,tailwind,,229,17.69,drug_developer,0.838798,v1.3.0,96f655ee
CGON,A,17,L,5.62,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,114,3,tailwind,,236,17.26,drug_developer,0.877049,v1.3.0,96f655ee
AURA,A,18,M,2.18,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_>2000bps,specific_days,144,2,headwind,deep_drawdown_rel_xbi,241,16.88,drug_developer,0.800546,v1.3.0,96f655ee
ACLX,A,19,L,6.61,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,114,3,headwind,,242,16.82,drug_developer,0.92623,v1.3.0,96f655ee
FDMT,A,20,S,1.39,high_opt+catalyst_near,tier_a_dev|momentum_headwind|cost_haircut_<=2000bps,specific_days,83,9,headwind,deep_drawdown_rel_xbi,252,15.78,drug_developer,0.904372,v1.3.0,96f655ee
