Rank,Ticker,Composite_Score,Clinical_Score,Financial_Score,Momentum_Score,Momentum_Pct,Momentum_Bucket,Stage_Bucket,Cash,Runway_Months
1,AMGN,10.00,10.0,10,10,25.7,STRONG_POSITIVE,commercial,45507000000,0
2,REGN,12.00,10.0,10,20,16.4,POSITIVE,commercial,8031500000,0
3,BMRN,14.00,10.0,10,30,-0.4,NEUTRAL,commercial,1522471000,0
4,GILD,14.00,10.0,10,30,1.2,NEUTRAL,commercial,6311000000,0
5,UTHR,14.00,10.0,10,30,-0.5,NEUTRAL,commercial,2838700000,0
6,VRTX,14.00,10.0,10,30,3.6,NEUTRAL,commercial,7069500000,0
7,BIIB,16.00,10.0,10,40,-5.8,NEGATIVE,commercial,3461489000,0
8,EXEL,16.00,10.0,20,20,11.3,POSITIVE,commercial,621200000,26.012764903146557
9,INCY,16.00,10.0,10,40,-5.7,NEGATIVE,commercial,3225765000,0
10,INSM,16.00,20.0,10,20,19.6,POSITIVE,late,1148280000,72.42155718835735
11,NBIX,16.00,10.0,20,20,17.5,POSITIVE,commercial,777200000,3108.8
12,SRPT,16.00,10.0,20,20,9.9,POSITIVE,commercial,868565000,99.24094263270649
13,JAZZ,18.00,10.0,20,30,2.3,NEUTRAL,commercial,957304000,12.816472706703752
14,RYTM,18.00,10.0,30,10,48.9,STRONG_POSITIVE,commercial,131674000,29.94632704116443
15,AGIO,20.00,10.0,20,40,-14.9,NEGATIVE,commercial,654059000,82.81499145335218
16,ANIP,20.00,10.0,30,20,12.3,POSITIVE,commercial,100300000,34.33657604199355
17,ARVN,20.00,20.0,10,40,-31.5,NEGATIVE,late,1217200000,109.49325337331335
18,CRSP,20.00,20.0,10,40,-23.9,NEGATIVE,late,2100326000,140.63348901052913
19,DNLI,20.00,20.0,10,40,-29.6,NEGATIVE,late,1336215000,129.2965310368184
20,EBS,20.00,10.0,20,40,-65.4,NEGATIVE,commercial,642600000,2084.1081081081084
21,HALO,20.00,10.0,20,40,-9.2,NEGATIVE,commercial,535278000,118.98812589148434
22,IONS,20.00,20.0,20,20,13.7,POSITIVE,late,678773000,47.82898414562536
23,IRWD,20.00,10.0,20,40,-9.8,NEGATIVE,commercial,755577000,228.48383438752109
24,NTRA,20.00,10.0,20,40,-15.7,NEGATIVE,commercial,516687000,21.851388213402128
25,NVAX,20.00,20.0,10,40,-13.6,NEGATIVE,late,1494532000,58.40354048007503
26,ONC,20.00,20.0,10,40,-9.7,NEGATIVE,late,4531137000,124.9400135110915
27,SIGA,20.00,10.0,30,20,10.1,POSITIVE,commercial,113789972,43.88051942325967
28,VIR,20.00,20.0,10,40,-63.7,NEGATIVE,late,3026700000,137.99019794080772
29,VTRS,20.00,10.0,20,40,-5.8,NEGATIVE,commercial,691500000,3.740533717994951
30,AZN,22.00,10.0,30,30,1.1,NEUTRAL,commercial,0,0
31,BNTX,22.00,10.0,30,30,-3.4,NEUTRAL,commercial,0,0
32,DVAX,22.00,20.0,20,30,0.5,NEUTRAL,late,518209000,79.84730354391371
33,IMVT,22.00,20.0,30,10,61.7,STRONG_POSITIVE,late,376532000,111.91598345428875
34,RGEN,22.00,20.0,20,30,0.4,NEUTRAL,late,545251550,132.2810706993106
35,SNY,22.00,10.0,30,30,3.1,NEUTRAL,commercial,0,0
36,SRRK,22.00,25.0,20,20,8.4,POSITIVE,late,517816000,781.6090566037735
37,TEM,22.00,10.0,30,30,0.0,NEUTRAL,commercial,0,0
38,ACAD,24.00,10.0,30,40,-30.9,NEGATIVE,commercial,197503000,16.115348786607463
39,ALKS,24.00,10.0,30,40,-9.3,NEGATIVE,commercial,292473000,97.7543937832493
40,ALNY,24.00,20.0,20,40,-17.1,NEGATIVE,late,575558000,28.73706941387445
41,ALT,24.00,10.0,30,40,-16.4,NEGATIVE,commercial,111097000,68.61369016984045
42,AMPH,24.00,10.0,30,40,-19.3,NEGATIVE,commercial,156098000,25.749893463468275
43,APLS,24.00,20.0,20,40,-7.7,NEGATIVE,late,664847000,57.423716126246084
44,ASND,24.00,20.0,30,20,7.3,POSITIVE,late,0,0
