ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall
EBS,1,56.75,0.998403,2.9483,56.75,0.998403,2.9483,late,small,none,commercial_pharma,96.55,41.25000000000000000000000000,55.5,80.92,77.000,71.32530120481927710843373494,0.9
ALKS,2,56.08,0.976038,1.978,56.08,0.995208,2.5905,late,mid,none,commercial_pharma,50.00,41.25000000000000000000000000,68.0,78.29,77.000,71.11111111111111111111111111,0.9
TARS,3,54.15,0.963259,1.7898,54.15,0.992013,2.4095,late,mid,none,commercial_biotech,22.88,41.25000000000000000000000000,83.0,38.79,71.40449438202247191011235955,68.88888888888888888888888889,0.9
TBPH,4,53.71,0.921725,1.4168,53.71,0.988818,2.2841,late,small,none,drug_developer,51.82,41.25000000000000000000000000,55.5,90.00,77.000,64.81927710843373493975903614,0.9
BMRN,5,52.88,0.928115,1.4619,52.88,0.985623,2.1868,late,large,none,commercial_biotech,43.92,41.25000000000000000000000000,57.5,79.74,67.52808988764044943820224719,70.76923076923076923076923077,0.9
VYGR,6,52.86,0.960064,1.7514,52.86,0.982428,2.1067,early,micro,none,drug_developer,51.60,41.25000000000000000000000000,49.5,71.67,75.71428571428571428571428572,58.18571428571428571428571429,0.7984789029535864978902953586
ACAD,7,52.77,0.912141,1.3541,52.77,0.976038,1.978,late,mid,none,commercial_biotech,44.78,45.56250000000000000000000000,71.0,54.61,64.83146067415730337078651685,67.77777777777777777777777778,0.8882094786729857819905213270
AMGN,8,52.59,0.953674,1.6816,52.59,0.972843,1.9243,late,large,none,commercial_pharma,52.11,41.25000000000000000000000000,52.5,42.83,73.59550561797752808988764045,77.000,0.9
BIIB,9,52.14,0.944089,1.5901,52.14,0.969649,1.8757,late,large,none,commercial_pharma,38.17,41.25000000000000000000000000,68.5,63.81,70.56179775280898876404494382,75.38461538461538461538461539,0.9
IRON,10,52.12,0.892971,1.2425,52.12,0.966454,1.8311,mid,mid,none,drug_developer,50.49,41.25000000000000000000000000,80.0,12.50,58.70967741935483870967741936,66.83870967741935483870967742,0.8504355701705495485453126742
INCY,11,52.10,0.883387,1.1921,52.10,0.963259,1.7898,late,large,none,commercial_biotech,55.29,41.25000000000000000000000000,60.5,33.33,62.80898876404494382022471910,73.07692307692307692307692308,0.9
SUPN,12,52.10,0.899361,1.2779,52.10,0.960064,1.7514,late,mid,none,commercial_pharma,46.23,41.25000000000000000000000000,55.0,13.82,73.25842696629213483146067416,66.66666666666666666666666667,0.9
CAI,13,51.59,0.880192,1.1759,51.59,0.956869,1.7155,late,mid,none,commercial_biotech,50,41.25000000000000000000000000,66.0,13.82,70.22471910112359550561797753,57.77777777777777777777777778,0.9
NVAX,14,51.50,0.995208,2.5905,51.50,0.953674,1.6816,late,small,none,commercial_biotech,96.55,41.25000000000000000000000000,54.5,90.00,77.000,74.21686746987951807228915663,0.8966442690128962275521272749
HRTX,15,51.25,0.992013,2.4095,51.25,0.950479,1.6495,late,micro,none,drug_developer,50.84,41.25000000000000000000000000,58.0,90.00,75.61797752808988764044943820,73.57865168539325842696629213,0.8774237903689231122859441444
VNDA,16,51.13,0.91853,1.3953,51.13,0.947284,1.6191,late,small,none,commercial_biotech,61.40,41.25000000000000000000000000,52.5,90.00,75.61797752808988764044943820,66.12048192771084337349397591,0.8782284646001688577976118683
DSGN,17,50.86,0.979233,2.0382,50.86,0.944089,1.5901,early,small,none,drug_developer,88.05,41.25000000000000000000000000,72.0,50,77.000,62.70588235294117647058823529,0.7157717773639561349058555762
VRTX,18,50.61,0.816294,0.9013,50.61,0.940895,1.5623,late,large,none,commercial_biotech,56.19,45.56250000000000000000000000,63.0,26.01,77.000,50,0.9
XNCR,19,50.38,0.956869,1.7155,50.38,0.9377,1.5357,mid,small,none,drug_developer,40.10,41.25000000000000000000000000,71.5,79.81,67.41935483870967741935483871,80.0,0.8205904201495820501539815222
RYTM,20,50.26,0.848243,1.0289,50.26,0.934505,1.5102,late,mid,none,commercial_biotech,48.26,41.25000000000000000000000000,77.0,38.22,76.96629213483146067415730337,54.22222222222222222222222222,0.9
JAZZ,21,49.68,0.905751,1.315,49.68,0.93131,1.4856,late,large,none,commercial_biotech,42.11,41.25000000000000000000000000,74.0,70.06,66.85393258426966292134831461,68.46153846153846153846153846,0.9
IONS,22,49.64,0.908946,1.3343,49.64,0.928115,1.4619,late,large,none,commercial_biotech,49.87,41.25000000000000000000000000,,24.83,60.44943820224719101123595506,80.0,0.8995939886671593988667159399
PCVX,23,49.58,0.982428,2.1067,49.58,0.92492,1.439,mid,mid,none,drug_developer,51.80,41.25000000000000000000000000,85,10.00,65.48387096774193548387096774,77.48387096774193548387096774,0.7891412213740458015267175573
NBIX,24,49.35,0.78754,0.7979,49.35,0.921725,1.4168,late,large,none,commercial_pharma,45.18,45.56250000000000000000000000,83.0,41.45,71.91011235955056179775280899,45.45036160420775805391190006,0.9
