ticker,dd_stored,dd_recomputed,dd_diff,dd_verdict,dd_source,dd_xbi_stored,dd_xbi_recomputed,dd_xbi_diff,dd_xbi_verdict,dd_rel_stored,dd_rel_recomputed,dd_rel_diff,dd_rel_verdict,rsi_stored,rsi_recomputed,rsi_diff,rsi_verdict,beta_stored,beta_recomputed,beta_missing_reason,beta_diff,beta_verdict,alpha_stored,alpha_recomputed,alpha_missing_reason,alpha_diff,alpha_verdict
NMRA,0.0,0.0,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,0.045375,0.045375,0.0,OK,82.3336,82.3336,0.0,OK,1.3461,1.3461,,0.0,OK,0.278006,0.278006,,0.0,OK
IRON,-0.314844,-0.314844,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.269469,-0.269469,0.0,OK,38.5691,38.5691,0.0,OK,0.8167,0.8167,,0.0,OK,-0.371536,-0.371536,,0.0,OK
PVLA,-0.270193,-0.270193,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.224818,-0.224818,0.0,OK,43.351,43.351,0.0,OK,1.5466,1.5466,,0.0,OK,-0.334164,-0.334164,,0.0,OK
RNA,-0.001371,-0.001371,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,0.044004,0.044004,0.0,OK,63.414,63.414,0.0,OK,0.0486,0.0486,,0.0,OK,0.022479,0.022479,,0.0,OK
ALMS,0.0,0.0,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,0.045375,0.045375,0.0,OK,66.9601,66.9601,0.0,OK,2.0323,2.0323,,0.0,OK,2.982822,2.982822,,0.0,OK
ZBIO,-0.381978,-0.381978,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.336603,-0.336603,0.0,OK,59.352,59.352,0.0,OK,1.568,1.568,,0.0,OK,-0.439528,-0.439528,,0.0,OK
PRAX,-0.011985,-0.011985,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,0.03339,0.03339,0.0,OK,60.9532,60.9532,0.0,OK,0.8311,0.8311,,0.0,OK,0.653843,0.653843,,0.0,OK
SYRE,-0.000819,-0.000819,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,0.044556,0.044556,0.0,OK,62.6781,62.6781,0.0,OK,1.2835,1.2835,,0.0,OK,0.377088,0.377088,,0.0,OK
IMVT,-0.032317,-0.032317,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,0.013058,0.013058,0.0,OK,54.0114,54.0114,0.0,OK,1.266,1.266,,0.0,OK,0.023366,0.023366,,0.0,OK
PHVS,-0.080197,-0.080197,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.034822,-0.034822,0.0,OK,52.4121,52.4121,0.0,OK,1.5256,1.5256,,0.0,OK,-0.052781,-0.052781,,0.0,OK
RVMD,-0.190476,-0.190476,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.145101,-0.145101,0.0,OK,52.2603,52.2603,0.0,OK,1.2037,1.2037,,0.0,OK,0.2938,0.2938,,0.0,OK
KURA,-0.300659,-0.300659,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.255284,-0.255284,0.0,OK,48.962,48.962,0.0,OK,1.7409,1.7409,,0.0,OK,-0.425086,-0.425086,,0.0,OK
SION,-0.151754,-0.151754,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.106379,-0.106379,0.0,OK,45.0937,45.0937,0.0,OK,1.7559,1.7559,,0.0,OK,-0.194298,-0.194298,,0.0,OK
PEPG,-0.087866,-0.087866,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.042491,-0.042491,0.0,OK,59.2235,59.2235,0.0,OK,1.3371,1.3371,,0.0,OK,0.048165,0.048165,,0.0,OK
ORKA,-0.091753,-0.091753,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.046378,-0.046378,0.0,OK,48.7179,48.7179,0.0,OK,1.5609,1.5609,,0.0,OK,-0.015086,-0.015086,,0.0,OK
VRDN,-0.167851,-0.167851,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.122476,-0.122476,0.0,OK,32.8302,32.8302,0.0,OK,0.6508,0.6508,,0.0,OK,-0.085327,-0.085327,,0.0,OK
OCGN,-0.225131,-0.225131,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.179756,-0.179756,0.0,OK,51.0096,51.0096,0.0,OK,0.9911,0.9911,,0.0,OK,0.198569,0.198569,,0.0,OK
KOD,-0.209138,-0.209138,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.163763,-0.163763,0.0,OK,51.3005,51.3005,0.0,OK,1.8914,1.8914,,0.0,OK,0.068354,0.068354,,0.0,OK
FDMT,-0.252649,-0.252649,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.207274,-0.207274,0.0,OK,54.5274,54.5274,0.0,OK,1.9581,1.9581,,0.0,OK,-0.347856,-0.347856,,0.0,OK
DNTH,-0.110882,-0.110882,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.065507,-0.065507,0.0,OK,48.5752,48.5752,0.0,OK,1.3333,1.3333,,0.0,OK,0.029673,0.029673,,0.0,OK
COGT,-0.08929,-0.08929,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.043915,-0.043915,0.0,OK,54.6665,54.6665,0.0,OK,1.1285,1.1285,,0.0,OK,-0.0159,-0.0159,,0.0,OK
CGON,-0.033608,-0.033608,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,0.011767,0.011767,0.0,OK,60.1182,60.1182,0.0,OK,1.2953,1.2953,,0.0,OK,0.165738,0.165738,,0.0,OK
CLYM,-0.046794,-0.046794,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.001419,-0.001419,0.0,OK,57.9318,57.9318,0.0,OK,1.8311,1.8311,,0.0,OK,1.804973,1.804973,,0.0,OK
NUVB,-0.395178,-0.395178,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.349803,-0.349803,0.0,OK,41.463,41.463,0.0,OK,1.2851,1.2851,,0.0,OK,-0.322252,-0.322252,,0.0,OK
VERA,-0.208371,-0.208371,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.162996,-0.162996,0.0,OK,48.6364,48.6364,0.0,OK,1.4749,1.4749,,0.0,OK,0.395274,0.395274,,0.0,OK
OLMA,-0.374547,-0.374547,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.329172,-0.329172,0.0,OK,34.9837,34.9837,0.0,OK,1.022,1.022,,0.0,OK,0.050586,0.050586,,0.0,OK
CRSP,-0.302943,-0.302943,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.257568,-0.257568,0.0,OK,52.9672,52.9672,0.0,OK,1.493,1.493,,0.0,OK,-0.095157,-0.095157,,0.0,OK
NUVL,-0.08599,-0.08599,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.040615,-0.040615,0.0,OK,47.8224,47.8224,0.0,OK,1.158,1.158,,0.0,OK,-0.160988,-0.160988,,0.0,OK
IBRX,0.0,0.0,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,0.045375,0.045375,0.0,OK,72.8844,72.8844,0.0,OK,1.1832,1.1832,,0.0,OK,2.871657,2.871657,,0.0,OK
ADCT,-0.107991,-0.107991,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.062616,-0.062616,0.0,OK,59.2937,59.2937,0.0,OK,0.4145,0.4145,,0.0,OK,-0.014324,-0.014324,,0.0,OK
ARTV,-0.34127,-0.34127,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.295895,-0.295895,0.0,OK,49.4266,49.4266,0.0,OK,1.326,1.326,,0.0,OK,0.09083,0.09083,,0.0,OK
CNTA,-0.162822,-0.162822,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.117447,-0.117447,0.0,OK,56.2724,56.2724,0.0,OK,0.6393,0.6393,,0.0,OK,-0.17001,-0.17001,,0.0,OK
CELC,-0.098422,-0.098422,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.053047,-0.053047,0.0,OK,48.4558,48.4558,0.0,OK,1.0488,1.0488,,0.0,OK,0.016349,0.016349,,0.0,OK
ABVX,-0.126144,-0.126144,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.080769,-0.080769,0.0,OK,60.3866,60.3866,0.0,OK,1.1698,1.1698,,0.0,OK,0.006565,0.006565,,0.0,OK
CYTK,-0.017168,-0.017168,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,0.028207,0.028207,0.0,OK,57.4463,57.4463,0.0,OK,0.997,0.997,,0.0,OK,-0.066469,-0.066469,,0.0,OK
KYTX,-0.290203,-0.290203,0.0,OK,price_csv,-0.045375,-0.045375,0.0,OK,-0.244828,-0.244828,0.0,OK,45.5158,45.5158,0.0,OK,2.4479,2.4479,,0.0,OK,-0.313019,-0.313019,,0.0,OK
