ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall
EBS,1,56.79,0.998408,2.9493,56.79,0.998408,2.9493,late,small,none,commercial_pharma,68.36,41.25000000000000000000000000,55.5,80.92,77.000,71.42857142857142857142857143,0.9
ALKS,2,56.14,0.988854,2.2853,56.14,0.995223,2.5916,late,mid,none,commercial_pharma,44.51,41.25000000000000000000000000,68.0,78.29,77.000,71.27272727272727272727272727,0.9
TBPH,3,53.78,0.947452,1.6206,53.78,0.992038,2.4107,late,small,none,drug_developer,46.25,41.25000000000000000000000000,55.5,90.00,77.000,65.00000000000000000000000000,0.9
TARS,4,53.08,0.953822,1.6831,53.08,0.988854,2.2853,late,mid,none,commercial_biotech,86.72,41.25000000000000000000000000,83.0,38.79,71.92307692307692307692307692,64.72727272727272727272727273,0.9
BMRN,5,53.01,0.950637,1.6511,53.01,0.985669,2.1881,late,large,none,commercial_biotech,32.61,41.25000000000000000000000000,57.5,79.74,67.80219780219780219780219780,71.11111111111111111111111111,0.9
AMGN,6,52.53,0.976115,1.9794,52.53,0.982484,2.108,late,large,none,commercial_pharma,47.15,41.25000000000000000000000000,52.5,42.83,73.40659340659340659340659341,77.000,0.9
INCY,7,52.30,0.91879,1.397,52.30,0.979299,2.0395,late,large,none,commercial_biotech,65.18,41.25000000000000000000000000,60.5,33.33,63.18681318681318681318681319,73.33333333333333333333333333,0.9
BIIB,8,52.23,0.957006,1.717,52.23,0.976115,1.9794,late,large,none,commercial_pharma,35.82,41.25000000000000000000000000,68.5,63.81,70.76923076923076923076923077,75.55555555555555555555555555,0.9
IRON,9,52.20,0.921975,1.4185,52.20,0.969745,1.8771,mid,mid,none,drug_developer,57.81,41.25000000000000000000000000,80.0,10.00,60.00000000000000000000000000,62.00000000000000000000000000,0.8504355701705495485453126742
ACAD,10,52.20,0.915605,1.3761,52.20,0.97293,1.9257,late,mid,none,commercial_biotech,36.85,45.56250000000000000000000000,71.0,54.61,64.83516483516483516483516484,68.00000000000000000000000000,0.8881759336099585062240663900
SUPN,11,52.14,0.925159,1.4407,52.14,0.966561,1.8325,late,mid,none,commercial_pharma,59.43,41.25000000000000000000000000,55.0,13.82,73.07692307692307692307692308,66.90909090909090909090909091,0.9
